x = -328.627, y = -393.701, z = 140.2143, angle = 144.3893, collision = h0003B2
x = -349.1734, y = -396.4698, z = 144.9625, angle = 102.76, collision = h0401B2
x = -350.5375, y = -396.851, z = 145.0436, angle = 40.12471, collision = h0401B2
x = -351.4187, y = -397.2808, z = 144.0433, angle = -1.181636, collision = h0401B2
x = -351.5509, y = -397.8749, z = 142.6483, angle = 81.06934, collision = h0401B2
x = -352.7108, y = -398.1331, z = 142.3554, angle = 117.2456, collision = h0401B2
x = -353.8854, y = -398.2231, z = 142.8436, angle = 121.4309, collision = h0401B2
x = -355.066, y = -398.4171, z = 143.5696, angle = 108.2688, collision = h0401B2
x = -356.3759, y = -398.9803, z = 143.9293, angle = 64.35069, collision = h0401B2
x = -357.6025, y = -399.4121, z = 143.3154, angle = 37.12492, collision = h0401B2
x = -358.2867, y = -399.5293, z = 142.1586, angle = 9.728758, collision = h0401B2
x = -358.5639, y = -399.9275, z = 141.1295, angle = 97.26429, collision = h0401B2
x = -359.6751, y = -400.0726, z = 140.9127, angle = 151.6418, collision = h0401B2
x = -360.3674, y = -400.35, z = 142.2554, angle = 32.90539, collision = h0401B2
x = -362.2045, y = -400.8407, z = 140.8892, angle = 23.96101, collision = h0401B2
x = -363.7609, y = -401.5343, z = 139.313, angle = 85.69711, collision = h0401B2
x = -365.1697, y = -401.6249, z = 139.1471, angle = 60.69355, collision = h0401B2
x = -366.1143, y = -401.8307, z = 138.6313, angle = 50.38979, collision = h0401B2
x = -367.1954, y = -402.1758, z = 137.7665, angle = 56.10521, collision = h0401B2
x = -368.2805, y = -402.5722, z = 136.9155, angle = 26.1042, collision = h0401B2
x = -368.7749, y = -402.951, z = 135.9592, angle = 33.33468, collision = h0401B2
x = -369.3569, y = -403.2954, z = 134.8473, angle = 46.06133, collision = h0401B2
x = -370.3332, y = -403.4302, z = 133.9161, angle = 46.00623, collision = h0401B2
x = -371.5511, y = -403.5736, z = 133.378, angle = 53.40757, collision = h0401B2
x = -372.6165, y = -403.666, z = 132.4993, angle = 20.21158, collision = h0401B2
x = -373.17, y = -403.8604, z = 131.2449, angle = 28.663, collision = h0401B2
x = -373.9595, y = -403.969, z = 130.1495, angle = 51.4421, collision = h0401B2
x = -374.926, y = -403.9076, z = 129.3876, angle = 52.8881, collision = h0401B2
x = -375.799, y = -404.2078, z = 128.7242, angle = 30.86874, collision = h0401B2
x = -376.3924, y = -404.3173, z = 127.8277, angle = 31.34636, collision = h0400B2
x = -377.1518, y = -404.1857, z = 126.9304, angle = 50.39005, collision = h0401B2
x = -377.9441, y = -404.3167, z = 126.1863, angle = 55.64882, collision = h0401B2
x = -379.0094, y = -404.2401, z = 125.3085, angle = 41.86261, collision = h0401B2
x = -379.9121, y = -404.2518, z = 124.2596, angle = 21.41281, collision = h0401B2
x = -380.4969, y = -404.1531, z = 123.0095, angle = 48.15026, collision = h0401B2
x = -381.5191, y = -404.0888, z = 122.0743, angle = 52.98947, collision = h0401B2
x = -382.3807, y = -404.0689, z = 121.4251, angle = 44.74684, collision = h0401B2
x = -383.3719, y = -403.9874, z = 120.4635, angle = 53.94682, collision = h0401B2
x = -384.2921, y = -403.7512, z = 119.6559, angle = 27.74046, collision = h0400B2
x = -384.8925, y = -403.9861, z = 118.4383, angle = 22.11358, collision = h0401B2
x = -385.7811, y = -403.88, z = 117.7387, angle = 62.75837, collision = h0401B2
x = -387.1537, y = -403.7116, z = 117.0356, angle = 39.27006, collision = h0401B2
x = -388.1031, y = -403.687, z = 116.0387, angle = 40.11367, collision = h0401B2
x = -389.0293, y = -403.6629, z = 115.0088, angle = 57.03864, collision = h0401B2
x = -390.1883, y = -403.5548, z = 114.2519, angle = 50.81984, collision = h0401B2
x = -391.0632, y = -403.5934, z = 113.4117, angle = 47.06928, collision = h0401B2
x = -391.5678, y = -404.0931, z = 112.039, angle = 45.63747, collision = h0401B2
x = -392.2622, y = -404.2602, z = 111.201, angle = 32.88393, collision = h0401B2
x = -392.8563, y = -404.3687, z = 110.3038, angle = 30.22528, collision = h0401B2
x = -393.5383, y = -404.3858, z = 109.098, angle = -4.219664, collision = h0005B2
x = -393.0576, y = -404.574, z = 108.1243, angle = -92.49734, collision = h0005B2
x = -391.6826, y = -404.8274, z = 108.1151, angle = -87.54549, collision = h0005B2
x = -390.5864, y = -404.97, z = 108.8767, angle = -150.4846, collision = h0005B2
x = -389.9191, y = -404.9678, z = 110.0892, angle = -157.2366, collision = h0005B2
x = -389.3654, y = -404.9283, z = 111.3589, angle = -113.5816, collision = h0005B2
x = -388.1953, y = -405.1892, z = 111.5788, angle = -28.77518, collision = h0005B2
x = -387.372, y = -405.5511, z = 110.4901, angle = -81.13688, collision = h0005B2
x = -386.009, y = -405.9073, z = 110.3302, angle = -128.2044, collision = h0005B2
x = -385.2215, y = -406.0454, z = 111.4531, angle = -173.6579, collision = h0005B2
x = -384.9204, y = -406.0526, z = 112.7791, angle = -130.7357, collision = h0005B2
x = -383.8678, y = -406.4062, z = 113.6752, angle = -113.9552, collision = h0005B2
x = -382.5994, y = -406.9241, z = 113.8261, angle = -64.011, collision = h0005B2
x = -381.3407, y = -407.4997, z = 113.2464, angle = -81.13798, collision = h0005B2
x = -379.971, y = -408.138, z = 113.0709, angle = -89.46332, collision = h0005B2
x = -379.2035, y = -408.6554, z = 113.0695, angle = -131.307, collision = h0005B2
x = -377.9866, y = -409.3158, z = 113.5452, angle = -158.3938, collision = h0005B2
x = -377.5075, y = -409.2877, z = 114.8203, angle = -166.1235, collision = h0005B2
x = -376.8244, y = -409.4039, z = 116.127, angle = -106.2235, collision = h0005B2
x = -375.5732, y = -410.0025, z = 116.5163, angle = -105.9913, collision = h0005B2
x = -374.3988, y = -410.5157, z = 116.8534, angle = -105.1233, collision = h0005B2
x = -373.185, y = -411.0433, z = 117.1813, angle = -103.0201, collision = h0005B2
x = -371.7993, y = -411.6209, z = 117.5157, angle = -95.55544, collision = h0005B2
x = -370.5894, y = -412.1271, z = 117.5963, angle = -71.82381, collision = h0005B2
x = -369.333, y = -412.6093, z = 117.2068, angle = -70.95074, collision = h0005B2
x = -368.1852, y = -412.8771, z = 116.8108, angle = -68.35995, collision = h0005B2
x = -366.9297, y = -413.1542, z = 116.314, angle = -94.88758, collision = h0005B2
x = -365.7622, y = -413.4146, z = 116.3757, angle = -158.7282, collision = h0005B2
x = -365.1696, y = -413.4563, z = 117.5184, angle = 164.3466, collision = h0005B2
x = -365.437, y = -413.3383, z = 118.6777, angle = 153.5027, collision = h0005B2
x = -365.974, y = -413.201, z = 119.8389, angle = -143.6083, collision = h0005B2
x = -365.3105, y = -413.2705, z = 120.9706, angle = -98.42479, collision = h0005B2
x = -364.0832, y = -413.477, z = 121.2421, angle = -104.7303, collision = h0005B2
x = -362.8558, y = -413.7229, z = 121.5854, angle = -129.8846, collision = h0005B2
x = -361.9119, y = -413.8932, z = 122.3476, angle = -169.3317, collision = h0005B2
x = -361.5571, y = -413.9305, z = 123.6225, angle = 137.4895, collision = h0005B2
x = -362.2377, y = -413.7762, z = 124.5772, angle = 130.0549, collision = h0005B2
x = -363.2631, y = -413.6272, z = 125.456, angle = 151.9032, collision = h0005B2
x = -363.859, y = -413.4344, z = 126.4734, angle = 178.1421, collision = h0005B2
x = -363.9248, y = -413.2322, z = 127.7838, angle = -167.8319, collision = h0005B2
x = -363.6393, y = -413.064, z = 129.1808, angle = -163.3741, collision = h0005B2
x = -363.2712, y = -412.9202, z = 130.423, angle = -164.5158, collision = h0005B2
x = -362.9175, y = -412.8275, z = 131.6142, angle = -159.6147, collision = h0005B2
x = -362.4295, y = -412.8442, z = 132.7335, angle = -108.4802, collision = h0005B2
x = -361.2357, y = -412.9961, z = 133.2306, angle = -111.9394, collision = h0005B2
x = -360.1566, y = -412.9751, z = 133.7588, angle = -159.7635, collision = h0005B2
x = -359.635, y = -413.1511, z = 135.0026, angle = -161.8739, collision = h0005B2
x = -359.2943, y = -413.2357, z = 136.0338, angle = -159.264, collision = h0005B2
x = -359.0487, y = -413.2238, z = 137.3521, angle = 158.9055, collision = h0005B2
x = -358.3839, y = -413.3752, z = 138.5069, angle = -126.0209, collision = h0005B2
x = -357.2281, y = -413.7475, z = 139.2439, angle = -113.1093, collision = h0005B2
x = -356.0888, y = -414.114, z = 139.4698, angle = -113.6086, collision = h0005B2
x = -357.2521, y = -413.9023, z = 140.5144, angle = 137.6065, collision = h0005B2
x = -358.1746, y = -413.7477, z = 141.5481, angle = 143.8592, collision = h0005B2
x = -358.9937, y = -413.6386, z = 142.6657, angle = 149.9665, collision = h0005B2
x = -359.7852, y = -413.5864, z = 144.0157, angle = 142.9157, collision = h0005B2
x = -360.4749, y = -413.5153, z = 144.9566, angle = 139.6819, collision = h0005B2
x = -361.2591, y = -413.3872, z = 145.8808, angle = 114.7327, collision = h0005B2
x = -362.366, y = -413.1014, z = 146.5223, angle = 37.66382, collision = h0005B2
x = -363.1147, y = -412.7369, z = 145.7146, angle = -27.494, collision = h0005B2
x = -362.603, y = -412.821, z = 144.5084, angle = -18.15418, collision = h0005B2
x = -362.2118, y = -412.8451, z = 143.4066, angle = 21.89652, collision = h0005B2
x = -362.6669, y = -412.7357, z = 142.2159, angle = 46.18657, collision = h0005B2
x = -363.5226, y = -412.5559, z = 141.3006, angle = 78.06727, collision = h0005B2
x = -364.6747, y = -412.3583, z = 140.9935, angle = 126.0114, collision = h0005B2
x = -365.867, y = -412.1872, z = 141.8097, angle = 165.0973, collision = h0005B2
x = -366.207, y = -412.1288, z = 142.9794, angle = 170.7948, collision = h0005B2
x = -366.4197, y = -412.0565, z = 144.2994, angle = -149.3659, collision = h0005B2
x = -365.8858, y = -412.1545, z = 145.3546, angle = -177.3601, collision = h0005B2
x = -365.6236, y = -412.1815, z = 146.6159, angle = 157.8885, collision = h0005B2
x = -366.0219, y = -412.1033, z = 147.7364, angle = 140.6722, collision = h0005B2
x = -366.8262, y = -411.8148, z = 148.7635, angle = 102.5161, collision = h0005B2
x = -367.9839, y = -411.4666, z = 149.1212, angle = 64.93876, collision = h0005B2
x = -369.0962, y = -411.1614, z = 148.6959, angle = -4.264388, collision = h0005B2
x = -369.1238, y = -411.1929, z = 147.2664, angle = 20.77987, collision = h0005B2
x = -369.3767, y = -411.1686, z = 146.1138, angle = 56.87929, collision = h0005B2
x = -370.4054, y = -410.8929, z = 145.3348, angle = 93.8678, collision = h0005B2
x = -371.5791, y = -410.289, z = 145.2726, angle = 168.9333, collision = h0005B2
x = -372.0928, y = -409.9454, z = 146.3952, angle = -159.4819, collision = h0005B2
x = -371.7621, y = -410.0842, z = 147.5381, angle = -177.4952, collision = h0005B2
x = -371.6642, y = -410.1462, z = 148.873, angle = -176.448, collision = h0005B2
x = -371.5914, y = -410.1719, z = 150.0719, angle = 158.4635, collision = h0005B2
x = -371.9312, y = -409.9959, z = 151.2429, angle = 130.959, collision = h0005B2
x = -373.0264, y = -409.687, z = 152.1935, angle = 121.3248, collision = h0005B2
x = -373.886, y = -409.4281, z = 152.7609, angle = 134.0421, collision = h0005B2
x = -374.9098, y = -409.205, z = 153.8042, angle = 159.0208, collision = h0005B2
x = -375.3742, y = -409.1848, z = 154.9323, angle = 161.5381, collision = h0005B2
x = -375.8085, y = -409.2093, z = 156.1979, angle = 163.7056, collision = h0005B2
x = -376.1485, y = -409.2435, z = 157.352, angle = 149.9503, collision = h0005B2
x = -376.7747, y = -409.2599, z = 158.5453, angle = 118.6287, collision = h0005B2
x = -377.8974, y = -409.1513, z = 159.3245, angle = 107.9546, collision = h0005B2
x = -379.1669, y = -408.9713, z = 159.7616, angle = 105.9417, collision = h0005B2
x = -380.3216, y = -408.8207, z = 160.0776, angle = 115.4249, collision = h0005B2
x = -381.5294, y = -408.7764, z = 160.5531, angle = 106.0926, collision = h0005B2
x = -382.7081, y = -408.7297, z = 160.9206, angle = 93.06748, collision = h0005B2
x = -383.9464, y = -408.6789, z = 161.0094, angle = 103.3566, collision = h0005B2
x = -385.2183, y = -408.6217, z = 161.1616, angle = 112.2982, collision = h0005B2
x = -386.3544, y = -408.6021, z = 161.5994, angle = 90.54958, collision = h0005B2
x = -387.6909, y = -408.5626, z = 161.7212, angle = 81.03876, collision = h0005B2
x = -388.8718, y = -408.5091, z = 161.5593, angle = 69.7399, collision = h0005B2
x = -390.3263, y = -408.4219, z = 161.016, angle = 58.71558, collision = h0005B2
x = -391.3593, y = -408.355, z = 160.4301, angle = 48.83502, collision = h0005B2
x = -392.3706, y = -408.2655, z = 159.5648, angle = 29.26613, collision = h0005B2
x = -393.0049, y = -408.3266, z = 158.5483, angle = 7.746787, collision = h0005B2
x = -393.2155, y = -408.3608, z = 157.2993, angle = -22.37494, collision = h0005B2
x = -392.8279, y = -408.2933, z = 156.1185, angle = -35.46264, collision = h0005B2
x = -392.1219, y = -408.1873, z = 155.12, angle = -55.08624, collision = h0005B2
x = -391.1071, y = -408.0473, z = 154.2816, angle = -51.58757, collision = h0005B2
x = -390.1317, y = -408.133, z = 153.566, angle = -53.58076, collision = h0005B2
x = -388.8851, y = -408.2742, z = 152.6489, angle = -61.01591, collision = h0005B2
x = -387.8344, y = -408.2742, z = 152.078, angle = -74.07993, collision = h0005B2
x = -386.5416, y = -408.2742, z = 151.6967, angle = -72.22261, collision = h0005B2
x = -385.4062, y = -408.2742, z = 151.335, angle = -64.05529, collision = h0005B2
x = -384.2278, y = -408.2742, z = 150.7769, angle = -46.45977, collision = h0005B2
x = -383.3276, y = -408.2742, z = 149.9468, angle = -32.93624, collision = h0005B2
x = -382.6194, y = -408.2753, z = 148.9159, angle = -7.783847, collision = h0005B2
x = -382.3706, y = -408.2784, z = 147.6684, angle = 26.59575, collision = h0005B2
x = -382.819, y = -408.2767, z = 146.549, angle = 68.67718, collision = h0005B2
x = -384.1449, y = -408.2742, z = 145.9651, angle = 108.9812, collision = h0005B2
x = -385.3048, y = -408.2742, z = 146.3302, angle = 110.0841, collision = h0005B2
x = -386.5761, y = -408.2742, z = 146.7956, angle = 113.1539, collision = h0005B2
x = -387.6743, y = -408.2742, z = 147.259, angle = 120.3503, collision = h0005B2
x = -388.8498, y = -408.2742, z = 147.9022, angle = 122.4248, collision = h0005B2
x = -389.8698, y = -408.2742, z = 148.5365, angle = 126.2612, collision = h0005B2
x = -390.9139, y = -408.2518, z = 149.2966, angle = 121.5524, collision = h0005B2
x = -391.9706, y = -408.2171, z = 149.9423, angle = 106.6923, collision = h0005B2
x = -393.1541, y = -408.3599, z = 150.2988, angle = 98.75059, collision = h0005B2
x = -394.6347, y = -408.6883, z = 150.5697, angle = 90.55612, collision = h0005B2
x = -395.8555, y = -409.0208, z = 150.5958, angle = 81.60566, collision = h0005B2
x = -397.1763, y = -409.403, z = 150.4273, angle = 82.27453, collision = h0005B2
x = -398.3681, y = -409.7693, z = 150.2371, angle = 83.48415, collision = h0005B2
x = -399.7102, y = -410.1434, z = 150.0857, angle = 90.60342, collision = h0005B2
x = -401.5436, y = -410.6082, z = 150.0574, angle = 82.08128, collision = h0005B2
x = -402.8515, y = -410.839, z = 149.8442, angle = 66.49538, collision = h0005B2
x = -403.9666, y = -411.0515, z = 149.3769, angle = 59.76273, collision = h0005B2
x = -405.1288, y = -411.2622, z = 148.6913, angle = 41.47097, collision = h0005B2
x = -405.9277, y = -411.4326, z = 147.8096, angle = 28.77989, collision = h0005B2
x = -406.6633, y = -411.571, z = 146.45, angle = 35.89588, collision = h0005B2
x = -407.3092, y = -411.6483, z = 145.4553, angle = 40.09717, collision = h0005B2
x = -408.1683, y = -411.7423, z = 144.4656, angle = 43.2719, collision = h0005B2
x = -409.0266, y = -411.7953, z = 143.5868, angle = 46.52988, collision = h0005B2
x = -409.9145, y = -411.8589, z = 142.7038, angle = 27.18649, collision = h0005B2
x = -410.5946, y = -411.8892, z = 141.6201, angle = 22.26446, collision = h0005B2
x = -411.0563, y = -411.9878, z = 140.4936, angle = 19.26325, collision = h0005B2
x = -411.5078, y = -412.0699, z = 139.2234, angle = 18.78698, collision = h0005B2
x = -411.8859, y = -412.1693, z = 138.0873, angle = 15.38484, collision = h0005B2
x = -412.2978, y = -412.2694, z = 136.5899, angle = 18.09753, collision = h0005B2
x = -412.6519, y = -412.338, z = 135.453, angle = 15.51249, collision = h0005B2
x = -413.0127, y = -412.3925, z = 134.1645, angle = 13.43765, collision = h0005B2
x = -413.2943, y = -412.3753, z = 132.9958, angle = 2.064397, collision = h0005B2
x = -413.348, y = -412.3293, z = 131.7174, angle = -47.5278, collision = h0005B2
x = -412.5941, y = -412.2093, z = 130.8061, angle = -93.76102, collision = h0005B2
x = -411.3837, y = -412.0459, z = 130.8012, angle = -119.2819, collision = h0005B2
x = -410.2216, y = -411.938, z = 131.3855, angle = -131.3976, collision = h0005B2
x = -409.306, y = -411.8823, z = 132.1869, angle = -131.44, collision = h0005B2
x = -408.2776, y = -411.753, z = 133.0679, angle = -110.1395, collision = h0005B2
x = -406.9919, y = -411.3351, z = 133.595, angle = -111.4222, collision = h0005B2
x = -405.7332, y = -410.8687, z = 134.0852, angle = -106.7286, collision = h0005B2
x = -404.5954, y = -410.3356, z = 134.433, angle = -100.9177, collision = h0005B2
x = -403.2993, y = -409.692, z = 134.6895, angle = -94.32025, collision = h0005B2
x = -402.0875, y = -409.0826, z = 134.7982, angle = -88.87561, collision = h0005B2
x = -400.8231, y = -408.5872, z = 134.7828, angle = -78.86671, collision = h0005B2
x = -399.5772, y = -408.0764, z = 134.5377, angle = -29.89567, collision = h0005B2
x = -398.8774, y = -407.7269, z = 133.5916, angle = 5.947537, collision = h0005B2
x = -398.9285, y = -407.5095, z = 132.2726, angle = 60.19036, collision = h0005B2
x = -400.0477, y = -407.6932, z = 131.642, angle = 116.0213, collision = h0005B2
x = -401.2846, y = -408.2025, z = 132.173, angle = 121.0464, collision = h0005B2
x = -402.3094, y = -408.7672, z = 132.7901, angle = 108.5594, collision = h0005B2
x = -403.5623, y = -409.4761, z = 133.2569, angle = 91.02728, collision = h0005B2
x = -404.7566, y = -410.0565, z = 133.3143, angle = 78.13464, collision = h0005B2
x = -410.0869, y = -411.6267, z = 129.764, angle = -28.30367, collision = h0005B2
x = -409.5541, y = -411.0925, z = 128.6896, angle = -46.43898, collision = h0005B2
x = -408.6716, y = -410.3834, z = 127.7648, angle = -29.49273, collision = h0005B2
x = -407.9857, y = -409.8678, z = 126.713, angle = -28.35804, collision = h0005B2
x = -407.4034, y = -409.4655, z = 125.6353, angle = -28.07082, collision = h0005B2
x = -406.7874, y = -408.9854, z = 124.4628, angle = -18.11686, collision = h0005B2
x = -406.4103, y = -408.6312, z = 123.3178, angle = 2.600021, collision = h0005B2
x = -406.4364, y = -408.4719, z = 121.9668, angle = -2.152384, collision = h0005B2
x = -406.3976, y = -408.2753, z = 120.5786, angle = -42.34649, collision = h0005B2
x = -405.4988, y = -407.6668, z = 119.4043, angle = -79.52649, collision = h0005B2
x = -404.1671, y = -406.6808, z = 118.8966, angle = -85.42662, collision = h0005B2
x = -402.675, y = -405.8938, z = 118.7555, angle = -128.0811, collision = h0005B2
x = -400.7885, y = -405.136, z = 119.6235, angle = -139.3673, collision = h0005B2
x = -400.015, y = -405.1151, z = 120.5109, angle = -172.6319, collision = h0005B2
x = -399.7893, y = -405.3523, z = 121.7793, angle = 156.6465, collision = h0005B2
x = -400.2219, y = -405.7723, z = 122.9175, angle = 140.4154, collision = h0005B2
x = -401.1653, y = -406.3767, z = 124.0792, angle = 140.1534, collision = h0005B2
x = -401.9612, y = -406.9017, z = 125.0372, angle = 146.6016, collision = h0005B2
x = -402.6532, y = -407.4218, z = 126.0591, angle = 151.894, collision = h0005B2
x = -403.2658, y = -407.9105, z = 127.2103, angle = 151.0096, collision = h0005B2
x = -403.8526, y = -408.3511, z = 128.2797, angle = 156.4958, collision = h0005B2
x = -404.4061, y = -408.7692, z = 129.5148, angle = 163.4525, collision = h0005B2
x = -404.7497, y = -409.2233, z = 130.6568, angle = 173.7913, collision = h0005B2
x = -404.9079, y = -409.7184, z = 131.9848, angle = -178.1367, collision = h0005B2
x = -405.0785, y = -410.8165, z = 135.3645, angle = 170.0648, collision = h0005B2
x = -405.2787, y = -411.1488, z = 136.555, angle = 175.2523, collision = h0005B2
x = -405.4084, y = -411.3466, z = 137.8985, angle = -172.165, collision = h0005B2
x = -405.2564, y = -411.4113, z = 139.0788, angle = -170.1848, collision = h0005B2
x = -405.0312, y = -411.4665, z = 140.3824, angle = -167.4041, collision = h0005B2
x = -404.7688, y = -411.4775, z = 141.5684, angle = -161.3905, collision = h0005B2
x = -404.3773, y = -411.3988, z = 142.7749, angle = -155.7223, collision = h0005B2
x = -403.873, y = -411.3019, z = 143.9409, angle = -150.5891, collision = h0005B2
x = -403.2834, y = -411.2028, z = 145.0099, angle = -153.0224, collision = h0005B2
x = -402.5593, y = -411.0013, z = 146.3483, angle = -150.6199, collision = h0005B2
x = -401.9709, y = -410.8172, z = 147.4069, angle = -146.5893, collision = h0005B2
x = -401.1534, y = -410.5587, z = 148.6155, angle = -140.0292, collision = h0005B2
x = -398.0795, y = -409.6661, z = 151.3766, angle = -106.5473, collision = h0005B2
x = -396.5971, y = -409.2401, z = 151.7544, angle = -87.50296, collision = h0005B2
x = -395.2224, y = -408.8609, z = 151.6406, angle = -67.05898, collision = h0005B2
x = -393.6749, y = -408.4359, z = 149.3479, angle = 31.50815, collision = h0005B2
x = -394.4521, y = -408.5598, z = 148.2186, angle = 42.43117, collision = h0005B2
x = -395.2892, y = -408.7556, z = 147.1245, angle = 19.35721, collision = h0005B2
x = -395.6677, y = -408.7968, z = 146.1149, angle = 19.17171, collision = h0005B2
x = -396.1291, y = -408.834, z = 144.8081, angle = 8.03968, collision = h0005B2
x = -396.2458, y = -408.6475, z = 143.4426, angle = -6.734088, collision = h0005B2
x = -396.0905, y = -408.3657, z = 142.0643, angle = -5.731717, collision = h0005B2
x = -395.9525, y = -408.1175, z = 140.6865, angle = -4.828958, collision = h0005B2
x = -395.8566, y = -407.9862, z = 139.6109, angle = -4.828958, collision = h0005B2
x = -396.0295, y = -407.9021, z = 138.5143, angle = 9.114969, collision = h0005B2
x = -396.2487, y = -407.7405, z = 137.1455, angle = 9.388013, collision = h0005B2
x = -396.4724, y = -407.5259, z = 135.7778, angle = 9.837822, collision = h0005B2
x = -396.7107, y = -407.3153, z = 134.4115, angle = 10.34979, collision = h0005B2
x = -396.9612, y = -407.1104, z = 133.0476, angle = 10.87694, collision = h0005B2
x = -397.3134, y = -406.9428, z = 131.6868, angle = 24.25389, collision = h0005B2
x = -397.893, y = -406.8279, z = 130.4064, angle = 23.44352, collision = h0005B2
x = -398.3913, y = -406.7245, z = 129.2774, angle = 19.54736, collision = h0005B2
x = -398.8177, y = -406.5355, z = 128.1062, angle = 19.7159, collision = h0005B2
x = -399.2542, y = -406.3979, z = 126.8871, angle = 20.16777, collision = h0005B2
x = -399.5757, y = -406.2469, z = 125.7253, angle = -12.7263, collision = h0005B2
x = -399.321, y = -405.8534, z = 124.3996, angle = -19.26339, collision = h0005B2
x = -398.9179, y = -405.4563, z = 123.2754, angle = -26.86468, collision = h0005B2
x = -398.3184, y = -405.002, z = 122.0698, angle = -28.87811, collision = h0005B2
x = -397.7216, y = -404.6075, z = 121.0329, angle = -37.42732, collision = h0005B2
x = -396.9392, y = -404.118, z = 119.9957, angle = -28.66408, collision = h0005B2
x = -396.2147, y = -403.5409, z = 118.7511, angle = -21.48585, collision = h0005B2
x = -395.7394, y = -403.2236, z = 117.561, angle = 16.75325, collision = h0005B2
x = -395.9285, y = -403.3102, z = 116.3612, angle = 66.03109, collision = h0005B2
x = -396.9372, y = -403.1942, z = 115.7572, angle = 88.86546, collision = h0005B2
x = -398.25, y = -402.9838, z = 115.6794, angle = 47.42881, collision = h0005B2
x = -399.1412, y = -402.9104, z = 114.9211, angle = 18.01591, collision = h0005B2
x = -399.5349, y = -402.9868, z = 113.6281, angle = 7.395742, collision = h0005B2
x = -399.7151, y = -403.118, z = 112.4524, angle = 25.05466, collision = h0005B2
x = -400.2434, y = -403.1573, z = 111.2298, angle = 34.6738, collision = h0005B2
x = -400.856, y = -403.1004, z = 110.2255, angle = 41.43809, collision = h0005B2
x = -401.8032, y = -403.0217, z = 109.2341, angle = 65.41564, collision = h0005B2
x = -403.0599, y = -402.855, z = 108.651, angle = 45.96584, collision = h0005B2
x = -404.0097, y = -402.7399, z = 107.6821, angle = 17.84724, collision = h0005B2
x = -404.3922, y = -402.7426, z = 106.3534, angle = 0.786305, collision = h0005B2
x = -404.1563, y = -402.8633, z = 105.0406, angle = -54.88867, collision = h0005B2
x = -403.3026, y = -403.0788, z = 104.39, angle = -61.96144, collision = h0005B2
x = -402.056, y = -403.3825, z = 103.7994, angle = -81.90179, collision = h0005B2
x = -400.6867, y = -403.6758, z = 103.6073, angle = -70.32695, collision = h0005B2
x = -399.3783, y = -403.9762, z = 103.1517, angle = -48.48305, collision = h0005B2
x = -398.4282, y = -404.241, z = 102.1938, angle = -31.66677, collision = h0005B2
x = -397.7068, y = -404.5009, z = 101.0136, angle = -43.20266, collision = h0005B2
x = -396.642, y = -404.8013, z = 99.89936, angle = -55.02221, collision = h0005B2
