x = 1046.643, y = -330, z = 855.022, angle = -173.3502, collision = h0100B1
x = 1042.545, y = -332, z = 875.5597, angle = -173.4835, collision = h0100B1
x = 1042.764, y = -332, z = 876.7974, angle = 157.9188, collision = h0100B1
x = 1042.29, y = -332, z = 877.9152, angle = 163.2517, collision = h0100B1
x = 1041.954, y = -332, z = 878.9523, angle = 179.7474, collision = h0100B1
x = 1041.907, y = -332, z = 880.2361, angle = 109.1331, collision = h0100B1
x = 1040.598, y = -332, z = 880.5063, angle = 43.383, collision = h0100B1
x = 1039.552, y = -332, z = 879.6858, angle = 84.62348, collision = h0100B1
x = 1038.551, y = -332, z = 879.5323, angle = 86.14774, collision = h0100B1
x = 1037.415, y = -332, z = 879.0975, angle = -17.80132, collision = h0100B1
x = 1037.898, y = -332, z = 877.8741, angle = -30.6553, collision = h0100B1
x = 1038.6, y = -332, z = 876.6693, angle = -18.32762, collision = h0100B1
x = 1039.117, y = -332, z = 875.3601, angle = -53.612, collision = h0100B1
x = 1038.301, y = -332, z = 873.9058, angle = 120.8816, collision = h0100B1
x = 1037.185, y = -332, z = 874.6524, angle = 106.2529, collision = h0100B1
x = 1036.231, y = -332, z = 874.9677, angle = 65.84762, collision = h0100B1
x = 1035.182, y = -332.0119, z = 874.3478, angle = 5.367136, collision = h0100B1
x = 1035.018, y = -332.2459, z = 873.3545, angle = 59.56361, collision = h0100B1
x = 1034.018, y = -332.9173, z = 872.5488, angle = 59.86456, collision = h0100B1
x = 1032.731, y = -333.4, z = 871.8017, angle = 66.00153, collision = h0100B1
x = 1031.556, y = -333.4, z = 871.1986, angle = 61.63094, collision = h0100B1
x = 1030.194, y = -333.4, z = 870.6891, angle = 95.95794, collision = h0100B1
x = 1028.88, y = -333.4, z = 870.7718, angle = 103.337, collision = h0100B1
x = 1027.887, y = -333.4, z = 871.3948, angle = -170.9216, collision = h0100B1
x = 1027.997, y = -333.4, z = 872.4269, angle = -143.8931, collision = h0100B1
x = 1028.83, y = -333.3997, z = 873.4595, angle = -55.6027, collision = h0100B1
x = 1029.792, y = -333.4, z = 872.5733, angle = -25.0566, collision = h0100B1
x = 1032.43, y = -333.4, z = 870.4154, angle = -90.17623, collision = h0100B1
x = 1033.82, y = -333.4, z = 870.7339, angle = -110.1129, collision = h0100B1
x = 1035.055, y = -333.4, z = 871.2018, angle = -101.7615, collision = h0100B1
x = 1031.686, y = -333.4, z = 872.7282, angle = 163.0049, collision = h0100B1
x = 1031.289, y = -333.4, z = 874.0606, angle = -164.0874, collision = h0100B1
x = 1031.703, y = -333.4, z = 875.466, angle = -123.6893, collision = h0100B1
x = 1032.781, y = -333.4, z = 876.1731, angle = -108.0801, collision = h0100B1
x = 1034.178, y = -333.4, z = 876.6823, angle = -84.21175, collision = h0100B1
x = 1035.345, y = -333.4, z = 876.8483, angle = -144.4921, collision = h0100B1
x = 1030.431, y = -333.3996, z = 874.7574, angle = 62.04282, collision = h0100B1
x = 1028.098, y = -333.4, z = 874.2957, angle = -150.3442, collision = h0100B1
x = 1028.699, y = -333.399, z = 875.4309, angle = -132.2558, collision = h0100B1
x = 1029.143, y = -333.5249, z = 876.4454, angle = 172.7367, collision = h0100B1
x = 1028.566, y = -333.8383, z = 877.7098, angle = 145.9744, collision = h2100B1
x = 1027.983, y = -334.4336, z = 878.5579, angle = 143.6254, collision = h2100B1
x = 1027.209, y = -335.2289, z = 879.6938, angle = 165.6604, collision = h2100B1
x = 1026.832, y = -335.9736, z = 881.0359, angle = 153.7696, collision = h2100B1
x = 1026.146, y = -336.7732, z = 882.2518, angle = 116.7969, collision = h2100B1
x = 1025.004, y = -337.1795, z = 883.0197, angle = 170.8994, collision = h2100B1
x = 1024.708, y = -337.1433, z = 884.3597, angle = 157.5271, collision = h2100B1
x = 1024.73, y = -337.088, z = 885.5876, angle = -99.38316, collision = h2100B1
x = 1025.774, y = -336.9975, z = 885.8475, angle = -110.1321, collision = h2100B1
x = 1026.779, y = -336.9417, z = 885.3823, angle = -63.93172, collision = h2100B1
x = 1027.999, y = -336.8693, z = 884.9246, angle = -71.66546, collision = h2100B1
x = 1028.886, y = -336.8271, z = 884.351, angle = -4.940057, collision = h2100B1
x = 1029.098, y = -336.855, z = 883.346, angle = -42.04856, collision = h2100B1
x = 1029.755, y = -336.8453, z = 882.4311, angle = -27.84157, collision = h2100B1
x = 1030.464, y = -336.847, z = 881.1652, angle = -38.98516, collision = h2100B1
x = 1031.518, y = -336.811, z = 880.1629, angle = -100.0842, collision = h2100B1
x = 1032.775, y = -336.7043, z = 880.422, angle = -151.108, collision = h2100B1
x = 1033.418, y = -336.5987, z = 881.723, angle = -106.7363, collision = h2100B1
x = 1034.457, y = -336.5007, z = 882.165, angle = -177.9887, collision = h2100B1
x = 1033.856, y = -336.5088, z = 883.0198, angle = 74.47787, collision = h2100B1
x = 1032.776, y = -336.6078, z = 882.6293, angle = -33.52111, collision = h2100B1
x = 1031.526, y = -336.7646, z = 881.2084, angle = 168.3013, collision = h2100B1
x = 1031.173, y = -336.7324, z = 882.5566, angle = 125.0377, collision = h2100B1
x = 1030.44, y = -336.7574, z = 883.2548, angle = 118.0652, collision = h2100B1
x = 1029.825, y = -336.7344, z = 884.8452, angle = -127.1551, collision = h2100B1
x = 1030.596, y = -336.6477, z = 885.4916, angle = -177.7377, collision = h2100B1
x = 1030.772, y = -336.5774, z = 886.7928, angle = 155.6459, collision = h2100B1
x = 1030.069, y = -336.5776, z = 888.0065, angle = 163.817, collision = h2100B1
x = 1029.472, y = -336.571, z = 889.1914, angle = 150.9016, collision = h2100B1
x = 1028.673, y = -336.5857, z = 890.2401, angle = 49.15157, collision = h2100B1
x = 1027.816, y = -336.6862, z = 889.4255, angle = -18.08715, collision = h2100B1
x = 1027.949, y = -336.7391, z = 887.9878, angle = 27.53845, collision = h2100B1
x = 1027.301, y = -336.8405, z = 886.793, angle = 64.62789, collision = h2100B1
x = 1025.871, y = -336.9464, z = 886.848, angle = 165.2324, collision = h2100B1
x = 1025.218, y = -336.9388, z = 888.1522, angle = 78.572, collision = h2100B1
x = 1023.923, y = -337.0417, z = 888.0347, angle = 105.2927, collision = h2100B1
x = 1022.838, y = -337.3482, z = 888.092, angle = 105.2927, collision = h2100B1
x = 1021.537, y = -337.5267, z = 888.8189, angle = 121.0585, collision = h2100B1
x = 1020.659, y = -337.9826, z = 889.3156, angle = 87.78843, collision = h2100B1
x = 1019.626, y = -338.347, z = 889.5776, angle = 57.96962, collision = h2100B1
x = 1018.605, y = -338.1165, z = 889.2413, angle = 69.5206, collision = h2100B1
x = 1017.769, y = -338.4051, z = 888.4678, angle = 31.8529, collision = h2100B1
x = 1016.973, y = -338.7043, z = 887.6614, angle = 87.8868, collision = h2100B1
x = 1015.884, y = -338.6068, z = 887.796, angle = 128.7291, collision = h2100B1
x = 1015.186, y = -338.7878, z = 888.725, angle = 164.6481, collision = h2100B1
x = 1014.887, y = -338.7907, z = 889.8187, angle = 172.3265, collision = h2100B1
x = 1014.772, y = -338.6864, z = 890.98, angle = -169.3961, collision = h2100B1
x = 1015.246, y = -338.479, z = 891.9641, angle = -124.8092, collision = h2100B1
x = 1016.255, y = -338.4916, z = 892.4592, angle = -87.50583, collision = h2100B1
x = 1016.558, y = -338.0628, z = 891.4626, angle = 57.35579, collision = h2100B1
x = 1015.874, y = -338.1485, z = 890.6309, angle = -15.32242, collision = h2100B1
x = 1016.236, y = -338.1522, z = 889.2534, angle = -29.73251, collision = h2100B1
x = 1017.634, y = -337.9798, z = 889.4973, angle = -158.9542, collision = h2100B1
x = 1018.407, y = -338.1318, z = 890.741, angle = -167.4407, collision = h2100B1
x = 1018.507, y = -338.3114, z = 892.1788, angle = 160.9702, collision = h2100B1
x = 1018.127, y = -338.5864, z = 893.5671, angle = -96.8997, collision = h2100B1
x = 1019.163, y = -338.6618, z = 893.2622, angle = -43.94126, collision = h2100B1
x = 1020.103, y = -338.9435, z = 892.5908, angle = -90.22964, collision = h2100B1
x = 1021.05, y = -339.5692, z = 892.564, angle = -177.9636, collision = h2100B1
x = 1020.837, y = -340.0771, z = 893.3021, angle = 154.8726, collision = h2100B1
x = 1020.23, y = -340.9383, z = 894.6661, angle = 167.7527, collision = h2100B1
x = 1019.98, y = -341.6, z = 895.9677, angle = -115.3104, collision = h0101B1
x = 1020.835, y = -341.6, z = 896.6291, angle = -115.3104, collision = h0101B1
x = 1021.839, y = -341.6, z = 896.619, angle = -38.30246, collision = h0101B1
x = 1022.791, y = -341.6, z = 896.2778, angle = -99.0471, collision = h0101B1
x = 1023.772, y = -341.6, z = 895.7314, angle = -79.69434, collision = h0101B1
x = 1024.993, y = -341.011, z = 895.3375, angle = -83.38613, collision = h0101B1
x = 1026.459, y = -341, z = 895.1791, angle = -103.5852, collision = h0101B1
x = 1027.657, y = -341, z = 895.633, angle = -166.7781, collision = h0101B1
x = 1027.926, y = -341, z = 896.7454, angle = -156.566, collision = h0101B1
x = 1028.213, y = -341, z = 897.8186, angle = -171.0781, collision = h0101B1
x = 1028.279, y = -341, z = 899.1893, angle = 178.818, collision = h0101B1
x = 1028.305, y = -341, z = 900.5096, angle = -173.3886, collision = h0101B1
x = 1028.483, y = -341, z = 901.9868, angle = -152.2257, collision = h0101B1
x = 1029.093, y = -341, z = 903.1519, angle = -145.5814, collision = h0101B1
x = 1029.933, y = -341, z = 904.3794, angle = -162.9468, collision = h0101B1
x = 1030.271, y = -341, z = 905.6816, angle = 154.2227, collision = h0101B1
x = 1029.667, y = -341, z = 906.8501, angle = 135.0498, collision = h0101B1
x = 1028.494, y = -341, z = 907.7682, angle = 76.14088, collision = h0101B1
x = 1027.462, y = -341.4446, z = 907.5317, angle = 49.25834, collision = h0101B1
x = 1026.715, y = -341.6, z = 906.8002, angle = 40.27163, collision = h0101B1
x = 1026.102, y = -341.6, z = 905.675, angle = -22.64007, collision = h0101B1
x = 1026.859, y = -341.329, z = 904.4995, angle = -72.52222, collision = h0101B1
x = 1027.853, y = -341, z = 904.7992, angle = 11.21962, collision = h0101B1
x = 1027.122, y = -341.0176, z = 903.3839, angle = -41.25859, collision = h0101B1
x = 1029.891, y = -341, z = 902.5144, angle = -152.1031, collision = h0101B1
x = 1028.871, y = -341, z = 904.5613, angle = 81.69099, collision = h0101B1
x = 1026.025, y = -341.6, z = 903.8119, angle = 79.95935, collision = h0101B1
x = 1026.894, y = -341.0041, z = 902.3034, angle = 3.68277, collision = h0101B1
x = 1026.522, y = -341.0063, z = 900.9656, angle = -36.44373, collision = h0101B1
x = 1027.213, y = -341, z = 899.6742, angle = 14.27753, collision = h0101B1
x = 1026.865, y = -341, z = 898.5853, angle = 98.43533, collision = h0101B1
x = 1025.56, y = -341.1805, z = 898.6467, angle = 95.10973, collision = h0101B1
x = 1024.558, y = -341.6, z = 898.5999, angle = 119.8455, collision = h0101B1
x = 1023.383, y = -341.6, z = 898.8705, angle = 62.70564, collision = h0101B1
x = 1022.208, y = -341.6, z = 898.1934, angle = 32.41724, collision = h0101B1
x = 1019.817, y = -341.6001, z = 897.2378, angle = 98.86293, collision = h0101B1
x = 1018.468, y = -341.6, z = 897.2815, angle = 72.3886, collision = h0101B1
x = 1017.137, y = -341.6, z = 896.9372, angle = 113.1381, collision = h0101B1
x = 1015.905, y = -341.6, z = 897.4786, angle = 140.4685, collision = h0101B1
x = 1015.02, y = -341.6, z = 898.5941, angle = -126.2334, collision = h0101B1
x = 1015.879, y = -341.6, z = 899.1478, angle = -29.10083, collision = h0101B1
x = 1018.617, y = -341.6001, z = 898.6133, angle = -163.9773, collision = h0101B1
x = 1018.953, y = -341.6001, z = 899.8763, angle = -120.5308, collision = h0101B1
x = 1020.06, y = -341.6001, z = 900.7492, angle = -117.631, collision = h0101B1
x = 1021.181, y = -341.6001, z = 901.4396, angle = -145.8436, collision = h0101B1
x = 1022.007, y = -341.6, z = 902.6635, angle = -162.765, collision = h0101B1
x = 1022.389, y = -341.6, z = 903.9488, angle = -171.8177, collision = h0101B1
x = 1022.7, y = -341.6, z = 905.3981, angle = -154.9273, collision = h0101B1
x = 1023.23, y = -341.6, z = 906.6085, angle = -140.3173, collision = h0101B1
x = 1024.326, y = -341.6, z = 907.4527, angle = -100.4503, collision = h0101B1
x = 1025.566, y = -341.6, z = 907.8104, angle = -136.6122, collision = h0101B1
x = 1026.614, y = -341.408, z = 908.8412, angle = -141.3309, collision = h0101B1
x = 1027.412, y = -341, z = 909.8824, angle = -160.7934, collision = h0101B1
x = 1027.675, y = -341, z = 911.2872, angle = 119.269, collision = h0101B1
x = 1026.539, y = -341, z = 911.9264, angle = 97.63872, collision = h0101B1
x = 1025.302, y = -341, z = 911.9233, angle = 23.14806, collision = h0101B1
x = 1024.808, y = -341, z = 910.9689, angle = 30.24521, collision = h0101B1
x = 1024.126, y = -341.104, z = 910.0411, angle = 76.05631, collision = h0101B1
x = 1023.105, y = -341.4102, z = 909.7776, angle = 116.8576, collision = h0101B1
x = 1022.02, y = -341.2001, z = 910.4395, angle = -169.4644, collision = h0101B1
x = 1022.493, y = -341, z = 911.4094, angle = -115.7182, collision = h0101B1
x = 1023.473, y = -341, z = 912.2524, angle = 145.8128, collision = h0101B1
x = 1022.912, y = -341, z = 913.1449, angle = 80.55377, collision = h0101B1
x = 1021.763, y = -341, z = 913.0612, angle = 72.65084, collision = h0101B1
x = 1020.323, y = -341, z = 912.744, angle = 119.3712, collision = h0101B1
x = 1018.994, y = -341, z = 913.3998, angle = 119.2006, collision = h0101B1
x = 1017.87, y = -341, z = 914.0228, angle = 117.681, collision = h0101B1
x = 1016.499, y = -341, z = 914.3646, angle = 50.07437, collision = h0101B1
x = 1015.643, y = -341, z = 913.3713, angle = -38.72874, collision = h0101B1
x = 1016.18, y = -341.0036, z = 912.4077, angle = -38.72874, collision = h0101B1
x = 1018.258, y = -342.8628, z = 910.9747, angle = -77.03857, collision = h0101B1
x = 1019.376, y = -342.2093, z = 910.7309, angle = -90.97444, collision = h0101B1
x = 1020.244, y = -341.6723, z = 910.4667, angle = -45.68532, collision = h0101B1
x = 1020.931, y = -341.6, z = 909.4413, angle = -55.43593, collision = h0101B1
x = 1022.002, y = -341.6, z = 908.6816, angle = -75.445, collision = h0101B1
x = 1023.277, y = -341.6, z = 908.0594, angle = 8.185995, collision = h0101B1
x = 1022.229, y = -341.6, z = 906.4174, angle = 60.29277, collision = h0101B1
x = 1021.447, y = -341.6, z = 905.7882, angle = 34.66787, collision = h0101B1
x = 1020.695, y = -341.6, z = 905.0692, angle = 25.51704, collision = h0101B1
x = 1020.213, y = -341.6001, z = 904.0278, angle = 38.10941, collision = h0101B1
x = 1019.607, y = -341.6001, z = 903.2241, angle = 8.75566, collision = h0101B1
x = 1019.338, y = -341.6001, z = 901.9336, angle = 14.31926, collision = h0101B1
x = 1017.103, y = -341.6001, z = 898.785, angle = -126.1636, collision = h0101B1
x = 1018.325, y = -341.6001, z = 901.1348, angle = 108.8503, collision = h0101B1
x = 1017.119, y = -342.1127, z = 901.6521, angle = 161.2307, collision = h0101B1
x = 1016.757, y = -342.5127, z = 903.0074, angle = -174.4324, collision = h0101B1
x = 1016.919, y = -342.621, z = 904.3431, angle = -167.3772, collision = h0101B1
x = 1017.244, y = -342.656, z = 905.7949, angle = -161.2841, collision = h0101B1
x = 1017.863, y = -342.4791, z = 906.9068, angle = -136.1989, collision = h0101B1
x = 1018.93, y = -342.0444, z = 907.9496, angle = -149.5666, collision = h0101B1
x = 1019.611, y = -341.8356, z = 909.0794, angle = 174.7729, collision = h0101B1
x = 1017.276, y = -343.2972, z = 910.249, angle = 16.55165, collision = h0101B1
x = 1016.919, y = -343.3456, z = 909.2426, angle = -17.07709, collision = h0101B1
x = 1017.355, y = -342.9248, z = 908.0244, angle = -34.27528, collision = h0101B1
x = 1015.689, y = -343.1136, z = 903.0855, angle = 110.9083, collision = h0101B1
x = 1014.755, y = -343.675, z = 903.3947, angle = 133.0234, collision = h0101B1
x = 1013.819, y = -344.3338, z = 904.3542, angle = -161.571, collision = h0101B1
x = 1014.022, y = -344.3878, z = 905.4771, angle = -147.0078, collision = h0101B1
x = 1014.686, y = -344.1459, z = 906.3218, angle = -155.2452, collision = h0101B1
x = 1015.176, y = -344.0502, z = 907.5042, angle = -164.5824, collision = h0101B1
x = 1015.449, y = -344.0546, z = 908.5528, angle = 170.4208, collision = h0101B1
x = 1015.28, y = -344.3298, z = 909.7818, angle = 155.7208, collision = h0101B1
x = 1014.852, y = -344.7097, z = 910.7525, angle = 117.4092, collision = h0101B1
x = 1013.623, y = -345, z = 911.168, angle = 15.32606, collision = h0101B1
x = 1013.144, y = -345, z = 909.9367, angle = 35.32689, collision = h0101B1
x = 1012.496, y = -344.9546, z = 908.894, angle = 29.95874, collision = h0101B1
x = 1011.973, y = -344.7844, z = 907.9894, angle = 15.19137, collision = h0101B1
x = 1011.696, y = -344.7829, z = 906.9645, angle = -13.7772, collision = h0101B1
x = 1012.107, y = -345, z = 905.5695, angle = -21.70429, collision = h0101B1
x = 1012.535, y = -345, z = 904.6215, angle = -23.93301, collision = h0101B1
x = 1012.404, y = -344.9964, z = 903.5536, angle = 57.40742, collision = h0101B1
x = 1011.108, y = -345, z = 902.8698, angle = 91.72829, collision = h0101B1
x = 1009.802, y = -345, z = 902.9611, angle = 117.199, collision = h0101B1
x = 1008.56, y = -345, z = 903.5032, angle = 83.35464, collision = h0101B1
x = 1007.545, y = -345, z = 903.4492, angle = 81.08801, collision = h0101B1
x = 1006.192, y = -345, z = 903.3856, angle = 110.2742, collision = h0101B1
x = 1005.008, y = -345, z = 903.8292, angle = 126.6855, collision = h0101B1
x = 1003.913, y = -345, z = 904.8133, angle = -155.9427, collision = h0101B1
x = 1004.155, y = -344.5383, z = 905.8236, angle = 128.8925, collision = h0101B1
x = 1003.387, y = -344.7243, z = 906.5087, angle = 152.8667, collision = h0101B1
x = 1002.792, y = -345, z = 907.7021, angle = 174.39, collision = h0101B1
x = 1002.907, y = -345, z = 908.9504, angle = -141.3686, collision = h0101B1
x = 1003.869, y = -344.9868, z = 910.0803, angle = -145.4496, collision = h0101B1
x = 1004.418, y = -344.8653, z = 911.3493, angle = -165.9519, collision = h0101B1
x = 1004.804, y = -344.8369, z = 912.5573, angle = -84.58205, collision = h0101B1
x = 1005.975, y = -344.7581, z = 912.4157, angle = -54.37048, collision = h0101B1
x = 1007.318, y = -345, z = 912.796, angle = -105.6965, collision = h0101B1
x = 1008.771, y = -345, z = 913.0486, angle = -82.30278, collision = h0101B1
x = 1010.071, y = -345, z = 912.829, angle = -38.54651, collision = h0101B1
x = 1011.126, y = -345, z = 911.8015, angle = -69.94984, collision = h0101B1
x = 1012.291, y = -345, z = 911.2099, angle = 10.06863, collision = h0101B1
x = 1012.032, y = -344.9477, z = 909.8101, angle = 16.99713, collision = h0101B1
x = 1010.761, y = -344.9267, z = 905.1835, angle = 146.4665, collision = h0101B1
x = 1009.547, y = -344.4, z = 905.1872, angle = 68.63147, collision = h0101B1
x = 1008.155, y = -344.5887, z = 904.6603, angle = 70.57995, collision = h0101B1
x = 1006.903, y = -345, z = 904.2346, angle = 96.55572, collision = h0101B1
x = 1002.575, y = -345, z = 910.5453, angle = 112.6959, collision = h0101B1
x = 1001.334, y = -345.3552, z = 911.0084, angle = 46.80409, collision = h2101B1
x = 1000.446, y = -345.7253, z = 910.1688, angle = 5.679016, collision = h2101B1
x = 1000.265, y = -345.6522, z = 909.0063, angle = 70.92249, collision = h2101B1
x = 999.1014, y = -346.2681, z = 908.8148, angle = 102.8225, collision = h2101B1
x = 998.1321, y = -346.8454, z = 909.0242, angle = 107.3365, collision = h2101B1
x = 997.1829, y = -347.4181, z = 909.3114, angle = 114.721, collision = h2101B1
x = 995.9429, y = -347.6, z = 909.8658, angle = 125.9826, collision = h2101B1
x = 995.0016, y = -347.6, z = 910.6602, angle = -172.2719, collision = h2101B1
x = 995.3389, y = -347.6, z = 911.7392, angle = -101.4204, collision = h2101B1
x = 996.781, y = -347.6, z = 911.9268, angle = -46.34832, collision = h2101B1
x = 997.8277, y = -347.2941, z = 910.8885, angle = 21.79534, collision = h2101B1
x = 996.6046, y = -347.6, z = 912.9911, angle = 124.3344, collision = h2101B1
x = 995.618, y = -347.6169, z = 913.5766, angle = 117.8627, collision = h2101B1
x = 994.7656, y = -347.9939, z = 914.3201, angle = 158.3848, collision = h2101B1
x = 994.2924, y = -348.0116, z = 915.3356, angle = 160.2849, collision = h2101B1
x = 993.8596, y = -348.5776, z = 916.2253, angle = 150.8983, collision = h2101B1
x = 993.8582, y = -348.7871, z = 917.2554, angle = -138.3403, collision = h2101B1
x = 994.6992, y = -348.7294, z = 918.1609, angle = -109.61, collision = h2101B1
x = 995.8904, y = -348.6621, z = 918.644, angle = -111.7359, collision = h2101B1
x = 997.272, y = -348.5842, z = 919.1953, angle = -134.1464, collision = h2101B1
x = 996.9317, y = -348.583, z = 920.1968, angle = 102.6892, collision = h2101B1
x = 995.7786, y = -348.635, z = 920.4615, angle = 84.36564, collision = h2101B1
x = 994.5891, y = -348.6969, z = 920.2766, angle = 92.72594, collision = h2101B1
x = 993.3471, y = -348.7531, z = 920.5527, angle = 107.9042, collision = h2101B1
x = 992.1577, y = -348.8049, z = 920.9344, angle = 119.8488, collision = h2101B1
x = 991.2266, y = -348.7497, z = 921.8105, angle = -115.9285, collision = h2101B1
x = 992.0841, y = -348.7794, z = 922.5555, angle = -101.2766, collision = h2101B1
x = 993.1169, y = -348.7324, z = 922.3417, angle = -98.20245, collision = h2101B1
x = 994.283, y = -348.6723, z = 922.4942, angle = -92.68718, collision = h2101B1
x = 995.3318, y = -348.6287, z = 922.0429, angle = -92.15487, collision = h2101B1
x = 996.2836, y = -348.574, z = 922.4813, angle = -178.5913, collision = h2101B1
x = 996.1795, y = -348.5979, z = 921.4337, angle = 3.176926, collision = h2101B1
x = 991.8257, y = -349.0974, z = 923.6426, angle = 158.5278, collision = h2101B1
x = 991.3574, y = -349.6699, z = 924.5234, angle = 150.2806, collision = h2101B1
x = 990.8856, y = -350.2143, z = 925.3484, angle = 152.6447, collision = h2101B1
x = 990.4313, y = -350.7752, z = 926.2134, angle = 151.606, collision = h2101B1
x = 989.9607, y = -351.3444, z = 927.0867, angle = 150.3745, collision = h2101B1
x = 989.4563, y = -351.9266, z = 927.9691, angle = 148.4321, collision = h2101B1
x = 988.7078, y = -351.9695, z = 929.1002, angle = 120.9417, collision = h2101B1
x = 987.4947, y = -352.2835, z = 929.813, angle = 123.2616, collision = h2101B1
x = 986.739, y = -352.8029, z = 930.3021, angle = 123.4901, collision = h2101B1
x = 985.9728, y = -353.3322, z = 930.8088, angle = 128.0476, collision = h2101B1
x = 985.2535, y = -353.8512, z = 931.3497, angle = 127.8635, collision = h2101B1
x = 984.121, y = -354.2769, z = 932.2275, angle = 128.8955, collision = h0102B1
x = 982.9521, y = -354.2608, z = 933.052, angle = 100.1032, collision = h0102B1
x = 981.5604, y = -354.2636, z = 933.373, angle = 104.6325, collision = h0102B1
x = 980.1836, y = -354.2664, z = 933.6947, angle = 90.68452, collision = h0102B1
x = 979.1522, y = -354.2714, z = 933.851, angle = -164.6563, collision = h0102B1
x = 980.8654, y = -354.2313, z = 934.5507, angle = -94.27544, collision = h0102B1
x = 982.3494, y = -354.2163, z = 934.6505, angle = -65.25713, collision = h0102B1
x = 983.5634, y = -354.2227, z = 934.1364, angle = -81.67341, collision = h0102B1
x = 984.9689, y = -354.209, z = 934.1639, angle = -147.1893, collision = h0102B1
