x = -170.2277, y = -98.06839, z = -48.69937, angle = 117.8827, collision = h0007B0
x = -101.5007, y = -63.94491, z = -27.12836, angle = 167.0594, collision = h0004B0
x = -100.8515, y = -63.94473, z = -28.46688, angle = 9.421549, collision = h0004B0
x = -101.2485, y = -63.94484, z = -29.80357, angle = 20.52842, collision = h0004B0
x = -101.5923, y = -63.95217, z = -31.14608, angle = -28.05608, collision = h0004B0
x = -100.9441, y = -63.94817, z = -32.4071, angle = -24.72123, collision = h0004B0
x = -101.9251, y = -63.96174, z = -32.80888, angle = 162.5039, collision = h0004B0
x = -102.2017, y = -63.95247, z = -28.89624, angle = -157.9376, collision = h0004B0
x = -101.108, y = -63.94474, z = -25.91995, angle = 160.2652, collision = h0004B0
x = -101.5279, y = -64.71378, z = -24.56475, angle = 157.2512, collision = h0004B0
x = -101.8765, y = -65.28233, z = -23.6764, angle = -169.6492, collision = h0004B0
x = -101.7784, y = -65.87354, z = -22.75263, angle = -151.4764, collision = h0004B0
x = -101.3448, y = -66.41769, z = -21.90239, angle = -160.0209, collision = h0004B0
x = -101.0207, y = -66.9363, z = -21.00517, angle = 159.3434, collision = h0004B0
x = -101.6647, y = -66.9363, z = -19.83497, angle = 132.1788, collision = h0004B0
x = -102.8373, y = -66.9363, z = -19.06148, angle = 40.97149, collision = h0004B0
x = -103.5091, y = -66.9363, z = -19.98059, angle = -20.75516, collision = h0004B0
x = -103.3608, y = -66.9363, z = -21.06651, angle = -3.022632, collision = h0004B0
x = -103.4002, y = -66.9363, z = -22.37738, angle = 16.38702, collision = h0004B0
x = -103.8555, y = -66.9363, z = -23.68605, angle = -35.18456, collision = h0004B0
x = -103.1684, y = -66.9363, z = -24.69467, angle = -33.76421, collision = h0004B0
x = -102.9807, y = -66.9363, z = -25.92334, angle = 53.01254, collision = h0004B0
x = -104.1392, y = -66.9363, z = -26.69032, angle = 37.45316, collision = h0004B0
x = -104.7473, y = -66.9363, z = -27.79747, angle = -45.35079, collision = h0004B0
x = -103.8666, y = -66.93629, z = -28.71134, angle = -49.46814, collision = h0004B0
x = -104.5863, y = -66.59898, z = -32.35917, angle = 24.58079, collision = h0004B0
x = -105.4593, y = -66.93629, z = -31.72214, angle = 155.8979, collision = h0004B0
x = -106.021, y = -66.9363, z = -30.67579, angle = 85.58878, collision = h0004B0
x = -105.4455, y = -66.9363, z = -29.42365, angle = -163.9529, collision = h0004B0
x = -105.6874, y = -66.9363, z = -27.38042, angle = 151.2723, collision = h0004B0
x = -106.5069, y = -66.9363, z = -26.18565, angle = 157.1026, collision = h0004B0
x = -106.4143, y = -66.9363, z = -25.07903, angle = -141.8963, collision = h0004B0
x = -104.1685, y = -66.9363, z = -18.76986, angle = 76.15056, collision = h0004B0
x = -105.5541, y = -66.93631, z = -18.90288, angle = 157.8583, collision = h0004B0
x = -105.9779, y = -66.93631, z = -17.65631, angle = -128.2138, collision = h0004B0
x = -105.0435, y = -66.93631, z = -16.91897, angle = -107.0991, collision = h0004B0
x = -104.3622, y = -66.9363, z = -15.7185, angle = 147.39, collision = h0004B0
x = -104.9444, y = -66.93631, z = -14.54463, angle = -132.348, collision = h0004B0
x = -103.861, y = -66.9363, z = -14.28456, angle = -106.7147, collision = h0004B0
x = -102.6646, y = -66.9363, z = -13.85316, angle = -156.4367, collision = h0004B0
x = -102.0732, y = -66.9363, z = -12.56514, angle = 164.3796, collision = h0004B0
x = -102.1596, y = -66.9363, z = -11.55931, angle = 173.2916, collision = h0004B0
x = -101.6784, y = -66.9363, z = -10.46534, angle = -139.6542, collision = h0004B0
x = -101.1866, y = -66.9363, z = -9.271735, angle = 154.2995, collision = h0004B0
x = -101.8198, y = -66.9363, z = -7.98965, angle = 150.5662, collision = h0004B0
x = -102.4576, y = -66.9363, z = -6.883788, angle = 123.6507, collision = h0004B0
x = -103.6042, y = -66.9363, z = -6.0466, angle = -158.1678, collision = h0004B0
x = -102.9951, y = -66.9363, z = -5.129136, angle = -79.83259, collision = h0004B0
x = -101.6675, y = -66.9363, z = -4.946237, angle = -167.7837, collision = h0004B0
x = -100.7335, y = -66.93629, z = -4.063787, angle = -133.1234, collision = h0004B0
x = -104.0174, y = -66.9363, z = -4.994594, angle = 152.703, collision = h0004B0
x = -104.653, y = -66.9363, z = -3.720007, angle = -162.1227, collision = h0004B0
x = -104.5935, y = -66.9363, z = -2.393685, angle = 170.122, collision = h0004B0
x = -104.788, y = -66.9363, z = -1.334409, angle = 175.2125, collision = h0004B0
x = -104.9311, y = -66.9363, z = -0.1008301, angle = 175.2125, collision = h0004B0
x = -103.9224, y = -66.9363, z = -0.2521636, angle = -98.04778, collision = h0004B0
x = -102.6508, y = -66.93629, z = 0.05507428, angle = -116.6666, collision = h0004B0
x = -101.6723, y = -66.9363, z = -0.2761028, angle = 47.98132, collision = h0004B0
x = -102.5001, y = -66.9363, z = -1.30174, angle = 37.33428, collision = h0004B0
x = -106.0808, y = -66.93629, z = -0.002292771, angle = 84.17676, collision = h0004B0
x = -107.4783, y = -66.93629, z = -0.1661515, angle = 82.37109, collision = h0004B0
x = -108.8684, y = -66.93629, z = -0.1578546, angle = 102.8378, collision = h0004B0
x = -110.2671, y = -66.93629, z = 0.1196954, angle = 89.03347, collision = h0004B0
x = -111.684, y = -66.93629, z = 0.03404896, angle = 78.59513, collision = h0004B0
x = -112.7264, y = -66.9363, z = -0.5021903, angle = 23.91554, collision = h0004B0
x = -113.2874, y = -66.9363, z = -1.455554, angle = 5.806617, collision = h0004B0
x = -113.5942, y = -66.9363, z = -2.600881, angle = 19.08101, collision = h0004B0
x = -113.7109, y = -66.9363, z = -3.997257, angle = -13.94994, collision = h0004B0
x = -113.2855, y = -66.9363, z = -5.258569, angle = -61.60807, collision = h0004B0
x = -112.2362, y = -66.9363, z = -5.428601, angle = -96.48895, collision = h0004B0
x = -111.1853, y = -66.9363, z = -5.196284, angle = -114.7203, collision = h0004B0
x = -110.0356, y = -66.9363, z = -4.530142, angle = -119.5255, collision = h0004B0
x = -108.7808, y = -66.9363, z = -3.840827, angle = -105.6485, collision = h0004B0
x = -107.4584, y = -66.9363, z = -3.851306, angle = -60.20764, collision = h0004B0
x = -107.1815, y = -66.9363, z = -5.032861, angle = 26.32609, collision = h0004B0
x = -107.7693, y = -66.9363, z = -6.217631, angle = 26.94299, collision = h0004B0
x = -108.6536, y = -66.9363, z = -7.340713, angle = 74.27625, collision = h0004B0
x = -109.8985, y = -66.9363, z = -7.956238, angle = -7.994012, collision = h0004B0
x = -109.5704, y = -66.9363, z = -9.277074, angle = -51.35695, collision = h0004B0
x = -109.0804, y = -66.93631, z = -10.49551, angle = -2.686846, collision = h0004B0
x = -109.1144, y = -66.93631, z = -11.89251, angle = -20.09248, collision = h0004B0
x = -108.7156, y = -66.93631, z = -12.89738, angle = -46.21202, collision = h0004B0
x = -108.0515, y = -66.93631, z = -13.65254, angle = -38.69458, collision = h0004B0
x = -107.1003, y = -66.93631, z = -13.98133, angle = -70.82171, collision = h0004B0
x = -105.9877, y = -66.93631, z = -14.67014, angle = -11.07174, collision = h0004B0
x = -106.1357, y = -66.93631, z = -15.91489, angle = 115.615, collision = h0004B0
x = -107.3342, y = -66.93631, z = -15.77454, angle = 129.9159, collision = h0004B0
x = -108.3414, y = -66.93631, z = -14.90997, angle = 114.263, collision = h0004B0
x = -109.6777, y = -66.93631, z = -14.55217, angle = 115.8523, collision = h0004B0
x = -111.1076, y = -66.93628, z = -14.65931, angle = 62.61827, collision = h0004B0
x = -111.9664, y = -66.93625, z = -15.25508, angle = 140.8324, collision = h0004B0
x = -111.0073, y = -66.93626, z = -15.70588, angle = -57.15302, collision = h0004B0
x = -110.007, y = -66.93629, z = -15.63521, angle = -58.14246, collision = h0004B0
x = -108.8129, y = -66.9363, z = -16.41835, angle = -54.53861, collision = h0004B0
x = -105.6932, y = -66.93631, z = -19.96825, angle = 25.39367, collision = h0004B0
x = -106.5851, y = -66.93631, z = -20.90355, angle = 73.32121, collision = h0004B0
x = -106.5806, y = -66.93631, z = -22.12351, angle = 46.74342, collision = h0004B0
x = -106.5777, y = -66.93631, z = -23.30548, angle = 12.16653, collision = h0004B0
x = -111.073, y = -66.9363, z = -8.132517, angle = 109.5293, collision = h0004B0
x = -112.222, y = -66.9363, z = -7.419894, angle = 161.413, collision = h0004B0
x = -113.6495, y = -66.93631, z = -6.574102, angle = -10.85944, collision = h0004B0
x = -113.3959, y = -66.93631, z = -7.795569, angle = -9.08851, collision = h0004B0
x = -113.3372, y = -66.93631, z = -9.183696, angle = 10.88485, collision = h0004B0
x = -113.6069, y = -66.93631, z = -10.591, angle = 6.656976, collision = h0004B0
x = -113.7426, y = -67.46584, z = -11.53602, angle = 5.656066, collision = h0004B0
x = -113.8383, y = -68.08877, z = -12.4865, angle = 6.133359, collision = h0004B0
x = -113.9603, y = -68.94584, z = -13.79425, angle = 2.17506, collision = h0004B0
x = -114.0027, y = -69.57126, z = -14.74852, angle = -2.90854, collision = h0004B0
x = -113.9684, y = -70.19588, z = -15.70158, angle = -11.17908, collision = h0009B0
x = -113.6236, y = -70.21444, z = -17.08724, angle = -36.93663, collision = h0009B0
x = -112.5711, y = -70.2156, z = -17.11971, angle = -84.84311, collision = h0009B0
x = -111.4877, y = -70.21662, z = -17.56441, angle = -147.7745, collision = h0009B0
x = -111.5109, y = -70.21605, z = -18.8574, angle = -0.1683505, collision = h0009B0
x = -111.4145, y = -70.21556, z = -20.27626, angle = -10.4574, collision = h0009B0
x = -111.2063, y = -70.2152, z = -21.69256, angle = 5.897595, collision = h0009B0
x = -111.3339, y = -70.21453, z = -22.96416, angle = 8.665201, collision = h0009B0
x = -111.4864, y = -70.21377, z = -24.37675, angle = -2.802686, collision = h0009B0
x = -111.1465, y = -70.21342, z = -25.70892, angle = -78.76354, collision = h0009B0
x = -109.767, y = -70.20865, z = -25.98647, angle = -91.83322, collision = h0009B0
x = -108.3355, y = -70.20449, z = -25.92992, angle = -97.05015, collision = h0009B0
x = -107.1317, y = -70.20406, z = -25.70027, angle = -107.0241, collision = h0009B0
x = -106.8414, y = -70.20436, z = -26.81877, angle = 23.34096, collision = h0009B0
x = -107.2133, y = -70.20473, z = -28.17785, angle = -14.56635, collision = h0009B0
x = -106.5945, y = -70.20499, z = -29.15297, angle = -58.73065, collision = h0009B0
x = -106.1625, y = -70.20536, z = -30.5271, angle = 7.120486, collision = h0009B0
x = -106.1917, y = -70.2057, z = -31.758, angle = -20.31425, collision = h0009B0
x = -105.1175, y = -70.20576, z = -32.03761, angle = -79.59177, collision = h0009B0
x = -104.0586, y = -70.2058, z = -32.26239, angle = -69.17175, collision = h0009B0
x = -102.9438, y = -70.2058, z = -32.30155, angle = -99.14278, collision = h0009B0
x = -101.845, y = -70.20578, z = -32.2714, angle = -87.28757, collision = h0009B0
x = -101.4646, y = -70.20547, z = -31.13861, angle = 122.4851, collision = h0009B0
x = -103.5424, y = -70.20533, z = -30.54753, angle = 57.21625, collision = h0009B0
x = -107.1257, y = -70.2056, z = -31.37498, angle = 164.6404, collision = h0009B0
x = -104.5916, y = -70.2052, z = -30.01777, angle = 97.3227, collision = h0009B0
x = -103.0564, y = -70.20505, z = -29.53332, angle = -178.1957, collision = h0009B0
x = -102.6246, y = -70.20469, z = -28.24718, angle = -117.4272, collision = h0009B0
x = -102.0697, y = -70.20437, z = -27.08827, angle = 169.7468, collision = h0009B0
x = -102.3404, y = -70.20404, z = -25.88393, angle = 147.0306, collision = h0009B0
x = -103.1054, y = -70.20372, z = -24.67241, angle = 146.0703, collision = h0009B0
x = -104.1253, y = -70.20347, z = -23.69796, angle = 66.89668, collision = h0009B0
x = -105.1816, y = -70.20358, z = -24.04591, angle = 66.85323, collision = h0009B0
x = -106.1142, y = -70.2037, z = -24.45717, angle = 83.3541, collision = h0009B0
x = -107.1056, y = -70.20377, z = -24.65368, angle = 93.39616, collision = h0009B0
x = -108.4723, y = -70.20795, z = -24.58877, angle = 94.00551, collision = h0009B0
x = -109.9494, y = -70.21225, z = -24.64051, angle = 41.45101, collision = h0009B0
x = -111.8664, y = -70.21241, z = -26.60836, angle = 71.34156, collision = h0009B0
x = -112.8215, y = -70.03971, z = -27.06595, angle = -47.95342, collision = h0009B0
x = -111.8985, y = -70.21128, z = -27.64217, angle = -102.3361, collision = h0009B0
x = -110.5959, y = -70.20834, z = -27.2155, angle = -152.138, collision = h0009B0
x = -105.9272, y = -70.2042, z = -26.2975, angle = -51.51911, collision = h0009B0
x = -105.0621, y = -70.20438, z = -26.9947, angle = -53.34348, collision = h0009B0
x = -103.6403, y = -70.20462, z = -27.93342, angle = -78.6095, collision = h0009B0
x = -102.528, y = -70.20347, z = -23.76143, angle = -144.7474, collision = h0009B0
x = -101.7247, y = -70.203, z = -22.58667, angle = -163.0314, collision = h0009B0
x = -101.4161, y = -70.20227, z = -21.21418, angle = 147.9412, collision = h0009B0
x = -102.2653, y = -70.20248, z = -20.16667, angle = 104.8631, collision = h0009B0
x = -103.4871, y = -70.20388, z = -19.798, angle = 114.6786, collision = h0009B0
x = -104.8496, y = -70.20905, z = -19.32012, angle = 83.32632, collision = h0009B0
x = -106.1475, y = -70.21279, z = -19.38716, angle = 178.6236, collision = h0009B0
x = -106.3477, y = -70.21578, z = -18.33502, angle = -94.95993, collision = h0009B0
x = -104.8989, y = -70.21182, z = -18.16679, angle = -66.102, collision = h0009B0
x = -103.6376, y = -70.20667, z = -18.76819, angle = -21.3147, collision = h0009B0
x = -101.0824, y = -70.20166, z = -20.20887, angle = -67.36853, collision = h0009B0
x = -101.3968, y = -70.26421, z = -18.80004, angle = 160.1181, collision = h0005B0
x = -101.7215, y = -70.83927, z = -17.90162, angle = 174.4462, collision = h0005B0
x = -101.8441, y = -71.34383, z = -17.11478, angle = 170.6208, collision = h0005B0
x = -101.9822, y = -71.95007, z = -16.17099, angle = 136.1862, collision = h0005B0
x = -102.9301, y = -72.7242, z = -15.36086, angle = 85.80202, collision = h0005B0
x = -103.9896, y = -73.14124, z = -15.10284, angle = 55.84229, collision = h0005B0
x = -104.9611, y = -73.20957, z = -15.50942, angle = 86.51947, collision = h0005B0
x = -106.0215, y = -73.20815, z = -15.4265, angle = 124.2432, collision = h0005B0
x = -107.2129, y = -73.20702, z = -14.63785, angle = 102.5634, collision = h0005B0
x = -108.6006, y = -73.20816, z = -14.42445, angle = 57.45419, collision = h0005B0
x = -109.6908, y = -73.20898, z = -15.05964, angle = 60.68969, collision = h0005B0
x = -110.9699, y = -73.21033, z = -15.12571, angle = 102.2436, collision = h0005B0
x = -111.971, y = -73.21171, z = -14.66487, angle = -153.6569, collision = h0005B0
x = -111.4931, y = -73.21173, z = -13.74543, angle = -131.4154, collision = h0005B0
x = -111.2195, y = -73.21211, z = -12.60611, angle = 172.6292, collision = h0005B0
x = -110.3622, y = -73.21151, z = -12.03716, angle = -76.84281, collision = h0005B0
x = -109.1603, y = -73.21008, z = -12.22559, angle = -82.13866, collision = h0005B0
x = -108.3091, y = -73.20956, z = -11.53805, angle = -73.74469, collision = h0005B0
x = -107.1332, y = -73.20905, z = -11.76292, angle = -68.93906, collision = h0005B0
x = -106.0376, y = -73.21031, z = -12.15798, angle = -83.22666, collision = h0005B0
x = -104.9399, y = -73.21172, z = -12.30675, angle = -73.62388, collision = h0005B0
x = -103.9374, y = -73.21233, z = -12.69163, angle = -75.56106, collision = h0005B0
x = -102.9549, y = -73.21291, z = -13.03065, angle = -25.94156, collision = h0005B0
x = -102.6551, y = -73.21309, z = -14.17621, angle = -11.97834, collision = h0005B0
x = -101.9218, y = -73.21353, z = -13.15211, angle = -155.4824, collision = h0005B0
x = -101.4597, y = -73.21381, z = -12.0571, angle = 171.684, collision = h0005B0
x = -101.727, y = -73.21365, z = -11.04276, angle = 155.5604, collision = h0005B0
x = -102.0238, y = -73.21347, z = -10.05675, angle = 171.361, collision = h0005B0
x = -102.2462, y = -73.2133, z = -8.877512, angle = 157.5064, collision = h0005B0
x = -103.0395, y = -73.21273, z = -8.090639, angle = 78.8804, collision = h0005B0
x = -104.0852, y = -73.21214, z = -8.29975, angle = 86.45183, collision = h0005B0
x = -105.1132, y = -73.2115, z = -8.189295, angle = 103.3573, collision = h0005B0
x = -106.2732, y = -73.21078, z = -7.914355, angle = 90.23978, collision = h0005B0
x = -107.4807, y = -73.21049, z = -7.968917, angle = 82.28895, collision = h0005B0
x = -108.4938, y = -73.20935, z = -7.884125, angle = 119.7481, collision = h0005B0
x = -109.3825, y = -73.20835, z = -7.314946, angle = 65.93314, collision = h0005B0
x = -110.3566, y = -73.20692, z = -7.834969, angle = 104.7292, collision = h0005B0
x = -111.4738, y = -73.20554, z = -7.541745, angle = 93.31302, collision = h0005B0
x = -112.6418, y = -73.20394, z = -7.747544, angle = 89.97881, collision = h0005B0
x = -113.7261, y = -73.20306, z = -7.653348, angle = 171.2527, collision = h0005B0
x = -113.444, y = -73.20425, z = -6.615542, angle = -174.3395, collision = h0005B0
x = -113.3523, y = -73.20547, z = -5.557142, angle = -174.3172, collision = h0005B0
x = -112.7118, y = -73.20636, z = -4.787813, angle = -61.17279, collision = h0005B0
x = -111.6548, y = -73.20649, z = -4.669735, angle = -105.9265, collision = h0005B0
x = -110.6366, y = -73.20755, z = -4.530287, angle = -91.13942, collision = h0005B0
x = -109.5699, y = -73.20895, z = -4.515364, angle = -91.25485, collision = h0005B0
x = -108.5205, y = -73.21034, z = -4.501538, angle = -89.56129, collision = h0005B0
x = -107.3251, y = -73.21149, z = -4.368167, angle = -100.3191, collision = h0005B0
x = -106.2978, y = -73.21155, z = -4.179685, angle = -96.83823, collision = h0005B0
x = -105.2355, y = -73.21156, z = -4.133675, angle = -87.3026, collision = h0005B0
x = -104.0515, y = -73.21166, z = -4.199956, angle = -90.25655, collision = h0005B0
x = -102.9889, y = -73.21231, z = -4.293489, angle = -79.38059, collision = h0005B0
x = -101.9813, y = -73.21291, z = -4.317293, angle = -155.785, collision = h0005B0
x = -101.7618, y = -73.21292, z = -3.305572, angle = 167.9773, collision = h0005B0
x = -102.1772, y = -73.21253, z = -2.073016, angle = 158.4011, collision = h0005B0
x = -101.403, y = -73.21291, z = -1.387644, angle = -178.3106, collision = h0005B0
x = -101.5684, y = -73.21269, z = -0.3643965, angle = 145.1609, collision = h0005B0
x = -102.1532, y = -73.21283, z = 0.4648108, angle = 83.59194, collision = h0005B0
x = -103.0671, y = -73.21271, z = 0.03254733, angle = 56.78316, collision = h0005B0
x = -104.1253, y = -73.21262, z = -0.2998181, angle = 114.1454, collision = h0005B0
x = -105.0932, y = -73.21275, z = 0.147188, angle = 112.9023, collision = h0005B0
x = -106.1068, y = -73.2128, z = 0.3425572, angle = 82.32885, collision = h0005B0
x = -107.0877, y = -73.21271, z = 0.008556422, angle = 31.6372, collision = h0005B0
x = -107.5221, y = -73.2124, z = -1.080025, angle = 21.58273, collision = h0005B0
x = -107.9377, y = -73.21185, z = -2.060569, angle = 10.57069, collision = h0005B0
x = -107.8521, y = -73.21165, z = -3.067139, angle = -4.683775, collision = h0005B0
x = -109.1676, y = -73.20977, z = -3.571842, angle = 139.8347, collision = h0005B0
x = -109.7382, y = -73.20929, z = -2.683976, angle = 154.2, collision = h0005B0
x = -110.1832, y = -72.90579, z = -1.73391, angle = 127.3699, collision = h0005B0
x = -111.2538, y = -72.65264, z = -1.328105, angle = 108.5708, collision = h0005B0
x = -112.1875, y = -72.43593, z = -0.5607514, angle = 128.3019, collision = h0005B0
x = -113.2012, y = -72.74777, z = -0.1203705, angle = 42.62647, collision = h0005B0
x = -113.8257, y = -73.21066, z = -1.041003, angle = -2.131593, collision = h0005B0
x = -113.6038, y = -73.20906, z = -2.434, angle = -17.20964, collision = h0005B0
x = -113.1782, y = -73.2075, z = -3.797431, angle = -11.83251, collision = h0005B0
x = -111.6972, y = -73.20781, z = -3.523867, angle = -155.1115, collision = h0005B0
x = -111.2506, y = -73.20892, z = -2.554322, angle = -155.5257, collision = h0005B0
x = -110.8143, y = -72.08482, z = -0.7921748, angle = -177.5465, collision = h0005B0
x = -110.7703, y = -71.40482, z = 0.04159421, angle = -169.027, collision = h0005B0
x = -110.6629, y = -70.71892, z = 0.6670102, angle = -174.0099, collision = h0005B0
x = -110.4745, y = -70.18345, z = 1.437064, angle = -161.4204, collision = h0005B0
x = -110.5108, y = -69.88781, z = 2.452737, angle = 88.82439, collision = h0013B0
x = -111.6731, y = -69.88702, z = 2.427063, angle = 83.08199, collision = h0013B0
x = -112.6915, y = -69.88705, z = 2.107827, angle = 58.28937, collision = h0013B0
x = -113.7326, y = -69.88709, z = 2.720808, angle = 177.4292, collision = h0013B0
x = -114.1038, y = -69.88705, z = 4.066916, angle = 87.18722, collision = h0013B0
x = -114.9657, y = -69.68553, z = 3.374834, angle = 97.50082, collision = h0013B0
x = -115.9126, y = -69.11761, z = 3.454108, angle = 109.3366, collision = h0013B0
x = -116.7906, y = -68.59013, z = 3.768126, angle = 121.1643, collision = h0013B0
x = -117.9921, y = -68.4628, z = 3.800248, angle = 53.8875, collision = h0011B0
x = -119.2031, y = -68.46062, z = 3.048446, angle = 86.35842, collision = h0011B0
x = -120.6192, y = -68.46355, z = 3.061911, angle = 140.0512, collision = h0011B0
x = -121.4331, y = -68.46125, z = 3.678128, angle = 43.55566, collision = h0011B0
x = -121.939, y = -68.46434, z = 2.356368, angle = 20.15887, collision = h0011B0
x = -122.4866, y = -68.46368, z = 1.036906, angle = 40.32402, collision = h0011B0
x = -123.4079, y = -68.46256, z = -0.05991692, angle = 42.45543, collision = h0011B0
x = -123.793, y = -68.4621, z = -1.216626, angle = -20.39022, collision = h0011B0
