x = -57.91173, y = -27.25878, z = -17.22461, angle = -110.0368, collision = h1070B1
x = -58.1956, y = -23.10878, z = -29.38629, angle = -3.712194, collision = h1095B1
x = -58.23798, y = -22.77117, z = -30.43567, angle = 32.77849, collision = h1095B1
x = -57.93538, y = -22.77121, z = -31.4521, angle = -96.76332, collision = h1095B1
x = -57.29854, y = -22.77129, z = -29.91953, angle = -41.36225, collision = h1095B1
x = -56.66594, y = -22.77116, z = -30.84089, angle = -103.631, collision = h1095B1
x = -55.93425, y = -22.77172, z = -29.88572, angle = -101.2806, collision = h1095B1
x = -54.86303, y = -22.76604, z = -29.66176, angle = -103.4089, collision = h1095B1
x = -53.7895, y = -22.7118, z = -29.23978, angle = -136.0464, collision = h1097B1
x = -53.28039, y = -22.71178, z = -28.21211, angle = -119.7458, collision = h1097B1
x = -52.3607, y = -22.71177, z = -27.55232, angle = -135.5445, collision = h1097B1
x = -52.47174, y = -22.71178, z = -26.52461, angle = 129.9845, collision = h1046B1
x = -53.23515, y = -22.71179, z = -25.82618, angle = 75.25638, collision = h1046B1
x = -54.21909, y = -22.7118, z = -25.58004, angle = -179.2359, collision = h1046B1
x = -54.20357, y = -22.71179, z = -24.54135, angle = -178.9959, collision = h1046B1
x = -54.18593, y = -22.71179, z = -23.53487, angle = -178.9959, collision = h1046B1
x = -54.28028, y = -22.71179, z = -22.4903, angle = -134.4222, collision = h1046B1
x = -53.39592, y = -22.71178, z = -21.75663, angle = 178.0366, collision = h1046B1
x = -53.45027, y = -22.71179, z = -20.74287, angle = -134.9384, collision = h1046B1
x = -52.64135, y = -22.71179, z = -20.15478, angle = -127.4121, collision = h1046B1
x = -51.79226, y = -22.71178, z = -19.47896, angle = -149.8023, collision = h1046B1
x = -52.5601, y = -22.71179, z = -18.58, angle = 142.3693, collision = h1046B1
x = -52.8675, y = -22.7118, z = -17.5914, angle = -167.9009, collision = h1046B1
x = -52.53171, y = -22.7118, z = -16.5789, angle = -111.287, collision = h1046B1
x = -50.98182, y = -22.71178, z = -18.70697, angle = -154.452, collision = h1046B1
x = -50.27173, y = -22.71178, z = -17.97202, angle = -91.87606, collision = h1046B1
x = -50.14816, y = -22.71178, z = -19.33793, angle = -45.89809, collision = h1046B1
x = -49.25515, y = -22.71177, z = -19.82289, angle = -26.19994, collision = h1046B1
x = -48.87374, y = -22.71176, z = -20.93812, angle = -41.24512, collision = h1046B1
x = -48.03423, y = -22.71176, z = -21.64182, angle = -55.05188, collision = h1046B1
x = -48.89858, y = -22.71176, z = -22.45497, angle = 56.44093, collision = h1046B1
x = -49.6838, y = -22.71177, z = -23.18634, angle = 59.57262, collision = h1046B1
x = -50.61327, y = -22.71177, z = -22.74568, angle = -150.2213, collision = h1046B1
x = -49.82286, y = -22.71176, z = -21.99691, angle = -133.7207, collision = h1046B1
x = -52.41455, y = -22.71178, z = -21.51168, angle = -116.7347, collision = h1046B1
x = -51.3833, y = -22.71178, z = -21.01502, angle = -115.2195, collision = h1046B1
x = -50.32875, y = -22.71177, z = -20.51322, angle = -115.6686, collision = h1046B1
x = -52.67992, y = -22.71178, z = -22.50396, angle = 43.57006, collision = h1046B1
x = -53.0691, y = -22.71178, z = -23.57678, angle = -107.9339, collision = h1046B1
x = -51.96562, y = -22.71178, z = -23.21348, angle = -118.2421, collision = h1046B1
x = -53.05313, y = -22.71179, z = -24.72401, angle = 53.42283, collision = h1046B1
x = -51.61811, y = -22.71176, z = -28.29037, angle = -98.32761, collision = h1097B1
x = -50.67477, y = -22.71174, z = -27.79083, angle = -123.8306, collision = h1097B1
x = -49.82109, y = -22.71174, z = -27.25656, angle = -170.5914, collision = h1097B1
x = -49.41523, y = -22.71174, z = -26.20365, angle = -146.582, collision = h1097B1
x = -48.546, y = -22.71173, z = -25.64728, angle = -111.2736, collision = h1097B1
x = -48.80579, y = -22.71172, z = -27.4214, angle = -109.3069, collision = h1097B1
x = -47.75066, y = -22.7117, z = -27.12408, angle = -110.6135, collision = h1097B1
x = -46.74738, y = -22.71168, z = -27.63488, angle = -17.25242, collision = h1097B1
x = -46.81992, y = -22.71167, z = -28.63392, angle = 1.421622, collision = h1097B1
x = -47.97444, y = -22.71169, z = -28.34466, angle = 97.27531, collision = h1097B1
x = -48.96906, y = -22.71171, z = -28.57755, angle = -1.301643, collision = h1097B1
x = -48.6062, y = -22.7117, z = -29.64427, angle = -39.62846, collision = h1097B1
x = -47.76457, y = -22.71169, z = -30.3274, angle = -86.72024, collision = h1097B1
x = -46.65806, y = -22.71166, z = -30.04867, angle = -106.6808, collision = h1097B1
x = -48.92738, y = -22.71171, z = -30.90592, angle = 75.28104, collision = h1097B1
x = -50.16526, y = -22.71174, z = -30.81538, angle = 153.4076, collision = h1097B1
x = -50.40345, y = -22.71174, z = -29.78205, angle = -122.8961, collision = h1097B1
x = -50.06359, y = -22.71173, z = -28.76197, angle = 43.39726, collision = h1097B1
x = -51.4324, y = -22.71177, z = -30.87178, angle = 110.6255, collision = h1097B1
x = -52.61069, y = -22.71179, z = -30.43684, angle = 129.3586, collision = h1097B1
x = -50.63744, y = -22.53919, z = -31.75429, angle = -47.40971, collision = h1097B1
x = -49.87365, y = -21.96353, z = -32.61548, angle = -6.772898, collision = h1097B1
x = -50.08365, y = -21.81155, z = -33.69867, angle = 33.52213, collision = h1047B1
x = -50.5533, y = -21.81155, z = -34.73405, angle = 20.04299, collision = h1047B1
x = -48.98799, y = -21.81155, z = -33.82127, angle = -121.327, collision = h1047B1
x = -47.89036, y = -21.81155, z = -33.14836, angle = -121.3017, collision = h1047B1
x = -46.97881, y = -21.81155, z = -32.61559, angle = -116.196, collision = h1047B1
x = -45.73564, y = -21.81155, z = -32.00742, angle = -115.3804, collision = h1047B1
x = -44.61823, y = -21.81155, z = -31.50641, angle = -73.23915, collision = h1047B1
x = -43.46109, y = -21.81155, z = -31.70556, angle = -59.15879, collision = h1047B1
x = -43.36423, y = -21.81155, z = -32.79013, angle = 22.34234, collision = h1047B1
x = -43.66097, y = -21.81155, z = -33.84306, angle = 7.908048, collision = h1047B1
x = -43.34618, y = -21.81155, z = -34.97469, angle = -35.18632, collision = h1047B1
x = -42.67885, y = -21.81155, z = -35.85036, angle = -59.39276, collision = h1047B1
x = -42.05956, y = -21.81155, z = -36.67484, angle = 47.30527, collision = h1047B1
x = -43.0677, y = -21.81155, z = -37.06994, angle = 121.0134, collision = h1047B1
x = -42.10144, y = -21.81155, z = -35.01148, angle = 174.185, collision = h1047B1
x = -42.65839, y = -21.81155, z = -33.58944, angle = -171.7779, collision = h1047B1
x = -44.90074, y = -21.81155, z = -32.73455, angle = -43.87294, collision = h1047B1
x = -43.77996, y = -21.81155, z = -36.29052, angle = 140.7728, collision = h1047B1
x = -44.4497, y = -21.81155, z = -35.34245, angle = 141.8212, collision = h1047B1
x = -44.8757, y = -21.81155, z = -34.24707, angle = 147.6936, collision = h1047B1
x = -47.29576, y = -21.81155, z = -34.05383, angle = -11.77508, collision = h1047B1
x = -46.92665, y = -21.81155, z = -35.40865, angle = -59.26337, collision = h1047B1
x = -45.92595, y = -21.81155, z = -35.58157, angle = -156.1959, collision = h1047B1
x = -44.97527, y = -21.81155, z = -36.22797, angle = 43.94329, collision = h1047B1
x = -47.90565, y = -21.81155, z = -35.01066, angle = 69.46725, collision = h1047B1
x = -48.88262, y = -21.81155, z = -35.50495, angle = 8.149481, collision = h1047B1
x = -48.44033, y = -21.81155, z = -36.49528, angle = -55.80049, collision = h1047B1
x = -47.44826, y = -21.81155, z = -36.9785, angle = -60.17913, collision = h1047B1
x = -48.73823, y = -21.74737, z = -37.50051, angle = 11.13508, collision = h1047B1
x = -48.58419, y = -21.1436, z = -38.41464, angle = -48.07867, collision = h1047B1
x = -47.6478, y = -20.7489, z = -39.49284, angle = -20.7954, collision = h1047B1
x = -46.64735, y = -20.49506, z = -39.47078, angle = -139.2692, collision = h1047B1
x = -46.01077, y = -19.93304, z = -38.54132, angle = -150.1577, collision = h1047B1
x = -45.23223, y = -19.36345, z = -37.8677, angle = -100.6741, collision = h1047B1
x = -44.24356, y = -18.81411, z = -37.67764, angle = -134.4669, collision = h1047B1
x = -44.13037, y = -18.77057, z = -36.54608, angle = 149.6658, collision = h1047B1
x = -44.71439, y = -18.77065, z = -35.53468, angle = 155.6465, collision = h1047B1
x = -45.20072, y = -18.77069, z = -34.47821, angle = 154.059, collision = h1047B1
x = -45.71774, y = -18.77075, z = -33.41953, angle = 159.4434, collision = h1047B1
x = -45.90348, y = -18.7707, z = -32.32541, angle = -148.5095, collision = h1047B1
x = -45.10806, y = -18.7704, z = -31.5045, angle = -111.6702, collision = h1047B1
x = -44.09958, y = -18.77008, z = -31.05906, angle = -102.5493, collision = h1047B1
x = -43.09988, y = -18.76981, z = -31.24277, angle = 5.800347, collision = h1047B1
x = -43.55179, y = -18.77002, z = -32.16842, angle = 56.28954, collision = h1047B1
x = -44.66864, y = -18.77038, z = -32.61614, angle = 77.49953, collision = h1047B1
x = -42.54263, y = -18.76989, z = -32.33732, angle = -68.25158, collision = h1047B1
x = -42.77846, y = -18.77001, z = -33.32277, angle = 60.70749, collision = h1047B1
x = -43.74227, y = -18.77022, z = -33.86268, angle = 61.57783, collision = h1047B1
x = -43.38487, y = -18.7703, z = -35.70044, angle = -115.0628, collision = h1047B1
x = -42.45004, y = -18.7702, z = -35.21659, angle = -156.8702, collision = h1047B1
x = -42.07573, y = -18.77008, z = -34.28724, angle = -121.4588, collision = h1047B1
x = -41.06764, y = -18.76992, z = -34.24359, angle = -74.3425, collision = h1047B1
x = -40.45929, y = -18.76991, z = -35.04059, angle = 37.24852, collision = h1047B1
x = -41.35362, y = -18.77024, z = -36.06726, angle = 54.4763, collision = h1047B1
x = -42.43476, y = -18.77039, z = -36.92397, angle = 57.28056, collision = h1099B1
x = -41.73523, y = -18.394, z = -37.73152, angle = -77.17294, collision = h1099B1
x = -40.82228, y = -17.86703, z = -38.2793, angle = -1.368415, collision = h1099B1
x = -40.5312, y = -17.3495, z = -39.3106, angle = -65.25615, collision = h1099B1
x = -39.52637, y = -16.78918, z = -39.86551, angle = -26.53613, collision = h1099B1
x = -39.10602, y = -16.21642, z = -40.92318, angle = -15.83579, collision = h1099B1
x = -38.41714, y = -15.66207, z = -41.71881, angle = -86.55044, collision = h1099B1
x = -37.34784, y = -15.30821, z = -42.0316, angle = -121.016, collision = h1099B1
x = -37.27293, y = -15.30519, z = -41.00603, angle = 155.4447, collision = h1099B1
x = -37.95726, y = -15.3068, z = -40.20852, angle = 141.1476, collision = h1099B1
x = -37.87577, y = -15.30627, z = -42.93959, angle = -55.68655, collision = h1099B1
x = -36.8401, y = -15.30042, z = -43.16512, angle = -109.7304, collision = h1099B1
x = -35.76991, y = -15.29904, z = -43.14336, angle = 6.181021, collision = h1099B1
x = -36.25494, y = -15.29893, z = -44.07764, angle = -18.31314, collision = h1099B1
x = -35.34986, y = -15.29895, z = -44.5214, angle = -130.0221, collision = h1099B1
x = -34.33883, y = -15.29905, z = -44.18316, angle = -29.04979, collision = h1099B1
x = -34.72499, y = -15.29851, z = -45.33114, angle = 2.640251, collision = h1099B1
x = -33.9122, y = -15.29812, z = -45.97434, angle = -143.8177, collision = h1099B1
x = -33.07337, y = -15.29875, z = -45.32089, angle = -92.69813, collision = h1099B1
x = -32.73361, y = -15.29799, z = -46.35269, angle = 7.427025, collision = h1099B1
x = -32.10769, y = -15.29754, z = -47.26036, angle = -107.1301, collision = h1099B1
x = -31.06044, y = -15.29839, z = -46.92969, angle = -48.75497, collision = h1099B1
x = -31.17064, y = -15.2983, z = -47.93857, angle = 23.65006, collision = h1099B1
x = -31.18088, y = -15.29837, z = -48.96592, angle = -66.51881, collision = h1099B1
x = -30.04992, y = -15.29915, z = -49.01517, angle = -100.5519, collision = h1099B1
x = -28.96456, y = -15.29915, z = -48.8551, angle = -30.25874, collision = h1099B1
x = -28.96233, y = -15.29916, z = -49.87983, angle = 26.82501, collision = h1099B1
x = -29.48236, y = -15.29907, z = -50.91159, angle = -37.70908, collision = h1099B1
x = -28.5983, y = -15.29904, z = -51.38667, angle = -109.4101, collision = h1099B1
x = -27.65458, y = -15.29913, z = -50.97764, angle = -123.0347, collision = h1099B1
x = -26.59031, y = -15.18461, z = -50.94061, angle = 12.25157, collision = h1101B1
x = -27.05268, y = -14.94035, z = -51.99022, angle = 4.877793, collision = h1101B1
x = -26.59663, y = -14.4008, z = -52.54009, angle = -115.8701, collision = h1101B1
x = -25.77975, y = -14.26939, z = -51.82377, angle = -93.14004, collision = h1101B1
x = -25.26373, y = -13.76768, z = -52.22152, angle = 35.82196, collision = h1101B1
x = -25.76336, y = -13.56128, z = -53.24192, angle = -36.83955, collision = h1101B1
x = -24.78222, y = -13.36414, z = -53.49583, angle = -109.0752, collision = h1101B1
x = -23.66086, y = -13.36484, z = -53.25214, angle = -112.2256, collision = h1101B1
x = -23.07526, y = -13.36472, z = -54.11762, angle = 50.19103, collision = h1101B1
x = -24.04484, y = -13.36392, z = -54.74795, angle = 73.33311, collision = h1101B1
x = -25.05142, y = -13.36402, z = -55.28848, angle = 60.86136, collision = h1101B1
x = -26.14338, y = -13.36495, z = -55.52468, angle = 108.2488, collision = h1101B1
x = -26.96998, y = -13.36486, z = -54.83075, angle = 144.6515, collision = h1101B1
x = -27.69613, y = -13.36615, z = -55.67785, angle = 7.627914, collision = h1101B1
x = -26.84789, y = -13.36614, z = -56.27443, angle = -32.92065, collision = h1101B1
x = -27.05521, y = -13.36736, z = -57.3936, angle = 42.8153, collision = h1101B1
x = -27.79107, y = -13.36746, z = -58.22739, angle = 26.87811, collision = h1101B1
x = -28.16931, y = -13.36746, z = -59.16266, angle = 0.1075618, collision = h1101B1
x = -27.22937, y = -13.36746, z = -59.59903, angle = -137.291, collision = h1101B1
x = -26.55424, y = -13.36746, z = -58.83398, angle = -155.1814, collision = h1101B1
x = -26.07723, y = -13.36715, z = -57.82856, angle = -149.7754, collision = h1101B1
x = -25.55457, y = -13.36597, z = -56.96112, angle = -147.6133, collision = h1101B1
x = -22.62785, y = -13.3654, z = -53.19515, angle = -125.824, collision = h1101B1
x = -21.59396, y = -13.36713, z = -53.24105, angle = -42.40334, collision = h1101B1
x = -22.90223, y = -13.36426, z = -55.24646, angle = 22.57847, collision = h1101B1
x = -23.38966, y = -13.36423, z = -56.15123, angle = 36.52122, collision = h1101B1
x = -24.04782, y = -13.36508, z = -57.03865, angle = 38.19442, collision = h1101B1
x = -24.6878, y = -13.36627, z = -57.84096, angle = 28.95514, collision = h1101B1
x = -25.23667, y = -13.36746, z = -58.8087, angle = 28.96646, collision = h1101B1
x = -25.8366, y = -13.36746, z = -59.7727, angle = 44.45889, collision = h1101B1
x = -26.5317, y = -13.36746, z = -60.68888, angle = 3.141587, collision = h1101B1
x = -25.33882, y = -13.36746, z = -60.69456, angle = -129.9543, collision = h1101B1
x = -24.67556, y = -13.36746, z = -59.80493, angle = -159.1945, collision = h1101B1
x = -21.8966, y = -13.36505, z = -54.69523, angle = -136.8554, collision = h1101B1
x = -20.7929, y = -13.36713, z = -53.91116, angle = -75.633, collision = h1101B1
x = -20.17495, y = -13.36593, z = -54.73719, angle = 20.83413, collision = h1101B1
x = -20.81571, y = -13.36516, z = -55.6122, angle = 56.43203, collision = h1101B1
x = -20.01213, y = -13.36527, z = -56.23494, angle = -125.2244, collision = h1101B1
x = -19.2366, y = -13.36598, z = -55.59397, angle = -94.84246, collision = h1101B1
x = -20.2092, y = -13.36513, z = -57.2408, angle = -56.34215, collision = h1101B1
x = -19.17419, y = -13.3654, z = -57.49239, angle = -114.2946, collision = h1101B1
x = -18.17217, y = -13.36589, z = -56.90649, angle = -129.7575, collision = h1101B1
x = -19.34012, y = -13.36558, z = -58.61663, angle = 31.72294, collision = h1101B1
x = -19.73021, y = -13.36569, z = -59.67932, angle = -21.23289, collision = h1101B1
x = -19.15904, y = -13.36598, z = -60.61014, angle = -75.98314, collision = h1101B1
x = -18.16636, y = -13.36623, z = -60.76463, angle = -94.46361, collision = h1101B1
x = -17.21574, y = -13.36655, z = -61.33074, angle = 24.17961, collision = h1101B1
x = -17.7083, y = -13.3666, z = -62.22696, angle = 31.80673, collision = h1101B1
x = -18.34156, y = -13.36735, z = -63.14992, angle = 14.31653, collision = h1101B1
x = -18.18933, y = -13.36746, z = -64.14489, angle = -118.1859, collision = h1101B1
x = -17.65014, y = -13.36579, z = -57.78849, angle = 33.53728, collision = h1101B1
x = -17.35307, y = -13.36605, z = -58.80903, angle = -29.60432, collision = h1101B1
x = -16.32277, y = -13.36637, z = -57.89199, angle = -116.0969, collision = h1101B1
x = -15.31349, y = -13.3666, z = -58.49476, angle = -54.16481, collision = h1101B1
x = -14.46802, y = -13.36676, z = -59.20201, angle = -48.03977, collision = h1101B1
x = -13.66385, y = -13.36708, z = -60.00051, angle = -5.533614, collision = h1101B1
x = -14.91029, y = -13.30573, z = -60.19261, angle = 93.98947, collision = h1101B1
x = -20.81472, y = -13.36539, z = -59.35151, angle = 89.71966, collision = h1101B1
x = -21.87395, y = -13.36551, z = -58.92743, angle = 139.1042, collision = h1101B1
x = -22.71751, y = -13.36539, z = -58.24012, angle = 68.77311, collision = h1101B1
x = -23.65155, y = -13.36637, z = -58.62927, angle = 52.48787, collision = h1101B1
x = -24.34428, y = -13.36746, z = -60.92413, angle = -142.9033, collision = h1101B1
x = -22.56717, y = -13.36685, z = -59.84164, angle = 40.04384, collision = h1101B1
x = -23.24764, y = -13.36746, z = -60.57897, angle = 60.68068, collision = h1101B1
x = -24.72403, y = -13.36746, z = -61.85955, angle = 2.591565, collision = h1101B1
x = -23.66016, y = -13.36746, z = -62.28001, angle = -114.1173, collision = h1101B1
x = -22.73721, y = -13.36746, z = -61.57268, angle = -134.1126, collision = h1101B1
x = -21.79105, y = -13.36746, z = -61.02858, angle = -87.72299, collision = h1101B1
x = -21.04799, y = -13.36746, z = -61.79053, angle = 5.707497, collision = h1101B1
x = -21.41635, y = -13.36746, z = -62.86892, angle = 48.75599, collision = h1101B1
x = -21.41299, y = -13.36492, z = -63.88397, angle = -50.83152, collision = h1101B1
x = -20.7193, y = -13.36438, z = -64.6769, angle = 24.75108, collision = h1101B1
x = -21.51934, y = -13.36701, z = -65.32977, angle = -156.9178, collision = h1101B1
x = -20.11704, y = -13.36724, z = -63.7386, angle = -155.6608, collision = h1101B1
x = -19.72293, y = -13.36746, z = -62.75967, angle = 159.2096, collision = h1101B1
x = -24.09228, y = -13.36429, z = -63.28522, angle = 29.4176, collision = h1101B1
x = -24.72332, y = -13.54904, z = -64.46794, angle = 43.07679, collision = h1101B1
x = -25.33526, y = -14.21808, z = -65.14452, angle = 108.6987, collision = h1101B1
x = -26.32844, y = -14.44757, z = -64.71934, angle = 117.2626, collision = h1101B1
x = -27.40269, y = -14.60223, z = -64.72388, angle = 32.47601, collision = h1101B1
x = -28.2055, y = -14.60223, z = -65.84127, angle = 38.13196, collision = h1101B1
x = -29.06604, y = -14.60223, z = -66.91727, angle = 37.84277, collision = h1101B1
x = -29.91242, y = -14.60223, z = -68.00447, angle = -26.45662, collision = h1101B1
x = -28.91022, y = -14.60223, z = -68.11977, angle = -142.388, collision = h1101B1
x = -25.66498, y = -13.68084, z = -63.91222, angle = -40.45932, collision = h1101B1
x = -26.26885, y = -14.60223, z = -65.91006, angle = 48.23777, collision = h1101B1
x = -27.3017, y = -14.60223, z = -66.82187, angle = 43.32586, collision = h1101B1
x = -28.90977, y = -14.3612, z = -69.19475, angle = -68.02093, collision = h1101B1
x = -27.85475, y = -14.60223, z = -69.465, angle = -138.963, collision = h1101B1
x = -26.99187, y = -14.60223, z = -68.40681, angle = -158.3362, collision = h1101B1
x = -25.36405, y = -14.60223, z = -66.41422, angle = -60.63419, collision = h1101B1
x = -24.37436, y = -14.60223, z = -66.00922, angle = -135.6262, collision = h1101B1
x = -25.7107, y = -14.60223, z = -67.6018, angle = 35.59356, collision = h1101B1
x = -28.25515, y = -14.59495, z = -70.53285, angle = -169.8757, collision = h1101B1
x = -28.95122, y = -13.8273, z = -70.21391, angle = 42.81601, collision = h1101B1
x = -29.86243, y = -13.47548, z = -70.89375, angle = 42.58747, collision = h1100B1
x = -29.50894, y = -13.49905, z = -71.89898, angle = -28.26823, collision = h1100B1
x = -28.7471, y = -13.50115, z = -72.72239, angle = -81.15113, collision = h1100B1
x = -27.78093, y = -13.49699, z = -73.16919, angle = -20.6833, collision = h1100B1
x = -30.9647, y = -13.50105, z = -70.85325, angle = 128.6983, collision = h1100B1
x = -31.81924, y = -13.50269, z = -70.27975, angle = 116.1252, collision = h1100B1
x = -32.97986, y = -13.50644, z = -70.18516, angle = 121.06, collision = h1100B1
x = -33.82867, y = -13.50134, z = -69.65412, angle = 122.8857, collision = h1100B1
x = -34.82292, y = -13.49673, z = -69.44668, angle = 49.59936, collision = h1100B1
x = -35.50051, y = -13.49716, z = -70.38289, angle = 21.74302, collision = h1100B1
x = -36.10978, y = -13.49788, z = -71.32882, angle = 47.81407, collision = h1100B1
x = -37.10247, y = -13.49524, z = -71.71148, angle = 106.4905, collision = h1100B1
x = -38.2685, y = -13.49137, z = -71.9339, angle = 50.89473, collision = h1100B1
x = -39.13855, y = -13.49137, z = -72.96833, angle = 41.95729, collision = h1100B1
x = -39.8978, y = -13.49143, z = -73.89376, angle = -23.16284, collision = h1100B1
x = -39.59174, y = -13.49692, z = -74.94188, angle = 1.506234, collision = h1100B1
x = -38.7309, y = -13.4904, z = -75.66604, angle = -37.43762, collision = h1100B1
x = -37.76269, y = -13.48365, z = -76.67862, angle = -35.87569, collision = h1100B1
x = -36.72775, y = -13.48239, z = -77.55561, angle = -42.41068, collision = h1100B1
x = -35.65416, y = -13.48105, z = -78.41684, angle = -59.72906, collision = h1100B1
x = -34.40229, y = -13.4791, z = -78.96033, angle = -82.87349, collision = h1100B1
x = -33.09216, y = -13.47673, z = -79.12499, angle = -30.47599, collision = h1100B1
x = -34.48526, y = -13.47843, z = -77.94196, angle = 83.75208, collision = h1100B1
x = -38.84071, y = -13.49679, z = -74.25234, angle = -94.10415, collision = h1100B1
x = -37.44786, y = -13.5019, z = -74.13618, angle = -79.8935, collision = h1100B1
x = -36.32283, y = -13.50828, z = -74.72497, angle = 22.46709, collision = h1100B1
x = -37.08228, y = -13.51111, z = -75.71967, angle = 136.9673, collision = h1100B1
x = -36.06133, y = -13.50548, z = -73.56551, angle = -175.6301, collision = h1100B1
x = -34.21728, y = -13.50379, z = -70.85839, angle = -63.24534, collision = h1100B1
x = -33.04585, y = -13.51116, z = -71.68907, angle = -8.721523, collision = h1100B1
x = -32.97077, y = -13.5159, z = -73.03275, angle = 45.50948, collision = h1100B1
x = -33.96639, y = -13.51502, z = -73.95219, angle = 76.67071, collision = h1100B1
x = -35.92521, y = -13.50246, z = -72.49118, angle = -101.7687, collision = h1100B1
x = -34.74139, y = -13.50589, z = -72.11737, angle = -71.74469, collision = h1100B1
x = -32.98252, y = -13.51974, z = -74.20625, angle = 49.80278, collision = h1100B1
x = -34.08786, y = -13.51844, z = -74.98849, angle = 68.70708, collision = h1100B1
