x = 97.78597, y = -5.126096, z = 34.945, angle = -80.78, collision = h0000B0
x = 105.7826, y = -5.230215, z = 35.84833, angle = -77.21162, collision = h0000B0
x = 106.8333, y = -5.16072, z = 35.07629, angle = -2.949453, collision = h0000B0
x = 106.8104, y = -5.462591, z = 33.67859, angle = 49.61843, collision = h0000B0
x = 105.8054, y = -5.786414, z = 32.66854, angle = 22.71875, collision = h0000B0
x = 105.358, y = -5.85341, z = 31.33712, angle = -41.43679, collision = h0000B0
x = 107.7224, y = -5.202026, z = 33.2294, angle = -89.71473, collision = h0000B0
x = 108.8204, y = -5.064103, z = 32.73999, angle = 27.79928, collision = h0000B0
x = 108.1672, y = -5.538935, z = 31.47839, angle = 38.0719, collision = h0000B0
x = 107.2563, y = -5.775654, z = 30.36319, angle = 41.52733, collision = h0000B0
x = 106.5216, y = -5.814956, z = 29.52923, angle = 40.40338, collision = h0000B0
x = 108.5873, y = -5.664626, z = 30.46253, angle = -148.4511, collision = h0000B0
x = 109.3482, y = -5.249509, z = 31.64881, angle = -129.9232, collision = h0000B0
x = 110.5006, y = -4.970474, z = 32.14838, angle = -25.15511, collision = h0000B0
x = 110.9613, y = -5.15759, z = 31.08664, angle = 15.70636, collision = h0000B0
x = 110.5837, y = -5.30196, z = 29.70485, angle = -16.73716, collision = h0000B0
x = 111.7101, y = -5.31719, z = 28.88662, angle = -123.7145, collision = h0000B0
x = 112.8817, y = -5.481299, z = 29.7187, angle = -132.4813, collision = h0000B0
x = 113.9176, y = -5.292876, z = 30.70753, angle = -12.63885, collision = h0000B0
x = 115.1589, y = -5.446664, z = 29.98715, angle = 8.05211, collision = h0000B0
x = 114.9439, y = -5.765587, z = 28.71046, angle = 29.05195, collision = h0000B0
x = 114.6115, y = -5.71487, z = 27.64971, angle = -115.5134, collision = h0000B0
x = 116.0698, y = -5.688905, z = 28.85692, angle = -141.248, collision = h0000B0
x = 116.8672, y = -5.47162, z = 29.8528, angle = -147.6523, collision = h0000B0
x = 117.7583, y = -4.950748, z = 30.92446, angle = -64.20389, collision = h0000B0
x = 118.7814, y = -5.105022, z = 30.55091, angle = -47.41198, collision = h0000B0
x = 119.4344, y = -5.329603, z = 29.64096, angle = 31.67667, collision = h0000B0
x = 118.6323, y = -5.715942, z = 28.53655, angle = 28.81541, collision = h0000B0
x = 118.0007, y = -5.640019, z = 27.30032, angle = -29.65388, collision = h0000B0
x = 118.4145, y = -5.481638, z = 26.06149, angle = -39.21986, collision = h0000B0
x = 120.4759, y = -5.396151, z = 28.87235, angle = -73.06073, collision = h0000B0
x = 121.4392, y = -5.421461, z = 28.54058, angle = -43.70034, collision = h0000B0
x = 122.1817, y = -5.474503, z = 27.71203, angle = -3.865259, collision = h0000B0
x = 122.8027, y = -5.532296, z = 26.90253, angle = -81.35873, collision = h0000B0
x = 124.186, y = -5.670904, z = 26.88166, angle = -130.8477, collision = h0000B0
x = 125.2572, y = -5.560729, z = 27.80874, angle = -73.98122, collision = h0000B0
x = 126.363, y = -5.708048, z = 27.31657, angle = 11.44919, collision = h0000B0
x = 126.1524, y = -5.626835, z = 26.08055, angle = 16.11209, collision = h0000B0
x = 126.2486, y = -5.155559, z = 24.80823, angle = -107.3124, collision = h0000B0
x = 127.4159, y = -5.451813, z = 25.40264, angle = -150.4349, collision = h0000B0
x = 128.0333, y = -5.847586, z = 26.67906, angle = -123.5581, collision = h0000B0
x = 129.1385, y = -6.025445, z = 27.08249, angle = -33.87845, collision = h0000B0
x = 129.8035, y = -5.951142, z = 25.88827, angle = -42.86028, collision = h0000B0
x = 131.2786, y = -5.870368, z = 25.94166, angle = -127.597, collision = h0000B0
x = 132.1286, y = -5.921824, z = 26.56368, angle = -103.4236, collision = h0000B0
x = 132.6136, y = -5.828746, z = 27.46147, angle = -120.2112, collision = h0000B0
x = 133.6709, y = -5.638121, z = 28.12645, angle = -94.6856, collision = h0000B0
x = 135.1151, y = -5.648984, z = 27.57775, angle = 12.50486, collision = h0000B0
x = 134.9232, y = -5.555923, z = 26.46153, angle = 21.30247, collision = h0000B0
x = 134.7395, y = -5.323856, z = 25.44526, angle = -72.04411, collision = h0000B0
x = 136.1091, y = -5.625295, z = 26.50424, angle = -139.3637, collision = h0001B0
x = 136.8968, y = -5.751481, z = 27.50099, angle = -125.1612, collision = h0001B0
x = 138.1185, y = -5.883771, z = 28.2957, angle = -84.15243, collision = h0001B0
x = 139.4698, y = -5.904198, z = 28.13753, angle = -0.9877136, collision = h0001B0
x = 138.6378, y = -5.930969, z = 29.3066, angle = -127.9451, collision = h0001B0
x = 140.1166, y = -5.858777, z = 29.83286, angle = -90.79304, collision = h0001B0
x = 141.48, y = -5.842216, z = 29.77368, angle = -35.15246, collision = h0001B0
x = 142.2279, y = -5.876519, z = 28.72923, angle = -52.4789, collision = h0001B0
x = 143.2305, y = -5.586462, z = 28.65655, angle = -168.1972, collision = h0001B0
x = 143.5452, y = -5.759881, z = 29.82455, angle = -162.9838, collision = h0001B0
x = 144.0644, y = -5.664101, z = 31.03764, angle = -108.599, collision = h0001B0
x = 145.227, y = -5.642743, z = 30.85735, angle = -12.94513, collision = h0001B0
x = 145.5305, y = -5.766875, z = 29.6135, angle = -44.09741, collision = h0001B0
x = 146.5578, y = -5.767694, z = 28.81095, angle = -111.1358, collision = h0001B0
x = 147.899, y = -5.789857, z = 29.18875, angle = -20.70469, collision = h0001B0
x = 147.9433, y = -5.736225, z = 28.02635, angle = 82.22641, collision = h0001B0
x = 146.8175, y = -5.727838, z = 27.83028, angle = 82.22641, collision = h0001B0
x = 149.0714, y = -5.787367, z = 29.16848, angle = -66.84653, collision = h0001B0
x = 150.3088, y = -5.657665, z = 28.82928, angle = -160.4775, collision = h0001B0
x = 150.6753, y = -5.811829, z = 30.14459, angle = 168.6917, collision = h0001B0
x = 150.461, y = -5.803189, z = 31.41896, angle = -131.9559, collision = h0001B0
x = 151.6024, y = -5.755513, z = 32.26326, angle = -91.32423, collision = h0001B0
x = 152.9358, y = -5.59354, z = 32.24198, angle = -107.2263, collision = h0001B0
x = 154.1723, y = -5.335168, z = 32.6627, angle = -106.8877, collision = h0001B0
x = 155.316, y = -5.027855, z = 32.71959, angle = -49.45075, collision = h0001B0
x = 155.9938, y = -4.890889, z = 31.89711, angle = 20.77562, collision = h0001B0
x = 155.9057, y = -4.799546, z = 30.76662, angle = -89.04118, collision = h0001B0
x = 157.2793, y = -4.536947, z = 30.88827, angle = -108.9252, collision = h0001B0
x = 158.4683, y = -4.400909, z = 31.36259, angle = -67.07864, collision = h0001B0
x = 159.4424, y = -4.175432, z = 31.10621, angle = -55.48874, collision = h0001B0
x = 160.3169, y = -3.781421, z = 30.54869, angle = -110.5165, collision = h0001B0
x = 161.3216, y = -3.59532, z = 30.63253, angle = -144.5315, collision = h0001B0
x = 161.9178, y = -3.725621, z = 31.46346, angle = -134.8845, collision = h0001B0
x = 162.9236, y = -3.869952, z = 32.25354, angle = -104.6424, collision = h0001B0
x = 163.9836, y = -4.044716, z = 32.75623, angle = -83.50115, collision = h0001B0
x = 165.3459, y = -4.09045, z = 32.76319, angle = -112.8424, collision = h0001B0
x = 166.3951, y = -3.967345, z = 33.20658, angle = -119.9731, collision = h0001B0
x = 167.2615, y = -4.047366, z = 33.72123, angle = -119.9731, collision = h0001B0
x = 168.279, y = -3.984814, z = 33.5247, angle = -77.00395, collision = h0001B0
x = 169.0747, y = -4.089109, z = 34.45129, angle = -131.8585, collision = h0001B0
x = 170.2644, y = -4.100892, z = 35.0814, angle = -31.24559, collision = h0001B0
x = 171.0001, y = -3.933064, z = 33.98117, angle = -64.977, collision = h0001B0
x = 171.9629, y = -3.984559, z = 34.56992, angle = -123.7179, collision = h0001B0
x = 173.0949, y = -4.043408, z = 35.15028, angle = -59.6406, collision = h0001B0
x = 174.1747, y = -3.758738, z = 34.76962, angle = -157.6733, collision = h0001B0
x = 174.9384, y = -3.895719, z = 35.6762, angle = -153.5771, collision = h0001B0
x = 175.8171, y = -3.818866, z = 36.67553, angle = -107.3706, collision = h0001B0
x = 176.9511, y = -3.804871, z = 36.65548, angle = -80.58974, collision = h0001B0
x = 178.1172, y = -4.027195, z = 36.6542, angle = -102.1862, collision = h0001B0
x = 179.5444, y = -4.121078, z = 36.81412, angle = -84.75507, collision = h0001B0
x = 180.9708, y = -3.995357, z = 36.69202, angle = -72.82597, collision = h0001B0
x = 181.9705, y = -3.984629, z = 36.08971, angle = 28.94838, collision = h0001B0
x = 181.1584, y = -3.82168, z = 34.99239, angle = -7.658691, collision = h0001B0
x = 183.3158, y = -3.882991, z = 36.01067, angle = -123.6802, collision = h0002B0
x = 184.2665, y = -3.766612, z = 35.39198, angle = 14.84992, collision = h0002B0
x = 183.8109, y = -3.740752, z = 34.05892, angle = 22.53883, collision = h0002B0
x = 184.8294, y = -3.844816, z = 33.42322, angle = -109.7155, collision = h0002B0
x = 186.1862, y = -3.967575, z = 33.88221, angle = -92.50655, collision = h0002B0
x = 187.2767, y = -3.98235, z = 33.98573, angle = -92.50655, collision = h0002B0
x = 188.2892, y = -3.98942, z = 34.25042, angle = -86.94309, collision = h0002B0
x = 189.2198, y = -3.968244, z = 33.71659, angle = 52.02299, collision = h0002B0
x = 188.0415, y = -3.947939, z = 33.06944, angle = 93.38227, collision = h0002B0
x = 185.6313, y = -3.916418, z = 32.57712, angle = -18.92861, collision = h0002B0
x = 186.1029, y = -3.895564, z = 31.46314, angle = -71.84597, collision = h0002B0
x = 187.4517, y = -3.858405, z = 31.01274, angle = -98.25705, collision = h0002B0
x = 188.8024, y = -3.833175, z = 31.36349, angle = -120.3928, collision = h0002B0
x = 190.0923, y = -3.824829, z = 31.92521, angle = -41.38999, collision = h0002B0
x = 190.6098, y = -3.781792, z = 30.87467, angle = 67.97786, collision = h0002B0
x = 189.4752, y = -3.813394, z = 30.38529, angle = 90.28345, collision = h0002B0
x = 187.6836, y = -3.835142, z = 30.02724, angle = 12.4203, collision = h0002B0
x = 187.6054, y = -3.849712, z = 28.66431, angle = -24.29021, collision = h0002B0
x = 188.3402, y = -3.962523, z = 27.46145, angle = -81.6864, collision = h0002B0
x = 189.7247, y = -4.062387, z = 27.33326, angle = -145.4678, collision = h0002B0
x = 190.2177, y = -3.970129, z = 28.48644, angle = 149.6207, collision = h0002B0
x = 191.1951, y = -3.818584, z = 32.04024, angle = -62.43145, collision = h0002B0
x = 192.4668, y = -3.747582, z = 31.38003, angle = -34.54827, collision = h0002B0
x = 192.848, y = -3.841896, z = 30.24663, angle = 70.67069, collision = h0002B0
x = 191.5332, y = -3.861678, z = 29.90155, angle = 107.6146, collision = h0002B0
x = 190.7748, y = -4.065896, z = 27.37585, angle = 9.733934, collision = h0002B0
x = 190.5697, y = -3.885813, z = 26.35423, angle = 81.5437, collision = h0002B0
x = 190.8904, y = -3.560506, z = 25.32552, angle = -149.7203, collision = h0002B0
x = 191.6726, y = -3.971101, z = 26.78183, angle = -167.6861, collision = h0002B0
x = 192.1319, y = -4.010947, z = 28.14873, angle = -152.5418, collision = h0002B0
x = 193.7846, y = -3.872343, z = 29.72771, angle = -77.24608, collision = h0002B0
x = 194.8952, y = -3.840145, z = 29.86134, angle = -82.11917, collision = h0002B0
x = 196.2588, y = -3.761245, z = 29.61929, angle = -63.92781, collision = h0002B0
x = 196.9603, y = -3.768345, z = 30.41306, angle = -155.0183, collision = h0002B0
x = 197.6919, y = -3.846509, z = 31.4364, angle = -49.35099, collision = h0002B0
x = 195.884, y = -3.797363, z = 28.59845, angle = 63.6403, collision = h0002B0
x = 194.7965, y = -3.92297, z = 28.00812, angle = 52.54517, collision = h0002B0
x = 193.6741, y = -4.030694, z = 27.11915, angle = 42.97763, collision = h0002B0
x = 192.7211, y = -3.795141, z = 26.05221, angle = 6.217043, collision = h0002B0
x = 192.8576, y = -3.696773, z = 24.81564, angle = -76.81355, collision = h0002B0
x = 194.0842, y = -3.751921, z = 24.53176, angle = -110.9717, collision = h0002B0
x = 195.3619, y = -3.796973, z = 25.16387, angle = -138.7641, collision = h0002B0
x = 196.3111, y = -3.827447, z = 26.27324, angle = -145.9578, collision = h0002B0
x = 197.098, y = -3.750638, z = 27.27496, angle = -38.9816, collision = h0002B0
x = 197.8673, y = -3.862557, z = 26.41118, angle = 34.72636, collision = h0002B0
x = 197.1242, y = -3.901141, z = 25.17574, angle = 32.48999, collision = h0002B0
x = 196.4695, y = -3.859905, z = 23.92784, angle = -13.88024, collision = h0002B0
x = 196.8568, y = -3.891083, z = 22.55896, angle = -87.04673, collision = h0002B0
x = 198.0349, y = -3.7554, z = 22.77145, angle = -157.1504, collision = h0002B0
x = 198.625, y = -3.934723, z = 24.07592, angle = -155.8792, collision = h0002B0
x = 199.181, y = -4.04258, z = 25.22471, angle = -132.4415, collision = h0002B0
x = 200.317, y = -4.001898, z = 25.97097, angle = -89.72201, collision = h0002B0
x = 201.7022, y = -3.687346, z = 25.77369, angle = -40.80591, collision = h0002B0
x = 202.4024, y = -3.634638, z = 25.05881, angle = -59.67363, collision = h0002B0
x = 203.4659, y = -3.642647, z = 24.42279, angle = -2.892735, collision = h0002B0
x = 203.5578, y = -3.302177, z = 23.37421, angle = 114.7822, collision = h0002B0
x = 202.3094, y = -3.533067, z = 23.36479, angle = 130.3314, collision = h0002B0
x = 201.25, y = -3.432589, z = 24.022, angle = 126.677, collision = h0002B0
x = 200.2169, y = -3.614782, z = 24.764, angle = 56.80134, collision = h0002B0
x = 197.9723, y = -3.706669, z = 21.61383, angle = -29.48184, collision = h0002B0
x = 198.8743, y = -3.592417, z = 20.67806, angle = -99.44951, collision = h0002B0
x = 200.1501, y = -3.536772, z = 21.1676, angle = -154.9222, collision = h0002B0
x = 201.0609, y = -3.488722, z = 22.11928, angle = -39.71918, collision = h0002B0
x = 201.7746, y = -3.512621, z = 21.01473, angle = 45.80754, collision = h0002B0
x = 200.8863, y = -3.471473, z = 20.21818, angle = 76.62896, collision = h0002B0
x = 199.7503, y = -3.435937, z = 19.53244, angle = -20.02489, collision = h0002B0
x = 200.3005, y = -3.518649, z = 18.25919, angle = -92.53401, collision = h0002B0
x = 201.664, y = -3.770244, z = 18.36143, angle = -122.8373, collision = h0002B0
x = 202.8949, y = -3.771274, z = 19.09266, angle = -107.3314, collision = h0002B0
x = 204.2598, y = -3.748425, z = 19.28653, angle = -15.46994, collision = h0002B0
x = 204.8123, y = -3.588043, z = 18.32788, angle = -33.25988, collision = h0002B0
x = 205.3102, y = -3.531756, z = 17.40831, angle = -11.76161, collision = h0002B0
x = 205.5233, y = -3.454444, z = 16.2066, angle = -90.9584, collision = h0002B0
x = 206.9149, y = -3.672765, z = 15.72172, angle = -131.3596, collision = h0002B0
x = 207.8259, y = -3.798028, z = 16.35334, angle = -131.3596, collision = h0002B0
x = 208.5717, y = -3.815336, z = 17.02753, angle = -138.5566, collision = h0002B0
x = 209.1768, y = -3.91967, z = 17.986, angle = -160.5833, collision = h0002B0
x = 208.4896, y = -3.822754, z = 15.4943, angle = 8.648973, collision = h0002B0
x = 208.9309, y = -3.660269, z = 14.4898, angle = -135.8903, collision = h0002B0
x = 209.8468, y = -3.844398, z = 15.33479, angle = -141.6352, collision = h0002B0
x = 210.9477, y = -4.020876, z = 15.99762, angle = 2.99807, collision = h0002B0
x = 210.8053, y = -3.915489, z = 14.73158, angle = 33.52493, collision = h0002B0
x = 210.3822, y = -3.628695, z = 13.4476, angle = -124.7303, collision = h0002B0
x = 211.6793, y = -3.921517, z = 13.84958, angle = -107.4059, collision = h0002B0
x = 212.987, y = -4.026877, z = 13.89956, angle = -25.15234, collision = h0002B0
x = 213.4109, y = -3.96178, z = 12.75389, angle = -17.05494, collision = h0002B0
x = 214.1405, y = -3.939227, z = 11.82966, angle = -120.3853, collision = h0002B0
x = 215.4708, y = -3.958008, z = 12.22407, angle = -68.51501, collision = h0002B0
x = 216.7374, y = -3.817259, z = 11.58523, angle = -31.72004, collision = h0002B0
x = 217.6716, y = -3.539761, z = 10.59587, angle = -101.0222, collision = h0002B0
x = 219.4984, y = -3.653699, z = 11.08337, angle = -65.99718, collision = h0002B0
x = 220.6216, y = -3.61165, z = 10.65846, angle = -3.99704, collision = h0002B0
x = 220.7433, y = -3.590555, z = 9.596327, angle = -63.36812, collision = h0002B0
x = 221.9885, y = -3.664464, z = 9.095249, angle = -130.505, collision = h0002B0
x = 223.0125, y = -3.718809, z = 10.07239, angle = 178.8551, collision = h0002B0
x = 222.669, y = -3.78598, z = 11.22392, angle = 48.25527, collision = h0002B0
x = 221.7059, y = -3.66995, z = 10.24833, angle = -40.3471, collision = h0002B0
x = 224.2601, y = -3.632909, z = 10.02783, angle = -47.21803, collision = h0002B0
x = 225.1465, y = -3.497327, z = 8.993412, angle = 23.95309, collision = h0002B0
x = 224.3806, y = -3.36178, z = 7.941665, angle = 81.67963, collision = h0002B0
x = 223.3013, y = -3.494491, z = 7.304743, angle = -46.6375, collision = h0002B0
x = 224.3825, y = -3.308825, z = 6.699197, angle = -100.6947, collision = h0002B0
x = 225.638, y = -3.168777, z = 6.873457, angle = -54.57557, collision = h0002B0
x = 226.455, y = -3.253357, z = 5.913425, angle = 38.50497, collision = h0002B0
x = 225.7416, y = -3.168526, z = 5.096, angle = 71.00617, collision = h0002B0
x = 225.0826, y = -3.190759, z = 5.853564, angle = -165.738, collision = h0002B0
x = 226.7922, y = -3.221622, z = 4.736409, angle = -6.518309, collision = h0003B0
x = 226.9333, y = -3.134803, z = 3.49523, angle = -77.24967, collision = h0003B0
x = 227.9997, y = -3.13949, z = 3.044396, angle = -131.3508, collision = h0003B0
x = 229.1886, y = -3.208077, z = 3.788368, angle = -41.43087, collision = h0003B0
x = 229.984, y = -3.143867, z = 2.946327, angle = 5.015121, collision = h0003B0
x = 229.8655, y = -3.134087, z = 1.859705, angle = -17.90861, collision = h0003B0
x = 229.5, y = -2.621037, z = 0.674273, angle = -76.97029, collision = h0003B0
x = 230.7076, y = -3.250803, z = 0.4111009, angle = -108.1093, collision = h0003B0
x = 232.0457, y = -3.241297, z = 0.4260758, angle = -22.2923, collision = h0003B0
x = 232.2584, y = -3.220885, z = -0.8819987, angle = -7.228745, collision = h0003B0
x = 232.6399, y = -3.187643, z = -1.873684, angle = -103.2319, collision = h0003B0
x = 233.94, y = -3.161274, z = -1.379359, angle = -103.4819, collision = h0003B0
x = 235.1491, y = -3.185952, z = -1.375682, angle = 16.79307, collision = h0003B0
x = 234.7892, y = -3.103102, z = -2.687554, angle = 38.17204, collision = h0003B0
x = 235.2508, y = -3.062082, z = -3.609723, angle = -114.898, collision = h0003B0
x = 236.6059, y = -3.161813, z = -3.110554, angle = -60.14767, collision = h0003B0
x = 237.6212, y = -3.156536, z = -3.921648, angle = 18.56814, collision = h0003B0
x = 236.9314, y = -3.068291, z = -4.995537, angle = 112.4123, collision = h0003B0
x = 238.9792, y = -3.184533, z = -4.399518, angle = -77.17863, collision = h0003B0
x = 240.2207, y = -3.220508, z = -4.695855, angle = -80.44165, collision = h0003B0
x = 241.6264, y = -3.220027, z = -4.970347, angle = -71.58028, collision = h0003B0
x = 243.0043, y = -3.19653, z = -5.349827, angle = -99.46873, collision = h0003B0
x = 244.4178, y = -3.190075, z = -5.133953, angle = -99.44217, collision = h0003B0
x = 245.8295, y = -3.182128, z = -4.88866, angle = -101.0612, collision = h0003B0
x = 246.7778, y = -3.188727, z = -4.467716, angle = -73.79897, collision = h0003B0
x = 248.1587, y = -3.17597, z = -4.789531, angle = -100.2364, collision = h0003B0
x = 249.3803, y = -3.10424, z = -4.618444, angle = -119.0508, collision = h0003B0
x = 250.3539, y = -2.797904, z = -4.076286, angle = -86.1574, collision = h0003B0
x = 251.4505, y = -2.956147, z = -4.044599, angle = -82.02519, collision = h0003B0
x = 252.384, y = -3.002229, z = -4.509954, angle = -24.71239, collision = h0003B0
x = 252.1048, y = -3.065745, z = -5.619999, angle = 94.80214, collision = h0003B0
x = 249.7497, y = -3.106974, z = -5.688738, angle = 71.62943, collision = h0003B0
x = 248.526, y = -3.113161, z = -6.115384, angle = 68.56585, collision = h0003B0
x = 247.2339, y = -3.169531, z = -6.725169, angle = 59.71727, collision = h0003B0
x = 245.9924, y = -3.214706, z = -7.440449, angle = 63.45561, collision = h0003B0
x = 244.7098, y = -3.242659, z = -8.079235, angle = 65.15874, collision = h0003B0
x = 243.4072, y = -3.194621, z = -8.676194, angle = 67.15152, collision = h0003B0
x = 242.0682, y = -3.151514, z = -9.173542, angle = 64.15619, collision = h0003B0
x = 240.8927, y = -3.107356, z = -9.917327, angle = -17.06803, collision = h0003B0
x = 241.2571, y = -3.210896, z = -11.05537, angle = -57.37636, collision = h0003B0
x = 242.4985, y = -3.262505, z = -11.71892, angle = -135.235, collision = h0003B0
x = 243.4223, y = -3.258568, z = -10.74904, angle = -144.4598, collision = h0003B0
x = 244.3199, y = -3.255658, z = -9.665374, angle = -119.9295, collision = h0003B0
x = 245.5556, y = -3.216033, z = -8.940105, angle = -116.7922, collision = h0003B0
x = 246.8232, y = -3.13843, z = -8.272642, angle = -121.4843, collision = h0003B0
x = 247.9436, y = -3.070082, z = -7.665218, angle = -106.8989, collision = h0003B0
x = 249.3253, y = -3.042372, z = -7.305871, angle = -56.77459, collision = h0003B0
x = 250.3015, y = -3.081522, z = -8.179178, angle = 11.5136, collision = h0003B0
