x = 230.0119, y = 199.9796, z = 473.7116, angle = -139.4778, collision = h0102B0
x = 234.0748, y = 199.9394, z = 414.589, angle = 42.36742, collision = h0103B0
x = 233.1073, y = 199.9406, z = 413.529, angle = 42.13996, collision = h0103B0
x = 232.386, y = 199.9415, z = 412.7328, angle = 41.95002, collision = h0103B0
x = 231.4245, y = 199.9427, z = 411.6637, angle = 41.71295, collision = h0103B0
x = 230.5712, y = 199.9438, z = 410.7071, angle = 41.48114, collision = h0103B0
x = 229.7915, y = 199.9448, z = 409.8263, angle = 41.28032, collision = h0103B0
x = 228.9173, y = 199.9459, z = 408.8315, angle = 32.46517, collision = h0103B0
x = 228.1573, y = 199.9469, z = 407.6911, angle = 30.01199, collision = h0103B0
x = 227.5909, y = 199.9476, z = 406.7134, angle = 35.78246, collision = h0103B0
x = 226.8248, y = 199.9485, z = 405.658, angle = 65.35853, collision = h0103B0
x = 225.5947, y = 199.9501, z = 405.0536, angle = 169.9689, collision = h0103B0
x = 225.1948, y = 199.9507, z = 406.6167, angle = -164.0976, collision = h0103B0
x = 225.5343, y = 199.9502, z = 407.9299, angle = -148.2016, collision = h0103B0
x = 226.5843, y = 199.9489, z = 409.3022, angle = -114.6373, collision = h0103B0
x = 227.7547, y = 199.9474, z = 409.8331, angle = -82.03873, collision = h0103B0
x = 230.3784, y = 199.9459, z = 408.7369, angle = -123.6646, collision = h0103B0
x = 231.41, y = 199.9508, z = 409.4345, angle = 166.7967, collision = h0103B0
x = 230.6033, y = 199.9438, z = 412.3405, angle = -150.4404, collision = h0103B0
x = 231.2027, y = 199.943, z = 413.4536, angle = -127.8483, collision = h0103B0
x = 232.1412, y = 199.9418, z = 414.2151, angle = -103.2197, collision = h0103B0
x = 236.4541, y = 199.9501, z = 415.2419, angle = -162.207, collision = h0103B0
x = 242.3346, y = 199.9558, z = 421.3737, angle = -165.292, collision = h0103B0
x = 243.4152, y = 199.9275, z = 425.6649, angle = -110.0914, collision = h0103B0
x = 247.0786, y = 199.9631, z = 426.06, angle = -115.0297, collision = h0103B0
x = 248.0687, y = 199.9718, z = 426.3337, angle = 177.5629, collision = h0103B0
x = 248.0279, y = 199.933, z = 430.0753, angle = -122.1386, collision = h0103B0
x = 249.1693, y = 199.938, z = 430.8883, angle = -81.29373, collision = h0103B0
x = 251.665, y = 199.9691, z = 430.6894, angle = -138.1482, collision = h0103B0
x = 252.4974, y = 199.9704, z = 431.5114, angle = 164.3638, collision = h0103B0
x = 253.226, y = 199.9515, z = 433.9004, angle = -90.08459, collision = h0103B0
x = 254.6654, y = 199.966, z = 433.9293, angle = -142.1647, collision = h0103B0
x = 255.5204, y = 199.9719, z = 434.8232, angle = 158.448, collision = h0103B0
x = 255.2529, y = 199.9801, z = 435.8125, angle = 94.21028, collision = h0103B0
x = 254.0562, y = 199.9714, z = 436.0799, angle = 73.79601, collision = h0103B0
x = 250.9764, y = 199.9384, z = 435.88, angle = 153.554, collision = h0103B0
x = 250.2501, y = 199.9426, z = 437.0182, angle = -167.6879, collision = h0103B0
x = 250.6934, y = 199.9723, z = 439.4313, angle = 128.0695, collision = h0103B0
x = 247.4014, y = 199.9457, z = 439.9378, angle = 109.3144, collision = h0103B0
x = 246.2464, y = 199.944, z = 440.3182, angle = -174.892, collision = h0103B0
x = 246.5208, y = 199.971, z = 443.4898, angle = 155.1007, collision = h0103B0
x = 245.9508, y = 199.9757, z = 444.5117, angle = 82.31805, collision = h0103B0
x = 244.8666, y = 199.9683, z = 444.4923, angle = 82.54039, collision = h0103B0
x = 242.2462, y = 199.9694, z = 446.0611, angle = -171.0445, collision = h0103B0
x = 242.4388, y = 199.979, z = 447.3271, angle = 130.6539, collision = h0101B0
x = 241.6476, y = 199.9805, z = 448.3438, angle = 84.34293, collision = h0101B0
x = 240.5884, y = 199.9746, z = 448.3287, angle = 86.45781, collision = h0101B0
x = 237.6892, y = 199.9779, z = 451.895, angle = 113.5083, collision = h0101B0
x = 234.0992, y = 199.976, z = 452.6983, angle = 146.331, collision = h0101B0
x = 233.2937, y = 199.9785, z = 453.4339, angle = 173.4085, collision = h0101B0
x = 231.0344, y = 199.9889, z = 457.1187, angle = 106.5519, collision = h0101B0
x = 228.8901, y = 199.9897, z = 460.157, angle = 152.385, collision = h0101B0
x = 225.9661, y = 199.9876, z = 461.7017, angle = 111.2652, collision = h0100B0
x = 224.8106, y = 199.9884, z = 462.1935, angle = 177.4634, collision = h0100B0
x = 223.9774, y = 199.9887, z = 464.9945, angle = 71.50971, collision = h0100B0
x = 224.5839, y = 199.9874, z = 468.2768, angle = -165.2943, collision = h0100B0
x = 225.0978, y = 199.9869, z = 469.7847, angle = -133.295, collision = h0100B0
x = 225.7527, y = 199.9869, z = 470.5928, angle = -92.22694, collision = h0100B0
x = 228.1871, y = 199.9887, z = 470.6161, angle = -155.3164, collision = h0102B0
x = 231.3548, y = 199.9796, z = 473.716, angle = -58.12011, collision = h0102B0
x = 232.4782, y = 199.9796, z = 473.1077, angle = -72.28325, collision = h0102B0
x = 233.8404, y = 199.9796, z = 472.6762, angle = -96.15028, collision = h0102B0
x = 234.149, y = 199.9796, z = 471.2653, angle = -25.70305, collision = h0102B0
x = 234.6663, y = 199.9796, z = 470.1577, angle = -18.04305, collision = h0102B0
x = 235.087, y = 199.9796, z = 468.9474, angle = -21.63518, collision = h0102B0
x = 235.6298, y = 199.9796, z = 467.6289, angle = -112.1083, collision = h0102B0
x = 236.5836, y = 199.9796, z = 468.6417, angle = -177.0658, collision = h0102B0
x = 236.7262, y = 199.9796, z = 470.0604, angle = 172.5627, collision = h0102B0
x = 236.5688, y = 199.9796, z = 471.1072, angle = -129.7555, collision = h0102B0
x = 237.4518, y = 199.9796, z = 472.1138, angle = -113.4796, collision = h0102B0
x = 238.6348, y = 199.9796, z = 472.6474, angle = -123.9786, collision = h0102B0
x = 239.6189, y = 199.9796, z = 473.2213, angle = -133.601, collision = h0102B0
x = 240.6088, y = 199.9796, z = 474.1406, angle = -172.1823, collision = h0102B0
x = 240.8924, y = 199.9796, z = 475.4301, angle = -167.4773, collision = h0102B0
x = 241.8316, y = 199.9796, z = 476.7024, angle = -128.9041, collision = h0102B0
x = 242.8994, y = 199.9796, z = 477.5971, angle = 159.6155, collision = h0102B0
x = 242.8909, y = 199.9796, z = 478.7835, angle = 118.653, collision = h0102B0
x = 242.767, y = 199.9796, z = 479.7845, angle = 136.9644, collision = h0102B0
x = 241.7929, y = 200.1478, z = 480.61, angle = 93.41547, collision = h0102B0
x = 240.722, y = 200.5596, z = 480.8961, angle = 52.49858, collision = h0102B0
x = 239.6329, y = 200.5596, z = 480.167, angle = 28.69683, collision = h0102B0
x = 238.9334, y = 200.5596, z = 479.0007, angle = 33.98404, collision = h0102B0
x = 238.3871, y = 200.4438, z = 478.016, angle = 87.09615, collision = h0102B0
x = 237.1396, y = 199.9796, z = 477.7841, angle = 102.3746, collision = h0102B0
x = 235.753, y = 199.9796, z = 478.0607, angle = 102.401, collision = h0102B0
x = 234.6963, y = 199.9796, z = 478.3155, angle = 82.102, collision = h0102B0
x = 233.2723, y = 199.9796, z = 478.1647, angle = 72.5156, collision = h0102B0
x = 232.0515, y = 199.9796, z = 477.7781, angle = 68.36531, collision = h0102B0
x = 230.9394, y = 199.9796, z = 477.346, angle = 66.54488, collision = h0102B0
x = 229.7373, y = 199.9796, z = 476.8298, angle = 64.27258, collision = h0102B0
x = 228.4831, y = 199.9796, z = 476.2305, angle = 76.4943, collision = h0102B0
x = 227.2303, y = 199.9796, z = 475.964, angle = 132.5942, collision = h0102B0
x = 226.3632, y = 199.9796, z = 476.6451, angle = 117.0634, collision = h0102B0
x = 225.244, y = 199.9796, z = 476.7082, angle = 128.1542, collision = h0102B0
x = 224.3575, y = 199.9796, z = 477.2249, angle = 121.1123, collision = h0102B0
x = 223.1479, y = 199.9796, z = 478.002, angle = -171.547, collision = h0102B0
x = 223.1206, y = 199.9796, z = 479.1929, angle = -112.6424, collision = h0102B0
x = 224.3083, y = 199.9796, z = 479.8645, angle = -89.59869, collision = h0102B0
x = 225.3704, y = 199.9796, z = 479.8619, angle = -81.26035, collision = h0102B0
x = 226.3848, y = 199.9796, z = 479.5294, angle = -68.91186, collision = h0102B0
x = 227.5221, y = 199.9796, z = 478.4282, angle = -71.51684, collision = h0102B0
x = 228.8557, y = 199.9796, z = 477.9806, angle = -138.3831, collision = h0102B0
x = 229.747, y = 199.9796, z = 478.8256, angle = 173.0743, collision = h0102B0
x = 229.7496, y = 199.9796, z = 480.03, angle = 158.5371, collision = h0102B0
x = 229.2684, y = 199.9796, z = 481.2226, angle = 142.5306, collision = h0102B0
x = 228.4423, y = 199.9796, z = 482.3368, angle = 171.3442, collision = h0102B0
x = 228.0916, y = 199.9796, z = 483.3594, angle = -132.6894, collision = h0102B0
x = 228.899, y = 199.9796, z = 484.343, angle = -107.6776, collision = h0102B0
x = 230.1802, y = 199.9796, z = 484.8935, angle = -124.8539, collision = h0102B0
x = 231.0901, y = 199.9796, z = 485.4935, angle = -150.138, collision = h0102B0
x = 231.8963, y = 199.9796, z = 486.68, angle = -144.9369, collision = h0102B0
x = 232.6243, y = 199.9796, z = 487.7355, angle = -108.39, collision = h0102B0
x = 233.6294, y = 199.9796, z = 488.2744, angle = -52.56541, collision = h0102B0
x = 234.6852, y = 199.9796, z = 487.5692, angle = -25.01002, collision = h0102B0
x = 235.7784, y = 199.9796, z = 486.5403, angle = -23.38201, collision = h0102B0
x = 236.2711, y = 200.3767, z = 485.5834, angle = 13.58633, collision = h0102B0
x = 236.004, y = 200.5596, z = 484.2243, angle = 53.25098, collision = h0102B0
x = 235.0011, y = 200.5595, z = 483.4352, angle = 80.83485, collision = h0102B0
x = 233.8548, y = 200.379, z = 483.1578, angle = 45.8206, collision = h0102B0
x = 232.9162, y = 200.0812, z = 482.3938, angle = 4.249921, collision = h0102B0
x = 232.929, y = 199.9796, z = 481.3208, angle = -25.26514, collision = h0102B0
x = 233.9668, y = 199.9796, z = 480.3094, angle = -78.22575, collision = h0102B0
x = 235.3297, y = 200.0679, z = 479.9444, angle = -101.2243, collision = h0102B0
x = 236.6058, y = 200.5595, z = 480.1218, angle = -88.77074, collision = h0102B0
x = 237.4864, y = 200.6592, z = 480.8871, angle = -169.976, collision = h0102B0
x = 237.7064, y = 201.2586, z = 482.1816, angle = -163.9568, collision = h0102B0
x = 237.9607, y = 201.751, z = 483.1747, angle = -124.6195, collision = h0102B0
x = 238.6992, y = 202.2835, z = 483.7861, angle = -96.52418, collision = h0102B0
x = 239.9969, y = 202.7335, z = 484.0141, angle = -146.9174, collision = h0102B0
x = 240.5712, y = 202.7176, z = 485.2902, angle = 144.3453, collision = h0102B0
x = 239.7738, y = 202.7164, z = 486.25, angle = 119.2448, collision = h0102B0
x = 238.687, y = 202.7178, z = 487.1724, angle = 152.3512, collision = h0102B0
x = 238.1757, y = 202.7128, z = 488.3795, angle = -162.3427, collision = h0102B0
x = 238.6837, y = 202.7014, z = 489.6844, angle = -179.1756, collision = h0102B0
x = 238.7157, y = 202.701, z = 491.0066, angle = -156.2184, collision = h0102B0
x = 239.2246, y = 202.6926, z = 492.3995, angle = 179.5877, collision = h0102B0
x = 239.1363, y = 202.6879, z = 493.6631, angle = 80.36494, collision = h0102B0
x = 237.8017, y = 202.6967, z = 493.3427, angle = 22.17504, collision = h0102B0
x = 237.1775, y = 202.705, z = 492.1871, angle = 79.02036, collision = h0102B0
x = 235.766, y = 202.7148, z = 491.7537, angle = 35.44444, collision = h0102B0
x = 235.0819, y = 202.7207, z = 490.7494, angle = -36.71498, collision = h0102B0
x = 236.043, y = 202.7176, z = 489.9628, angle = -123.3484, collision = h0102B0
x = 236.9971, y = 202.7104, z = 490.6034, angle = -63.29062, collision = h0102B0
x = 239.291, y = 202.7032, z = 488.5326, angle = -54.01698, collision = h0102B0
x = 240.4442, y = 202.7017, z = 487.5548, angle = -28.42253, collision = h0102B0
x = 241.0501, y = 202.7035, z = 486.7075, angle = -27.96002, collision = h0102B0
x = 241.6912, y = 202.7079, z = 485.4775, angle = -33.35593, collision = h0102B0
x = 242.4044, y = 202.7115, z = 484.3758, angle = -45.47022, collision = h0102B0
x = 243.1974, y = 202.7135, z = 483.4621, angle = -59.15178, collision = h0102B0
x = 244.2999, y = 202.7094, z = 482.8242, angle = -88.78889, collision = h0102B0
x = 245.6507, y = 202.7023, z = 482.8669, angle = -112.1402, collision = h0102B0
x = 246.6582, y = 202.7005, z = 483.1773, angle = -129.1736, collision = h0102B0
x = 247.7699, y = 202.7017, z = 484.0467, angle = -107.7618, collision = h0102B0
x = 248.8567, y = 202.7953, z = 484.5179, angle = -38.4788, collision = h0102B0
x = 248.6694, y = 202.7055, z = 482.8295, angle = -18.98686, collision = h0102B0
x = 249.1196, y = 202.7054, z = 481.9, angle = -32.6271, collision = h0102B0
x = 249.8081, y = 202.7041, z = 480.8618, angle = -133.4803, collision = h0102B0
x = 248.7559, y = 202.7114, z = 480.7428, angle = 97.50211, collision = h0102B0
x = 247.4622, y = 202.7161, z = 480.9073, angle = 116.5885, collision = h0102B0
x = 246.1624, y = 202.7092, z = 481.582, angle = 124.2578, collision = h0102B0
x = 242.0104, y = 202.7214, z = 487.1042, angle = -149.3417, collision = h0104B0
x = 246.7512, y = 274.8617, z = 489.4759, angle = -118.8127, collision = h0104B0
x = 247.7351, y = 274.8617, z = 490.2666, angle = -126.0193, collision = h0104B0
x = 247.1481, y = 274.8624, z = 491.149, angle = 117.3909, collision = h0104B0
x = 246.1259, y = 274.8617, z = 491.7316, angle = 121.7009, collision = h0104B0
x = 244.9479, y = 274.8617, z = 492.313, angle = -167.3317, collision = h0104B0
x = 247.1098, y = 274.8678, z = 492.7257, angle = -120.0687, collision = h0104B0
x = 247.9722, y = 274.8673, z = 493.272, angle = 174.0399, collision = h0000B0
x = 247.8821, y = 274.8605, z = 494.5508, angle = 163.1065, collision = h0000B0
x = 247.1463, y = 274.8575, z = 495.3519, angle = 119.3165, collision = h0000B0
x = 245.9117, y = 274.8594, z = 496.1702, angle = 163.8331, collision = h0000B0
x = 245.5197, y = 274.8615, z = 497.3862, angle = 127.8406, collision = h0000B0
x = 244.7238, y = 274.8636, z = 498.246, angle = 173.7769, collision = h0000B0
x = 244.6536, y = 274.8656, z = 499.6926, angle = -163.9038, collision = h0000B0
x = 245.0772, y = 274.8666, z = 500.9319, angle = -111.5215, collision = h0000B0
x = 246.4151, y = 274.8657, z = 501.5414, angle = -147.1673, collision = h0000B0
x = 247.225, y = 274.866, z = 502.5754, angle = -102.9043, collision = h0000B0
x = 248.5058, y = 274.8651, z = 503.2053, angle = -174.9416, collision = h0000B0
x = 248.6169, y = 274.8667, z = 504.5049, angle = -175.3008, collision = h0000B0
x = 249.1172, y = 274.8677, z = 505.7509, angle = -111.2984, collision = h0000B0
x = 250.337, y = 274.8668, z = 506.2589, angle = -124.0165, collision = h0000B0
x = 251.5896, y = 274.8662, z = 507.0605, angle = -144.6481, collision = h0000B0
x = 252.3284, y = 274.8667, z = 508.1132, angle = -159.1866, collision = h0000B0
x = 252.7153, y = 274.8674, z = 509.0947, angle = -149.099, collision = h0000B0
x = 253.3529, y = 274.8682, z = 510.1532, angle = -134.3691, collision = h0000B0
x = 254.2301, y = 274.8691, z = 510.9872, angle = -85.15768, collision = h0000B0
x = 255.4364, y = 274.8697, z = 510.9746, angle = -28.09636, collision = h0000B0
x = 256.1793, y = 274.8695, z = 509.7868, angle = -19.51317, collision = h0000B0
x = 256.5169, y = 274.8691, z = 508.7851, angle = -50.46578, collision = h0000B0
x = 257.5424, y = 274.8831, z = 507.8881, angle = -59.09242, collision = h0000B0
x = 258.6185, y = 275.4508, z = 507.1183, angle = -86.31794, collision = h0000B0
x = 259.7038, y = 275.4508, z = 506.9996, angle = -4.174038, collision = h0000B0
x = 258.4305, y = 275.4508, z = 505.8064, angle = 74.64682, collision = h0000B0
x = 257.2829, y = 275.4508, z = 505.3784, angle = 31.61436, collision = h0000B0
x = 256.4965, y = 275.3215, z = 504.4116, angle = 13.23263, collision = h0000B0
x = 256.1277, y = 274.866, z = 503.0241, angle = 57.46778, collision = h0000B0
x = 255.354, y = 274.8652, z = 502.335, angle = 74.51902, collision = h0000B0
x = 254.0242, y = 274.8644, z = 501.9432, angle = 97.59531, collision = h0000B0
x = 252.7336, y = 274.8638, z = 502.0774, angle = 128.7556, collision = h0000B0
x = 251.6533, y = 274.8636, z = 502.9138, angle = 109.4056, collision = h0000B0
x = 250.2249, y = 274.8635, z = 503.6721, angle = 117.189, collision = h0000B0
x = 245.5648, y = 274.8633, z = 498.8274, angle = -36.15365, collision = h0000B0
x = 247.7431, y = 274.8583, z = 496.3192, angle = -165.2457, collision = h0000B0
x = 248.248, y = 274.8591, z = 497.3432, angle = 103.0929, collision = h0000B0
x = 247.3081, y = 274.8597, z = 497.8156, angle = 105.8648, collision = h0000B0
x = 247.4142, y = 274.8614, z = 499.1989, angle = -76.05719, collision = h0000B0
x = 248.4668, y = 274.8601, z = 499.0932, angle = -53.25004, collision = h0000B0
x = 249.5256, y = 274.8602, z = 498.3825, angle = -83.50996, collision = h0000B0
x = 250.8083, y = 274.8607, z = 498.0373, angle = -128.96, collision = h0000B0
x = 251.6857, y = 274.8615, z = 498.6206, angle = -156.7763, collision = h0000B0
x = 252.2988, y = 274.8624, z = 499.8778, angle = -95.28865, collision = h0000B0
x = 253.4099, y = 274.8632, z = 500.2934, angle = -29.73184, collision = h0000B0
x = 254.1242, y = 274.8632, z = 499.4953, angle = 15.69164, collision = h0000B0
x = 253.8723, y = 274.8624, z = 498.1736, angle = 48.73158, collision = h0000B0
x = 252.9668, y = 274.8614, z = 497.2175, angle = 55.04005, collision = h0000B0
x = 252.0303, y = 274.8605, z = 496.4736, angle = 45.83392, collision = h0000B0
x = 251.0623, y = 274.8603, z = 495.6393, angle = 25.18119, collision = h0000B0
x = 250.416, y = 274.8648, z = 494.3564, angle = -7.10632, collision = h0000B0
x = 250.4684, y = 274.8701, z = 493.1069, angle = -39.02921, collision = h0000B0
x = 251.1553, y = 274.8752, z = 492.1237, angle = -61.08448, collision = h0000B0
x = 252.2627, y = 274.8783, z = 491.468, angle = -41.65544, collision = h0000B0
x = 252.9025, y = 274.8767, z = 490.0921, angle = -21.3306, collision = h0000B0
x = 253.4914, y = 274.8754, z = 488.9798, angle = -61.35879, collision = h0000B0
x = 254.7384, y = 274.8739, z = 488.263, angle = -50.37393, collision = h0000B0
x = 255.5692, y = 274.8727, z = 487.6011, angle = -60.01501, collision = h0000B0
x = 256.3831, y = 274.8727, z = 488.3211, angle = 177.4749, collision = h0000B0
x = 256.5932, y = 274.8733, z = 489.3458, angle = 141.503, collision = h0000B0
x = 255.9474, y = 274.8747, z = 490.5448, angle = -159.6993, collision = h0000B0
x = 257.0185, y = 274.8748, z = 491.718, angle = -70.03705, collision = h0000B0
x = 258.0478, y = 274.8738, z = 491.5133, angle = -53.12962, collision = h0000B0
x = 259.1673, y = 274.8724, z = 490.8165, angle = -112.3477, collision = h0000B0
x = 259.4055, y = 274.8732, z = 492.0452, angle = 166.4909, collision = h0000B0
x = 259.128, y = 274.8744, z = 493.2546, angle = -163.2822, collision = h0000B0
x = 259.4284, y = 274.875, z = 494.3557, angle = 158.6622, collision = h0000B0
x = 259.0695, y = 274.8713, z = 495.647, angle = 143.4598, collision = h0000B0
x = 258.2621, y = 274.8659, z = 496.6748, angle = 64.39206, collision = h0000B0
x = 257.1697, y = 274.8654, z = 496.4255, angle = 10.11678, collision = h0000B0
x = 256.7642, y = 274.87, z = 495.2167, angle = -2.545352, collision = h0000B0
x = 256.8128, y = 274.876, z = 493.8024, angle = -58.66994, collision = h0000B0
x = 257.6273, y = 274.8754, z = 493.144, angle = -82.04567, collision = h0000B0
x = 260.2648, y = 274.8735, z = 493.2827, angle = -112.5976, collision = h0000B0
x = 261.3568, y = 274.873, z = 493.7075, angle = -144.2471, collision = h0000B0
x = 262.2483, y = 274.873, z = 494.6617, angle = -145.9796, collision = h0000B0
x = 262.9541, y = 274.8734, z = 495.8294, angle = -158.4915, collision = h0000B0
x = 263.3717, y = 274.8721, z = 496.8818, angle = 161.1641, collision = h0000B0
x = 263.1325, y = 274.8671, z = 498.1509, angle = -152.2383, collision = h0000B0
x = 264.1444, y = 274.8682, z = 499.3181, angle = -113.6546, collision = h0000B0
x = 265.1436, y = 274.869, z = 499.8074, angle = -95.41077, collision = h0000B0
x = 266.3172, y = 274.8697, z = 500.1594, angle = -63.84967, collision = h0000B0
x = 267.4861, y = 274.87, z = 499.5979, angle = 0.9929593, collision = h0000B0
x = 266.9164, y = 274.8709, z = 498.3296, angle = 88.36288, collision = h0000B0
x = 265.7517, y = 274.8687, z = 498.4521, angle = 135.1693, collision = h0000B0
x = 264.0893, y = 274.8689, z = 500.7748, angle = -161.9968, collision = h0000B0
x = 263.886, y = 274.8757, z = 502.2622, angle = 143.1884, collision = h0000B0
x = 263.1951, y = 275.4507, z = 503.2638, angle = -172.7462, collision = h0000B0
x = 263.0984, y = 275.4508, z = 504.4275, angle = 158.2096, collision = h0000B0
x = 262.0918, y = 275.4507, z = 502.6222, angle = 23.12126, collision = h0000B0
x = 261.5969, y = 275.4266, z = 501.4384, angle = 53.30164, collision = h0000B0
x = 260.7272, y = 275.4492, z = 500.7171, angle = 43.94821, collision = h0000B0
x = 259.7553, y = 274.8662, z = 499.7644, angle = 25.09014, collision = h0000B0
x = 259.1404, y = 274.8653, z = 498.5877, angle = 96.14106, collision = h0000B0
x = 258.1285, y = 274.8646, z = 498.2618, angle = 142.9681, collision = h0000B0
x = 257.1848, y = 274.8647, z = 499.4076, angle = 157.4103, collision = h0000B0
x = 256.7114, y = 274.8651, z = 500.636, angle = 179.6481, collision = h0000B0
x = 256.7824, y = 274.8658, z = 502.1085, angle = -166.7143, collision = h0000B0
x = 257.1021, y = 275.1682, z = 503.3918, angle = 169.5307, collision = h0000B0
x = 257.0273, y = 275.261, z = 506.3817, angle = -119.3428, collision = h0000B0
x = 257.8845, y = 275.1844, z = 502.6325, angle = -134.651, collision = h0000B0
