x = 177.8432, y = 207.2, z = 131.9724, angle = -100, collision = h0000B1_0000
x = 203.0204, y = 189.2, z = 156.4603, angle = -118.5872, collision = h0001B1_0000
x = 203.9063, y = 189.2, z = 157.0495, angle = -97.21368, collision = h0001B1_0000
x = 205.322, y = 188.9027, z = 157.2624, angle = -99.3681, collision = h0001B1_0000
x = 206.2641, y = 188.3594, z = 157.4202, angle = -98.7765, collision = h0001B1_0000
x = 207.2082, y = 187.8167, z = 157.5663, angle = -97.94324, collision = h0001B1_0000
x = 208.1546, y = 187.2752, z = 157.6954, angle = -96.7943, collision = h0001B1_0000
x = 209.1028, y = 186.7346, z = 157.8117, angle = -106.988, collision = h0001B1_0000
x = 210.0192, y = 186.1902, z = 158.073, angle = -127.8321, collision = h0001B1_0000
x = 211.1133, y = 185.8, z = 158.9774, angle = -149.6148, collision = h0001B1_0000
x = 211.8679, y = 185.2095, z = 160.0015, angle = -125.4958, collision = h0001B1_0000
x = 212.6305, y = 184.6697, z = 160.5749, angle = -123.1303, collision = h0001B1_0000
x = 213.4277, y = 184.138, z = 161.1011, angle = -130.8649, collision = h0001B1_0000
x = 214.1564, y = 183.5911, z = 161.7182, angle = -134.2365, collision = h0001B1_0000
x = 214.84, y = 183.0453, z = 162.3854, angle = -137.8941, collision = h0001B1_0000
x = 215.4845, y = 182.5, z = 163.0903, angle = -141.4734, collision = h0001B1_0000
x = 216.3478, y = 182.3061, z = 164.2319, angle = -161.5482, collision = h0001B1_0000
x = 216.6991, y = 181.6779, z = 165.2759, angle = 178.9331, collision = h0001B1_00
x = 216.7473, y = 181.0116, z = 166.4765, angle = 178.8944, collision = h0001B1_0000
x = 216.7324, y = 180.4831, z = 167.4316, angle = -177.4536, collision = h0001B1_0000
x = 216.7697, y = 179.9507, z = 168.3862, angle = -170.6743, collision = h0001B1_0000
x = 216.8983, y = 179.4102, z = 169.3309, angle = -167.8678, collision = h0001B1_0000
x = 217.1662, y = 179, z = 170.5793, angle = -176.8236, collision = h0001B1_0000
x = 217.1613, y = 179, z = 171.9942, angle = 164.4365, collision = h0001B1_0000
x = 216.8483, y = 179, z = 173.3804, angle = 173.1331, collision = h0001B1_0000
x = 216.6717, y = 179, z = 174.8024, angle = 173.8309, collision = h0001B1_0000
x = 216.6639, y = 179, z = 176.2235, angle = -170.8538, collision = h0001B1_0000
x = 216.8733, y = 179, z = 177.483, angle = -170.0533, collision = h0001B1_0000
x = 217.1248, y = 179, z = 178.8936, angle = -175.3344, collision = h0001B1_0000
x = 217.2243, y = 179, z = 180.3215, angle = -177.7949, collision = h0001B1_0000
x = 217.2784, y = 179, z = 181.7534, angle = -175.8929, collision = h0001B1_0000
x = 217.4079, y = 179, z = 183.18, angle = -176.9813, collision = h0001B1_0000
x = 217.452, y = 179, z = 184.61, angle = -140.2073, collision = h0001B1_0000
x = 218.372, y = 179, z = 185.6105, angle = -122.6248, collision = h0001B1_0000
x = 219.434, y = 179, z = 186.3006, angle = -135.0412, collision = h0001B1_0000
x = 219.7006, y = 179, z = 187.3484, angle = 83.78778, collision = h0001B1_0000
x = 218.2954, y = 179, z = 187.2581, angle = 97.59348, collision = h0001B1_0000
x = 216.8902, y = 179, z = 187.5341, angle = 174.3125, collision = h0001B1_0000
x = 216.87, y = 179, z = 188.6531, angle = -106.5242, collision = h0001B1_0000
x = 218.2211, y = 179, z = 189.107, angle = -108.963, collision = h0001B1_0000
x = 219.5533, y = 179, z = 189.6133, angle = 172.1991, collision = h0001B1_0000
x = 219.1723, y = 179, z = 190.7799, angle = 94.41675, collision = h0001B1_0000
x = 217.7698, y = 179, z = 190.979, angle = 124.2129, collision = h0001B1_0000
x = 216.9877, y = 179, z = 191.9523, angle = -160.1696, collision = h0001B1_0000
x = 217.5625, y = 179, z = 193.0248, angle = -107.0826, collision = h0001B1_0000
x = 218.9111, y = 179, z = 193.5037, angle = -110.1453, collision = h0001B1_0000
x = 220.1647, y = 179, z = 194.1207, angle = -178.5188, collision = h0001B1_0000
x = 220.1249, y = 179, z = 195.4972, angle = 142.598, collision = h0001B1_0000
x = 219.1904, y = 179, z = 196.5443, angle = 108.9263, collision = h0001B1_0000
x = 217.814, y = 179, z = 196.85, angle = 103.0801, collision = h0001B1_0000
x = 216.568, y = 179, z = 196.85, angle = 71.56757, collision = h0001B1_0000
x = 215.545, y = 179, z = 196.1446, angle = -11.56682, collision = h0001B1_0000
x = 216.6434, y = 179, z = 195.5298, angle = -66.71043, collision = h0001B1_0000
x = 218.1929, y = 179, z = 195.909, angle = -16.58996, collision = h0001B1_0000
x = 216.7753, y = 179, z = 194.4557, angle = -12.86006, collision = h0001B1_0000
x = 216.148, y = 179, z = 191.3148, angle = 81.18076, collision = h0001B1_0000
x = 214.8514, y = 179, z = 191.1942, angle = 114.6843, collision = h0001B1_0000
x = 213.6131, y = 179.4, z = 191.8739, angle = 109.4769, collision = h0002B1_0000
x = 212.5159, y = 179.4, z = 191.9931, angle = 6.579603, collision = h0002B1_0000
x = 212.2731, y = 179.4, z = 190.6121, angle = 44.69013, collision = h0002B1_0000
x = 211.3544, y = 179.4, z = 189.542, angle = 43.60764, collision = h0002B1_0000
x = 210.4958, y = 179.4, z = 188.566, angle = 31.46973, collision = h0002B1_0000
x = 209.7328, y = 179.4, z = 187.3538, angle = 44.74984, collision = h0002B1_0000
x = 208.8834, y = 179.4, z = 186.4138, angle = 33.90726, collision = h0002B1_0000
x = 208.0642, y = 179.4, z = 185.2386, angle = 18.02727, collision = h0002B1_0000
x = 207.652, y = 179.4, z = 183.8876, angle = 7.865414, collision = h0002B1_0000
x = 207.6176, y = 179.4, z = 182.4651, angle = -24.02173, collision = h0002B1_0000
x = 208.2398, y = 179.4, z = 181.19, angle = -30.89796, collision = h0002B1_0000
x = 208.8874, y = 179.4, z = 179.9212, angle = -16.01014, collision = h0002B1_0000
x = 209.1792, y = 179.4, z = 178.5263, angle = -0.8728845, collision = h0002B1_0000
x = 209.2166, y = 179.4, z = 177.2508, angle = -7.299368, collision = h0002B1_0000
x = 209.4089, y = 179.4, z = 175.8312, angle = -13.4499, collision = h0002B1_0000
x = 209.5545, y = 179.4, z = 174.4302, angle = 69.54211, collision = h0002B1_0000
x = 208.2773, y = 179.4, z = 173.976, angle = 114.7463, collision = h0002B1_0000
x = 207.2245, y = 179.4, z = 174.7665, angle = 165.3494, collision = h0002B1_0000
x = 206.7824, y = 179.4, z = 175.8312, angle = 154.6046, collision = h0002B1_0000
x = 205.4517, y = 179.4, z = 175.8616, angle = 109.9174, collision = h0002B1_0000
x = 204.1288, y = 179.4, z = 176.4003, angle = 130.536, collision = h0002B1_0000
x = 203.2442, y = 179.4, z = 177.2003, angle = 133.2722, collision = h0002B1_0000
x = 202.8157, y = 179.4, z = 176.1664, angle = 44.2896, collision = h0002B1_0000
x = 201.9231, y = 179.4, z = 175.2596, angle = 47.76171, collision = h0002B1_0000
x = 200.8337, y = 179.4, z = 174.3574, angle = 78.08432, collision = h0002B1_0000
x = 199.6238, y = 179.4, z = 173.7743, angle = 47.09008, collision = h0002B1_0000
x = 198.4616, y = 179.4, z = 173.8402, angle = 123.1009, collision = h0002B1_0000
x = 197.2924, y = 179.4, z = 174.6534, angle = -179.1275, collision = h0002B1_0000
x = 197.6654, y = 179.4, z = 175.6618, angle = -48.02299, collision = h0002B1_0000
x = 200.0751, y = 179.4, z = 175.2253, angle = -178.3418, collision = h0002B1_0000
x = 198.9263, y = 179.4, z = 175.3829, angle = -115.1869, collision = h0002B1_0000
x = 201.0331, y = 179.4, z = 176.0268, angle = -94.24181, collision = h0002B1_0000
x = 208.087, y = 179.4, z = 175.4763, angle = -84.44439, collision = h0002B1_0000
x = 210.1851, y = 179.4, z = 178.4155, angle = -92.79124, collision = h0002B1_0000
x = 208.1475, y = 179.4, z = 177.7111, angle = 105.0427, collision = h0002B1_0000
x = 206.806, y = 179.4, z = 178.1676, angle = 139.0118, collision = h0002B1_0000
x = 205.9755, y = 179.4, z = 179.3003, angle = 154.9705, collision = h0002B1_0000
x = 205.3008, y = 179.4, z = 180.5457, angle = 66.7845, collision = h0002B1_0000
x = 204.2107, y = 179.4, z = 179.9781, angle = 32.59571, collision = h0002B1_0000
x = 203.3664, y = 179.4, z = 179.0905, angle = 110.4742, collision = h0002B1_0000
x = 202.1266, y = 179.4, z = 179.6729, angle = 129.764, collision = h0002B1_0000
x = 200.9385, y = 179.4, z = 180.3491, angle = 93.82966, collision = h0002B1_0000
x = 199.5116, y = 179.4, z = 180.3514, angle = 69.40946, collision = h0002B1_0000
x = 198.263, y = 179.4, z = 179.7108, angle = 34.19965, collision = h0002B1_0000
x = 197.4972, y = 179.4, z = 178.53, angle = 69.3006, collision = h0002B1_0000
x = 198.6394, y = 179.4, z = 180.9292, angle = 132.8532, collision = h0002B1_0000
x = 197.8777, y = 179.4, z = 182.0587, angle = -134.0172, collision = h0002B1_0000
x = 198.9202, y = 179.4, z = 182.687, angle = -51.50131, collision = h0002B1_0000
x = 199.8987, y = 179.4, z = 181.9006, angle = -63.17601, collision = h0002B1_0000
x = 201.1897, y = 179.4, z = 181.3649, angle = -79.28288, collision = h0002B1_0000
x = 202.5945, y = 179.4, z = 181.0839, angle = -76.5769, collision = h0002B1_0000
x = 206.7694, y = 179.4, z = 180.176, angle = -98.2984, collision = h0002B1_0000
x = 209.6317, y = 179.4, z = 180.6708, angle = -162.9521, collision = h0002B1_0000
x = 209.7089, y = 179.4, z = 181.9452, angle = 120.4679, collision = h0002B1_0000
x = 206.5657, y = 179.4, z = 182.3392, angle = 110.7321, collision = h0002B1_0000
x = 205.2212, y = 179.4, z = 182.8093, angle = 113.1449, collision = h0002B1_0000
x = 204.0458, y = 179.4, z = 183.3074, angle = 110.4441, collision = h0002B1_0000
x = 202.7014, y = 179.4, z = 183.8032, angle = 108.8897, collision = h0002B1_0000
x = 201.3447, y = 179.4, z = 184.2641, angle = 107.3875, collision = h0002B1_0000
x = 199.9778, y = 179.4, z = 184.6941, angle = 110.6152, collision = h0002B1_0000
x = 199.3756, y = 179.4, z = 185.7262, angle = -116.4286, collision = h0002B1_0000
x = 200.672, y = 179.4, z = 186.201, angle = -83.11983, collision = h0002B1_0000
x = 201.9268, y = 179.4, z = 186.0263, angle = -103.4989, collision = h0002B1_0000
x = 203.0245, y = 179.4, z = 186.62, angle = -151.0203, collision = h0002B1_0000
x = 203.5672, y = 179.4, z = 187.8275, angle = -160.8543, collision = h0002B1_0000
x = 204.6987, y = 179.4, z = 188.028, angle = -88.91496, collision = h0002B1_0000
x = 206.125, y = 179.4, z = 187.9978, angle = -88.11705, collision = h0002B1_0000
x = 207.557, y = 179.4, z = 187.9778, angle = -98.69125, collision = h0002B1_0000
x = 208.9754, y = 179.4, z = 188.181, angle = -97.04105, collision = h0002B1_0000
x = 210.7636, y = 179.4, z = 190.5141, angle = 175.3773, collision = h0002B1_0000
x = 210.9492, y = 179.4, z = 191.54, angle = -88.41364, collision = h0002B1_0000
x = 215.2873, y = 179, z = 192.1847, angle = -142.0435, collision = h0001B1_0000
x = 213.3845, y = 179.4, z = 190.7772, angle = 90.12926, collision = h0002B1_0000
x = 209.4532, y = 179.4, z = 190.0015, angle = 93.04845, collision = h0002B1_0000
x = 208.0222, y = 179.4, z = 190.0747, angle = 92.88715, collision = h0002B1_0000
x = 206.5907, y = 179.4, z = 190.1387, angle = 92.20609, collision = h0002B1_0000
x = 205.1645, y = 179.4, z = 190.2462, angle = 103.1247, collision = h0002B1_0000
x = 203.9137, y = 179.4, z = 190.4973, angle = 95.64872, collision = h0002B1_0000
x = 202.4867, y = 179.4, z = 190.5781, angle = 81.30647, collision = h0002B1_0000
x = 201.0698, y = 179.4, z = 190.3653, angle = 83.74424, collision = h0002B1_0000
x = 199.6579, y = 179.4, z = 190.129, angle = 75.26396, collision = h0002B1_0000
x = 198.2614, y = 179.4, z = 189.8145, angle = 90.13398, collision = h0002B1_0000
x = 196.8385, y = 179.4, z = 189.8848, angle = 112.7325, collision = h0002B1_0000
x = 195.7045, y = 179.4, z = 190.6435, angle = -167.0331, collision = h0002B1_0000
x = 195.9612, y = 179.4, z = 191.8341, angle = -102.9988, collision = h0002B1_0000
x = 197.2831, y = 179.4, z = 192.0495, angle = -74.91626, collision = h0002B1_0000
x = 198.6707, y = 179.4, z = 191.7486, angle = -85.89465, collision = h0002B1_0000
x = 200.099, y = 179.4, z = 191.6338, angle = -82.35182, collision = h0002B1_0000
x = 201.5025, y = 179.4, z = 191.3615, angle = -75.48806, collision = h0002B1_0000
x = 208.4058, y = 179.4, z = 191.0773, angle = -115.6827, collision = h0002B1_0000
x = 209.6652, y = 179.4, z = 191.7448, angle = -149.7814, collision = h0002B1_0000
x = 210.2588, y = 179.4, z = 192.9999, angle = 147.502, collision = h0002B1_0000
x = 209.5995, y = 179.4, z = 194.0181, angle = 117.9968, collision = h0002B1_0000
x = 208.2896, y = 179.4, z = 194.5733, angle = 97.52873, collision = h0002B1_0000
x = 206.8694, y = 179.4, z = 194.7631, angle = 94.45398, collision = h0002B1_0000
x = 205.4401, y = 179.4, z = 194.8275, angle = 86.81512, collision = h0002B1_0000
x = 204.0092, y = 179.4, z = 194.754, angle = 85.70148, collision = h0002B1_0000
x = 202.5801, y = 179.4, z = 194.6496, angle = 89.06577, collision = h0002B1_0000
x = 201.1485, y = 179.4, z = 194.6541, angle = 97.55429, collision = h0002B1_0000
x = 199.8815, y = 179.4, z = 194.8103, angle = 99.66114, collision = h0002B1_0000
x = 198.5078, y = 179.4, z = 195.1664, angle = -171.6819, collision = h0002B1_0000
x = 200.234, y = 179.4, z = 195.8801, angle = -148.7707, collision = h0002B1_0000
x = 201.1764, y = 179.4, z = 196.9015, angle = -78.70782, collision = h0002B1_0000
x = 202.4162, y = 179.4, z = 196.6665, angle = -85.98834, collision = h0002B1_0000
x = 203.8398, y = 179.4, z = 196.5313, angle = -87.9392, collision = h0002B1_0000
x = 205.2712, y = 179.4, z = 196.5195, angle = -93.82123, collision = h0002B1_0000
x = 206.7015, y = 179.4, z = 196.6027, angle = -130.5616, collision = h0002B1_0000
x = 207.6475, y = 179.4, z = 197.5245, angle = -159.582, collision = h0002B1_0000
x = 208.1837, y = 179.4, z = 198.8522, angle = -105.0923, collision = h0002B1_0000
x = 209.4884, y = 179.4, z = 199.2573, angle = -102.5021, collision = h0002B1_0000
x = 210.6648, y = 179.4, z = 199.6555, angle = 159.6553, collision = h0002B1_0000
x = 210.091, y = 179.4, z = 200.7227, angle = 86.30064, collision = h0002B1_0000
x = 208.6967, y = 179.4, z = 200.5362, angle = 82.80584, collision = h0002B1_0000
x = 207.285, y = 179.4, z = 200.383, angle = 89.85062, collision = h0002B1_0000
x = 205.8532, y = 179.4, z = 200.357, angle = 86.66965, collision = h0002B1_0000
x = 204.4229, y = 179.4, z = 200.2706, angle = 91.07568, collision = h0002B1_0000
x = 203.1465, y = 179.4, z = 200.2649, angle = 79.35307, collision = h0002B1_0000
x = 201.7413, y = 179.4, z = 200.0119, angle = 73.59754, collision = h0002B1_0000
x = 200.3581, y = 179.4, z = 199.6405, angle = 91.78695, collision = h0002B1_0000
x = 198.9419, y = 179.4, z = 199.7461, angle = 145.0619, collision = h0002B1_0000
x = 198.2846, y = 179.4, z = 200.9055, angle = -170.6078, collision = h0002B1_0000
x = 198.5088, y = 179.4, z = 202.3162, angle = -170.23, collision = h0002B1_0000
x = 198.6281, y = 179.4, z = 203.5625, angle = 140.3964, collision = h0002B1_0000
x = 197.9921, y = 179.4, z = 204.7164, angle = -114.5849, collision = h0002B1_0000
x = 199.2416, y = 179.4, z = 204.9033, angle = -41.61067, collision = h0002B1_0000
x = 200.2296, y = 179.4, z = 203.8766, angle = -64.0471, collision = h0002B1_0000
x = 201.5194, y = 179.4, z = 203.2657, angle = -72.44876, collision = h0002B1_0000
x = 202.8801, y = 179.4, z = 202.8167, angle = -68.87222, collision = h0002B1_0000
x = 204.0776, y = 179.4, z = 202.3743, angle = -74.8011, collision = h0002B1_0000
x = 205.4682, y = 179.4, z = 202.0446, angle = -93.73534, collision = h0002B1_0000
x = 206.8908, y = 179.4, z = 202.181, angle = -86.00409, collision = h0002B1_0000
x = 208.3205, y = 179.4, z = 202.1747, angle = -99.73515, collision = h0002B1_0000
x = 209.6925, y = 179.4, z = 202.4936, angle = -150.0207, collision = h0002B1_0000
x = 210.2639, y = 179.4, z = 203.7165, angle = 133.6815, collision = h0002B1_0000
x = 209.4091, y = 179.4, z = 204.6486, angle = 149.5546, collision = h0002B1_0000
x = 209.1347, y = 179.4, z = 205.8766, angle = -144.9812, collision = h0002B1_0000
x = 210.0715, y = 179.4, z = 206.9486, angle = -130.4705, collision = h0002B1_0000
x = 210.6494, y = 179.4, z = 208.0868, angle = 113.4631, collision = h0002B1_0000
x = 209.391, y = 179.4, z = 208.0528, angle = 83.93079, collision = h0002B1_0000
x = 207.9942, y = 179.4, z = 208.0969, angle = 86.78481, collision = h0002B1_0000
x = 206.7198, y = 179.4, z = 208.0439, angle = 85.45985, collision = h0002B1_0000
x = 205.2916, y = 179.4, z = 207.9267, angle = 84.46782, collision = h0002B1_0000
x = 203.8752, y = 179.4, z = 207.7829, angle = 82.52126, collision = h0002B1_0000
x = 202.4547, y = 179.4, z = 207.5958, angle = 73.94591, collision = h0002B1_0000
x = 201.0854, y = 179.4, z = 207.1888, angle = 67.02365, collision = h0002B1_0000
x = 199.7555, y = 179.4, z = 206.6559, angle = 74.95132, collision = h0002B1_0000
x = 198.5183, y = 179.4, z = 206.352, angle = 107.0721, collision = h0002B1_0000
x = 197.4318, y = 179.4, z = 207.0332, angle = -148.3281, collision = h0002B1_0000
x = 198.2911, y = 179.4, z = 207.9946, angle = -73.8755, collision = h0002B1_0000
x = 205.6853, y = 179.4, z = 208.8718, angle = -123.8658, collision = h0002B1_0000
x = 206.9324, y = 179.4, z = 209.2068, angle = -58.80027, collision = h0002B1_0000
x = 208.4852, y = 179.4, z = 208.9733, angle = 156.6184, collision = h0002B1_0000
x = 205.0765, y = 179.4, z = 209.8471, angle = 152.8736, collision = h0002B1_0000
x = 204.3798, y = 179.4, z = 211.0782, angle = 165.7994, collision = h0003B1_0000
x = 203.95, y = 179, z = 212.4432, angle = 148.3963, collision = h0003B1_0000
x = 203.1558, y = 179, z = 213.6273, angle = 151.5004, collision = h0003B1_0000
x = 202.2677, y = 179, z = 214.4765, angle = 125.6835, collision = h0003B1_0000
x = 201.2305, y = 179, z = 215.2037, angle = 116.1327, collision = h0003B1_0000
x = 199.9147, y = 179, z = 215.7515, angle = 105.3428, collision = h0003B1_0000
x = 198.5468, y = 179, z = 216.1685, angle = 120.5439, collision = h0003B1_0000
x = 197.348, y = 179, z = 216.9419, angle = 142.6044, collision = h0003B1_0000
x = 196.5508, y = 179, z = 218.1163, angle = 158.6103, collision = h0003B1_0000
x = 196.0408, y = 179, z = 219.4553, angle = 156.7784, collision = h0003B1_0000
x = 195.5441, y = 179, z = 220.6313, angle = 165.8271, collision = h0003B1_0000
x = 195.1786, y = 179, z = 222.0164, angle = 170.202, collision = h0003B1_0000
x = 195.0153, y = 179, z = 223.4301, angle = -95.28428, collision = h0003B1_0000
x = 196.1764, y = 179, z = 223.4067, angle = -27.6129, collision = h0003B1_0000
x = 196.7326, y = 179, z = 222.1228, angle = -20.16283, collision = h0003B1_0000
x = 197.3084, y = 179, z = 220.8416, angle = -40.90647, collision = h0003B1_0000
x = 198.2015, y = 179, z = 219.9374, angle = -59.16526, collision = h0003B1_0000
x = 199.4254, y = 179, z = 219.1924, angle = -58.34979, collision = h0003B1_0000
x = 200.6443, y = 179, z = 218.439, angle = -57.71037, collision = h0003B1_0000
x = 201.8611, y = 179, z = 217.6824, angle = -61.32868, collision = h0003B1_0000
x = 203.1236, y = 179, z = 217.0054, angle = -65.99299, collision = h0003B1_0000
x = 204.439, y = 179, z = 216.4386, angle = -71.87307, collision = h0003B1_0000
x = 205.6453, y = 179, z = 216.0506, angle = -76.89793, collision = h0003B1_0000
x = 207.0397, y = 179, z = 215.7211, angle = -73.21121, collision = h0003B1_0000
x = 208.3853, y = 179, z = 215.246, angle = -65.79816, collision = h0003B1_0000
x = 209.6439, y = 179, z = 214.5695, angle = -49.52095, collision = h0003B1_0000
x = 210.6789, y = 179, z = 213.5856, angle = -26.95679, collision = h0003B1_0000
x = 211.1827, y = 179, z = 212.2796, angle = 104.1832, collision = h0003B1_0000
x = 210.239, y = 179, z = 212.6208, angle = -164.0401, collision = h0003B1_0000
x = 211.7502, y = 179, z = 213.8377, angle = -127.6798, collision = h0003B1_0000
x = 212.1133, y = 179, z = 215.2012, angle = 122.5323, collision = h0003B1_0000
x = 211.0156, y = 179, z = 216.006, angle = 103.7046, collision = h0003B1_0000
x = 209.6255, y = 179, z = 216.3528, angle = 94.06473, collision = h0003B1_0000
x = 208.3637, y = 179, z = 216.4332, angle = 94.87347, collision = h0003B1_0000
x = 201.8041, y = 179, z = 216.627, angle = 84.77317, collision = h0003B1_0000
x = 200.5742, y = 179, z = 216.5154, angle = 84.77726, collision = h0003B1_0000
x = 196.1583, y = 179, z = 216.1114, angle = 92.19198, collision = h0003B1_0000
x = 194.9233, y = 179, z = 216.1475, angle = 102.4503, collision = h0003B1_0000
x = 193.5997, y = 179, z = 216.4391, angle = 164.3525, collision = h0003B1_0000
x = 193.1836, y = 179, z = 217.4035, angle = -119.5172, collision = h0003B1_0000
x = 194.2891, y = 179, z = 218.1051, angle = -101.4271, collision = h0003B1_0000
x = 195.537, y = 179, z = 218.4183, angle = -86.81709, collision = h0003B1_0000
x = 197.5361, y = 179, z = 218.3058, angle = -92.68583, collision = h0003B1_0000
x = 198.569, y = 179, z = 218.3159, angle = -99.49941, collision = h0003B1_0000
x = 201.7654, y = 179, z = 218.9289, angle = -95.84419, collision = h0003B1_0000
x = 203.1334, y = 179, z = 219.0978, angle = -95.38209, collision = h0003B1_0000
x = 204.3725, y = 179, z = 219.2214, angle = -95.83681, collision = h0003B1_0000
x = 205.7085, y = 179, z = 219.358, angle = -95.89064, collision = h0003B1_0000
x = 206.9797, y = 179, z = 219.489, angle = -96.00544, collision = h0003B1_0000
x = 208.2741, y = 179, z = 219.6179, angle = -96.2037, collision = h0003B1_0000
x = 209.5889, y = 179, z = 219.7603, angle = -96.02151, collision = h0003B1_0000
x = 210.6353, y = 179, z = 219.8765, angle = -120.4045, collision = h0003B1_0000
x = 211.7362, y = 179, z = 220.5194, angle = 155.142, collision = h0003B1_0000
x = 211.2913, y = 179, z = 221.6126, angle = 95.37325, collision = h0003B1_0000
x = 209.9386, y = 179, z = 221.8552, angle = 90.43223, collision = h0003B1_0000
x = 208.7055, y = 179, z = 221.8643, angle = 90.73031, collision = h0003B1_0000
x = 207.3389, y = 179, z = 221.8812, angle = 80.26815, collision = h0003B1_0000
x = 206.0963, y = 179, z = 221.7054, angle = 80.61381, collision = h0003B1_0000
x = 204.787, y = 179, z = 221.4857, angle = 81.43542, collision = h0003B1_0000
x = 203.5065, y = 179, z = 221.3001, angle = 84.31512, collision = h0003B1_0000
x = 202.4571, y = 179, z = 221.1945, angle = 83.73663, collision = h0003B1_0000
x = 201.0861, y = 179, z = 221.0548, angle = 87.59399, collision = h0003B1_0000
x = 199.8409, y = 179, z = 221.002, angle = 90.86253, collision = h0003B1_0000
x = 198.4468, y = 179, z = 221.0122, angle = 90.49747, collision = h0003B1_0000
x = 194.1093, y = 179, z = 221.8595, angle = 149.9562, collision = h0003B1_0000
x = 193.4158, y = 179, z = 222.9779, angle = -103.9673, collision = h0003B1_0000
x = 198.086, y = 179, z = 222.5823, angle = -74.31898, collision = h0003B1_0000
x = 199.3084, y = 179, z = 222.2258, angle = -88.32983, collision = h0003B1_0000
x = 200.6311, y = 179, z = 222.1355, angle = -92.09005, collision = h0003B1_0000
