x = -323.8972, y = -235.5255, z = 131.3129, angle = -78.64848, collision = h0000B2
x = -339.1515, y = -252.7989, z = 117.2044, angle = 151.0275, collision = h0101B2
x = -339.7373, y = -252.951, z = 118.2302, angle = 140.3443, collision = h0101B2
x = -339.7668, y = -252.9496, z = 119.4963, angle = -130.1756, collision = h0101B2
x = -338.678, y = -252.9582, z = 120.3415, angle = -122.4614, collision = h0101B2
x = -337.5136, y = -252.9761, z = 121.081, angle = -117.1243, collision = h0102B2
x = -336.3765, y = -252.9879, z = 121.3412, angle = -83.75471, collision = h0102B2
x = -335.1696, y = -253.0086, z = 121.2889, angle = -152.0737, collision = h0101B2
x = -334.5078, y = -253.0087, z = 122.4705, angle = -170.1213, collision = h0101B2
x = -334.2815, y = -252.9742, z = 123.8293, angle = -132.2705, collision = h0101B2
x = -333.4504, y = -253.0032, z = 124.4884, angle = -77.0413, collision = h0101B2
x = -332.2413, y = -253.1357, z = 123.8498, angle = -14.78685, collision = h0101B2
x = -332.9875, y = -253.1048, z = 123.0399, angle = 50.3842, collision = h0101B2
x = -338.5738, y = -253.0565, z = 118.496, angle = -81.97626, collision = h0101B2
x = -338.1036, y = -252.9716, z = 117.5543, angle = -100.344, collision = h0101B2
x = -336.691, y = -253.0704, z = 117.8669, angle = -105.6929, collision = h0101B2
x = -335.3672, y = -253.2003, z = 118.2546, angle = -109.843, collision = h0101B2
x = -334.1646, y = -253.2286, z = 118.657, angle = -116.7154, collision = h0101B2
x = -333.1409, y = -253.1429, z = 119.3494, angle = -164.6527, collision = h0101B2
x = -332.8276, y = -253.2184, z = 120.6842, angle = -177.9683, collision = h0101B2
x = -332.7104, y = -253.1839, z = 121.7417, angle = -155.3375, collision = h0101B2
x = -331.6446, y = -253.2262, z = 122.9422, angle = -7.871178, collision = h0101B2
x = -331.4884, y = -252.9806, z = 121.8281, angle = 7.100186, collision = h0101B2
x = -331.6729, y = -252.9232, z = 120.7313, angle = 27.90946, collision = h0101B2
x = -330.7802, y = -253.0631, z = 120.1545, angle = -64.90749, collision = h0101B2
x = -329.7081, y = -253.4069, z = 119.746, angle = -82.01261, collision = h0103B2
x = -328.6139, y = -253.6367, z = 119.6646, angle = -85.31946, collision = h0103B2
x = -327.2393, y = -254.2643, z = 119.5503, angle = -86.35838, collision = h0103B2
x = -326.1675, y = -254.8329, z = 119.483, angle = -85.18449, collision = h0103B2
x = -324.8237, y = -255.5243, z = 119.2228, angle = -64.76362, collision = h0103B2
x = -323.5891, y = -256.1328, z = 118.6058, angle = -54.40832, collision = h0103B2
x = -322.4635, y = -256.5515, z = 117.9834, angle = -70.88063, collision = h0103B2
x = -322.1908, y = -256.9575, z = 116.9997, angle = -37.48182, collision = h0103B2
x = -321.329, y = -257.5844, z = 115.9228, angle = -46.83479, collision = h0103B2
x = -320.3467, y = -258.1452, z = 114.9541, angle = -25.47812, collision = h0103B2
x = -319.7448, y = -258.7533, z = 113.7157, angle = -20.50632, collision = h0103B2
x = -319.3874, y = -259.2498, z = 112.707, angle = -4.337976, collision = h0103B2
x = -319.3032, y = -259.8726, z = 111.331, angle = 13.2017, collision = h0103B2
x = -319.5641, y = -260.3395, z = 109.9752, angle = 13.6349, collision = h0103B2
x = -319.8098, y = -260.656, z = 108.6183, angle = 21.39797, collision = h0103B2
x = -320.3851, y = -260.9816, z = 107.3947, angle = 46.66086, collision = h0103B2
x = -321.5443, y = -261.5807, z = 106.398, angle = 59.01841, collision = h0103B2
x = -322.7162, y = -261.9054, z = 105.6673, angle = 59.51813, collision = h0103B2
x = -323.9324, y = -262.1612, z = 105.0239, angle = 76.68164, collision = h0103B2
x = -325.2824, y = -262.3411, z = 104.7607, angle = 92.79346, collision = h0103B2
x = -326.6606, y = -262.5475, z = 104.817, angle = 98.92581, collision = h0103B2
x = -327.7185, y = -262.686, z = 104.9845, angle = 115.429, collision = h0103B2
x = -328.71, y = -262.8144, z = 105.366, angle = 118.6157, collision = h0103B2
x = -329.2325, y = -262.943, z = 106.3585, angle = 173.3477, collision = h0103B2
x = -329.2982, y = -263.1231, z = 107.4275, angle = 173.6543, collision = h0100B2
x = -329.1819, y = -263.1178, z = 108.788, angle = -175.0433, collision = h0100B2
x = -329.0299, y = -263.1929, z = 110.1573, angle = -167.7337, collision = h0100B2
x = -328.6212, y = -262.9571, z = 111.2693, angle = -62.28038, collision = h0100B2
x = -327.3828, y = -263.1988, z = 110.6963, angle = -25.86151, collision = h0100B2
x = -327.1026, y = -263.198, z = 109.2636, angle = 63.86918, collision = h0100B2
x = -327.4308, y = -263.1885, z = 108.2139, angle = 50.1158, collision = h0100B2
x = -330.0819, y = -263.0605, z = 105.7576, angle = 74.7841, collision = h0103B2
x = -331.2852, y = -263.1725, z = 106.1094, angle = 131.7985, collision = h0103B2
x = -331.933, y = -262.9832, z = 107.058, angle = 166.7774, collision = h0103B2
x = -332.0669, y = -263.0115, z = 108.0576, angle = 161.3378, collision = h0103B2
x = -332.3017, y = -263.2083, z = 109.1998, angle = 170.9843, collision = h0103B2
x = -332.3926, y = -263.7341, z = 109.8659, angle = 179.6264, collision = h0103B2
x = -332.3094, y = -264.5394, z = 110.6153, angle = -172.6021, collision = h0103B2
x = -332.2253, y = -265.2487, z = 111.0633, angle = -173.0006, collision = h0103B2
x = -332.1779, y = -265.8664, z = 111.4495, angle = -172.9374, collision = h0104B2
x = -332.0328, y = -268.3065, z = 112.6214, angle = -172.9374, collision = h0104B2
x = -332.008, y = -267.987, z = 113.6563, angle = -165.3949, collision = h0104B2
x = -331.7356, y = -267.5469, z = 114.7889, angle = 178.7026, collision = h0104B2
x = -331.8138, y = -267.3351, z = 115.9411, angle = -178.1371, collision = h0104B2
x = -331.977, y = -267.0957, z = 116.954, angle = 158.789, collision = h0104B2
x = -332.3907, y = -268.811, z = 111.9906, angle = 19.24325, collision = h0104B2
x = -332.6438, y = -269.3465, z = 110.9081, angle = 5.74255, collision = h0104B2
x = -332.5282, y = -269.7805, z = 109.9106, angle = -27.52867, collision = h0104B2
x = -332.1989, y = -270.1532, z = 108.8628, angle = -11.41573, collision = h0104B2
x = -331.8978, y = -270.4922, z = 107.8999, angle = -29.16783, collision = h0104B2
x = -331.4957, y = -270.6384, z = 106.9116, angle = -33.30332, collision = h0104B2
x = -330.8285, y = -270.8138, z = 106.0991, angle = -66.92009, collision = h0104B2
x = -329.8649, y = -270.9569, z = 105.3943, angle = -51.19074, collision = h0104B2
x = -328.9398, y = -271.0744, z = 104.8019, angle = -69.05387, collision = h0104B2
x = -327.9612, y = -271.2134, z = 104.4693, angle = -77.53797, collision = h0104B2
x = -326.8695, y = -271.6589, z = 104.3369, angle = -92.76219, collision = h0104B2
x = -325.7361, y = -272.0452, z = 104.5581, angle = -112.5102, collision = h0104B2
x = -324.7554, y = -272.6035, z = 105.1633, angle = -145.5776, collision = h0104B2
x = -324.1386, y = -273.1443, z = 106.101, angle = -146.1835, collision = h0104B2
x = -323.4985, y = -273.4537, z = 107.0951, angle = -154.1687, collision = h0104B2
x = -323.0815, y = -273.7766, z = 108.1111, angle = -176.5096, collision = h0104B2
x = -323.002, y = -274.1438, z = 109.1405, angle = -176.9124, collision = h0104B2
x = -323.0424, y = -274.5944, z = 110.3014, angle = 160.4653, collision = h0104B2
x = -323.4193, y = -275.1086, z = 111.2856, angle = 154.162, collision = h0104B2
x = -323.653, y = -275.309, z = 112.2728, angle = 143.1209, collision = h0104B2
x = -322.5376, y = -284.4101, z = 112.7912, angle = -97.10756, collision = h0105B2
x = -322.692, y = -284.9178, z = 111.7835, angle = 7.057976, collision = h0105B2
x = -322.8048, y = -285.4213, z = 110.8558, angle = 6.179108, collision = h0105B2
x = -322.9102, y = -285.8576, z = 109.8557, angle = 6.799959, collision = h0105B2
x = -323.0357, y = -285.9926, z = 108.7558, angle = 8.784402, collision = h0105B2
x = -323.5383, y = -286.275, z = 107.7076, angle = 27.67739, collision = h0105B2
x = -324.0746, y = -286.2965, z = 106.6651, angle = 43.30246, collision = h0105B2
x = -324.8866, y = -286.4816, z = 105.8448, angle = 39.86155, collision = h0105B2
x = -325.6577, y = -286.6228, z = 105.0443, angle = 52.02404, collision = h0105B2
x = -326.3154, y = -287.1839, z = 104.2206, angle = 94.90335, collision = h0105B2
x = -327.4182, y = -287.5153, z = 104.0404, angle = 105.7312, collision = h0105B2
x = -328.4604, y = -287.6012, z = 104.5183, angle = 122.3429, collision = h0105B2
x = -329.4212, y = -288.0236, z = 105.1848, angle = 114.1283, collision = h0105B2
x = -330.3472, y = -288.4872, z = 105.782, angle = 129.0867, collision = h0105B2
x = -331.1481, y = -288.9496, z = 106.4875, angle = 136.4085, collision = h0105B2
x = -331.9127, y = -289.5129, z = 107.5597, angle = 173.3403, collision = h0105B2
x = -331.6583, y = -289.874, z = 108.6615, angle = -176.1879, collision = h0105B2
x = -331.7374, y = -290.0053, z = 109.6892, angle = 177.8749, collision = h0105B2
x = -331.6911, y = -290.2005, z = 110.7057, angle = -167.8282, collision = h0105B2
x = -323.0623, y = -283.8706, z = 113.8036, angle = 147.8669, collision = h0105B2
x = -323.6061, y = -283.3816, z = 114.6546, angle = 145.1295, collision = h0105B2
x = -324.1245, y = -282.8755, z = 115.6382, angle = 172.5241, collision = h0105B2
x = -324.2843, y = -282.4956, z = 116.7355, angle = 170.5811, collision = h0105B2
x = -324.3466, y = -282.1663, z = 117.7571, angle = -166.7811, collision = h0105B2
x = -325.194, y = -283.0768, z = 115.9867, angle = 33.17708, collision = h0105B2
x = -332.8054, y = -290.4825, z = 109.8374, angle = 132.2022, collision = h0105B2
x = -333.9339, y = -291.9024, z = 110.6857, angle = 122.9877, collision = h0105B2
x = -334.9604, y = -291.6352, z = 110.8272, angle = 124.8161, collision = h0105B2
x = -336.0109, y = -291.3217, z = 111.3008, angle = 102.1955, collision = h0105B2
x = -337.1563, y = -290.8991, z = 111.5394, angle = 101.6191, collision = h0105B2
x = -338.319, y = -290.5788, z = 111.5759, angle = 80.57942, collision = h0105B2
x = -339.431, y = -290.4249, z = 111.2979, angle = 73.00626, collision = h0105B2
x = -340.5004, y = -290.4689, z = 111.1102, angle = 87.84499, collision = h0105B2
x = -334.0843, y = -292.3405, z = 109.5727, angle = -26.65627, collision = h0105B2
x = -333.5154, y = -292.782, z = 108.6098, angle = -38.373, collision = h0105B2
x = -332.8737, y = -293.2197, z = 107.8416, angle = -41.75465, collision = h0105B2
x = -332.2298, y = -293.7685, z = 106.9459, angle = -49.61882, collision = h0105B2
x = -331.4205, y = -294.3621, z = 106.3231, angle = -57.92701, collision = h0105B2
x = -330.4554, y = -294.7621, z = 105.7977, angle = -64.94888, collision = h0105B2
x = -329.3728, y = -294.8566, z = 105.3609, angle = -71.40756, collision = h0105B2
x = -328.2325, y = -295.139, z = 105.084, angle = -84.17825, collision = h0105B2
x = -327.0821, y = -295.3246, z = 105.0293, angle = -93.43053, collision = h0105B2
x = -325.9178, y = -295.482, z = 105.0482, angle = -94.36148, collision = h0105B2
x = -324.8177, y = -295.574, z = 105.2282, angle = -112.1802, collision = h0105B2
x = -323.7484, y = -296.0446, z = 105.7613, angle = -127.8941, collision = h0105B2
x = -322.971, y = -296.4207, z = 106.5335, angle = -147.7222, collision = h0105B2
x = -322.4212, y = -296.7758, z = 107.5611, angle = -161.342, collision = h0105B2
x = -322.2448, y = -297.2836, z = 108.305, angle = -179.9175, collision = h0105B2
x = -322.3185, y = -297.5995, z = 109.4688, angle = 165.8712, collision = h0105B2
x = -322.6786, y = -298.0529, z = 110.5129, angle = 156.5705, collision = h0105B2
x = -323.1291, y = -298.5053, z = 111.4378, angle = 147.6861, collision = h0105B2
x = -323.895, y = -298.9864, z = 112.4625, angle = 136.2962, collision = h0105B2
x = -324.8571, y = -299.5322, z = 113.4536, angle = 134.9282, collision = h0105B2
x = -325.6302, y = -299.6738, z = 114.1967, angle = 128.3965, collision = h0105B2
x = -326.808, y = -299.7771, z = 114.857, angle = 97.83114, collision = h0105B2
x = -327.9155, y = -299.7443, z = 114.7663, angle = 70.71847, collision = h0105B2
x = -323.3112, y = -296.3994, z = 104.6927, angle = -12.23469, collision = h0105B2
x = -323.2941, y = -296.9025, z = 104.52, angle = -13.69501, collision = h0105B2
x = -323.2527, y = -297.6075, z = 104.3366, angle = -14.08627, collision = h0106B2
x = -322.9501, y = -305.73, z = 103.0948, angle = -14.08627, collision = h0106B2
x = -321.9729, y = -305.5516, z = 103.4519, angle = -116.7772, collision = h0106B2
x = -321.1353, y = -305.3694, z = 104.0241, angle = -137.8233, collision = h0106B2
x = -320.4086, y = -305.1522, z = 104.8702, angle = -141.0578, collision = h0106B2
x = -319.766, y = -304.9015, z = 105.6558, angle = -139.6623, collision = h0106B2
x = -318.9766, y = -304.5653, z = 106.4321, angle = -128.2533, collision = h0106B2
x = -318.0696, y = -304.2405, z = 107.0917, angle = -120.9485, collision = h0106B2
x = -317.1948, y = -303.9672, z = 107.5765, angle = -113.8403, collision = h0106B2
x = -316.162, y = -303.6876, z = 107.9863, angle = -105.9707, collision = h0106B2
x = -322.1588, y = -305.7051, z = 102.2991, angle = 20.68508, collision = h0106B2
x = -322.6553, y = -305.8767, z = 101.0123, angle = 24.65471, collision = h0106B2
x = -323.3826, y = -306.0773, z = 99.87213, angle = 62.13009, collision = h0106B2
x = -324.7578, y = -306.3847, z = 99.19568, angle = 78.70268, collision = h0106B2
x = -326.1076, y = -306.6522, z = 98.92599, angle = 83.15086, collision = h0106B2
x = -327.4799, y = -306.9259, z = 98.77321, angle = 89.60115, collision = h0106B2
x = -328.8591, y = -307.1114, z = 98.76041, angle = 84.37181, collision = h0106B2
x = -330.2352, y = -307.2929, z = 98.65042, angle = 85.0522, collision = h0106B2
x = -331.3057, y = -307.451, z = 98.59187, angle = 109.4768, collision = h0106B2
x = -332.4082, y = -307.6266, z = 98.9858, angle = 127.2619, collision = h0106B2
x = -333.2333, y = -307.8065, z = 99.71941, angle = 162.2338, collision = h0106B2
x = -333.8412, y = -308.0129, z = 100.6877, angle = 127.136, collision = h0106B2
x = -334.7718, y = -308.2768, z = 101.3842, angle = 125.9303, collision = h0106B2
x = -335.4629, y = -308.526, z = 102.2099, angle = 153.5522, collision = h0106B2
x = -335.9207, y = -308.7668, z = 103.1357, angle = 155.5605, collision = h0106B2
x = -336.3729, y = -309.1434, z = 104.1506, angle = 155.9605, collision = h0106B2
x = -336.9897, y = -309.6853, z = 105.2863, angle = 144.2142, collision = h0106B2
x = -337.8293, y = -310.2892, z = 106.3792, angle = 124.0323, collision = h0106B2
x = -339.0009, y = -310.8253, z = 107.0745, angle = 70.99057, collision = h0106B2
x = -339.9547, y = -311.0371, z = 106.7477, angle = 51.80306, collision = h0106B2
x = -340.7469, y = -311.1937, z = 106.0441, angle = 71.56696, collision = h0106B2
x = -341.8475, y = -311.5291, z = 105.6607, angle = 56.56589, collision = h0106B2
x = -342.7425, y = -311.6276, z = 104.9025, angle = 44.78307, collision = h0106B2
x = -339.7741, y = -310.6681, z = 105.7287, angle = -103.7712, collision = h0106B2
x = -339.1768, y = -311.052, z = 104.7663, angle = 12.68921, collision = h0106B2
x = -339.4159, y = -311.3321, z = 103.6926, angle = 15.44593, collision = h0106B2
x = -340.0232, y = -311.3088, z = 102.7006, angle = 77.15025, collision = h0106B2
x = -343.713, y = -311.9189, z = 105.1927, angle = 121.1067, collision = h0106B2
x = -344.1397, y = -312.6118, z = 105.4338, angle = 121.6205, collision = h0106B2
x = -344.3105, y = -313.1346, z = 105.5391, angle = 121.6205, collision = h0106B2
x = -344.9861, y = -313.7049, z = 105.9553, angle = 121.6205, collision = h0106B2
x = -345.4946, y = -313.2078, z = 107.0822, angle = 155.818, collision = h0106B2
x = -346.3297, y = -312.5573, z = 107.2732, angle = 115.4281, collision = h0106B2
x = -346.8674, y = -312.0409, z = 107.5693, angle = 113.4212, collision = h0106B2
x = -344.3701, y = -313.3521, z = 107.102, angle = -57.12937, collision = h0106B2
x = -343.3754, y = -313.7203, z = 106.4324, angle = -59.36792, collision = h0106B2
x = -340.5167, y = -333.0313, z = 104.1876, angle = -56.77873, collision = h0001B2
x = -340.8304, y = -333.0605, z = 103.138, angle = -36.68969, collision = h0001B2
x = -340.3369, y = -333.0437, z = 102.1963, angle = 59.81493, collision = h0001B2
x = -341.3943, y = -333.1142, z = 101.9704, angle = 108.0118, collision = h0001B2
x = -342.5025, y = -333.222, z = 102.5428, angle = 117.5779, collision = h0001B2
x = -343.6105, y = -333.0504, z = 103.3353, angle = 123.7235, collision = h0001B2
x = -344.589, y = -333.0557, z = 103.794, angle = 54.13157, collision = h0001B2
x = -345.1041, y = -333.2225, z = 102.8483, angle = 32.06849, collision = h0001B2
x = -342.8159, y = -333.3231, z = 103.9558, angle = -83.99611, collision = h0001B2
x = -340.3039, y = -333.0298, z = 101.0429, angle = 8.314089, collision = h0001B2
x = -340.4622, y = -333.1358, z = 99.6745, angle = 8.485021, collision = h0001B2
x = -340.6507, y = -333.1316, z = 98.30669, angle = 8.831311, collision = h0001B2
x = -340.928, y = -332.9853, z = 96.9609, angle = 16.02085, collision = h0001B2
x = -341.2456, y = -332.921, z = 95.94112, angle = 4.232217, collision = h0001B2
x = -342.139, y = -333.0136, z = 96.68617, angle = -176.6915, collision = h0001B2
x = -340.0593, y = -332.9926, z = 96.44943, angle = -27.11608, collision = h0001B2
x = -339.2738, y = -333.0234, z = 97.5209, angle = -158.9593, collision = h0001B2
x = -338.8643, y = -333.1872, z = 98.51202, angle = -137.0989, collision = h0001B2
x = -337.9423, y = -333.1889, z = 99.53761, angle = -118.2942, collision = h0001B2
x = -336.7035, y = -333.0724, z = 100.0815, angle = -59.93692, collision = h0001B2
x = -335.7209, y = -333.3556, z = 99.25601, angle = -20.49025, collision = h0001B2
x = -335.0436, y = -333.2106, z = 98.0754, angle = -43.57637, collision = h0001B2
x = -334.2903, y = -333.034, z = 97.30775, angle = -73.4187, collision = h0001B2
x = -332.9759, y = -332.9977, z = 96.94036, angle = -15.50883, collision = h0001B2
x = -332.4743, y = -333.0894, z = 95.76407, angle = -6.59967, collision = h0001B2
x = -332.2822, y = -333.2044, z = 94.39706, angle = -13.05466, collision = h0001B2
x = -331.9179, y = -333.343, z = 93.06802, angle = -28.20995, collision = h0001B2
x = -330.8873, y = -333.2187, z = 93.92061, angle = -146.4686, collision = h0001B2
x = -330.2058, y = -333.0997, z = 95.11044, angle = -146.1195, collision = h0001B2
x = -329.5032, y = -332.7202, z = 96.29617, angle = 179.3774, collision = h0001B2
x = -329.7597, y = -332.8204, z = 97.735, angle = 176.5083, collision = h0001B2
x = -329.8409, y = -332.8701, z = 99.07439, angle = -160.1009, collision = h0001B2
x = -329.2601, y = -332.4959, z = 100.2994, angle = -94.22216, collision = h0001B2
x = -328.1367, y = -332.6238, z = 100.0432, angle = -11.01343, collision = h0001B2
x = -327.8969, y = -332.7904, z = 98.69368, angle = -33.14076, collision = h0001B2
x = -327.1051, y = -332.9431, z = 97.37982, angle = -29.87549, collision = h0001B2
x = -326.4139, y = -333.0278, z = 96.18704, angle = -103.7415, collision = h0001B2
x = -325.5042, y = -332.9986, z = 96.70178, angle = 169.0189, collision = h0001B2
x = -325.557, y = -332.9829, z = 98.03085, angle = -107.4803, collision = h0001B2
x = -324.265, y = -332.97, z = 98.30226, angle = -52.39416, collision = h0001B2
x = -323.394, y = -332.9923, z = 97.68729, angle = -46.2274, collision = h0001B2
x = -322.3996, y = -333.0393, z = 96.73139, angle = -46.0737, collision = h0001B2
x = -321.3982, y = -333.0247, z = 97.23838, angle = -143.8925, collision = h0001B2
x = -320.5868, y = -332.8402, z = 98.35623, angle = -130.4113, collision = h0001B2
x = -319.6018, y = -332.7978, z = 99.18418, angle = -123.5747, collision = h0001B2
x = -318.7551, y = -333.0208, z = 99.74668, angle = -123.5747, collision = h0001B2
x = -319.0216, y = -333.079, z = 98.05148, angle = -3.92296, collision = h0001B2
x = -318.9038, y = -333.19, z = 96.67645, angle = -26.38887, collision = h0001B2
x = -318.1151, y = -332.9251, z = 95.66994, angle = -65.21074, collision = h0001B2
x = -316.8641, y = -333.1962, z = 95.08434, angle = -96.33168, collision = h0001B2
x = -316.9319, y = -333.1044, z = 96.23872, angle = 157.8076, collision = h0001B2
x = -317.5818, y = -333.2062, z = 97.425, angle = 130.6841, collision = h0001B2
x = -317.751, y = -333.2072, z = 100.4738, angle = -64.36914, collision = h0001B2
x = -316.7819, y = -333.3396, z = 100.0333, angle = -90.76069, collision = h0001B2
x = -315.4288, y = -333.4029, z = 100.0023, angle = -95.89232, collision = h0001B2
x = -314.1151, y = -333.4608, z = 100.2387, angle = -74.29272, collision = h0001B2
x = -312.8606, y = -333.2636, z = 99.96181, angle = -104.0844, collision = h0001B2
x = -311.6062, y = -333.4677, z = 100.3997, angle = -138.7975, collision = h0001B2
x = -311.509, y = -333.1636, z = 101.6241, angle = 164.8285, collision = h0001B2
x = -311.7057, y = -333.1886, z = 102.9705, angle = -156.6851, collision = h0001B2
x = -311.2261, y = -332.7917, z = 104.2628, angle = -147.9193, collision = h0001B2
x = -312.2436, y = -333.0695, z = 105.0345, angle = 40.33311, collision = h0001B2
x = -313.3703, y = -333.1144, z = 104.2963, angle = 109.1765, collision = h0001B2
x = -314.6581, y = -333.0834, z = 104.7274, angle = 125.8661, collision = h0001B2
x = -315.8254, y = -333.0702, z = 105.4587, angle = 96.23405, collision = h0001B2
x = -317.1808, y = -332.9901, z = 105.7, angle = 103.6954, collision = h0001B2
x = -318.6589, y = -332.6328, z = 106.1083, angle = 130.3381, collision = h0001B2
x = -319.771, y = -332.352, z = 106.9166, angle = 121.2162, collision = h0001B2
x = -320.1113, y = -332.1311, z = 107.9737, angle = -91.9183, collision = h0001B2
x = -318.9693, y = -332.3566, z = 107.6847, angle = -44.71092, collision = h0001B2
x = -317.1054, y = -332.9214, z = 106.8176, angle = -143.5217, collision = h0001B2
x = -316.316, y = -332.8295, z = 107.9254, angle = 178.5857, collision = h0001B2
x = -316.418, y = -332.7309, z = 109.2458, angle = -176.7195, collision = h0001B2
x = -316.2968, y = -332.7976, z = 110.2453, angle = -117.7368, collision = h0001B2
x = -315.1046, y = -332.8874, z = 110.9307, angle = 179.0036, collision = h0001B2
x = -315.0164, y = -332.9968, z = 112.2456, angle = -156.352, collision = h0001B2
x = -314.5452, y = -333.0985, z = 113.5126, angle = -118.1165, collision = h0001B2
x = -313.3549, y = -333.1508, z = 114.1564, angle = -119.1441, collision = h0001B2
x = -312.4083, y = -333.0332, z = 114.6549, angle = -174.7516, collision = h0001B2
x = -312.502, y = -332.9304, z = 115.8339, angle = 142.4787, collision = h0001B2
x = -313.4276, y = -333.1151, z = 116.846, angle = 78.10292, collision = h0001B2
x = -314.6955, y = -333.1147, z = 116.5695, angle = 77.65593, collision = h0001B2
