x = 87.86724, y = 13.22756, z = 118.8088, angle = -178.0423, collision = h0001B0_0000
x = 92.38171, y = 16.60002, z = 185.9835, angle = -62.73217, collision = h0002B0_0000
x = 93.4978, y = 16.66682, z = 185.208, angle = 141.2464, collision = h0002B0_0000
x = 90.49515, y = 16.60002, z = 188.7043, angle = -133.1782, collision = h0002B0_0000
x = 91.2587, y = 16.62659, z = 189.4721, angle = -127.7133, collision = h0002B0_0000
x = 92.34704, y = 16.60002, z = 190.0741, angle = -151.9558, collision = h0002B0_0000
x = 92.61074, y = 16.60002, z = 191.3554, angle = -176.1563, collision = h0002B0_0000
x = 92.39242, y = 16.60002, z = 192.5717, angle = 159.6956, collision = h0002B0_0000
x = 91.69383, y = 16.83916, z = 193.7335, angle = 71.51344, collision = h0002B0_0000
x = 90.41598, y = 16.60002, z = 193.2112, angle = 38.96473, collision = h0002B0_0000
x = 89.5083, y = 16.60002, z = 192.3403, angle = 78.43828, collision = h0002B0_0000
x = 88.10061, y = 16.60002, z = 192.1476, angle = 105.7583, collision = h0002B0_0000
x = 86.73728, y = 16.60002, z = 192.5619, angle = 64.83775, collision = h0002B0_0000
x = 85.4165, y = 16.60002, z = 192.0717, angle = 76.51612, collision = h0002B0_0000
x = 84.11922, y = 16.60002, z = 191.4995, angle = 31.6872, collision = h0002B0_0000
x = 83.62254, y = 16.60002, z = 190.4105, angle = -34.483, collision = h0002B0_0000
x = 84.57924, y = 16.60002, z = 189.4514, angle = -82.55734, collision = h0002B0_0000
x = 85.98244, y = 16.60002, z = 189.1693, angle = -79.03288, collision = h0002B0_0000
x = 87.38949, y = 16.60002, z = 189.0952, angle = -142.2589, collision = h0002B0_0000
x = 88.17812, y = 16.60002, z = 190.2111, angle = 175.7987, collision = h0002B0_0000
x = 84.40078, y = 16.60002, z = 193.1023, angle = 160.4247, collision = h0002B0_0000
x = 83.94859, y = 17.24358, z = 194.4413, angle = 176.2943, collision = h0002B0_0000
x = 83.89594, y = 17.78741, z = 195.3931, angle = -173.2969, collision = h0002B0_0000
x = 84.00275, y = 18.32983, z = 196.3423, angle = -175.7747, collision = h0002B0_0000
x = 84.12159, y = 19.05562, z = 197.6126, angle = -104.5108, collision = h0002B0_0000
x = 85.16325, y = 19.18254, z = 197.8292, angle = -22.94821, collision = h0002B0_0000
x = 86.18755, y = 19.0182, z = 197.5471, angle = -29.9303, collision = h0002B0_0000
x = 86.87505, y = 18.41562, z = 196.4925, angle = 10.0879, collision = h0002B0_0000
x = 86.74734, y = 17.87621, z = 195.5485, angle = 15.03211, collision = h0002B0_0000
x = 86.51628, y = 17.34679, z = 194.6219, angle = -12.14163, collision = h0002B0_0000
x = 86.64106, y = 16.81553, z = 193.6922, angle = -39.89788, collision = h0002B0_0000
x = 88.71439, y = 16.60002, z = 193.0861, angle = 166.8142, collision = h0002B0_0000
x = 88.38629, y = 17.23442, z = 194.4253, angle = 143.2048, collision = h0002B0_0000
x = 87.82423, y = 18.21821, z = 196.147, angle = -157.3163, collision = h0002B0_0000
x = 88.16505, y = 18.72637, z = 197.0363, angle = -138.4804, collision = h0002B0_0000
x = 89.21149, y = 19.19999, z = 197.9514, angle = -90.90613, collision = h0002B0_0000
x = 90.63338, y = 19.19373, z = 197.8777, angle = -56.41706, collision = h0002B0_0000
x = 91.67365, y = 18.80781, z = 197.1789, angle = -15.59767, collision = h0002B0_0000
x = 91.96542, y = 18.29841, z = 196.2874, angle = 6.913271, collision = h0002B0_0000
x = 91.8576, y = 17.75643, z = 195.3388, angle = 18.07814, collision = h0002B0_0000
x = 92.81316, y = 17.18984, z = 194.3473, angle = -151.9035, collision = h0002B0_0000
x = 93.29618, y = 17.93594, z = 195.653, angle = 159.3726, collision = h0002B0_0000
x = 92.99361, y = 18.45304, z = 196.558, angle = 159.3748, collision = h0002B0_0000
x = 92.60191, y = 19.04737, z = 197.5981, angle = 161.2592, collision = h0002B0_0000
x = 91.84135, y = 19.19999, z = 198.2734, angle = 168.756, collision = h0002B0_0000
x = 91.09856, y = 19.19999, z = 199.1846, angle = -153.8233, collision = h0002B0_0000
x = 91.59894, y = 19.19998, z = 200.3509, angle = -167.8042, collision = h0002B0_0000
x = 90.59552, y = 19.19998, z = 200.2847, angle = 29.18265, collision = h0002B0_0000
x = 89.67094, y = 19.19999, z = 199.6673, angle = 95.34456, collision = h0002B0_0000
x = 88.24899, y = 19.19999, z = 199.7695, angle = 77.15022, collision = h0002B0_0000
x = 86.87564, y = 19.19999, z = 199.403, angle = 62.99926, collision = h0002B0_0000
x = 85.90687, y = 19.19999, z = 198.9146, angle = 79.78162, collision = h0002B0_0000
x = 84.47856, y = 19.19999, z = 198.938, angle = 160.344, collision = h0002B0_0000
x = 84.05353, y = 19.19998, z = 200.2885, angle = -167.193, collision = h0002B0_0000
x = 84.65038, y = 19.19998, z = 201.1102, angle = -82.09838, collision = h0002B0_0000
x = 86.06914, y = 19.19998, z = 200.9677, angle = -68.63952, collision = h0002B0_0000
x = 87.41599, y = 19.19998, z = 200.4805, angle = -74.59676, collision = h0002B0_0000
x = 89.21063, y = 19.19998, z = 200.5585, angle = -152.5865, collision = h0002B0_0000
x = 89.60678, y = 19.27249, z = 201.5519, angle = 112.3883, collision = h0002B0_0000
x = 88.67418, y = 19.19998, z = 202.0127, angle = 109.9611, collision = h0002B0_0000
x = 87.55441, y = 19.19998, z = 202.4019, angle = 149.3576, collision = h0002B0_0000
x = 88.04237, y = 19.19998, z = 203.6181, angle = 176.6748, collision = h0002B0_0000
x = 87.97826, y = 19.19998, z = 205.0291, angle = 171.1924, collision = h0002B0_0000
x = 87.85828, y = 19.95887, z = 206.4426, angle = -179.8621, collision = h0002B0_0000
x = 87.85233, y = 20.6884, z = 207.7194, angle = 179.8502, collision = h0002B0_0000
x = 87.85015, y = 21.23425, z = 208.6747, angle = 179.6445, collision = h0002B0_0000
x = 87.84451, y = 21.78008, z = 209.6299, angle = -176.9393, collision = h0002B0_0000
x = 87.88134, y = 22.28541, z = 210.5143, angle = -168.3163, collision = h0002B0_0000
x = 88.14081, y = 23.04199, z = 211.8384, angle = -175.4443, collision = h0002B0_0000
x = 88.23224, y = 23.58512, z = 212.789, angle = -174.2335, collision = h0002B0_0000
x = 88.30988, y = 24.12906, z = 213.7409, angle = -177.6063, collision = h0002B0_0000
x = 88.28281, y = 24.65809, z = 214.6668, angle = -179.1651, collision = h0002B0_0000
x = 88.27262, y = 25.2, z = 215.9426, angle = 176.4591, collision = h0003B0_0000
x = 88.20757, y = 25.2, z = 216.9601, angle = 179.3569, collision = h0003B0_0000
x = 88.17825, y = 25.2, z = 218.0573, angle = 179.3569, collision = h0003B0_0000
x = 88.3292, y = 25.17103, z = 219.1549, angle = -150.6939, collision = h0003B0_0000
x = 88.55, y = 25, z = 220.1683, angle = -178.1535, collision = h0003B0_0000
x = 88.55, y = 25, z = 221.5909, angle = 179.8028, collision = h0003B0_0000
x = 88.55, y = 25, z = 223.0217, angle = -116.6577, collision = h0003B0_0000
x = 87.07271, y = 25.2, z = 218.1953, angle = 69.29424, collision = h0003B0_0000
x = 86.08698, y = 25.2, z = 217.7008, angle = 17.17176, collision = h0003B0_0000
x = 85.67959, y = 25.2, z = 216.4912, angle = 19.00387, collision = h0003B0_0000
x = 84.67587, y = 25.2, z = 216.6146, angle = 148.9257, collision = h0003B0_0000
x = 83.87562, y = 25.2, z = 217.7753, angle = 113.6375, collision = h0003B0_0000
x = 82.59476, y = 25.2, z = 218.0213, angle = 36.36583, collision = h0003B0_0000
x = 81.71643, y = 25.2, z = 216.8973, angle = 63.64762, collision = h0003B0_0000
x = 80.42001, y = 25.2, z = 216.5631, angle = 99.97063, collision = h0003B0_0000
x = 79.16959, y = 25.2, z = 216.6363, angle = 80.94263, collision = h0003B0_0000
x = 77.75467, y = 25.2, z = 216.5599, angle = 98.95242, collision = h0003B0_0000
x = 76.34023, y = 25.2, z = 216.789, angle = 135.5518, collision = h0003B0_0000
x = 75.25829, y = 25.2, z = 217.7037, angle = 114.371, collision = h0003B0_0000
x = 73.91637, y = 25.2, z = 218.1503, angle = 93.0631, collision = h0003B0_0000
x = 72.76122, y = 25.2, z = 218.3172, angle = 112.9382, collision = h0003B0_0000
x = 72.45, y = 25, z = 219.5761, angle = 164.487, collision = h0003B0_0000
x = 72.45, y = 25, z = 220.9442, angle = 157.9289, collision = h0003B0_0000
x = 72.45, y = 25, z = 222.1237, angle = 161.4015, collision = h0003B0_0000
x = 79.58717, y = 25.2, z = 217.6899, angle = 105.8723, collision = h0003B0_0000
x = 80.12309, y = 25.2, z = 218.6624, angle = 150.8337, collision = h0003B0_0000
x = 79.84332, y = 25.2, z = 219.689, angle = -175.7492, collision = h0003B0_0000
x = 80.07307, y = 25.2, z = 220.735, angle = -174.1998, collision = h0003B0_0000
x = 80.22842, y = 25.2, z = 222.1594, angle = -172.5524, collision = h0003B0_0000
x = 80.40961, y = 25.2, z = 223.2929, angle = 173.4815, collision = h0003B0_0000
x = 80.05795, y = 25.2, z = 224.3737, angle = 176.5078, collision = h0003B0_0000
x = 80.08344, y = 25.2, z = 225.518, angle = -175.4773, collision = h0003B0_0000
x = 80.03542, y = 25.2, z = 226.6667, angle = 175.8151, collision = h0003B0_0000
x = 79.94906, y = 25.2, z = 227.6678, angle = -177.5936, collision = h0003B0_0000
x = 80.00068, y = 25.2, z = 228.7487, angle = -177.6634, collision = h0003B0_0000
x = 79.99908, y = 25.2, z = 229.77, angle = -177.398, collision = h0003B0_0000
x = 80.0659, y = 25.2, z = 231.2014, angle = -177.1998, collision = h0003B0_0000
x = 80.14231, y = 25.2, z = 232.6322, angle = -173.0448, collision = h0003B0_0000
x = 80.08451, y = 25.2, z = 233.633, angle = -179.2967, collision = h0003B0_0000
x = 80.10241, y = 25.2, z = 234.7615, angle = -174.8575, collision = h0003B0_0000
x = 80.1939, y = 25.2, z = 236.1911, angle = -179.1137, collision = h0003B0_0000
x = 80.21337, y = 25.2, z = 237.6239, angle = -178.752, collision = h0003B0_0000
x = 80.15666, y = 25.2, z = 239.0503, angle = 166.352, collision = h0003B0_0000
x = 79.90344, y = 25.2, z = 240.1834, angle = -173.927, collision = h0003B0_0000
x = 80.02164, y = 25.2, z = 241.3782, angle = -174.0654, collision = h0003B0_0000
x = 80.12381, y = 25.2, z = 242.8066, angle = -177.9608, collision = h0003B0_0000
x = 80.16403, y = 25.2, z = 244.239, angle = -178.2682, collision = h0003B0_0000
x = 80.20715, y = 25.2, z = 245.6713, angle = 177.057, collision = h0003B0_0000
x = 80.12355, y = 25.2, z = 247.1017, angle = 177.0309, collision = h0003B0_0000
x = 80.04202, y = 25.2, z = 248.5323, angle = 175.835, collision = h0003B0_0000
x = 79.96568, y = 25.2, z = 249.6233, angle = 179.9294, collision = h0003B0_0000
x = 79.95294, y = 25.2, z = 250.774, angle = 179.7863, collision = h0003B0_0000
x = 79.95713, y = 25.2, z = 252.2318, angle = -178.7178, collision = h0003B0_0000
x = 79.98155, y = 25.2, z = 253.6645, angle = -178.7707, collision = h0003B0_0000
x = 80.00456, y = 25.2, z = 254.689, angle = -178.6313, collision = h0003B0_0000
x = 80.09155, y = 25.2, z = 255.8908, angle = 178.5388, collision = h0003B0_0000
x = 80.08132, y = 25.2, z = 257.0762, angle = -178.4632, collision = h0003B0_0000
x = 80.11944, y = 25.2, z = 258.4939, angle = -178.4488, collision = h0003B0_0000
x = 80.13711, y = 25.2, z = 259.926, angle = 173.6652, collision = h0003B0_0000
x = 79.97929, y = 25.2, z = 261.3501, angle = 175.1623, collision = h0003B0_0000
x = 79.86518, y = 25.2, z = 262.6217, angle = 173.7918, collision = h0003B0_0000
x = 79.78505, y = 25.2, z = 264.0483, angle = -162.2392, collision = h0015B0_0000
x = 80.27621, y = 25.2, z = 265.3869, angle = -143.629, collision = h0015B0_0000
x = 81.43175, y = 25.2, z = 265.6683, angle = -94.42903, collision = h0015B0_0000
x = 82.70257, y = 25.2, z = 265.7624, angle = -93.83631, collision = h0015B0_0000
x = 84.13168, y = 25.2, z = 265.8665, angle = -87.03688, collision = h0015B0_0000
x = 85.5503, y = 25.2, z = 265.7446, angle = -74.15225, collision = h0015B0_0000
x = 86.57413, y = 25.2, z = 265.4942, angle = -74.15225, collision = h0015B0_0000
x = 79.29754, y = 25.2, z = 266.1899, angle = 78.10458, collision = h0015B0_0000
x = 77.96275, y = 25.2, z = 265.7764, angle = 56.31226, collision = h0015B0_0000
x = 76.67944, y = 25.2, z = 265.3257, angle = 101.0207, collision = h0015B0_0000
x = 75.28053, y = 25.2, z = 265.632, angle = 108.8735, collision = h0015B0_0000
x = 74.10606, y = 25.2, z = 265.9959, angle = 99.05235, collision = h0015B0_0000
x = 72.71004, y = 25.2, z = 266.1017, angle = 95.45699, collision = h0015B0_0000
x = 71.2958, y = 25.2, z = 266.3021, angle = 123.6465, collision = h0015B0_0000
x = 70.09289, y = 25.2, z = 266.55, angle = 116.235, collision = h0015B0_0000
x = 69.92801, y = 25.2, z = 265.4903, angle = -1.294867, collision = h0015B0_0000
x = 70.12682, y = 25.32435, z = 264.2174, angle = -8.247945, collision = h0015B0_0000
x = 70.26921, y = 25.86347, z = 263.2739, angle = 1.099469, collision = h0015B0_0000
x = 70.27032, y = 26.40914, z = 262.319, angle = 1.215173, collision = h0015B0_0000
x = 70.25903, y = 26.9549, z = 261.3639, angle = -3.318461, collision = h0015B0_0000
x = 70.30949, y = 27.50028, z = 260.41, angle = -3.291823, collision = h0015B0_0000
x = 70.3663, y = 28.0396, z = 259.4656, angle = -3.689013, collision = h0015B0_0000
x = 70.42538, y = 28.58443, z = 258.5121, angle = -3.166831, collision = h0015B0_0000
x = 70.49572, y = 29.3129, z = 257.2373, angle = -1.228532, collision = h0015B0_0000
x = 70.5126, y = 29.85847, z = 256.2825, angle = 2.993726, collision = h0015B0_0000
x = 70.44058, y = 30.2, z = 254.8619, angle = 3.508368, collision = h0015B0_0000
x = 70.37083, y = 30.2, z = 253.826, angle = 12.35323, collision = h0015B0_0000
x = 70.04475, y = 30.2, z = 252.5211, angle = 23.29646, collision = h0015B0_0000
x = 69.54961, y = 30.2, z = 251.1813, angle = -3.400983, collision = h0015B0_0000
x = 69.62987, y = 30.2, z = 249.9198, angle = -17.40861, collision = h0015B0_0000
x = 70.05665, y = 30.2, z = 248.5542, angle = -17.70075, collision = h0015B0_0000
x = 70.60592, y = 30.2, z = 247.6915, angle = -74.93443, collision = h0015B0_0000
x = 71.05978, y = 30.2, z = 249.0876, angle = -79.10739, collision = h0015B0_0000
x = 72.27132, y = 30.2, z = 249.0692, angle = -90.61601, collision = h0003B0_0000
x = 73.55412, y = 30.2, z = 249.0831, angle = -90.02176, collision = h0003B0_0000
x = 74.8427, y = 30.2, z = 249.0837, angle = -90.02058, collision = h0003B0_0000
x = 76.26925, y = 30.2, z = 249.0832, angle = -89.6538, collision = h0003B0_0000
x = 77.70215, y = 30.2, z = 249.0735, angle = -89.27079, collision = h0003B0_0000
x = 79.13495, y = 30.2, z = 249.054, angle = -86.52257, collision = h0003B0_0000
x = 80.20068, y = 30.2, z = 249.0045, angle = -86.52257, collision = h0003B0_0000
x = 81.34026, y = 30.2, z = 249.0103, angle = -91.34616, collision = h0003B0_0000
x = 82.40463, y = 30.2, z = 249.0361, angle = -91.54721, collision = h0003B0_0000
x = 83.83701, y = 30.2, z = 249.0756, angle = -91.8376, collision = h0003B0_0000
x = 85.26918, y = 30.2, z = 249.1223, angle = -92.13524, collision = h0003B0_0000
x = 86.54507, y = 30.2, z = 249.1703, angle = -91.46378, collision = h0003B0_0000
x = 87.72121, y = 30.2, z = 249.1889, angle = -89.8286, collision = h0003B0_0000
x = 88.86108, y = 30.2, z = 249.406, angle = -69.51764, collision = h0003B0_0000
x = 89.92904, y = 30.2, z = 249.1005, angle = -104.609, collision = h0003B0_0000
x = 91.11607, y = 30.25002, z = 249.239, angle = -92.59384, collision = h0004B0_0000
x = 92.07607, y = 30.25003, z = 249.5797, angle = 171.3167, collision = h0004B0_0000
x = 92.56974, y = 30.25002, z = 250.5065, angle = 178.1008, collision = h0004B0_0000
x = 93.85685, y = 30.25002, z = 250.05, angle = -93.27909, collision = h0004B0_0000
x = 95.17106, y = 30.25002, z = 250.1214, angle = -150.1441, collision = h0004B0_0000
x = 95.84981, y = 30.25002, z = 251.347, angle = -145.6584, collision = h0004B0_0000
x = 96.63537, y = 30.25001, z = 252.539, angle = -110.7261, collision = h0004B0_0000
x = 97.88049, y = 30.25001, z = 252.5528, angle = -33.25932, collision = h0004B0_0000
x = 98.14787, y = 30.25001, z = 251.3398, angle = 49.19097, collision = h0004B0_0000
x = 97.14274, y = 30.25001, z = 250.616, angle = 112.2446, collision = h0004B0_0000
x = 95.24395, y = 30.25002, z = 249.121, angle = -57.12385, collision = h0004B0_0000
x = 96.40694, y = 30.25002, z = 248.515, angle = -75.75467, collision = h0004B0_0000
x = 97.32811, y = 30.25001, z = 247.588, angle = 32.21388, collision = h0004B0_0000
x = 96.64679, y = 30.25001, z = 246.5275, angle = 67.25094, collision = h0004B0_0000
x = 95.40639, y = 30.25002, z = 246.3959, angle = 170.1839, collision = h0004B0_0000
x = 95.23531, y = 30.25002, z = 247.7653, angle = -151.8176, collision = h0004B0_0000
x = 94.04171, y = 30.25002, z = 246.7213, angle = 91.29329, collision = h0004B0_0000
x = 92.73359, y = 30.25002, z = 246.3929, angle = 20.03505, collision = h0004B0_0000
x = 95.33436, y = 30.25002, z = 245.3212, angle = 22.26919, collision = h0004B0_0000
x = 94.88251, y = 30.25002, z = 244.1907, angle = 78.72268, collision = h0004B0_0000
x = 93.54356, y = 30.25001, z = 243.7802, angle = 36.27438, collision = h0004B0_0000
x = 92.74796, y = 30.25001, z = 242.6127, angle = -58.62275, collision = h0004B0_0000
x = 95.97052, y = 30.25002, z = 244.4006, angle = -96.72141, collision = h0004B0_0000
x = 97.22488, y = 30.25001, z = 244.4029, angle = -17.67776, collision = h0004B0_0000
x = 97.74649, y = 30.25001, z = 243.1245, angle = -16.71205, collision = h0004B0_0000
x = 99.02203, y = 30.25, z = 242.9312, angle = -94.09566, collision = h0004B0_0000
x = 100.4566, y = 30.7095, z = 243.0382, angle = -78.0439, collision = h0005B0_0000
x = 101.6567, y = 31.39528, z = 242.8155, angle = -84.28475, collision = h0005B0_0000
x = 102.6457, y = 31.96039, z = 242.8179, angle = -95.71368, collision = h0005B0_0000
x = 103.8152, y = 32.2, z = 242.8712, angle = -91.63898, collision = h0005B0_0000
x = 104.9043, y = 32.2, z = 242.903, angle = -91.83212, collision = h0005B0_0000
x = 106.1929, y = 32.2, z = 242.918, angle = -90.07058, collision = h0005B0_0000
x = 107.6258, y = 32.2, z = 242.9166, angle = -87.16455, collision = h0005B0_0000
