x = 3.952387, y = -93.45131, z = 179.925, angle = -40.58049, collision = h0102B0
x = 27.40969, y = -103.0259, z = 169.0725, angle = -35.24188, collision = h0101B0
x = 29.63902, y = -103.4977, z = 167.6667, angle = -35.24188, collision = h0101B0
x = 29.88439, y = -103.6337, z = 166.6709, angle = 11.70118, collision = h0101B0
x = 29.87309, y = -103.4359, z = 165.4322, angle = -69.89799, collision = h0101B0
x = 31.20786, y = -103.2896, z = 164.5086, angle = 173.6072, collision = h0101B0
x = 30.92975, y = -103.6054, z = 165.4738, angle = 162.8052, collision = h0101B0
x = 30.24265, y = -103.4542, z = 168.6968, angle = -179.4119, collision = h0101B0
x = 30.90466, y = -103.2321, z = 170.0025, angle = -48.06352, collision = h0101B0
x = 31.56093, y = -103.334, z = 169.2208, angle = -12.39606, collision = h0101B0
x = 34.52394, y = -110.1368, z = 170.0328, angle = -111.5787, collision = h0101B0
x = 33.2113, y = -109.8457, z = 170.3052, angle = -2.791375, collision = h0101B0
x = 33.00093, y = -109.7315, z = 168.8352, angle = -8.459039, collision = h0101B0
x = 33.13264, y = -109.1772, z = 167.926, angle = -27.54002, collision = h0101B0
x = 33.89458, y = -107.8068, z = 166.02, angle = -5.727237, collision = h0101B0
x = 34.59408, y = -107.841, z = 164.8279, angle = 23.17082, collision = h0101B0
x = 34.1202, y = -109.071, z = 162.6435, angle = 20.84352, collision = h0101B0
x = 33.67408, y = -108.9716, z = 161.4398, angle = -52.78837, collision = h0101B0
x = 34.49046, y = -109.5346, z = 160.5947, angle = -99.56375, collision = h0101B0
x = 35.6964, y = -109.813, z = 160.6465, angle = -135.1156, collision = h0101B0
x = 36.89533, y = -109.9268, z = 161.5597, angle = -117.8967, collision = h0101B0
x = 38.00813, y = -109.9847, z = 162.2116, angle = -93.73241, collision = h0101B0
x = 39.21938, y = -110.1026, z = 162.4122, angle = -75.31707, collision = h0101B0
x = 40.48361, y = -110.2629, z = 162.2773, angle = -63.36992, collision = h0101B0
x = 41.40491, y = -110.6745, z = 161.8402, angle = -81.37034, collision = h0101B0
x = 42.55257, y = -110.9624, z = 161.4409, angle = -119.5043, collision = h0101B0
x = 44.43525, y = -111.4963, z = 162.0362, angle = -119.5043, collision = h0101B0
x = 45.51622, y = -111.9761, z = 162.0491, angle = -77.75944, collision = h0101B0
x = 46.6883, y = -112, z = 161.6982, angle = -110.6936, collision = h0101B0
x = 48.14436, y = -111.855, z = 161.8538, angle = -155.7184, collision = h0101B0
x = 48.95808, y = -111.9509, z = 163.1246, angle = -114.1004, collision = h0101B0
x = 49.90766, y = -111.9106, z = 163.8483, angle = -111.2947, collision = h0101B0
x = 51.31263, y = -112, z = 164.452, angle = -156.4914, collision = h0101B0
x = 52.06195, y = -112, z = 165.3908, angle = 155.9066, collision = h0101B0
x = 52.03095, y = -112, z = 166.9831, angle = 175.7548, collision = h0101B0
x = 52.46947, y = -112, z = 167.9811, angle = 155.2805, collision = h0101B0
x = 51.07209, y = -111.973, z = 167.4945, angle = -165.9979, collision = h0101B0
x = 50.12626, y = -111.8875, z = 168.622, angle = -137.7645, collision = h0101B0
x = 50.72648, y = -111.8869, z = 169.648, angle = -136.6257, collision = h0101B0
x = 51.58609, y = -111.906, z = 170.5202, angle = 151.4719, collision = h0101B0
x = 51.55565, y = -111.8586, z = 171.5725, angle = 104.1932, collision = h0101B0
x = 50.1881, y = -111.9982, z = 172.1951, angle = 141.3733, collision = h0101B0
x = 49.32695, y = -111.9197, z = 173.0333, angle = 108.2571, collision = h0101B0
x = 47.93631, y = -111.9823, z = 173.2839, angle = 34.17564, collision = h0101B0
x = 46.93207, y = -112, z = 172.1583, angle = 36.87539, collision = h0101B0
x = 46.25424, y = -112, z = 171.2191, angle = 36.4235, collision = h0101B0
x = 45.06025, y = -112, z = 170.9565, angle = 90.98141, collision = h0101B0
x = 43.54464, y = -112, z = 171.0762, angle = -26.51893, collision = h0101B0
x = 43.81799, y = -112, z = 169.6806, angle = -23.79959, collision = h0101B0
x = 44.59543, y = -112, z = 168.7642, angle = -36.05262, collision = h0101B0
x = 45.27494, y = -112, z = 167.4155, angle = -44.88889, collision = h0101B0
x = 46.33625, y = -111.926, z = 166.3205, angle = 43.43266, collision = h0101B0
x = 46.20132, y = -111.995, z = 165.2241, angle = 104.1146, collision = h0101B0
x = 44.75129, y = -111.6735, z = 165.2499, angle = 148.7655, collision = h0101B0
x = 43.90416, y = -111.3782, z = 166.1096, angle = 118.8678, collision = h0101B0
x = 42.77731, y = -111.3151, z = 167.0387, angle = 25.94553, collision = h0101B0
x = 41.78391, y = -110.5455, z = 166.021, angle = 36.98209, collision = h0101B0
x = 41.18785, y = -110.3869, z = 164.9559, angle = 140.4993, collision = h0101B0
x = 40.08156, y = -110.5022, z = 165.3148, angle = -160.7808, collision = h0101B0
x = 40.26418, y = -110.8626, z = 166.5127, angle = -155.1721, collision = h0101B0
x = 40.92122, y = -110.9624, z = 167.8943, angle = -174.19, collision = h0101B0
x = 41.20207, y = -110.9624, z = 169.3936, angle = -167.526, collision = h0101B0
x = 41.37571, y = -110.9624, z = 170.6048, angle = 168.7431, collision = h0101B0
x = 41.45745, y = -110.9624, z = 171.9875, angle = 72.3187, collision = h0101B0
x = 40.27514, y = -110.9624, z = 171.9676, angle = 54.59169, collision = h0101B0
x = 38.97722, y = -110.9624, z = 171.1666, angle = 80.02825, collision = h0101B0
x = 37.58972, y = -110.9624, z = 170.6355, angle = 129.5319, collision = h0101B0
x = 36.51881, y = -110.9624, z = 171.1977, angle = 109.7199, collision = h0101B0
x = 35.18968, y = -110.9014, z = 171.9166, angle = 83.57063, collision = h0101B0
x = 33.97293, y = -110.406, z = 171.9525, angle = 65.39275, collision = h0101B0
x = 32.54515, y = -109.7094, z = 171.4288, angle = -41.77605, collision = h0101B0
x = 34.11177, y = -109.9209, z = 168.7305, angle = -94.17357, collision = h0101B0
x = 34.97116, y = -109.9403, z = 168.0955, angle = -169.8418, collision = h0101B0
x = 35.62915, y = -110.3922, z = 169.3332, angle = 121.2478, collision = h0101B0
x = 36.47416, y = -110.9624, z = 172.3646, angle = -37.49755, collision = h0101B0
x = 38.43094, y = -110.9624, z = 169.7489, angle = -8.05058, collision = h0101B0
x = 38.59463, y = -110.5752, z = 168.5359, angle = -45.76052, collision = h0101B0
x = 39.35835, y = -110.7969, z = 167.3116, angle = -121.2927, collision = h0101B0
x = 39.95446, y = -110.9624, z = 169.1663, angle = -169.2682, collision = h0101B0
x = 39.58805, y = -110.9624, z = 170.2428, angle = -130.1718, collision = h0101B0
x = 42.89327, y = -110.8129, z = 166.2407, angle = -96.06105, collision = h0101B0
x = 44.40478, y = -111.8895, z = 166.4783, angle = -142.2889, collision = h0101B0
x = 45.55459, y = -112, z = 168.4702, angle = 152.3151, collision = h0101B0
x = 45.08832, y = -112, z = 169.8925, angle = 151.551, collision = h0101B0
x = 45.59225, y = -112, z = 172.1711, angle = -117.2662, collision = h0101B0
x = 46.38901, y = -112, z = 173.3019, angle = 78.59032, collision = h0101B0
x = 45.36356, y = -112, z = 173.2313, angle = 156.6114, collision = h0101B0
x = 45.02429, y = -111.9508, z = 174.3071, angle = -162.196, collision = h0101B0
x = 45.17601, y = -112, z = 175.4949, angle = -178.0466, collision = h0100B0
x = 45.37406, y = -112, z = 176.996, angle = 171.4215, collision = h0100B0
x = 44.95949, y = -112, z = 178.1402, angle = -174.0139, collision = h0100B0
x = 45.04444, y = -112, z = 179.2918, angle = -161.9457, collision = h0100B0
x = 45.22703, y = -112, z = 180.3545, angle = 148.9883, collision = h0100B0
x = 44.82627, y = -112, z = 181.4062, angle = -164.0311, collision = h0100B0
x = 44.98928, y = -112, z = 182.6059, angle = -147.7375, collision = h0100B0
x = 45.56116, y = -112, z = 183.6859, angle = -160.3633, collision = h0100B0
x = 45.56679, y = -112, z = 184.845, angle = -161.3949, collision = h0000B0
x = 45.77013, y = -112.2706, z = 186.0241, angle = -146.6844, collision = h0000B0
x = 45.03086, y = -112.9416, z = 187.101, angle = 143.5242, collision = h0000B0
x = 44.31345, y = -113.5198, z = 188.0111, angle = -146.5682, collision = h0000B0
x = 44.43284, y = -114.0814, z = 188.9044, angle = -105.6577, collision = h0000B0
x = 45.46785, y = -114.0834, z = 189.5937, angle = -114.5131, collision = h0000B0
x = 46.79715, y = -114.1638, z = 189.8637, angle = -102.5544, collision = h0000B0
x = 47.51222, y = -114.2022, z = 190.572, angle = -133.7901, collision = h0000B0
x = 48.34364, y = -114.2022, z = 191.405, angle = -164.2377, collision = h0000B0
x = 48.81483, y = -114.2022, z = 192.5291, angle = 133.8541, collision = h0000B0
x = 48.04588, y = -114.2022, z = 193.7838, angle = 84.55078, collision = h0000B0
x = 46.92039, y = -114.0817, z = 193.7962, angle = 95.54953, collision = h0000B0
x = 45.88325, y = -114.0835, z = 193.5563, angle = 58.39954, collision = h0000B0
x = 45.04124, y = -114.0848, z = 192.9352, angle = 75.30189, collision = h0000B0
x = 43.93773, y = -113.9872, z = 192.6104, angle = 68.17273, collision = h0000B0
x = 42.75216, y = -114.1949, z = 192.7246, angle = 66.38599, collision = h0000B0
x = 42.07935, y = -114.2022, z = 191.8098, angle = 97.10114, collision = h0000B0
x = 43.31903, y = -114.2022, z = 191.2943, angle = -39.7985, collision = h0000B0
x = 44.10463, y = -114.086, z = 190.3548, angle = -108.4693, collision = h0000B0
x = 45.48561, y = -114.0835, z = 190.981, angle = 172.9573, collision = h0000B0
x = 44.78103, y = -114.0857, z = 193.9207, angle = 145.561, collision = h0000B0
x = 44.0891, y = -114.2022, z = 195.1447, angle = 80.43221, collision = h0000B0
x = 43.09948, y = -114.2022, z = 195.4468, angle = 84.68607, collision = h0000B0
x = 41.59733, y = -114.2022, z = 195.2376, angle = 95.66615, collision = h0000B0
x = 40.16533, y = -114.2838, z = 195.3326, angle = 113.06, collision = h0000B0
x = 39.17816, y = -114.6596, z = 196.0689, angle = 162.7943, collision = h0001B0
x = 38.60417, y = -115.2555, z = 197.4714, angle = 156.7997, collision = h0001B0
x = 38.23969, y = -115.8048, z = 198.6311, angle = 120.297, collision = h0001B0
x = 37.90218, y = -116.31, z = 199.7348, angle = -168.5492, collision = h0001B0
x = 37.63268, y = -116.9841, z = 201.103, angle = -154.453, collision = h0001B0
x = 38.15386, y = -117.5135, z = 202.5562, angle = -171.7226, collision = h0001B0
x = 38.42132, y = -117.9371, z = 203.7778, angle = -154.6031, collision = h0001B0
x = 38.8003, y = -118.1016, z = 204.9006, angle = -122.5997, collision = h0001B0
x = 40.03589, y = -118.3594, z = 205.7236, angle = -23.48592, collision = h0001B0
x = 41.08944, y = -118.5289, z = 205.3727, angle = 61.85699, collision = h0001B0
x = 40.87853, y = -118.3777, z = 204.2841, angle = 104.6594, collision = h0001B0
x = 42.4921, y = -119.1429, z = 204.5776, angle = -124.9149, collision = h0001B0
x = 43.5783, y = -119.0808, z = 204.4213, angle = -155.3033, collision = h0001B0
x = 44.17833, y = -119.0808, z = 205.4837, angle = -170.9165, collision = h0001B0
x = 44.61366, y = -119.0901, z = 206.6825, angle = -134.1266, collision = h0001B0
x = 45.11694, y = -119.1286, z = 207.8863, angle = -87.96484, collision = h0001B0
x = 46.64847, y = -119.0808, z = 207.9462, angle = -45.57683, collision = h0001B0
x = 48.06376, y = -119.1351, z = 207.4744, angle = -44.38529, collision = h0001B0
x = 48.78082, y = -119.0808, z = 206.746, angle = 6.404231, collision = h0001B0
x = 48.79078, y = -119.1077, z = 204.979, angle = -5.27031, collision = h0001B0
x = 48.63848, y = -119.0821, z = 203.9424, angle = 17.01434, collision = h0001B0
x = 48.1118, y = -119.0808, z = 202.9274, angle = 145.6681, collision = h0001B0
x = 47.58399, y = -119.0808, z = 204.2117, angle = -176.3524, collision = h0001B0
x = 47.6554, y = -119.1286, z = 205.7404, angle = 156.5867, collision = h0001B0
x = 45.46674, y = -119.1286, z = 206.1357, angle = -38.10821, collision = h0001B0
x = 46.33401, y = -119.0808, z = 204.878, angle = -18.03955, collision = h0001B0
x = 46.84279, y = -119.0808, z = 203.4828, angle = 0.01116921, collision = h0001B0
x = 45.74942, y = -119.0808, z = 203.2761, angle = 50.11804, collision = h0001B0
x = 44.92385, y = -119.0808, z = 202.5587, angle = 63.70557, collision = h0001B0
x = 43.75369, y = -119.0808, z = 202.0599, angle = 125.0268, collision = h0001B0
x = 44.01088, y = -119.1429, z = 207.5624, angle = 149.9297, collision = h0001B0
x = 42.65482, y = -118.9697, z = 207.252, angle = 39.31505, collision = h0001B0
x = 41.92492, y = -118.8222, z = 206.2695, angle = 82.12861, collision = h0001B0
x = 39.58083, y = -114.9337, z = 197.1647, angle = -35.3091, collision = h0001B0
x = 42.02615, y = -114.2022, z = 194.1292, angle = -20.72165, collision = h0000B0
x = 49.11792, y = -114.2022, z = 193.5334, angle = 161.5948, collision = h0000B0
x = 48.71925, y = -114.2022, z = 194.5647, angle = -174.3772, collision = h0000B0
x = 48.90114, y = -114.2022, z = 196.1323, angle = 110.2441, collision = h0000B0
x = 47.58033, y = -114.082, z = 197.4188, angle = -169.2355, collision = h0000B0
x = 46.92641, y = -114.0833, z = 198.2466, angle = -117.4999, collision = h0000B0
x = 48.07146, y = -114.0817, z = 199.1947, angle = -119.5348, collision = h0000B0
x = 49.02722, y = -114.2022, z = 199.9328, angle = -119.2099, collision = h0000B0
x = 50.15123, y = -114.2022, z = 200.0191, angle = -28.79255, collision = h0000B0
x = 50.144, y = -114.2022, z = 198.9981, angle = 33.27948, collision = h0000B0
x = 47.60341, y = -114.0826, z = 200.1995, angle = 42.82184, collision = h0000B0
x = 46.13394, y = -114.0849, z = 199.6558, angle = 46.04821, collision = h0000B0
x = 44.7385, y = -113.7878, z = 199.6264, angle = 101.1632, collision = h0000B0
x = 45.90423, y = -114.0847, z = 197.2427, angle = 87.99096, collision = h0000B0
x = 44.53265, y = -114.2022, z = 196.9236, angle = 176.2556, collision = h0000B0
x = 44.22636, y = -114.2022, z = 198.0195, angle = 176.2556, collision = h0000B0
x = 46.56162, y = -113.9903, z = 200.5735, angle = -168.637, collision = h0000B0
x = 46.78841, y = -113.9959, z = 201.6783, angle = 159.3045, collision = h0002B0
x = 46.95404, y = -114.1908, z = 203.0001, angle = 159.3045, collision = h0002B0
x = 46.38076, y = -114.1702, z = 204.1398, angle = -149.9549, collision = h0002B0
x = 46.73574, y = -114.0864, z = 205.2439, angle = -156.6341, collision = h0002B0
x = 47.06988, y = -114.1313, z = 206.4473, angle = 93.10523, collision = h0002B0
x = 45.7039, y = -114.1121, z = 206.9199, angle = 133.869, collision = h0002B0
x = 44.79814, y = -114.0963, z = 207.5051, angle = 171.8709, collision = h0002B0
x = 44.26085, y = -114.0506, z = 208.8696, angle = 170.0159, collision = h0002B0
x = 44.28691, y = -113.9899, z = 210.0862, angle = 121.7792, collision = h0002B0
x = 43.2831, y = -113.9172, z = 211.1609, angle = 139.7496, collision = h0002B0
x = 42.25284, y = -113.642, z = 211.8514, angle = -142.161, collision = h0002B0
x = 42.45363, y = -113.4537, z = 212.9852, angle = -131.8665, collision = h0002B0
x = 43.2021, y = -113.2235, z = 213.6651, angle = 140.1347, collision = h0002B0
x = 42.06639, y = -112.9116, z = 214.708, angle = 132.384, collision = h0002B0
x = 40.98815, y = -112.6322, z = 215.2551, angle = -142.1443, collision = h0002B0
x = 41.18203, y = -112.257, z = 216.381, angle = -54.49466, collision = h0002B0
x = 42.29483, y = -112.3767, z = 216.1946, angle = 21.12685, collision = h0002B0
x = 41.99651, y = -111.9301, z = 217.5908, angle = -121.5311, collision = h0002B0
x = 43.30302, y = -111.7026, z = 218.2768, angle = 146.3897, collision = h0002B0
x = 42.89298, y = -111.3844, z = 219.3968, angle = -177.9123, collision = h0002B0
x = 42.6039, y = -111.0905, z = 220.7983, angle = -107.2512, collision = h0002B0
x = 43.54006, y = -110.9939, z = 221.5232, angle = -116.0357, collision = h0002B0
x = 44.47561, y = -111.0112, z = 221.8833, angle = -116.0357, collision = h0002B0
x = 45.24446, y = -111.0296, z = 222.5679, angle = -132.6745, collision = h0002B0
x = 46.07228, y = -110.9382, z = 223.4669, angle = -170.2563, collision = h0002B0
x = 45.52323, y = -110.9501, z = 224.3227, angle = 106.7222, collision = h0002B0
x = 44.55741, y = -110.7982, z = 225.0646, angle = 129.6422, collision = h0002B0
x = 43.59107, y = -110.3808, z = 226.1922, angle = 8.4106, collision = h0002B0
x = 42.77309, y = -110.4336, z = 225.5578, angle = -27.8835, collision = h0002B0
x = 43.2757, y = -110.6578, z = 224.131, angle = 21.79666, collision = h0002B0
x = 43.19863, y = -110.7822, z = 222.709, angle = 78.97945, collision = h0002B0
x = 42.22205, y = -110.8898, z = 222.0511, angle = 93.18122, collision = h0002B0
x = 40.69444, y = -110.8359, z = 221.9923, angle = 67.75507, collision = h0002B0
x = 39.69179, y = -110.6765, z = 221.6207, angle = -152.5586, collision = h0002B0
x = 39.40102, y = -110.6028, z = 223.0541, angle = -62.52888, collision = h0002B0
x = 40.52486, y = -110.7052, z = 223.0909, angle = -65.82734, collision = h0002B0
x = 42.3968, y = -110.723, z = 223.5109, angle = 148.9348, collision = h0002B0
x = 41.84447, y = -110.6, z = 224.8967, angle = 167.6969, collision = h0002B0
x = 41.25407, y = -110.495, z = 226.2124, angle = -136.327, collision = h0002B0
x = 41.98974, y = -110.3888, z = 227.183, angle = 102.9619, collision = h0002B0
x = 41.28488, y = -110.4488, z = 228.1321, angle = 38.27549, collision = h0002B0
x = 40.66594, y = -110.5181, z = 227.1159, angle = -37.91528, collision = h0002B0
x = 39.71708, y = -110.5995, z = 226.5353, angle = 135.8274, collision = h0002B0
x = 38.64244, y = -110.818, z = 226.877, angle = 146.3278, collision = h0002B0
x = 37.74873, y = -111.1517, z = 228.1204, angle = -156.5134, collision = h0002B0
x = 37.75735, y = -111.2787, z = 229.2908, angle = -122.363, collision = h0002B0
x = 38.8391, y = -111.5161, z = 230.3005, angle = -139.9098, collision = h0002B0
x = 40.02886, y = -111.7769, z = 231.0701, angle = 125.2051, collision = h0002B0
x = 39.3284, y = -112.1156, z = 232.0163, angle = -159.5068, collision = h0002B0
x = 39.12742, y = -112.3831, z = 233.2065, angle = -117.472, collision = h0002B0
x = 40.08567, y = -112.3675, z = 232.8619, angle = -165.2998, collision = h0002B0
x = 40.75361, y = -112.6289, z = 233.8334, angle = 176.7822, collision = h0002B0
x = 40.7267, y = -112.8678, z = 235.4036, angle = 100.7411, collision = h0002B0
x = 39.82858, y = -113.306, z = 236.0731, angle = -159.7773, collision = h0002B0
x = 39.5356, y = -112.9075, z = 235.1058, angle = -145.4279, collision = h0002B0
x = 40.75744, y = -113.5981, z = 236.8257, angle = 157.4609, collision = h0002B0
x = 40.1771, y = -114.2211, z = 238.2421, angle = 179.8239, collision = h0002B0
x = 39.92776, y = -114.732, z = 239.44, angle = -142.4824, collision = h0002B0
x = 40.5869, y = -115.1493, z = 240.7831, angle = 146.2999, collision = h0002B0
x = 40.51443, y = -115.1496, z = 241.881, angle = 141.4438, collision = h0002B0
x = 39.58748, y = -114.7612, z = 243.0961, angle = -151.866, collision = h0002B0
x = 39.89063, y = -114.8285, z = 244.4273, angle = -179.8001, collision = h0002B0
x = 40.44953, y = -114.8268, z = 245.4619, angle = 142.6706, collision = h0002B0
x = 39.67665, y = -114.8674, z = 246.7727, angle = -141.3692, collision = h0002B0
x = 40.22292, y = -115.2787, z = 247.8422, angle = -55.14938, collision = h0002B0
x = 41.21808, y = -115.5061, z = 248.1327, angle = -11.05646, collision = h0002B0
x = 41.99062, y = -115.6245, z = 247.4653, angle = 48.47172, collision = h0002B0
x = 42.55487, y = -115.5983, z = 248.5391, angle = -133.1016, collision = h0002B0
x = 43.66707, y = -115.5706, z = 248.9108, angle = -151.0706, collision = h0002B0
x = 44.6356, y = -115.3333, z = 249.5428, angle = -55.56209, collision = h0002B0
x = 45.90068, y = -114.777, z = 248.68, angle = -100.2197, collision = h0002B0
x = 47.05262, y = -114.1664, z = 248.4044, angle = -65.7803, collision = h0002B0
x = 48.49503, y = -113.3881, z = 248.2208, angle = -26.5158, collision = h0002B0
x = 49.13743, y = -113.0676, z = 247.187, angle = -81.79023, collision = h0002B0
x = 50.20199, y = -112.9614, z = 247.0079, angle = -1.093322, collision = h0002B0
x = 49.69799, y = -112.8054, z = 246.1126, angle = 39.55062, collision = h0002B0
x = 48.75431, y = -112.7307, z = 245.6297, angle = -108.881, collision = h0002B0
x = 50.82127, y = -112.8634, z = 245.8788, angle = -29.12904, collision = h0003B0
x = 51.57514, y = -112.8634, z = 244.9216, angle = -37.28439, collision = h0003B0
x = 52.44347, y = -112.8648, z = 243.668, angle = -62.4603, collision = h0003B0
x = 53.38254, y = -112.8661, z = 243.0224, angle = -146.8682, collision = h0003B0
x = 54.03866, y = -112.8661, z = 243.8262, angle = -103.852, collision = h0003B0
x = 55.22093, y = -112.8679, z = 243.9185, angle = -0.3886378, collision = h0003B0
x = 55.45464, y = -112.8682, z = 242.8072, angle = -22.31059, collision = h0003B0
x = 55.68746, y = -112.8689, z = 241.6268, angle = -16.16168, collision = h0003B0
x = 56.10005, y = -112.8695, z = 240.6849, angle = 109.3133, collision = h0003B0
x = 52.22686, y = -112.8653, z = 242.4304, angle = -14.0583, collision = h0003B0
x = 52.4911, y = -112.8669, z = 241.4327, angle = -39.07341, collision = h0003B0
x = 53.29976, y = -112.8692, z = 240.1454, angle = 41.01478, collision = h0003B0
x = 53.13321, y = -112.8695, z = 239.0563, angle = 52.23014, collision = h0003B0
x = 52.17968, y = -112.8695, z = 238.2886, angle = -25.11097, collision = h0003B0
x = 51.87644, y = -112.8714, z = 237.2412, angle = -47.89752, collision = h0003B0
x = 52.89823, y = -112.8677, z = 236.1096, angle = -16.81656, collision = h0003B0
x = 53.91286, y = -112.8597, z = 235.886, angle = -62.72023, collision = h0003B0
x = 53.48991, y = -112.8695, z = 237.0316, angle = -78.9218, collision = h0003B0
x = 54.68993, y = -112.8695, z = 236.9357, angle = -104.2386, collision = h0003B0
x = 56.19169, y = -112.8695, z = 237.093, angle = -71.49438, collision = h0003B0
x = 57.37713, y = -112.8695, z = 237.1971, angle = 35.0422, collision = h0003B0
x = 57.08955, y = -112.8517, z = 235.8795, angle = 23.74763, collision = h0003B0
x = 56.21251, y = -112.762, z = 234.6927, angle = 10.07662, collision = h0003B0
x = 55.99215, y = -112.6717, z = 233.4881, angle = 25.91081, collision = h0003B0
x = 56.45055, y = -112.6874, z = 232.3244, angle = 0.1185038, collision = h0003B0
x = 56.77768, y = -112.8623, z = 231.1788, angle = 13.73767, collision = h0003B0
x = 56.61391, y = -112.8695, z = 229.9676, angle = -5.494341, collision = h0003B0
x = 56.3317, y = -112.8695, z = 228.7998, angle = -70.21249, collision = h0003B0
x = 57.69345, y = -112.8695, z = 228.139, angle = -107.4605, collision = h0003B0
x = 59.14636, y = -112.8695, z = 228.5915, angle = -64.41347, collision = h0003B0
x = 60.16814, y = -112.8695, z = 228.9393, angle = -37.53487, collision = h0003B0
x = 60.99451, y = -112.8695, z = 228.0389, angle = -39.28482, collision = h0003B0
x = 61.72804, y = -112.8695, z = 227.3174, angle = -44.24474, collision = h0003B0
x = 60.95136, y = -112.8695, z = 226.4633, angle = 20.9382, collision = h0003B0
x = 60.53282, y = -112.8695, z = 225.312, angle = 14.53464, collision = h0003B0
x = 60.24666, y = -112.8695, z = 223.8874, angle = -118.8387, collision = h0003B0
x = 61.62249, y = -112.8695, z = 224.2948, angle = -118.4579, collision = h0003B0
x = 62.50692, y = -112.8695, z = 225.1187, angle = -112.2933, collision = h0003B0
x = 63.96756, y = -112.8695, z = 225.562, angle = -150.61, collision = h0003B0
x = 62.72993, y = -112.8695, z = 223.8704, angle = -158.8206, collision = h0003B0
x = 63.62935, y = -112.8695, z = 224.5858, angle = 173.3752, collision = h0003B0
x = 63.27404, y = -112.8695, z = 226.335, angle = 104.2923, collision = h0003B0
x = 61.63357, y = -112.8695, z = 225.6691, angle = -160.5201, collision = h0003B0
x = 62.7819, y = -112.8695, z = 227.3814, angle = -26.37236, collision = h0003B0
x = 64.30264, y = -112.8695, z = 226.7669, angle = -144.1319, collision = h0003B0
x = 64.38802, y = -112.7423, z = 228.0564, angle = -97.81951, collision = h0003B0
x = 65.42802, y = -112.8695, z = 229.0707, angle = -71.84853, collision = h0003B0
x = 66.71515, y = -112.8695, z = 229.2067, angle = 14.90312, collision = h0003B0
x = 67.00812, y = -112.8695, z = 230.314, angle = 174.2823, collision = h0003B0
x = 66.97935, y = -112.8695, z = 231.8356, angle = 164.1379, collision = h0003B0
x = 66.68414, y = -112.8695, z = 233.0224, angle = 165.4044, collision = h0003B0
x = 66.37373, y = -112.8695, z = 234.2072, angle = 160.9464, collision = h0003B0
x = 66.01867, y = -112.8695, z = 235.2371, angle = 154.4252, collision = h0003B0
x = 64.58475, y = -112.8695, z = 235.62, angle = 119.5318, collision = h0003B0
x = 63.50828, y = -112.8695, z = 236.2023, angle = 146.4248, collision = h0003B0
x = 62.44115, y = -112.8695, z = 237.2573, angle = 153.8682, collision = h0003B0
x = 61.85184, y = -112.8695, z = 238.3297, angle = 169.152, collision = h0003B0
x = 61.23605, y = -112.8695, z = 239.4327, angle = 83.38338, collision = h0003B0
