# Upper
x = -50.26352, y = -136.5, z = 50.94548, angle = -95, collision = h0001B0_0000
x = -34.36477, y = -145.2868, z = 46.87788, angle = -144.8042, collision = h0002B0_0000
x = -33.3581, y = -145.5708, z = 47.87928, angle = -138.2679, collision = h0002B0_0000
x = -32.50211, y = -145.7612, z = 48.88107, angle = -151.2001, collision = h0002B0_0000
x = -31.97654, y = -145.9567, z = 50.24857, angle = 157.8158, collision = h0002B0_0000
x = -32.45617, y = -146.1069, z = 51.44273, angle = 138.0275, collision = h0002B0_0000
x = -33.57281, y = -146.224, z = 52.23582, angle = 83.80591, collision = h0002B0_0000
x = -34.86791, y = -145.7896, z = 52.2958, angle = 149.157, collision = h0002B0_0000
x = -35.51007, y = -145.8, z = 53.58104, angle = -158.1841, collision = h0002B0_0000
x = -35.10152, y = -146.1734, z = 54.82091, angle = -139.1134, collision = h0002B0_0000
x = -34.03721, y = -146.4899, z = 55.80931, angle = -96.5765, collision = h0002B0_0000
x = -32.73162, y = -146.5075, z = 55.98264, angle = -134.7224, collision = h0002B0_0000
x = -32.1641, y = -146.4334, z = 57.01159, angle = 124.2505, collision = h0002B0_0000
x = -33.23204, y = -146.5707, z = 57.74145, angle = 90.148, collision = h0002B0_0000
x = -34.70008, y = -146.6, z = 57.77076, angle = 164.9514, collision = h0002B0_0000
x = -35.03533, y = -146.6289, z = 58.97783, angle = -116.1392, collision = h0002B0_0000
x = -33.78844, y = -146.6923, z = 59.67501, angle = -155.9845, collision = h0002B0_0000
x = -33.22527, y = -146.7211, z = 60.76104, angle = 165.6707, collision = h0002B0_0000
x = -33.86633, y = -146.792, z = 62.00459, angle = 92.82899, collision = h0002B0_0000
x = -35.13253, y = -146.8484, z = 61.99998, angle = 48.80207, collision = h0002B0_0000
x = -36.39879, y = -146.745, z = 61.32037, angle = 115.4894, collision = h0002B0_0000
x = -37.5305, y = -146.6228, z = 61.96621, angle = 160.2458, collision = h0002B0_0000
x = -37.93858, y = -146.6929, z = 63.3694, angle = -143.3855, collision = h0002B0_0000
x = -37.16802, y = -146.9033, z = 64.40835, angle = -161.2666, collision = h0002B0_0000
x = -36.46614, y = -147, z = 65.64832, angle = -144.5975, collision = h0002B0_0000
x = -36.62399, y = -146.9715, z = 66.87325, angle = 125.1222, collision = h0002B0_0000
x = -37.67337, y = -147, z = 67.67175, angle = 124.7083, collision = h0002B0_0000
x = -38.95029, y = -147.0228, z = 68.42002, angle = 79.69601, collision = h0002B0_0000
x = -40.25418, y = -147.1535, z = 68.27682, angle = 118.9689, collision = h0002B0_0000
x = -41.50119, y = -147.3786, z = 68.9928, angle = 172.4042, collision = h0002B0_0000
x = -41.96106, y = -147.3856, z = 70.01995, angle = 167.8294, collision = h0002B0_0000
x = -42.59195, y = -147.4062, z = 71.24254, angle = 87.28404, collision = h0002B0_0000
x = -43.90554, y = -147.3617, z = 71.19291, angle = 84.41189, collision = h0002B0_0000
x = -45.38946, y = -147.2293, z = 71.09995, angle = 106.5338, collision = h0002B0_0000
x = -46.60167, y = -147.1465, z = 71.53412, angle = 125.4975, collision = h0002B0_0000
x = -47.83943, y = -147.0656, z = 72.35188, angle = 111.6776, collision = h0002B0_0000
x = -49.07754, y = -147.0091, z = 72.80483, angle = 45.74049, collision = h0002B0_0000
x = -49.43066, y = -146.5946, z = 71.42132, angle = 23.53646, collision = h0002B0_0000
x = -49.52565, y = -146.8131, z = 70.02617, angle = 53.24664, collision = h0002B0_0000
x = -50.74491, y = -146.7033, z = 69.24377, angle = 56.80741, collision = h0002B0_0000
x = -51.73181, y = -146.5229, z = 68.45541, angle = 14.77378, collision = h0002B0_0000
x = -52.10979, y = -146.3603, z = 67.18905, angle = 27.60802, collision = h0002B0_0000
x = -52.9389, y = -146.1975, z = 65.97247, angle = 46.0191, collision = h0002B0_0000
x = -53.77235, y = -146.1743, z = 65.16946, angle = 47.51738, collision = h0002B0_0000
x = -54.57467, y = -145.6979, z = 64.40349, angle = 27.72293, collision = h0002B0_0000
x = -55.04268, y = -145.8568, z = 63.10773, angle = -74.29142, collision = h0002B0_0000
x = -53.9227, y = -145.8961, z = 63.17817, angle = -86.34381, collision = h0002B0_0000
x = -52.4555, y = -145.7981, z = 63.14923, angle = -106.3448, collision = h0002B0_0000
x = -51.17953, y = -145.8064, z = 63.46489, angle = -112.9302, collision = h0002B0_0000
x = -49.99756, y = -145.8816, z = 64.25239, angle = 159.3998, collision = h0002B0_0000
x = -50.56535, y = -145.9849, z = 65.36524, angle = 108.3851, collision = h0002B0_0000
x = -51.90015, y = -145.9896, z = 65.33584, angle = -1.345301, collision = h0002B0_0000
x = -48.85759, y = -145.8461, z = 63.46088, angle = -62.71663, collision = h0002B0_0000
x = -47.54887, y = -145.652, z = 62.75602, angle = -52.79712, collision = h0002B0_0000
x = -46.51013, y = -145.3488, z = 61.94011, angle = -47.31985, collision = h0002B0_0000
x = -45.40152, y = -145.1685, z = 60.94924, angle = -34.77187, collision = h0002B0_0000
x = -44.79023, y = -145.007, z = 59.82666, angle = -10.18141, collision = h0002B0_0000
x = -47.15762, y = -145.9654, z = 63.91282, angle = 169.495, collision = h0002B0_0000
x = -47.19419, y = -146.2084, z = 65.36711, angle = -151.9491, collision = h0002B0_0000
x = -46.62355, y = -146.6265, z = 66.73695, angle = -167.8865, collision = h0002B0_0000
x = -46.30797, y = -146.9264, z = 68.01997, angle = -139.4383, collision = h0002B0_0000
x = -45.32274, y = -147.1084, z = 69.12564, angle = -130.0918, collision = h0002B0_0000
x = -44.22852, y = -147.2614, z = 69.83402, angle = -94.54777, collision = h0002B0_0000
x = -42.8092, y = -147.4221, z = 72.58259, angle = -168.0788, collision = h0004B0_0000
x = -42.56861, y = -147.8569, z = 73.90086, angle = 174.5735, collision = h0004B0_0000
x = -42.57648, y = -148.2897, z = 74.92223, angle = -128.8673, collision = h0004B0_0000
x = -41.72606, y = -148.5888, z = 75.64053, angle = -85.0267, collision = h0004B0_0000
x = -40.23918, y = -148.9261, z = 75.9492, angle = -44.99363, collision = h0004B0_0000
x = -39.07509, y = -148.8968, z = 75.34852, angle = -37.98479, collision = h0004B0_0000
x = -38.37736, y = -148.8501, z = 74.26679, angle = -8.790208, collision = h0004B0_0000
x = -38.19606, y = -148.6118, z = 72.8027, angle = -1.413576, collision = h0004B0_0000
x = -39.66959, y = -148.8799, z = 73.8027, angle = 9.542689, collision = h0004B0_0000
x = -40.30856, y = -148.5107, z = 72.88596, angle = -162.822, collision = h0004B0_0000
x = -40.2103, y = -148.9172, z = 74.90125, angle = 168.9633, collision = h0004B0_0000
x = -41.27551, y = -148.9228, z = 76.96954, angle = 92.25549, collision = h0004B0_0000
x = -42.52886, y = -148.8873, z = 76.87134, angle = 29.75497, collision = h0004B0_0000
x = -43.34079, y = -148.8266, z = 75.64428, angle = 75.72408, collision = h0004B0_0000
x = -44.58987, y = -148.6109, z = 75.3079, angle = 97.6221, collision = h0004B0_0000
x = -45.90388, y = -148.0896, z = 75.43894, angle = 60.60167, collision = h0004B0_0000
x = -47.2048, y = -147.5011, z = 74.9142, angle = 78.00272, collision = h0004B0_0000
x = -48.27422, y = -147.2592, z = 74.55703, angle = -110.3808, collision = h0004B0_0000
x = -47.90181, y = -147.4019, z = 75.77577, angle = -93.4115, collision = h0004B0_0000
x = -46.89893, y = -147.7787, z = 75.89511, angle = -119.7805, collision = h0004B0_0000
x = -45.92411, y = -148.2294, z = 76.58329, angle = 156.0292, collision = h0004B0_0000
x = -46.29708, y = -148.3971, z = 77.58727, angle = 116.109, collision = h0004B0_0000
x = -47.05059, y = -147.3571, z = 78.88104, angle = -33.31858, collision = h0004B0_0000
x = -44.63499, y = -148.8105, z = 79.02613, angle = -25.25374, collision = h0004B0_0000
x = -44.12027, y = -148.7735, z = 78.08927, angle = -83.28341, collision = h0004B0_0000
x = -42.40433, y = -148.8542, z = 77.91705, angle = -118.4986, collision = h0004B0_0000
x = -41.14114, y = -148.9161, z = 78.687, angle = 177.5556, collision = h0004B0_0000
x = -41.24898, y = -148.8996, z = 79.92247, angle = 142.7119, collision = h0004B0_0000
x = -41.96803, y = -149.0017, z = 81.1938, angle = -117.0215, collision = h0004B0_0000
x = -40.92199, y = -149.0796, z = 81.48875, angle = -63.70695, collision = h0004B0_0000
x = -39.56287, y = -149.0496, z = 80.88763, angle = -100.722, collision = h0004B0_0000
x = -38.28495, y = -149.1941, z = 81.07314, angle = -165.4834, collision = h0004B0_0000
x = -37.91665, y = -149.4995, z = 82.34116, angle = 140.4028, collision = h0004B0_0000
x = -38.76569, y = -149.6344, z = 83.32098, angle = 157.1189, collision = h0004B0_0000
x = -38.864, y = -149.8447, z = 84.47995, angle = -58.04735, collision = h0004B0_0000
x = -37.81804, y = -149.9837, z = 83.82755, angle = -51.89663, collision = h0004B0_0000
x = -36.75056, y = -149.9853, z = 82.79783, angle = -109.6925, collision = h0004B0_0000
x = -35.82712, y = -150.0663, z = 83.27534, angle = 134.1714, collision = h0004B0_0000
x = -36.81388, y = -150.0598, z = 84.32767, angle = 149.3829, collision = h0004B0_0000
x = -37.40159, y = -150.131, z = 85.5016, angle = -177.627, collision = h0004B0_0000
x = -36.90911, y = -150.2777, z = 86.61646, angle = -95.95581, collision = h0004B0_0000
x = -35.5962, y = -150.536, z = 86.757, angle = -131.3722, collision = h0004B0_0000
x = -34.89868, y = -150.8955, z = 87.75365, angle = 150.866, collision = h0004B0_0000
x = -35.30984, y = -150.9947, z = 88.97897, angle = -146.457, collision = h0004B0_0000
x = -34.31141, y = -151.2345, z = 89.97852, angle = -107.116, collision = h0004B0_0000
x = -33.06038, y = -151.6158, z = 90.39937, angle = 177.0854, collision = h0004B0_0000
x = -33.13671, y = -152.026, z = 91.81049, angle = 179.4106, collision = h0004B0_0000
x = -32.87535, y = -152.2241, z = 92.9855, angle = -93.03487, collision = h0004B0_0000
x = -31.41562, y = -152.452, z = 93.16306, angle = -138.6077, collision = h0004B0_0000
x = -30.49606, y = -152.677, z = 94.10651, angle = -134.6187, collision = h0004B0_0000
x = -29.41688, y = -153.1465, z = 95.12971, angle = -87.73546, collision = h0004B0_0000
x = -28.28001, y = -153.5344, z = 95.00392, angle = -44.0794, collision = h0004B0_0000
x = -27.34258, y = -153.9292, z = 94.07265, angle = -30.36204, collision = h0005B0_0000
x = -26.96951, y = -154, z = 92.8406, angle = 36.30767, collision = h0005B0_0000
x = -27.9837, y = -154, z = 92.09644, angle = 73.75883, collision = h0005B0_0000
x = -29.14732, y = -154, z = 91.81917, angle = 86.09386, collision = h0005B0_0000
x = -30.16866, y = -154, z = 91.74941, angle = 19.1583, collision = h0005B0_0000
x = -28.4981, y = -154, z = 90.80836, angle = -50.53818, collision = h0005B0_0000
x = -28.99791, y = -154, z = 89.86842, angle = 67.0953, collision = h0005B0_0000
x = -27.59043, y = -154, z = 90.29419, angle = -107.1482, collision = h0005B0_0000
x = -26.82891, y = -154, z = 90.95757, angle = -156.8681, collision = h0005B0_0000
x = -25.91914, y = -154, z = 92.45992, angle = -111.1775, collision = h0005B0_0000
x = -24.78909, y = -153.9, z = 92.79786, angle = -100.7372, collision = h0005B0_0000
x = -23.69955, y = -154.2667, z = 92.82285, angle = -91.55383, collision = h0005B0_0000
x = -22.64293, y = -154.8562, z = 92.85188, angle = -95.66505, collision = h0005B0_0000
x = -21.16116, y = -155.1122, z = 92.98615, angle = -94.95441, collision = h0005B0_0000
x = -19.84377, y = -155.1152, z = 93.10438, angle = -100.0949, collision = h0005B0_0000
x = -18.37431, y = -155.1187, z = 93.33726, angle = -95.62115, collision = h0005B0_0000
x = -17.05846, y = -155.1217, z = 93.47116, angle = -94.90125, collision = h0005B0_0000
x = -15.66142, y = -155.1248, z = 93.44398, angle = -93.56641, collision = h0005B0_0000
x = -14.34123, y = -155.1279, z = 93.52523, angle = -102.7004, collision = h0005B0_0000
x = -12.88541, y = -155.1313, z = 93.81636, angle = -99.6038, collision = h0005B0_0000
x = -11.58539, y = -155.1343, z = 94.05829, angle = -100.3188, collision = h0005B0_0000
x = -10.31087, y = -155.1372, z = 93.98668, angle = -88.9283, collision = h0005B0_0000
x = -8.823283, y = -155.1405, z = 93.99078, angle = -94.36034, collision = h0005B0_0000
x = -7.503341, y = -155.1436, z = 94.07269, angle = -94.26659, collision = h0005B0_0000
x = -6.18374, y = -155.147, z = 94.17367, angle = -96.30359, collision = h0005B0_0000
x = -4.703968, y = -155.15, z = 94.31675, angle = -99.70931, collision = h0005B0_0000
x = -3.237255, y = -155.1534, z = 94.56776, angle = -100.8036, collision = h0005B0_0000
x = -1.950327, y = -155.1564, z = 94.86507, angle = -111.3606, collision = h0005B0_0000
x = -1.611622, y = -155.2, z = 95.84885, angle = -162.6542, collision = h0005B0_0000
x = -1.184318, y = -155.2, z = 97.09511, angle = -142.7998, collision = h0005B0_0000
x = -0.1596871, y = -155.2, z = 98.12003, angle = -76.74152, collision = h0005B0_0000
x = 1.032205, y = -155.2, z = 97.74638, angle = 29.80208, collision = h0005B0_0000
x = 0.3253013, y = -155.2, z = 96.52426, angle = 43.35084, collision = h0005B0_0000
x = -0.5753553, y = -155.2, z = 95.55704, angle = 25.33278, collision = h0005B0_0000
x = -0.6292883, y = -155.2, z = 94.30782, angle = -60.64495, collision = h0005B0_0000
x = 0.5132821, y = -155.2, z = 93.6428, angle = -114.7459, collision = h0005B0_0000
x = 1.015877, y = -155.2, z = 94.66341, angle = 147.8217, collision = h0005B0_0000
x = 2.321941, y = -155.2, z = 97.06924, angle = -31.42453, collision = h0005B0_0000
x = 2.962591, y = -155.2, z = 95.92188, angle = -6.168098, collision = h0005B0_0000
x = 2.768762, y = -155.2, z = 94.53863, angle = 41.15791, collision = h0005B0_0000
x = 1.894494, y = -155.2, z = 93.54698, angle = 55.96903, collision = h0005B0_0000
x = 4.276097, y = -155.1976, z = 95.36851, angle = -67.38383, collision = h0005B0_0000
x = 5.623178, y = -155.462, z = 94.77662, angle = -66.75138, collision = h0005B0_0000
x = 6.837751, y = -156.2071, z = 94.27354, angle = -73.83366, collision = h0005B0_0000
x = 7.785454, y = -156.7736, z = 93.98133, angle = -70.58017, collision = h0005B0_0000
x = 9.035645, y = -156.9679, z = 93.54982, angle = -73.07939, collision = h0005B0_0000
x = 10.45913, y = -156.966, z = 93.11628, angle = -72.91476, collision = h0005B0_0000
x = 11.72617, y = -156.9643, z = 92.73757, angle = -78.75552, collision = h0005B0_0000
x = 13.186, y = -156.9623, z = 92.44917, angle = -79.37617, collision = h0005B0_0000
x = 14.48604, y = -156.9606, z = 92.20544, angle = -80.26005, collision = h0005B0_0000
x = 15.94953, y = -156.9587, z = 91.93771, angle = -75.33578, collision = h0005B0_0000
x = 17.22816, y = -156.957, z = 91.59917, angle = -75.58102, collision = h0005B0_0000
x = 18.65766, y = -156.955, z = 91.18851, angle = -71.30813, collision = h0005B0_0000
x = 19.90814, y = -156.9533, z = 90.75743, angle = -70.19344, collision = h0005B0_0000
x = 21.30766, y = -156.9514, z = 90.25186, angle = -71.0505, collision = h0005B0_0000
x = 22.56206, y = -156.9497, z = 89.83533, angle = -75.12195, collision = h0005B0_0000
x = 24.00145, y = -156.9488, z = 89.45796, angle = -75.21525, collision = h0005B0_0000
x = 25.28136, y = -156.9488, z = 89.12425, angle = -75.71349, collision = h0005B0_0000
x = 26.72341, y = -156.9488, z = 88.75714, angle = -75.82573, collision = h0005B0_0000
x = 28.00591, y = -156.9488, z = 88.43351, angle = -76.00009, collision = h0005B0_0000
x = 29.44929, y = -156.9488, z = 88.07169, angle = -76.25215, collision = h0005B0_0000
x = 30.89429, y = -156.9488, z = 87.7164, angle = -76.10107, collision = h0005B0_0000
x = 32.17836, y = -156.9488, z = 87.39905, angle = -76.16336, collision = h0005B0_0000
x = 33.46179, y = -156.9488, z = 87.07916, angle = -75.0956, collision = h0005B0_0000
x = 34.90001, y = -156.9488, z = 86.69731, angle = -75.12938, collision = h0005B0_0000
x = 36.35667, y = -156.9488, z = 86.41321, angle = -77.06544, collision = h0005B0_0000
x = 37.64098, y = -156.9488, z = 86.10858, angle = -78.54209, collision = h0005B0_0000
x = 37.37895, y = -156.9524, z = 84.64198, angle = 9.127209, collision = h0006B0_0000
x = 37.18709, y = -157.2291, z = 83.47776, angle = 8.880052, collision = h0006B0_0000
x = 36.98639, y = -157.0104, z = 82.17044, angle = 6.490906, collision = h0006B0_0000
x = 36.81905, y = -157.1977, z = 80.69185, angle = 16.96107, collision = h0006B0_0000
x = 36.46779, y = -157.3262, z = 79.41972, angle = 17.85799, collision = h0006B0_0000
x = 35.99209, y = -157.4, z = 78.00996, angle = 21.15922, collision = h0006B0_0000
x = 35.75938, y = -157.4, z = 76.95506, angle = -6.95846, collision = h0006B0_0000
x = 35.89093, y = -157.4, z = 75.92831, angle = 26.98035, collision = h0006B0_0000
x = 35.27188, y = -157.3716, z = 74.62491, angle = 15.04625, collision = h0006B0_0000
x = 34.98033, y = -157.3081, z = 73.34548, angle = -28.04566, collision = h0006B0_0000
x = 35.89351, y = -157.2268, z = 72.3815, angle = -134.2325, collision = h0006B0_0000
x = 36.81724, y = -157.4, z = 73.27167, angle = -173.5187, collision = h0006B0_0000
x = 36.91309, y = -157.4, z = 74.72941, angle = -148.1521, collision = h0006B0_0000
x = 37.54139, y = -157.4, z = 75.87959, angle = -147.8685, collision = h0006B0_0000
x = 38.31395, y = -157.4, z = 77.15077, angle = -153.9285, collision = h0006B0_0000
x = 38.8572, y = -157.4, z = 78.35439, angle = -161.9641, collision = h0006B0_0000
x = 39.31781, y = -157.4, z = 79.76933, angle = -163.0253, collision = h0006B0_0000
x = 39.67182, y = -157.4, z = 81.04213, angle = -179.6131, collision = h0006B0_0000
x = 39.70851, y = -157.4, z = 82.52936, angle = -145.4789, collision = h0006B0_0000
x = 40.47486, y = -157.4, z = 83.4936, angle = -74.32078, collision = h0006B0_0000
x = 41.59118, y = -157.4, z = 82.83704, angle = 30.02111, collision = h0006B0_0000
x = 41.01395, y = -157.4, z = 81.66644, angle = 25.65795, collision = h0006B0_0000
x = 40.38761, y = -157.4, z = 80.32474, angle = 31.3889, collision = h0006B0_0000
x = 38.12156, y = -157.4, z = 74.75822, angle = 2.315202, collision = h0006B0_0000
x = 38.15737, y = -157.4, z = 73.44826, angle = -49.22202, collision = h0006B0_0000
x = 39.25942, y = -157.3312, z = 72.4638, angle = -98.85512, collision = h0006B0_0000
x = 40.33996, y = -157.4, z = 72.74742, angle = -148.7568, collision = h0006B0_0000
x = 41.05118, y = -157.4, z = 74.05251, angle = -156.0511, collision = h0006B0_0000
x = 41.58357, y = -157.4, z = 75.26323, angle = -167.1911, collision = h0006B0_0000
x = 41.88053, y = -157.4, z = 76.71268, angle = -167.7146, collision = h0006B0_0000
x = 42.16154, y = -157.4, z = 78.00172, angle = -152.5299, collision = h0006B0_0000
x = 42.84832, y = -157.4, z = 79.31929, angle = -144.2565, collision = h0006B0_0000
x = 43.58518, y = -157.4, z = 80.41681, angle = -148.4595, collision = h0006B0_0000
x = 44.48766, y = -157.4, z = 81.56129, angle = -69.74578, collision = h0006B0_0000
x = 45.51255, y = -157.4, z = 81.07631, angle = 14.95314, collision = h0006B0_0000
x = 45.27366, y = -157.4, z = 79.69215, angle = 9.586621, collision = h0006B0_0000
x = 45.13048, y = -157.4, z = 78.69309, angle = 10.98458, collision = h0006B0_0000
x = 44.87434, y = -157.4, z = 77.3767, angle = 11.35858, collision = h0006B0_0000
x = 44.5782, y = -157.4, z = 75.91842, angle = 12.2677, collision = h0006B0_0000
x = 44.33857, y = -157.4, z = 74.61858, angle = 0.5096824, collision = h0006B0_0000
x = 44.27131, y = -157.3384, z = 73.61156, angle = 4.912395, collision = h0006B0_0000
x = 44.18608, y = -157.3115, z = 72.30727, angle = -11.05625, collision = h0006B0_0000
x = 44.53289, y = -157.283, z = 70.86835, angle = -69.86986, collision = h0006B0_0000
x = 45.40927, y = -157.1791, z = 70.34432, angle = -52.35865, collision = h0006B0_0000
x = 46.38495, y = -157.2948, z = 69.62834, angle = -67.82498, collision = h0006B0_0000
x = 47.77697, y = -157.3152, z = 69.11475, angle = -89.14355, collision = h0006B0_0000
x = 49.06388, y = -157.2263, z = 69.22144, angle = -119.5941, collision = h0006B0_0000
x = 50.15771, y = -157.2017, z = 69.78702, angle = -142.1192, collision = h0006B0_0000
x = 50.72335, y = -157.3176, z = 70.87546, angle = 141.6188, collision = h0006B0_0000
x = 49.86841, y = -157.4, z = 72.08215, angle = 139.3318, collision = h0006B0_0000
x = 49.04108, y = -157.4, z = 73.11002, angle = -169.6883, collision = h0006B0_0000
