x = -19.71554, y = 48.91821, z = 954.4495, angle = 20, collision = h0100B0_0000
x = -28.70129, y = 56.70211, z = 932.8978, angle = 166.0062, collision = h0004B0
x = -28.99132, y = 56.7021, z = 934.2655, angle = 133.0532, collision = h0004B0
x = -29.9666, y = 56.79981, z = 935.2687, angle = 91.19138, collision = h0004B0
x = -31.39064, y = 57.00828, z = 935.2368, angle = 79.24425, collision = h0004B0
x = -32.63284, y = 57.02388, z = 934.9496, angle = 71.61594, collision = h0004B0
x = -33.99232, y = 56.98267, z = 934.4968, angle = 78.58147, collision = h0004B0
x = -35.36666, y = 57.04647, z = 934.5167, angle = 115.6142, collision = h0004B0
x = -36.64872, y = 56.89818, z = 935.151, angle = 15.20049, collision = h0004B0
x = -36.72329, y = 56.85532, z = 934.008, angle = -50.2375, collision = h0004B0
x = -35.65007, y = 56.77901, z = 933.0621, angle = -52.46434, collision = h0004B0
x = -34.53759, y = 56.75449, z = 932.528, angle = -107.378, collision = h0004B0
x = -33.16072, y = 56.79646, z = 932.8966, angle = -63.66675, collision = h0004B0
x = -32.02053, y = 56.73654, z = 932.2941, angle = 9.49369, collision = h0004B0
x = -32.38605, y = 56.70213, z = 930.9765, angle = 48.00997, collision = h0004B0
x = -33.47593, y = 56.70262, z = 930.0499, angle = 61.60925, collision = h0004B0
x = -34.76843, y = 56.74398, z = 929.4504, angle = 87.51676, collision = h0004B0
x = -36.1939, y = 56.70214, z = 929.3834, angle = 137.2464, collision = h0004B0
x = -36.97876, y = 56.70214, z = 930.293, angle = -170.4794, collision = h0004B0
x = -36.65982, y = 56.70213, z = 931.6651, angle = -174.404, collision = h0004B0
x = -36.68398, y = 56.71665, z = 933.0063, angle = 106.3054, collision = h0004B0
x = -38.00181, y = 56.70213, z = 933.3289, angle = 54.99787, collision = h0004B0
x = -38.9612, y = 56.70214, z = 932.8277, angle = 4.497256, collision = h0004B0
x = -37.91933, y = 56.70213, z = 931.8822, angle = -41.54937, collision = h0004B0
x = -38.07077, y = 56.70214, z = 930.1152, angle = 94.06883, collision = h0004B0
x = -39.48948, y = 56.70214, z = 930.2524, angle = 112.363, collision = h0004B0
x = -40.81829, y = 56.1745, z = 930.7883, angle = 109.2154, collision = h0004B0
x = -42.19809, y = 55.93649, z = 930.9936, angle = 71.21236, collision = h0004B0
x = -43.57021, y = 56.05368, z = 930.6555, angle = 157.5856, collision = h0004B0
x = -44.11505, y = 56.10492, z = 931.7344, angle = 166.7866, collision = h0004B0
x = -44.46043, y = 56.39431, z = 933.1239, angle = -148.947, collision = h0004B0
x = -43.30112, y = 56.13134, z = 933.3853, angle = -29.18869, collision = h0004B0
x = -42.28337, y = 55.99018, z = 932.9716, angle = -4.343631, collision = h0004B0
x = -43.74903, y = 56.05545, z = 929.593, angle = 7.684113, collision = h0004B0
x = -44.0004, y = 56.0455, z = 928.4492, angle = -21.36616, collision = h0004B0
x = -43.6761, y = 55.90232, z = 927.4576, angle = -21.47399, collision = h0004B0
x = -43.23028, y = 55.90215, z = 926.2469, angle = 25.05255, collision = h0004B0
x = -43.68541, y = 55.90563, z = 924.9968, angle = 26.07538, collision = h0004B0
x = -44.15083, y = 56.00809, z = 924.0384, angle = 21.21898, collision = h0004B0
x = -44.67872, y = 56.10109, z = 922.6599, angle = -23.17336, collision = h0004B0
x = -44.23264, y = 56.11581, z = 921.4316, angle = -101.0867, collision = h0004B0
x = -42.86722, y = 55.9339, z = 921.6859, angle = -141.6994, collision = h0004B0
x = -41.81998, y = 55.90215, z = 922.5331, angle = -64.05556, collision = h0004B0
x = -41.87728, y = 55.90215, z = 923.6739, angle = -139.3098, collision = h0004B0
x = -41.0833, y = 55.90215, z = 924.5395, angle = -53.02499, collision = h0004B0
x = -40.21942, y = 55.90211, z = 923.6625, angle = 50.85767, collision = h0004B0
x = -42.04118, y = 55.90215, z = 924.8777, angle = 168.4075, collision = h0004B0
x = -42.12611, y = 55.90215, z = 926.2711, angle = -115.4145, collision = h0004B0
x = -40.8395, y = 56.16093, z = 926.8068, angle = -85.41547, collision = h0004B0
x = -40.05177, y = 56.67018, z = 926.7819, angle = -78.86239, collision = h0004B0
x = -38.64579, y = 56.70214, z = 926.5061, angle = -80.15906, collision = h0005B0
x = -37.35531, y = 57.24596, z = 926.7209, angle = -150.9428, collision = h0005B0
x = -36.80868, y = 57.58694, z = 927.6876, angle = -156.6401, collision = h0004B0
x = -32.50873, y = 56.79937, z = 929.4172, angle = -99.52207, collision = h0004B0
x = -31.09157, y = 56.70212, z = 929.6266, angle = -88.3231, collision = h0004B0
x = -29.8198, y = 56.70212, z = 929.5646, angle = -71.31713, collision = h0004B0
x = -28.64921, y = 56.70212, z = 929.17, angle = -51.69031, collision = h0004B0
x = -27.82896, y = 56.70212, z = 928.5858, angle = -31.55013, collision = h0004B0
x = -27.11782, y = 56.70209, z = 927.5261, angle = -19.6579, collision = h0029B0
x = -26.60312, y = 56.70211, z = 926.2323, angle = -42.64187, collision = h0029B0
x = -25.69229, y = 56.70211, z = 925.1419, angle = 3.407418, collision = h0029B0
x = -25.68782, y = 56.70211, z = 923.7734, angle = 10.48647, collision = h0029B0
x = -25.93209, y = 56.70211, z = 922.4268, angle = 7.10132, collision = h0029B0
x = -26.22871, y = 56.70211, z = 921.0735, angle = 126.2009, collision = h0029B0
x = -27.36818, y = 56.7021, z = 921.6145, angle = -173.1288, collision = h0029B0
x = -27.66301, y = 56.70211, z = 922.8746, angle = -157.8105, collision = h0029B0
x = -27.24187, y = 56.70211, z = 924.1743, angle = -155.5462, collision = h0029B0
x = -26.77848, y = 56.70211, z = 925.2147, angle = -165.5723, collision = h0029B0
x = -26.27502, y = 56.70212, z = 928.5681, angle = 136.5414, collision = h0004B0
x = -27.18534, y = 56.70212, z = 929.5422, angle = 103.1005, collision = h0004B0
x = -36.97197, y = 56.70215, z = 928.6757, angle = 55.42239, collision = h0004B0
x = -38.0024, y = 56.70216, z = 928.0432, angle = 8.908206, collision = h0004B0
x = -36.21216, y = 57.96917, z = 926.3703, angle = -91.35062, collision = h0005B0
x = -35.19305, y = 58.61928, z = 926.395, angle = -94.94833, collision = h0005B0
x = -34.39673, y = 59.13264, z = 926.4621, angle = -95.58723, collision = h0005B0
x = -33.42758, y = 59.75742, z = 926.5555, angle = -102.1402, collision = h0005B0
x = -32.59936, y = 60.29134, z = 926.7223, angle = -104.2301, collision = h0005B0
x = -31.56148, y = 60.96042, z = 926.9621, angle = -81.29238, collision = h0005B0
x = -30.17993, y = 61.68932, z = 926.8086, angle = -87.46807, collision = h0005B0
x = -28.93983, y = 61.68904, z = 926.5419, angle = -32.29654, collision = h0005B0
x = -28.75536, y = 61.86281, z = 925.3892, angle = 64.16587, collision = h0005B0
x = -29.93711, y = 61.75755, z = 925.1597, angle = -177.832, collision = h0005B0
x = -27.52147, y = 61.689, z = 926.7612, angle = -95.43388, collision = h0005B0
x = -26.09537, y = 61.689, z = 926.8427, angle = -90.30776, collision = h0005B0
x = -24.70064, y = 61.689, z = 926.6733, angle = -35.77409, collision = h0005B0
x = -23.21209, y = 61.83725, z = 926.0838, angle = -90.49453, collision = h0005B0
x = -22.3378, y = 62.37864, z = 925.238, angle = 1.405967, collision = h0005B0
x = -22.36475, y = 63.04696, z = 924.1937, angle = -19.82533, collision = h0005B0
x = -22.3378, y = 63.6916, z = 923.1863, angle = -19.82533, collision = h0005B0
x = -22.5109, y = 64.26047, z = 922.2974, angle = 1.327857, collision = h0005B0
x = -22.53266, y = 64.85394, z = 921.3699, angle = -4.434855, collision = h0005B0
x = -22.49229, y = 65.46416, z = 920.4163, angle = -3.852131, collision = h0006B0
x = -22.89216, y = 65.86904, z = 919.3996, angle = 49.88573, collision = h0006B0
x = -23.5871, y = 65.90468, z = 918.3561, angle = 6.788347, collision = h0006B0
x = -23.61462, y = 66.05775, z = 917.3099, angle = -24.20687, collision = h0006B0
x = -22.42327, y = 65.88669, z = 918.2457, angle = -120.6059, collision = h0006B0
x = -21.43378, y = 65.90465, z = 917.5679, angle = -27.27098, collision = h0006B0
x = -20.77197, y = 65.86901, z = 918.5347, angle = -164.5943, collision = h0006B0
x = -20.26493, y = 65.86903, z = 919.8274, angle = -59.39948, collision = h0006B0
x = -19.09759, y = 65.86898, z = 919.175, angle = -70.26227, collision = h0006B0
x = -17.76229, y = 65.86898, z = 918.7626, angle = -137.8682, collision = h0006B0
x = -17.04116, y = 66.01669, z = 919.6988, angle = 175.4859, collision = h0006B0
x = -17.03068, y = 66.14001, z = 921.1213, angle = -157.5133, collision = h0006B0
x = -16.81785, y = 66.4063, z = 922.4931, angle = -165.0599, collision = h0006B0
x = -15.6641, y = 66.50043, z = 922.7217, angle = -80.91006, collision = h0006B0
x = -14.30548, y = 66.97862, z = 922.4849, angle = -99.13697, collision = h0006B0
x = -13.20514, y = 67.68282, z = 922.7007, angle = -98.90423, collision = h0006B0
x = -11.95549, y = 68.48257, z = 922.7763, angle = -96.0574, collision = h0006B0
x = -11.00501, y = 69.09087, z = 922.7763, angle = -82.25102, collision = h0006B0
x = -9.585505, y = 69.46915, z = 922.6172, angle = -51.49053, collision = h0006B0
x = -9.408595, y = 69.46917, z = 921.6194, angle = 68.31188, collision = h0006B0
x = -9.987885, y = 69.46917, z = 920.7894, angle = 102.3295, collision = h0006B0
x = -11.09584, y = 69.47305, z = 921.0734, angle = 91.47097, collision = h0006B0
x = -12.12976, y = 69.46918, z = 920.8063, angle = 78.14726, collision = h0006B0
x = -13.49152, y = 69.46918, z = 920.6229, angle = 79.77146, collision = h0006B0
x = -14.77577, y = 69.46919, z = 920.2103, angle = -23.01498, collision = h0006B0
x = -14.55125, y = 69.46918, z = 919.1231, angle = -17.61929, collision = h0006B0
x = -14.07336, y = 69.53049, z = 917.8436, angle = -27.7977, collision = h0006B0
x = -13.3626, y = 69.742, z = 916.7609, angle = -161.9426, collision = h0006B0
x = -12.78457, y = 69.58804, z = 917.8535, angle = 166.5398, collision = h0006B0
x = -13.09998, y = 69.46918, z = 919.2039, angle = 176.112, collision = h0006B0
x = -11.36342, y = 69.46917, z = 919.6616, angle = 6.645446, collision = h0006B0
x = -11.34218, y = 69.61167, z = 918.41, angle = 17.36668, collision = h0006B0
x = -11.6601, y = 69.80448, z = 917.3942, angle = -6.204626, collision = h0006B0
x = -10.76425, y = 70.14709, z = 916.686, angle = -158.2585, collision = h0006B0
x = -10.22848, y = 70.0111, z = 917.6386, angle = -173.6167, collision = h0006B0
x = -10.12357, y = 69.49481, z = 918.4557, angle = -174.9319, collision = h0006B0
x = -9.352938, y = 70.53358, z = 917.3616, angle = -87.25199, collision = h0006B0
x = -8.851277, y = 70.83898, z = 916.4519, angle = -93.30764, collision = h0006B0
x = -7.995434, y = 71.3797, z = 917.0817, angle = -81.94717, collision = h0006B0
x = -6.849563, y = 72.11291, z = 916.902, angle = -80.87511, collision = h0006B0
x = -5.879003, y = 72.15511, z = 916.4492, angle = -72.79858, collision = h0007B0
x = -5.591738, y = 72.71539, z = 915.5674, angle = -46.76148, collision = h0007B0
x = -5.849013, y = 73.36107, z = 914.5585, angle = 17.59185, collision = h0007B0
x = -5.879821, y = 73.9089, z = 913.7025, angle = -0.1785958, collision = h0007B0
x = -5.871296, y = 74.42107, z = 912.9022, angle = 0.5360333, collision = h0007B0
x = -5.871713, y = 74.92749, z = 912.1108, angle = -4.509373, collision = h0007B0
x = -5.797225, y = 75.55282, z = 911.1337, angle = -0.5492291, collision = h0007B0
x = -5.776814, y = 76.15378, z = 910.1947, angle = 1.80791, collision = h0007B0
x = -5.78784, y = 76.75672, z = 909.2526, angle = -7.435904, collision = h0007B0
x = -5.714171, y = 77.33479, z = 908.3165, angle = -0.876204, collision = h0007B0
x = -5.715334, y = 77.34097, z = 907.1851, angle = 5.961075, collision = h0007B0
x = -6.660495, y = 77.36184, z = 906.5023, angle = 80.39038, collision = h0007B0
x = -7.91332, y = 77.50213, z = 906.3088, angle = 92.03808, collision = h0007B0
x = -9.36514, y = 77.57516, z = 906.171, angle = 69.17049, collision = h0007B0
x = -10.61519, y = 77.59069, z = 905.786, angle = 89.44929, collision = h0007B0
x = -12.09074, y = 77.43287, z = 905.8561, angle = 118.294, collision = h0007B0
x = -12.89701, y = 77.34991, z = 906.4932, angle = 140.0244, collision = h0007B0
x = -13.30319, y = 77.34096, z = 907.6357, angle = 168.2425, collision = h0007B0
x = -13.55378, y = 77.34098, z = 908.9342, angle = 168.0657, collision = h0007B0
x = -13.86271, y = 77.34097, z = 910.3773, angle = 167.5537, collision = h0007B0
x = -13.66671, y = 77.39352, z = 911.6662, angle = -130.1178, collision = h0007B0
x = -13.06276, y = 77.54105, z = 912.7833, angle = 144.0092, collision = h0007B0
x = -13.39339, y = 77.73067, z = 913.9862, angle = -84.75448, collision = h0007B0
x = -12.3505, y = 77.65518, z = 914.0341, angle = -57.50648, collision = h0007B0
x = -11.28062, y = 77.49325, z = 913.1734, angle = -3.946128, collision = h0007B0
x = -11.26931, y = 77.36157, z = 911.7854, angle = 24.00169, collision = h0007B0
x = -11.76979, y = 77.34099, z = 910.4447, angle = 10.67867, collision = h0007B0
x = -12.01293, y = 77.341, z = 909.0331, angle = -1.263121, collision = h0007B0
x = -11.90347, y = 77.34098, z = 907.7734, angle = -68.59395, collision = h0007B0
x = -10.72057, y = 77.34098, z = 907.6252, angle = -158.3563, collision = h0007B0
x = -10.36681, y = 77.341, z = 908.9606, angle = 179.6173, collision = h0007B0
x = -10.38078, y = 77.34098, z = 910.3995, angle = 179.7885, collision = h0007B0
x = -9.991588, y = 77.34099, z = 911.6825, angle = -48.44905, collision = h0007B0
x = -9.11029, y = 77.34097, z = 910.9279, angle = -24.90292, collision = h0007B0
x = -8.20001, y = 77.34095, z = 910.0576, angle = -144.459, collision = h0007B0
x = -7.469417, y = 77.43366, z = 911.2034, angle = -164.4183, collision = h0007B0
x = -7.279805, y = 77.52968, z = 912.574, angle = -168.6253, collision = h0007B0
x = -10.19417, y = 77.40138, z = 913.5104, angle = -171.7597, collision = h0007B0
x = -10.26432, y = 77.51502, z = 914.5986, angle = -101.1154, collision = h0007B0
x = -11.30197, y = 77.50257, z = 914.27, angle = 101.8441, collision = h0007B0
x = -14.42257, y = 77.85941, z = 914.2139, angle = 67.20193, collision = h0007B0
x = -14.12414, y = 77.62872, z = 913.1684, angle = -14.14124, collision = h0007B0
x = -14.17598, y = 77.34098, z = 907.0156, angle = 12.3835, collision = h0007B0
x = -14.41972, y = 77.34813, z = 906.0334, angle = -72.74333, collision = h0007B0
x = -15.59293, y = 69.48212, z = 918.7505, angle = 88.30268, collision = h0006B0
x = -19.42165, y = 65.86897, z = 918.1535, angle = 36.66183, collision = h0006B0
x = -18.60625, y = 65.86896, z = 917.2223, angle = -83.20785, collision = h0006B0
x = -17.26662, y = 65.86897, z = 917.0361, angle = -78.16701, collision = h0006B0
x = -17.05961, y = 65.86896, z = 915.7473, angle = 94.643, collision = h0006B0
x = -18.1411, y = 65.86896, z = 915.6312, angle = 50.86702, collision = h0006B0
x = -19.16323, y = 65.96575, z = 915.1146, angle = -49.20347, collision = h0006B0
x = -18.37448, y = 65.9012, z = 914.1658, angle = -56.87552, collision = h0006B0
x = -17.23207, y = 65.88368, z = 913.4409, angle = 21.14565, collision = h0006B0
x = -17.68014, y = 65.905, z = 912.1291, angle = 59.67781, collision = h0006B0
x = -18.73363, y = 65.86896, z = 911.3682, angle = -57.54105, collision = h0006B0
x = -17.89503, y = 66.20574, z = 910.4948, angle = -80.09532, collision = h0006B0
x = -16.60693, y = 66.45003, z = 910.1133, angle = 15.90874, collision = h0006B0
x = -16.9394, y = 67.162, z = 909.0007, angle = 97.51956, collision = h0006B0
x = -18.26385, y = 67.13876, z = 909.0368, angle = 9.990736, collision = h0006B0
x = -17.14079, y = 67.71857, z = 908.131, angle = -13.58751, collision = h0006B0
x = -16.5914, y = 68.30877, z = 907.2089, angle = 81.17068, collision = h0006B0
x = -17.6381, y = 68.26181, z = 907.2821, angle = 16.35796, collision = h0006B0
x = -18.2342, y = 69.11375, z = 905.9508, angle = 93.56369, collision = h0006B0
x = -18.74392, y = 68.46575, z = 906.9633, angle = -147.4459, collision = h0006B0
x = -16.4441, y = 68.83612, z = 906.3849, angle = 106.312, collision = h0006B0
x = -18.87835, y = 67.787, z = 908.0238, angle = -16.35324, collision = h0006B0
x = -18.51662, y = 69.26905, z = 904.8568, angle = 14.48097, collision = h0006B0
x = -18.75163, y = 69.26896, z = 903.5709, angle = 5.76233, collision = h0006B0
