x = 858.3763, y = -447.4662, z = 902.7849, angle = 23.43185, collision = h0110B1
x = 891.5009, y = -455.6914, z = 924.4676, angle = -141.2466, collision = h1001B1
x = 892.3951, y = -455.9398, z = 925.605, angle = -164.1249, collision = h1001B1
x = 892.8455, y = -456.0692, z = 926.8365, angle = -169.1666, collision = h1001B1
x = 893.0642, y = -456.1595, z = 927.9937, angle = -164.4944, collision = h1001B1
x = 893.4363, y = -456.2571, z = 929.3337, angle = -143.779, collision = h1001B1
x = 894.0738, y = -456.3165, z = 930.2739, angle = -154.4361, collision = h1001B1
x = 894.7626, y = -456.4455, z = 931.3375, angle = -167.9503, collision = h1001B1
x = 895.0363, y = -456.5908, z = 932.4891, angle = -168.204, collision = h1001B1
x = 895.3564, y = -456.69, z = 934.0101, angle = -162.8955, collision = h1001B1
x = 895.6541, y = -456.7657, z = 935.114, angle = -155.5968, collision = h1001B1
x = 896.1669, y = -456.8695, z = 936.289, angle = -135.3515, collision = h1001B1
x = 897.0841, y = -457.0145, z = 937.2875, angle = -130.2593, collision = h1001B1
x = 898.069, y = -457.0998, z = 938.1148, angle = -130.7435, collision = h1001B1
x = 898.9681, y = -457.1985, z = 938.8941, angle = -130.714, collision = h1001B1
x = 899.8652, y = -457.2933, z = 939.6735, angle = -131.0098, collision = h1002B1
x = 900.9963, y = -457.5282, z = 940.6699, angle = -152.4845, collision = h1002B1
x = 901.5804, y = -457.6369, z = 941.6575, angle = -151.1348, collision = h1002B1
x = 902.1854, y = -457.569, z = 942.7659, angle = -122.585, collision = h1002B1
x = 903.2686, y = -457.5605, z = 943.5349, angle = -119.4703, collision = h1002B1
x = 904.4128, y = -457.6353, z = 944.1451, angle = -113.9982, collision = h1002B1
x = 905.6177, y = -457.7407, z = 944.7065, angle = -113.5759, collision = h1002B1
x = 906.7911, y = -457.8233, z = 945.2184, angle = -112.2099, collision = h1002B1
x = 907.8286, y = -457.8597, z = 945.648, angle = -109.8504, collision = h1002B1
x = 909.2636, y = -457.9161, z = 946.1464, angle = -96.34328, collision = h1002B1
x = 910.4002, y = -458.0803, z = 946.3123, angle = -101.0323, collision = h1002B1
x = 911.56, y = -458.2752, z = 946.4609, angle = -107.7919, collision = h1002B1
x = 912.8223, y = -458.3093, z = 946.819, angle = -107.3981, collision = h1010B1
x = 914.1691, y = -458.3525, z = 947.1827, angle = -86.23409, collision = h1002B1
x = 915.4608, y = -458.6255, z = 947.142, angle = -85.37045, collision = h1002B1
x = 916.5734, y = -458.7271, z = 947.0554, angle = -84.86928, collision = h1002B1
x = 918.1037, y = -458.7866, z = 946.9181, angle = -93.99124, collision = h1010B1
x = 919.2844, y = -458.8725, z = 946.9504, angle = -100.9501, collision = h1002B1
x = 920.5491, y = -458.982, z = 947.1693, angle = -99.50326, collision = h1002B1
x = 921.7009, y = -459.0818, z = 947.358, angle = -67.57781, collision = h1002B1
x = 923.1049, y = -459.2409, z = 946.9113, angle = -50.23191, collision = h1002B1
x = 924.1237, y = -459.2189, z = 945.9969, angle = -26.86119, collision = h1010B1
x = 923.4585, y = -459.4193, z = 945.0644, angle = 51.66075, collision = h1002B1
x = 922.5054, y = -459.2702, z = 944.7489, angle = 73.7174, collision = h1010B1
x = 923.7291, y = -459.5277, z = 943.9152, angle = -108.0159, collision = h1002B1
x = 924.8172, y = -459.4723, z = 944.0427, angle = -84.87913, collision = h1002B1
x = 925.9933, y = -459.6701, z = 943.6898, angle = -38.23438, collision = h1002B1
x = 926.8752, y = -459.7619, z = 942.6775, angle = -5.787424, collision = h1010B1
x = 927.1561, y = -460.0096, z = 940.9677, angle = 11.90677, collision = h1002B1
x = 926.9061, y = -460.0096, z = 939.9185, angle = -15.85724, collision = h1002B1
x = 927.0726, y = -460.0096, z = 938.3936, angle = 2.38002, collision = h1002B1
x = 926.7479, y = -460.0096, z = 937.0579, angle = 95.70154, collision = h1002B1
x = 925.9825, y = -460.0096, z = 936.3473, angle = 158.6174, collision = h1002B1
x = 925.1077, y = -460.0096, z = 937.3026, angle = 159.0851, collision = h1002B1
x = 924.6828, y = -460.0096, z = 938.4894, angle = 54.04173, collision = h1002B1
x = 923.6531, y = -460.0096, z = 938.1296, angle = -10.61716, collision = h1010B1
x = 923.8173, y = -459.871, z = 936.8632, angle = -44.39272, collision = h1010B1
x = 923.1283, y = -460.0209, z = 935.9011, angle = 80.81419, collision = h1010B1
x = 921.7219, y = -459.9951, z = 935.8533, angle = 121.9607, collision = h1002B1
x = 920.8032, y = -459.9508, z = 936.4292, angle = 111.6417, collision = h1002B1
x = 919.7419, y = -459.8306, z = 936.7833, angle = 101.5318, collision = h1002B1
x = 918.5795, y = -459.8306, z = 936.9711, angle = 99.04914, collision = h1002B1
x = 919.4951, y = -459.8321, z = 935.6751, angle = -42.1772, collision = h1002B1
x = 920.4253, y = -459.8914, z = 934.5812, angle = -101.1297, collision = h1002B1
x = 921.8305, y = -459.9757, z = 934.7588, angle = -115.0772, collision = h1010B1
x = 926.1929, y = -459.6015, z = 944.8582, angle = 144.7448, collision = h1002B1
x = 925.54, y = -459.4467, z = 945.9376, angle = 106.9313, collision = h1002B1
x = 923.5538, y = -459.5946, z = 942.7045, angle = -13.40587, collision = h1010B1
x = 923.8218, y = -459.9091, z = 941.493, angle = -14.75817, collision = h1002B1
x = 924.1057, y = -460.0096, z = 940.3865, angle = -28.18383, collision = h1002B1
x = 924.8724, y = -460.0109, z = 935.9066, angle = 136.4536, collision = h1002B1
x = 923.3852, y = -460.0096, z = 939.3201, angle = -175.6976, collision = h1010B1
x = 922.0331, y = -459.1399, z = 946.1161, angle = 134.6549, collision = h1002B1
x = 919.5228, y = -458.8225, z = 947.9855, angle = 40.87291, collision = h1002B1
x = 918.3826, y = -459.0553, z = 945.4991, angle = -4.400035, collision = h1002B1
x = 918.385, y = -459.278, z = 944.3932, angle = -18.23147, collision = h1010B1
x = 918.7656, y = -459.5345, z = 943.1835, angle = -23.0826, collision = h1002B1
x = 919.2366, y = -459.7776, z = 942.0449, angle = -24.55396, collision = h1002B1
x = 919.8214, y = -459.7996, z = 940.7317, angle = -18.61453, collision = h1002B1
x = 920.1929, y = -459.8306, z = 939.6578, angle = -15.39254, collision = h1002B1
x = 920.5742, y = -459.8757, z = 938.3273, angle = -12.53837, collision = h1002B1
x = 918.7751, y = -459.7648, z = 934.582, angle = 137.0925, collision = h1002B1
x = 917.8265, y = -459.7906, z = 935.4575, angle = 158.4607, collision = h1010B1
x = 917.3292, y = -459.8306, z = 936.4692, angle = 166.0369, collision = h1002B1
x = 916.9604, y = -459.8306, z = 937.9265, angle = 166.4406, collision = h1002B1
x = 916.2188, y = -459.8306, z = 940.3286, angle = 177.8785, collision = h1002B1
x = 916.1066, y = -459.8306, z = 941.4442, angle = -172.6803, collision = h1002B1
x = 916.2402, y = -459.673, z = 942.7985, angle = -164.1805, collision = h1002B1
x = 916.6049, y = -459.3132, z = 944.1313, angle = -178.1631, collision = h1002B1
x = 916.6656, y = -459.0617, z = 945.2406, angle = 160.592, collision = h1002B1
x = 912.6149, y = -458.498, z = 945.6304, angle = -36.02533, collision = h1002B1
x = 913.2487, y = -458.9693, z = 944.5742, angle = -21.11516, collision = h1002B1
x = 913.7573, y = -459.3861, z = 943.394, angle = -18.85199, collision = h1010B1
x = 914.1641, y = -459.6845, z = 942.1741, angle = -22.60261, collision = h1010B1
x = 914.6298, y = -459.8306, z = 941.0249, angle = -28.41907, collision = h1010B1
x = 915.2626, y = -459.8306, z = 939.8175, angle = -27.86983, collision = h1002B1
x = 915.8303, y = -459.8306, z = 938.7515, angle = -8.185476, collision = h1002B1
x = 916.163, y = -459.745, z = 936.9672, angle = -2.524479, collision = h1002B1
x = 916.2145, y = -459.7905, z = 935.7053, angle = 5.853008, collision = h1002B1
x = 916.1298, y = -459.5847, z = 934.3593, angle = 15.49838, collision = h1010B1
x = 915.7673, y = -459.3822, z = 932.9943, angle = 31.74848, collision = h1002B1
x = 914.9217, y = -459.1477, z = 932.3364, angle = 108.0473, collision = h1002B1
x = 913.8236, y = -459.2752, z = 932.4398, angle = 137.9776, collision = h1002B1
x = 912.9178, y = -459.3846, z = 933.3406, angle = 138.4852, collision = h1002B1
x = 911.999, y = -459.6252, z = 934.3833, angle = 142.4771, collision = h1002B1
x = 911.2147, y = -459.8306, z = 935.3634, angle = 149.632, collision = h1002B1
x = 910.6042, y = -459.7994, z = 936.3628, angle = 152.5009, collision = h1002B1
x = 909.9472, y = -459.821, z = 937.6082, angle = 153.089, collision = h1002B1
x = 909.4005, y = -459.8174, z = 938.6659, angle = 149.683, collision = h1002B1
x = 908.7278, y = -459.8306, z = 939.8525, angle = 153.692, collision = h1002B1
x = 908.1584, y = -459.4457, z = 940.9702, angle = 155.9232, collision = h1002B1
x = 907.6075, y = -458.8387, z = 942.1627, angle = 133.3718, collision = h1002B1
x = 906.766, y = -458.3442, z = 943.1076, angle = 119.6037, collision = h1002B1
x = 902.1564, y = -457.7549, z = 940.5492, angle = -72.48982, collision = h1002B1
x = 903.7592, y = -458.0669, z = 939.9355, angle = -63.0472, collision = h1002B1
x = 904.9045, y = -458.5035, z = 939.4414, angle = -61.76806, collision = h1002B1
x = 906.2341, y = -459.161, z = 938.7505, angle = -62.03575, collision = h1002B1
x = 907.3598, y = -459.6073, z = 938.1686, angle = -55.59792, collision = h1002B1
x = 908.311, y = -459.7658, z = 937.5897, angle = -63.49528, collision = h1002B1
x = 911.9438, y = -459.8306, z = 936.2096, angle = -85.8848, collision = h1002B1
x = 913.5195, y = -459.8306, z = 936.0186, angle = -96.20763, collision = h1002B1
x = 914.9142, y = -459.8306, z = 936.0212, angle = -98.99986, collision = h1002B1
x = 920.2681, y = -459.7979, z = 933.4415, angle = 78.70844, collision = h1002B1
x = 919.2767, y = -459.6174, z = 932.9692, angle = 97.42268, collision = h1002B1
x = 918.2532, y = -459.5402, z = 933.313, angle = 118.6234, collision = h1002B1
x = 907.6198, y = -459.2747, z = 936.2633, angle = 47.68092, collision = h1002B1
x = 906.7963, y = -458.9425, z = 935.6013, angle = 38.09692, collision = h1002B1
x = 906.1044, y = -458.6154, z = 934.8059, angle = 13.79607, collision = h1003B1
x = 905.4886, y = -458.4577, z = 933.7226, angle = -73.55593, collision = h1003B1
x = 905.9714, y = -458.6154, z = 932.755, angle = -82.65508, collision = h1003B1
x = 907.0839, y = -458.6816, z = 932.5336, angle = -77.99501, collision = h1002B1
x = 908.3372, y = -458.7736, z = 932.3372, angle = -76.90439, collision = h1002B1
x = 909.7523, y = -458.9843, z = 932.0066, angle = -61.94338, collision = h1002B1
x = 910.9496, y = -459.1279, z = 931.6296, angle = -27.62739, collision = h1002B1
x = 911.9874, y = -459.0412, z = 930.5792, angle = 1.063993, collision = h1002B1
x = 911.4041, y = -458.9424, z = 929.6815, angle = 77.33054, collision = h1003B1
x = 910.5775, y = -458.8789, z = 928.9811, angle = 86.60328, collision = h1003B1
x = 909.1978, y = -458.6765, z = 928.8401, angle = 90.9616, collision = h1003B1
x = 908.0096, y = -458.6765, z = 928.843, angle = 93.62492, collision = h1003B1
x = 906.7748, y = -458.6765, z = 928.9181, angle = 102.2653, collision = h1003B1
x = 905.5325, y = -458.6765, z = 929.1326, angle = 78.17307, collision = h1003B1
x = 904.3846, y = -458.3104, z = 929.0847, angle = 58.77051, collision = h1003B1
x = 903.2552, y = -457.6292, z = 928.4789, angle = 31.02309, collision = h1003B1
x = 902.5442, y = -457.2511, z = 927.4915, angle = -20.33279, collision = h1003B1
x = 902.6711, y = -457.3225, z = 926.3001, angle = -67.07137, collision = h1003B1
x = 903.9639, y = -457.5543, z = 925.4059, angle = -107.5066, collision = h1003B1
x = 905.0633, y = -458.1865, z = 925.4635, angle = -102.2638, collision = h1003B1
x = 906.1492, y = -458.3884, z = 925.7637, angle = -54.11308, collision = h1010B1
x = 907.3247, y = -458.5433, z = 925.3002, angle = -3.696498, collision = h1003B1
x = 907.5414, y = -458.8615, z = 924.0162, angle = 46.12968, collision = h1003B1
x = 907.0271, y = -458.8203, z = 923.1519, angle = 15.39766, collision = h1003B1
x = 906.4058, y = -458.7346, z = 922.0703, angle = -73.35751, collision = h1003B1
x = 907.674, y = -459.1704, z = 921.4204, angle = -89.15207, collision = h1010B1
x = 908.9214, y = -459.7042, z = 921.4522, angle = -80.59644, collision = h1003B1
x = 909.9224, y = -460.1082, z = 921.319, angle = -87.39632, collision = h1003B1
x = 911.0173, y = -460.4119, z = 921.2092, angle = -87.39632, collision = h1003B1
x = 912.0618, y = -460.8862, z = 920.8759, angle = 56.26662, collision = h1003B1
x = 913.0995, y = -462.2046, z = 919.059, angle = 58.45311, collision = h1003B1
x = 912.1647, y = -462.2886, z = 918.282, angle = -137.4513, collision = h1003B1
x = 913.3875, y = -463.3601, z = 917.1835, angle = -149.6023, collision = h1003B1
x = 914.2917, y = -463.1849, z = 917.915, angle = 136.2151, collision = h1003B1
x = 913.2479, y = -462.7846, z = 918.0482, angle = -58.98063, collision = h1003B1
x = 914.7501, y = -463.7569, z = 917.0922, angle = -35.99865, collision = h1003B1
x = 915.5411, y = -464.4327, z = 916.0737, angle = -15.61717, collision = h1003B1
x = 915.8616, y = -464.9055, z = 915.0773, angle = -14.45282, collision = h1003B1
x = 916.1274, y = -465.2962, z = 913.6375, angle = 94.69946, collision = h1003B1
x = 915.1005, y = -465.1101, z = 913.516, angle = 121.3292, collision = h1003B1
x = 914.0521, y = -464.9477, z = 914.1777, angle = 121.5418, collision = h1003B1
x = 912.8093, y = -464.9955, z = 914.7778, angle = 71.30913, collision = h1003B1
x = 911.4481, y = -465.077, z = 914.496, angle = 108.3287, collision = h1003B1
x = 910.1409, y = -465.077, z = 914.9799, angle = 120.8007, collision = h1003B1
x = 908.9222, y = -465.077, z = 915.5984, angle = 63.34563, collision = h1003B1
x = 907.7028, y = -464.8785, z = 914.9867, angle = 60.58516, collision = h1010B1
x = 906.4819, y = -465.0009, z = 914.4458, angle = 149.8914, collision = h1010B1
x = 906.012, y = -465.077, z = 915.4724, angle = 178.5659, collision = h1003B1
x = 904.9515, y = -465.0461, z = 914.7454, angle = 62.15368, collision = h1010B1
x = 903.6991, y = -464.9926, z = 914.1608, angle = 125.0544, collision = h1003B1
x = 917.1025, y = -464.9862, z = 915.5037, angle = -57.46106, collision = h1003B1
x = 918.1605, y = -465.5039, z = 914.9698, angle = -4.467094, collision = h1003B1
x = 918.3667, y = -465.9839, z = 913.9369, angle = -35.56029, collision = h1003B1
x = 918.9984, y = -466.4301, z = 913.0286, angle = -134.5211, collision = h1003B1
x = 919.9993, y = -466.7092, z = 913.8025, angle = -128.9267, collision = h1003B1
x = 920.7253, y = -466.7793, z = 914.545, angle = -63.2296, collision = h1003B1
x = 921.7735, y = -467.4627, z = 914.0074, angle = -7.252814, collision = h1003B1
x = 922.1581, y = -468.1639, z = 912.5678, angle = -44.60548, collision = h1003B1
x = 923.1159, y = -468.8322, z = 911.7149, angle = -130.7821, collision = h1003B1
x = 924.0255, y = -469.1201, z = 912.2548, angle = -135.4449, collision = h0111B1
x = 924.7739, y = -469.2237, z = 913.0134, angle = -53.71804, collision = h0111B1
x = 926.1102, y = -469.9331, z = 913.0415, angle = -31.72672, collision = h0111B1
x = 926.7496, y = -470.5011, z = 912.1436, angle = -74.07127, collision = h0111B1
x = 928.0342, y = -471.1671, z = 911.7432, angle = -152.2931, collision = h0111B1
x = 928.767, y = -471.4009, z = 913.0581, angle = -146.8942, collision = h0111B1
x = 929.5209, y = -471.6114, z = 914.0453, angle = -79.76825, collision = h0111B1
x = 930.9241, y = -472.2444, z = 913.6611, angle = -76.77359, collision = h1110B1
x = 932.0212, y = -472.689, z = 913.5696, angle = -171.7679, collision = h1110B1
x = 932.4894, y = -472.6527, z = 914.6791, angle = -94.26025, collision = h0111B1
x = 933.8332, y = -473.178, z = 914.6154, angle = -41.83043, collision = h1110B1
x = 934.8105, y = -473.7863, z = 914.3259, angle = -141.4491, collision = h0111B1
x = 935.8892, y = -474.098, z = 915.008, angle = -92.83683, collision = h0111B1
x = 937.2516, y = -474.5673, z = 915.0159, angle = -75.24297, collision = h0111B1
x = 938.2291, y = -474.9234, z = 914.7601, angle = -121.431, collision = h0111B1
x = 939.324, y = -475.0957, z = 915.3754, angle = -145.3426, collision = h0111B1
x = 940.4833, y = -475.2486, z = 915.9622, angle = -72.26028, collision = h0111B1
x = 941.6953, y = -475.2731, z = 915.5211, angle = -58.25788, collision = h1110B1
x = 943.0538, y = -475.5811, z = 915.0441, angle = -133.806, collision = h0111B1
x = 944.0793, y = -475.602, z = 915.8662, angle = -110.7298, collision = h0111B1
x = 945.3618, y = -475.6933, z = 915.9379, angle = -22.22049, collision = h1110B1
x = 945.918, y = -475.6125, z = 914.7507, angle = -12.6838, collision = h1110B1
x = 946.4617, y = -475.7754, z = 913.4053, angle = -46.26276, collision = h1110B1
x = 947.1187, y = -475.8788, z = 912.5755, angle = -33.18308, collision = h0111B1
x = 948.1625, y = -475.8378, z = 912.5909, angle = -150.3271, collision = h0111B1
x = 948.8509, y = -476.0868, z = 913.754, angle = -168.2281, collision = h0111B1
x = 949.0829, y = -475.8146, z = 915.0539, angle = -178.7667, collision = h0111B1
x = 949.2246, y = -475.7715, z = 916.525, angle = -117.1478, collision = h0111B1
x = 950.3496, y = -475.7694, z = 917.0697, angle = -117.0495, collision = h0111B1
x = 949.4645, y = -475.7537, z = 917.7815, angle = 52.89024, collision = h0111B1
x = 951.3917, y = -475.7685, z = 916.7598, angle = 71.10803, collision = h0111B1
x = 948.087, y = -475.7366, z = 916.4187, angle = 15.96159, collision = h0111B1
x = 947.6191, y = -475.7516, z = 915.3447, angle = 4.710672, collision = h0111B1
x = 947.5914, y = -475.6571, z = 914.2314, angle = -37.23346, collision = h0111B1
x = 949.3309, y = -476.2439, z = 912.7513, angle = 4.186838, collision = h0111B1
x = 951.6044, y = -515.1926, z = 912.1854, angle = 69.37965, collision = h1100B1
x = 861.9197, y = -447.5, z = 909.9778, angle = 15, collision = h0107B1
x = 861.7579, y = -447.5, z = 908.7401, angle = 4.069317, collision = h0107B1
x = 861.5893, y = -447.0387, z = 907.2634, angle = 10.38767, collision = h0107B1
x = 861.3325, y = -447.469, z = 905.9658, angle = 14.64429, collision = h0110B1
x = 861.0991, y = -447.5918, z = 904.929, angle = -12.74647, collision = h0110B1
x = 870.9198, y = -447.5089, z = 895.7819, angle = -111.2686, collision = h0110B1
x = 872.355, y = -447.7671, z = 896.0642, angle = -118.5436, collision = h0110B1
x = 873.9603, y = -448.3116, z = 896.8822, angle = -142.5768, collision = h0110B1
x = 874.9451, y = -448.7038, z = 897.8637, angle = -177.6791, collision = h0110B1
x = 889.6944, y = -453.6346, z = 909.9954, angle = -147.3836, collision = h1001B1
x = 893.6256, y = -454.6022, z = 914.0933, angle = -153.2779, collision = h1001B1
x = 894.3569, y = -455.0543, z = 915.3328, angle = -115.3863, collision = h1010B1
x = 895.5566, y = -455.2886, z = 915.9285, angle = -114.4117, collision = h1010B1
x = 896.9283, y = -455.9013, z = 916.5511, angle = -114.3993, collision = h1003B1
x = 898.1061, y = -456.3538, z = 917.0667, angle = -100.433, collision = h1003B1
x = 899.4553, y = -456.7784, z = 917.327, angle = -102.9656, collision = h1003B1
x = 900.5145, y = -457.0545, z = 917.5742, angle = -149.9871, collision = h1003B1
x = 901.124, y = -457.337, z = 918.4317, angle = -152.2187, collision = h1010B1
x = 901.8034, y = -457.3258, z = 919.6681, angle = -152.1536, collision = h1010B1
x = 902.3921, y = -457.4, z = 920.8094, angle = -130.3078, collision = h1010B1
x = 903.2877, y = -457.5589, z = 921.7499, angle = -110.7923, collision = h1010B1
x = 904.5778, y = -457.7483, z = 922.248, angle = -99.32887, collision = h1003B1
x = 905.3372, y = -458.3892, z = 922.4327, angle = -84.60547, collision = h1003B1
x = 911.017, y = -460.9642, z = 920.1147, angle = -51.35166, collision = h1003B1
x = 911.9688, y = -461.5401, z = 919.6103, angle = -20.77927, collision = h1003B1
x = 914.801, y = -464.8834, z = 914.8647, angle = -72.72635, collision = h1003B1
x = 917.1374, y = -465.4256, z = 914.2703, angle = -104.2336, collision = h1010B1
x = 947.7211, y = -475.9457, z = 911.5651, angle = -21.97007, collision = h0111B1
x = 948.414, y = -476.3578, z = 910.4675, angle = -21.39917, collision = h0111B1
x = 948.7977, y = -476.5272, z = 909.5176, angle = -21.02482, collision = h1110B1
x = 949.2079, y = -477.1331, z = 908.4551, angle = -19.82271, collision = h1110B1
x = 949.5732, y = -477.6096, z = 907.4542, angle = -12.95487, collision = h0111B1
x = 949.768, y = -478.1641, z = 906.6508, angle = -16.94983, collision = h0111B1
x = 949.999, y = -478.6994, z = 905.8051, angle = -21.32016, collision = h0111B1
x = 950.4451, y = -479.2528, z = 904.9244, angle = -17.024, collision = h1110B1
x = 950.7338, y = -479.8719, z = 904.0217, angle = -15.57275, collision = h0111B1
x = 951.0308, y = -480.512, z = 902.9985, angle = -17.84392, collision = h0111B1
x = 951.3161, y = -481.0222, z = 902.0295, angle = -18.40971, collision = h0111B1
x = 951.7531, y = -481.7328, z = 900.7035, angle = -16.06124, collision = h0111B1
x = 952.0732, y = -482.2296, z = 899.5728, angle = 10.07084, collision = h0111B1
x = 951.9814, y = -482.3195, z = 898.4277, angle = -2.566922, collision = h0111B1
x = 951.9885, y = -482.9983, z = 897.1451, angle = -0.1103212, collision = h0111B1
x = 952.0043, y = -483.307, z = 896.109, angle = 12.86634, collision = h1110B1
x = 951.6927, y = -483.6384, z = 894.7477, angle = 12.93636, collision = h0111B1
x = 951.4488, y = -483.9927, z = 893.3784, angle = -4.292651, collision = h1101B1
x = 951.528, y = -484.2376, z = 892.2423, angle = 6.216032, collision = h1101B1
x = 951.4081, y = -484.6487, z = 890.5707, angle = 0.7239864, collision = h1101B1
x = 951.5597, y = -484.83, z = 889.4421, angle = -55.74658, collision = h1101B1
x = 952.704, y = -484.6308, z = 888.749, angle = -93.99124, collision = h1101B1
x = 958.0522, y = -495.282, z = 889.6145, angle = -92.52647, collision = h1100B1
x = 957.4344, y = -495.2754, z = 890.4724, angle = 142.2588, collision = h1111B1
x = 956.3383, y = -495.3694, z = 889.7893, angle = 40.01078, collision = h1100B1
x = 955.7559, y = -495.3212, z = 888.6257, angle = -5.98871, collision = h1100B1
x = 956.0541, y = -495.3734, z = 887.5307, angle = -115.8488, collision = h1100B1
x = 957.0561, y = -495.3406, z = 887.3279, angle = -139.1776, collision = h1100B1
x = 957.9815, y = -495.378, z = 888.2567, angle = -142.1473, collision = h1111B1
x = 958.8631, y = -495.2515, z = 890.4013, angle = -145.0862, collision = h1111B1
x = 959.7157, y = -495.348, z = 891.2188, angle = -130.9469, collision = h1111B1
x = 960.6479, y = -495.3225, z = 892.1499, angle = -174.265, collision = h1100B1
x = 960.8354, y = -495.3011, z = 893.1505, angle = -142.381, collision = h1100B1
x = 961.62, y = -495.3362, z = 894.0468, angle = -43.08022, collision = h1111B1
x = 962.3806, y = -495.322, z = 893.1036, angle = 10.90578, collision = h1100B1
x = 961.8579, y = -495.2683, z = 891.7717, angle = 63.84229, collision = h1111B1
