x = 17.43242, y = 10.31354, z = -20.39503, angle = 22.11365, collision = h1000B1
x = 14.54916, y = 4.402979, z = -16.47521, angle = 116.6378, collision = h1061B1
x = 13.27296, y = 4.714256, z = -15.9576, angle = 50.62002, collision = h1061B1
x = 12.31375, y = 4.71638, z = -16.81069, angle = 15.65438, collision = h1061B1
x = 12.01251, y = 4.713721, z = -18.15823, angle = -32.37312, collision = h1061B1
x = 12.79447, y = 4.405356, z = -19.26757, angle = -54.26756, collision = h1061B1
x = 13.87352, y = 4.402979, z = -20.12704, angle = -33.58162, collision = h1061B1
x = 14.45295, y = 4.402979, z = -21.05343, angle = -103.5958, collision = h1061B1
x = 15.41839, y = 4.402979, z = -20.42485, angle = -128.9648, collision = h1061B1
x = 16.20682, y = 4.402979, z = -19.66828, angle = -179.8363, collision = h1061B1
x = 15.61912, y = 4.402979, z = -18.719, angle = 110.25, collision = h1061B1
x = 14.63362, y = 4.402979, z = -18.4983, angle = 68.6768, collision = h1061B1
x = 15.94071, y = 4.402979, z = -21.63604, angle = -58.28002, collision = h1061B1
x = 17.11613, y = 4.711022, z = -22.33806, angle = -66.82626, collision = h1061B1
x = 18.3331, y = 4.715802, z = -22.96637, angle = -64.37217, collision = h1061B1
x = 19.60002, y = 4.620706, z = -23.20428, angle = -150.6166, collision = h1061B1
x = 21.352, y = 4.566331, z = -20.5613, angle = -77.86452, collision = h1061B1
x = 22.50974, y = 4.715718, z = -20.47207, angle = -137.9557, collision = h1061B1
x = 23.07742, y = 4.715698, z = -19.26587, angle = -162.9641, collision = h1061B1
x = 23.47666, y = 4.715641, z = -17.93846, angle = 159.313, collision = h1061B1
x = 22.86178, y = 4.71564, z = -16.81394, angle = 70.78716, collision = h1061B1
x = 20.00458, y = 4.402979, z = -18.98307, angle = 107.9505, collision = h1061B1
x = 13.34407, y = 4.404714, z = -17.11904, angle = -82.97709, collision = h1061B1
x = 14.75956, y = 4.402979, z = -17.48279, angle = -42.61165, collision = h1061B1
x = 16.65518, y = 4.402979, z = -18.67254, angle = -91.96017, collision = h1061B1
x = 19.67467, y = 4.402979, z = -17.96276, angle = -156.3316, collision = h1061B1
x = 20.0949, y = 4.402979, z = -16.69299, angle = 154.8098, collision = h1061B1
x = 19.40415, y = 4.402979, z = -15.53032, angle = 103.497, collision = h1061B1
x = 18.08376, y = 4.402979, z = -15.1493, angle = 153.2378, collision = h1061B1
x = 17.74244, y = 4.715919, z = -13.86617, angle = -172.7491, collision = h1061B1
x = 13.24507, y = 13.68841, z = -13.29623, angle = -95.38501, collision = h1002B1
x = 14.16699, y = 14.25301, z = -13.16476, angle = -130.2102, collision = h1002B1
x = 14.986, y = 14.84092, z = -12.80501, angle = -111.0207, collision = h1002B1
x = 15.83798, y = 15.37561, z = -12.46945, angle = -136.2575, collision = h1002B1
x = 16.30658, y = 16.05954, z = -11.30796, angle = 172.7584, collision = h1002B1
x = 16.206, y = 16.5758, z = -10.39993, angle = 150.6638, collision = h1002B1
x = 15.77596, y = 17.09423, z = -9.586358, angle = 128.9555, collision = h1002B1
x = 15.07107, y = 17.61166, z = -8.995352, angle = 110.9029, collision = h1002B1
x = 14.20049, y = 18.12798, z = -8.708899, angle = 85.22607, collision = h1002B1
x = 13.28319, y = 18.64829, z = -8.784244, angle = 52.78228, collision = h1002B1
x = 12.52216, y = 19.17423, z = -9.28277, angle = 24.43724, collision = h1002B1
x = 12.0829, y = 19.80088, z = -10.25266, angle = -6.817075, collision = h1002B1
x = 11.89423, y = 20.38136, z = -11.09028, angle = -27.54033, collision = h1002B1
x = 12.07451, y = 20.97077, z = -11.94716, angle = -48.08218, collision = h1002B1
x = 12.62156, y = 21.60662, z = -12.64497, angle = -71.93929, collision = h1002B1
x = 13.41592, y = 22.22915, z = -13.05486, angle = -96.60136, collision = h1002B1
x = 14.31334, y = 22.8649, z = -13.05667, angle = -121.6605, collision = h1002B1
x = 15.12368, y = 23.50699, z = -12.65927, angle = -146.9124, collision = h1002B1
x = 15.687, y = 24.11556, z = -11.95889, angle = -172.4292, collision = h1002B1
x = 15.87527, y = 24.71414, z = -11.0696, angle = 161.0909, collision = h1002B1
x = 15.64564, y = 25.32737, z = -10.15304, angle = 123.8814, collision = h1002B1
x = 15.04829, y = 25.91513, z = -9.495411, angle = 93.13897, collision = h1002B1
x = 14.25936, y = 26.49201, z = -9.179366, angle = 61.47998, collision = h1002B1
x = 13.52334, y = 27.00151, z = -9.161933, angle = 5.925339, collision = h1002B1
x = 12.85855, y = 27.50396, z = -9.399885, angle = 9.571417, collision = h1002B1
x = 12.33832, y = 28.00598, z = -9.871635, angle = 23.33738, collision = h1002B1
x = 11.91584, y = 28.59144, z = -10.64998, angle = 28.71962, collision = h1002B1
x = 11.92016, y = 29.24881, z = -11.79695, angle = -39.64943, collision = h1003B1
x = 12.42942, y = 29.88411, z = -12.55621, angle = -58.98995, collision = h1003B1
x = 13.11263, y = 30.43533, z = -13.01999, angle = -66.94062, collision = h1003B1
x = 13.90623, y = 30.97585, z = -13.28426, angle = -118.0613, collision = h1003B1
x = 14.62372, y = 31.49244, z = -13.00171, angle = 174.3182, collision = h1003B1
x = 15.34118, y = 32.00453, z = -12.66438, angle = -133.2967, collision = h1003B1
x = 15.87022, y = 32.47476, z = -11.64997, angle = -127.2893, collision = h1003B1
x = 16.07831, y = 32.47477, z = -10.53119, angle = 124.7147, collision = h1003B1
x = 14.95786, y = 32.47477, z = -9.735486, angle = 128.7403, collision = h1003B1
x = 14.3288, y = 32.48947, z = -10.90539, angle = 49.58624, collision = h1003B1
x = 13.14161, y = 32.48623, z = -11.46459, angle = 124.9753, collision = h1003B1
x = 12.23256, y = 32.47477, z = -10.91536, angle = 100.8935, collision = h1003B1
x = 10.97377, y = 32.47477, z = -10.86621, angle = 103.2842, collision = h1003B1
x = 11.1946, y = 32.47477, z = -9.744306, angle = -133.8533, collision = h1003B1
x = 12.33827, y = 32.47477, z = -9.073382, angle = -44.49547, collision = h1003B1
x = 13.44135, y = 32.47857, z = -8.954823, angle = -42.68374, collision = h1003B1
x = 17.08867, y = 32.47477, z = -10.27445, angle = 133.364, collision = h1003B1
x = 16.4013, y = 32.47477, z = -9.523535, angle = 100.1938, collision = h1003B1
x = 9.229919, y = 13.5377, z = -14.81929, angle = 107.39, collision = h1001B1
x = 7.988078, y = 13.5377, z = -14.38491, angle = 152.1325, collision = h1001B1
x = 7.096761, y = 14.09071, z = -13.30154, angle = 89.62753, collision = h1001B1
x = 6.075828, y = 14.33121, z = -13.25053, angle = 36.13611, collision = h1001B1
x = 6.092451, y = 13.845, z = -14.44155, angle = -54.48263, collision = h1001B1
x = 6.707397, y = 14.51181, z = -12.30989, angle = 141.365, collision = h1001B1
x = 6.053551, y = 14.88943, z = -11.50757, angle = -155.1724, collision = h1001B1
x = 6.561501, y = 15.27709, z = -10.36919, angle = -97.88915, collision = h1001B1
x = 7.741414, y = 15.19563, z = -10.40645, angle = 13.75029, collision = h1001B1
x = 6.634793, y = 15.77412, z = -9.241917, angle = 136.7659, collision = h1001B1
x = 5.867158, y = 15.9693, z = -8.35805, angle = 138.8123, collision = h1001B1
x = 8.004862, y = 16.15893, z = -8.875448, angle = -10.32192, collision = h1001B1
x = 5.315738, y = 15.46482, z = -10.0304, angle = 83.90196, collision = h1001B1
x = 9.096163, y = 13.5377, z = -13.59749, angle = 108.6767, collision = h1001B1
x = 6.057333, y = 16.00039, z = -7.309021, angle = -97.12801, collision = h1004B1
x = 7.286171, y = 16.00039, z = -6.814662, angle = 139.0724, collision = h1004B1
x = 6.470548, y = 16.00039, z = -5.884013, angle = 93.96899, collision = h1004B1
x = 5.217766, y = 16.00039, z = -5.502333, angle = -169.2972, collision = h1004B1
x = 5.510908, y = 16.00039, z = -4.236969, angle = -122.5391, collision = h1004B1
x = 6.58699, y = 16.00039, z = -3.361254, angle = 150.2207, collision = h1004B1
x = 5.930439, y = 16.00039, z = -2.312309, angle = 94.23689, collision = h1004B1
x = 4.921768, y = 16.00039, z = -2.081285, angle = -168.5849, collision = h1004B1
x = 5.263375, y = 16.00039, z = -0.9628736, angle = -65.57778, collision = h1004B1
x = 5.404428, y = 16.00032, z = 0.3051005, angle = 117.953, collision = h1004B1
x = 4.193564, y = 16.00029, z = 0.8028109, angle = 92.2768, collision = h1004B1
x = 4.57612, y = 16.00028, z = 1.785655, angle = -77.36507, collision = h1004B1
x = 5.767829, y = 16.0003, z = 1.315664, angle = 0.6858876, collision = h1004B1
x = 6.339717, y = 16.00039, z = -1.3096, angle = -153.3333, collision = h1004B1
x = 6.865444, y = 16.00037, z = -0.4346079, angle = 171.802, collision = h1004B1
x = 6.944995, y = 16.00033, z = 0.9109698, angle = -101.9679, collision = h1004B1
x = 8.227429, y = 16.00034, z = 1.137921, angle = -38.48447, collision = h1004B1
x = 8.70681, y = 16.00037, z = 0.04457012, angle = 107.6956, collision = h1004B1
x = 9.576541, y = 16.00037, z = 1.458319, angle = -109.9267, collision = h1004B1
x = 10.91863, y = 16.00039, z = 1.685588, angle = -85.23656, collision = h1004B1
x = 12.22475, y = 16.00039, z = 1.67214, angle = -84.3345, collision = h1004B1
x = 5.499953, y = 16.0003, z = 2.296441, angle = 156.3994, collision = h1004B1
x = 5.042467, y = 16.00028, z = 3.549494, angle = 159.4358, collision = h1004B1
x = 4.681963, y = 16.00027, z = 4.517898, angle = -164.6353, collision = h1004B1
x = 5.043429, y = 16.00027, z = 5.784262, angle = -86.97626, collision = h1004B1
x = 6.16152, y = 16.00031, z = 5.606461, angle = 1.31727, collision = h1004B1
x = 6.222069, y = 16.00032, z = 4.605174, angle = 25.42188, collision = h1004B1
x = 13.49167, y = 16.00039, z = 2.077611, angle = -132.6273, collision = h1004B1
x = 14.06264, y = 16.00039, z = 3.08393, angle = 152.2386, collision = h1004B1
x = 13.32674, y = 16.00039, z = 4.182072, angle = 92.85645, collision = h1004B1
x = 12.20044, y = 16.00039, z = 4.49426, angle = 70.92019, collision = h1004B1
x = 10.87248, y = 16.00039, z = 4.161022, angle = 73.00484, collision = h1004B1
x = 9.421236, y = 16.00038, z = 4.0965, angle = 107.6958, collision = h1004B1
x = 8.100621, y = 16.00035, z = 4.515365, angle = 112.0979, collision = h1004B1
x = 4.617831, y = 16.00024, z = 7.012047, angle = -127.4542, collision = h1004B1
x = 5.614484, y = 16.00027, z = 7.512103, angle = -15.79502, collision = h1004B1
x = 7.242895, y = 16.00034, z = 5.107664, angle = -103.3114, collision = h1004B1
x = 8.51694, y = 16.00036, z = 5.42977, angle = -114.5648, collision = h1004B1
x = 9.507834, y = 16.00038, z = 5.911867, angle = -146.1836, collision = h1004B1
x = 9.89229, y = 16.00039, z = 7.112114, angle = 149.6729, collision = h1004B1
x = 9.114758, y = 16.00037, z = 8.244549, angle = 98.46782, collision = h1004B1
x = 7.792182, y = 16.00032, z = 8.561971, angle = 96.63885, collision = h1004B1
x = 6.419746, y = 16.00028, z = 8.745339, angle = 114.9867, collision = h1004B1
x = 5.142238, y = 16.00023, z = 9.287772, angle = 112.788, collision = h1004B1
x = 4.15059, y = 16.00019, z = 10.14337, angle = -146.3561, collision = h1004B1
x = 5.045444, y = 16.00021, z = 10.99162, angle = -64.92804, collision = h1004B1
x = 6.236034, y = 16.00026, z = 10.42625, angle = -55.13715, collision = h1004B1
x = 7.072728, y = 16.00029, z = 9.843595, angle = -55.72947, collision = h1004B1
x = 9.972995, y = 16.00039, z = 9.08884, angle = -115.7623, collision = h1004B1
x = 10.72606, y = 16.00039, z = 10.16176, angle = -80.04412, collision = h1004B1
x = 11.70254, y = 16.00039, z = 9.812224, angle = 2.141701, collision = h1004B1
x = 11.36379, y = 16.00039, z = 8.507836, angle = 46.98721, collision = h1004B1
x = 10.28365, y = 16.00039, z = 5.052769, angle = -38.1879, collision = h1004B1
x = 12.17429, y = 16.00039, z = 5.499081, angle = -105.0071, collision = h1004B1
x = 13.47773, y = 16.00039, z = 5.573354, angle = -102.5926, collision = h1004B1
x = 13.99465, y = 16.00039, z = 6.68185, angle = 148.5034, collision = h1004B1
x = 13.40277, y = 16.00039, z = 7.875786, angle = -178.0315, collision = h1004B1
x = 13.39758, y = 16.50091, z = 8.862266, angle = -170.4472, collision = h1004B1
x = 13.56068, y = 17.17686, z = 9.838461, angle = -169.389, collision = h1004B1
x = 13.70981, y = 17.73989, z = 10.65158, angle = -166.4301, collision = h1004B1
x = 13.9558, y = 18.07769, z = 11.6227, angle = -143.2448, collision = h1005B1
x = 14.15177, y = 18.07769, z = 12.76248, angle = -173.0805, collision = h1005B1
x = 14.15177, y = 18.07769, z = 13.80703, angle = -170.9205, collision = h1005B1
x = 14.28565, y = 18.62199, z = 14.74478, angle = 171.6046, collision = h1005B1
x = 14.22778, y = 19.12935, z = 15.65697, angle = 168.1848, collision = h1005B1
x = 14.78961, y = 19.90557, z = 16.67704, angle = -123.5735, collision = h1005B1
x = 15.54291, y = 20.46791, z = 17.21013, angle = -124.0045, collision = h1005B1
x = 16.30777, y = 21.02716, z = 17.73996, angle = -148.1301, collision = h1005B1
x = 16.82958, y = 21.64085, z = 18.49734, angle = -158.9251, collision = h1005B1
x = 17.22875, y = 22.35381, z = 19.4966, angle = -159.2662, collision = h1005B1
x = 17.55676, y = 22.967, z = 20.36196, angle = -156.7041, collision = h1005B1
x = 18.12989, y = 23.07874, z = 21.50889, angle = -146.5631, collision = h1005B1
x = 19.10361, y = 23.07769, z = 21.18889, angle = -80.88637, collision = h1005B1
x = 19.51676, y = 23.07769, z = 20.18386, angle = 17.5493, collision = h1005B1
x = 18.97431, y = 23.07769, z = 19.21076, angle = 35.99163, collision = h1005B1
x = 18.14342, y = 23.07855, z = 18.10166, angle = 40.62751, collision = h1005B1
x = 17.46028, y = 23.0776, z = 16.94884, angle = -49.50995, collision = h1005B1
x = 18.43717, y = 23.07651, z = 16.54026, angle = -105.3329, collision = h1005B1
x = 19.34656, y = 23.07769, z = 16.99125, angle = -125.125, collision = h1005B1
x = 20.25176, y = 23.07769, z = 17.6477, angle = -128.6257, collision = h1005B1
x = 21.23437, y = 23.07769, z = 17.9377, angle = -67.38901, collision = h1005B1
x = 22.24206, y = 23.07769, z = 17.66833, angle = -82.7094, collision = h1005B1
x = 23.23291, y = 23.07769, z = 17.37561, angle = -89.6599, collision = h1005B1
x = 23.20559, y = 23.07769, z = 18.40241, angle = 179.7906, collision = h1005B1
x = 23.24171, y = 22.99319, z = 19.53867, angle = -173.6901, collision = h1005B1
x = 23.33917, y = 22.92565, z = 20.53567, angle = -176.9399, collision = h1005B1
x = 23.35225, y = 23.02109, z = 21.64138, angle = 173.9739, collision = h1005B1
x = 23.08476, y = 23.07769, z = 22.76454, angle = 110.4582, collision = h1005B1
x = 22.03797, y = 23.07769, z = 23.14974, angle = 103.4516, collision = h1005B1
x = 21.2601, y = 23.07769, z = 23.98425, angle = 153.8366, collision = h1005B1
x = 20.69095, y = 23.07769, z = 24.88524, angle = 123.9531, collision = h1005B1
x = 19.63765, y = 23.07769, z = 25.11706, angle = 51.0061, collision = h1005B1
x = 18.81907, y = 23.07769, z = 24.44441, angle = 39.72381, collision = h1005B1
x = 17.94481, y = 23.07769, z = 23.35295, angle = 32.30856, collision = h1005B1
x = 17.08603, y = 23.07807, z = 22.23528, angle = 67.83333, collision = h1005B1
x = 15.78068, y = 23.07795, z = 21.9399, angle = 156.5836, collision = h1005B1
x = 15.37303, y = 23.07769, z = 23.24549, angle = -147.4839, collision = h1005B1
x = 16.18975, y = 23.07769, z = 24.07951, angle = -60.8498, collision = h1005B1
x = 15.26206, y = 23.07769, z = 25.14444, angle = 159.5597, collision = h1005B1
x = 14.89852, y = 23.07769, z = 26.1373, angle = -143.4531, collision = h1005B1
x = 15.52647, y = 23.07769, z = 26.98227, angle = -143.0737, collision = h1005B1
x = 16.24397, y = 23.07769, z = 26.21796, angle = -21.92636, collision = h1005B1
x = 16.75271, y = 23.07769, z = 24.93008, angle = -9.383232, collision = h1005B1
x = 16.59048, y = 23.07769, z = 27.5751, angle = -157.9699, collision = h1005B1
x = 16.91667, y = 23.07776, z = 28.94771, angle = 100.8108, collision = h1005B1
x = 15.83743, y = 23.07769, z = 29.24879, angle = 85.88549, collision = h1005B1
x = 14.46471, y = 23.07769, z = 29.33625, angle = 140.3008, collision = h1005B1
x = 13.69673, y = 23.07315, z = 30.43861, angle = 175.8892, collision = h1005B1
x = 12.67862, y = 23.06933, z = 30.80079, angle = 105.7587, collision = h1005B1
x = 10.80049, y = 22.93638, z = 31.42227, angle = 117.2499, collision = h1005B1
x = 10.26469, y = 22.93638, z = 32.34715, angle = 122.6525, collision = h1005B1
x = 9.241068, y = 22.93638, z = 32.99326, angle = 107.3572, collision = h1005B1
x = 8.3645, y = 22.93638, z = 32.41256, angle = 77.67928, collision = h1005B1
x = 7.204103, y = 22.93638, z = 32.19757, angle = 82.02216, collision = h1005B1
x = 6.118656, y = 22.93638, z = 32.66101, angle = 108.6516, collision = h1005B1
x = 4.948472, y = 22.93638, z = 32.55869, angle = 56.70963, collision = h1005B1
x = 3.732213, y = 23.07309, z = 32.05191, angle = 114.692, collision = h1005B1
x = 2.465014, y = 23.07309, z = 32.60672, angle = 171.3918, collision = h1005B1
x = 2.703301, y = 23.07309, z = 33.63889, angle = -16.7928, collision = h1005B1
x = 11.48014, y = 22.93638, z = 32.56651, angle = -103.9005, collision = h1005B1
x = 12.78155, y = 23.07029, z = 32.73422, angle = -63.35491, collision = h1005B1
x = 8.712559, y = 22.93638, z = 31.45383, angle = 20.15053, collision = h1005B1
x = 8.18583, y = 17.86054, z = 29.65612, angle = 22.28816, collision = h1006B1
x = 7.847875, y = 17.75039, z = 28.36575, angle = 21.82699, collision = h1004B1
x = 7.413097, y = 17.75039, z = 27.28009, angle = 21.80896, collision = h1004B1
x = 7.291922, y = 17.75039, z = 26.24157, angle = -24.11792, collision = h1004B1
x = 7.872179, y = 17.75039, z = 25.36953, angle = -24.98552, collision = h1004B1
x = 8.431611, y = 17.75039, z = 24.26997, angle = -27.48353, collision = h1004B1
x = 9.060384, y = 17.75039, z = 25.17964, angle = -143.6522, collision = h1004B1
x = 9.631311, y = 17.75039, z = 26.03724, angle = 153.2696, collision = h1004B1
x = 8.853365, y = 17.75039, z = 26.96272, angle = 81.76772, collision = h1004B1
x = 6.175744, y = 17.75039, z = 26.48731, angle = 69.5751, collision = h1004B1
x = 4.861613, y = 17.75039, z = 25.94038, angle = 50.8967, collision = h1004B1
x = 3.907423, y = 17.75039, z = 25.03136, angle = -48.02755, collision = h1004B1
x = 4.761204, y = 17.75039, z = 24.46378, angle = -139.5989, collision = h1004B1
x = 6.019521, y = 17.75039, z = 25.47045, angle = -39.7998, collision = h1004B1
x = 6.682612, y = 17.75024, z = 24.56255, angle = -86.64206, collision = h1004B1
x = 7.262774, y = 17.74955, z = 23.69339, angle = 13.26883, collision = h1004B1
x = 7.235218, y = 17.67948, z = 22.34586, angle = -99.68306, collision = h1004B1
x = 8.38601, y = 17.74941, z = 22.697, angle = 178.5328, collision = h1004B1
x = 5.682659, y = 17.75002, z = 23.70307, angle = -29.06281, collision = h1004B1
x = 6.170118, y = 17.74933, z = 22.79275, angle = -41.80931, collision = h1004B1
x = 7.299725, y = 17.38627, z = 21.29202, angle = -24.39123, collision = h1004B1
x = 7.871026, y = 17.03016, z = 20.02736, angle = -71.04744, collision = h1004B1
x = 9.070743, y = 16.99133, z = 19.8897, angle = -150.3763, collision = h1004B1
x = 9.365841, y = 17.31027, z = 21.03008, angle = -96.95956, collision = h1004B1
x = 10.13768, y = 17.75039, z = 20.17517, angle = -2.401522, collision = h1004B1
x = 10.34863, y = 17.75039, z = 18.81826, angle = 12.97631, collision = h1004B1
x = 10.10525, y = 17.75039, z = 17.46342, angle = 15.26124, collision = h1004B1
x = 9.69041, y = 17.73479, z = 16.5026, angle = 90.74812, collision = h1004B1
x = 7.936592, y = 16.12655, z = 15.90637, angle = 79.22348, collision = h1004B1
x = 6.648815, y = 16.00039, z = 15.8399, angle = 81.71873, collision = h1004B1
x = 5.314106, y = 16.00039, z = 15.53566, angle = 59.54784, collision = h1004B1
x = 4.203805, y = 16.00039, z = 14.73415, angle = -12.56061, collision = h1004B1
x = 4.526557, y = 16.00036, z = 13.43626, angle = -45.61684, collision = h1004B1
x = 5.565802, y = 16.00026, z = 12.54715, angle = -79.42903, collision = h1004B1
x = 6.908835, y = 16.00026, z = 12.21614, angle = -42.3078, collision = h1004B1
x = 7.939695, y = 16.0003, z = 11.2956, angle = -65.90698, collision = h1004B1
x = 8.905187, y = 16.00034, z = 10.80081, angle = -60.98826, collision = h1004B1
x = 8.848188, y = 16.00035, z = 9.612244, angle = 123.0309, collision = h1004B1
x = 6.833818, y = 16.0003, z = 13.33143, angle = -144.3791, collision = h1004B1
x = 7.667651, y = 16.00038, z = 14.54321, angle = 175.0421, collision = h1004B1
x = 5.835702, y = 16.13257, z = 16.82104, angle = 119.0846, collision = h1004B1
x = 4.662984, y = 16.33908, z = 17.55857, angle = 157.3622, collision = h1004B1
x = 4.296388, y = 16.70423, z = 18.85886, angle = -168.2078, collision = h1004B1
x = 4.575951, y = 17.0821, z = 20.21223, angle = -173.2922, collision = h1004B1
x = 4.451572, y = 17.49768, z = 21.6966, angle = 153.7012, collision = h1004B1
x = 4.097183, y = 17.75005, z = 22.99306, angle = -152.3021, collision = h1004B1
x = 6.832206, y = 17.75039, z = 29.29884, angle = 111.5247, collision = h1004B1
x = 5.600145, y = 17.75039, z = 29.85214, angle = 152.4497, collision = h1006B1
x = 5.18833, y = 17.75039, z = 31.1073, angle = -170.008, collision = h1006B1
x = 5.404453, y = 18.38314, z = 32.54378, angle = -176.7898, collision = h1006B1
x = 5.486332, y = 19.02792, z = 33.95366, angle = -176.3853, collision = h1006B1
x = 5.229918, y = 19.44683, z = 34.93702, angle = 138.4832, collision = h1006B1
x = 4.23151, y = 19.45198, z = 35.19081, angle = 95.07711, collision = h1006B1
x = 3.16643, y = 19.60853, z = 35.23494, angle = 106.5846, collision = h1006B1
x = 2.469593, y = 19.90726, z = 35.9815, angle = -174.1422, collision = h1006B1
x = 2.830276, y = 19.92116, z = 37.27483, angle = -125.2561, collision = h1006B1
x = 4.022048, y = 19.81685, z = 37.87192, angle = -34.56752, collision = h1006B1
x = 4.639572, y = 19.81618, z = 36.77301, angle = 20.19384, collision = h1006B1
x = 6.261193, y = 19.6022, z = 35.02071, angle = 174.7437, collision = h1006B1
x = 6.065513, y = 19.81618, z = 36.38381, angle = -169.6742, collision = h1006B1
x = 6.45926, y = 19.81638, z = 37.6642, angle = -99.71471, collision = h1006B1
x = 7.798118, y = 19.81651, z = 37.96538, angle = -94.216, collision = h1006B1
x = 9.180206, y = 19.81648, z = 38.0181, angle = -81.14168, collision = h1006B1
x = 10.3831, y = 19.81618, z = 37.48305, angle = -32.69545, collision = h1006B1
x = 11.10741, y = 19.81618, z = 36.30069, angle = 29.72005, collision = h1006B1
x = 10.27649, y = 19.81618, z = 35.35181, angle = 98.74592, collision = h1006B1
x = 8.951466, y = 19.81618, z = 35.65996, angle = 114.6909, collision = h1006B1
x = 8.03618, y = 19.81618, z = 36.5737, angle = -163.0213, collision = h1006B1
x = 8.62547, y = 19.8171, z = 38.89814, angle = 69.08401, collision = h1006B1
x = 7.790019, y = 19.80452, z = 35.1249, angle = 36.73847, collision = h1006B1
x = 6.819059, y = 19.22593, z = 34.05976, angle = 76.3437, collision = h1006B1
x = 6.617528, y = 17.75039, z = 30.81831, angle = -67.25458, collision = h1006B1
x = 8.944544, y = 17.75039, z = 28.18402, angle = -7.572549, collision = h1004B1
x = 10.68507, y = 17.75039, z = 26.02483, angle = -124.2949, collision = h1004B1
x = 11.65639, y = 17.75039, z = 26.87399, angle = 171.9878, collision = h1004B1
x = 11.50821, y = 17.75039, z = 27.91795, angle = 128.3528, collision = h1004B1
x = 10.38547, y = 17.75039, z = 28.65876, angle = 110.0199, collision = h1004B1
x = 9.437367, y = 17.75039, z = 29.41629, angle = -126.2443, collision = h1004B1
x = 10.56104, y = 17.623, z = 29.93444, angle = -35.0901, collision = h1004B1
x = 10.44508, y = 17.75039, z = 27.64252, angle = 135.8701, collision = h1004B1
