x = 189.8432, y = -267.2042, z = 127.9724, angle = -100, collision = h0001B1
x = 200.9178, y = -266.0877, z = 131.1441, angle = -57.61486, collision = h0100B1
x = 202.0196, y = -266.1783, z = 130.4079, angle = -74.54334, collision = h0100B1
x = 203.2328, y = -266.2372, z = 130.0133, angle = -95.5779, collision = h0100B1
x = 204.5137, y = -266.0354, z = 130.0811, angle = -146.6351, collision = h0100B1
x = 205.3415, y = -265.7489, z = 131.1243, angle = 165.305, collision = h0100B1
x = 205.1376, y = -265.5819, z = 132.3236, angle = 153.7171, collision = h0100B1
x = 204.6305, y = -265.4974, z = 133.353, angle = 154.4738, collision = h0100B1
x = 204.0951, y = -265.2906, z = 134.61, angle = -173.2097, collision = h0100B1
x = 204.2751, y = -264.999, z = 135.9027, angle = -109.7305, collision = h0100B1
x = 205.4526, y = -264.9188, z = 136.4605, angle = -58.24928, collision = h0100B1
x = 206.4098, y = -264.9173, z = 136.0679, angle = -33.12918, collision = h0100B1
x = 207.2455, y = -264.9833, z = 134.8785, angle = -11.70479, collision = h0100B1
x = 207.5244, y = -265.0422, z = 133.8164, angle = -113.1208, collision = h0100B1
x = 208.7026, y = -264.9735, z = 133.6275, angle = -118.185, collision = h0100B1
x = 210.3431, y = -264.9771, z = 134.4616, angle = -120.1061, collision = h0100B1
x = 211.7069, y = -265.3763, z = 135.2377, angle = -113.8824, collision = h0100B1
x = 212.8531, y = -265.6738, z = 135.6323, angle = -9.901944, collision = h0100B1
x = 213.2795, y = -265.7209, z = 134.4496, angle = 51.92069, collision = h0100B1
x = 212.1323, y = -265.4926, z = 133.4113, angle = 106.5981, collision = h0100B1
x = 210.8916, y = -265.2716, z = 132.9915, angle = 150.7027, collision = h0100B1
x = 209.6823, y = -264.7933, z = 135.4229, angle = -117.3977, collision = h0100B1
x = 210.3917, y = -264.9465, z = 136.1933, angle = -59.52405, collision = h0100B1
x = 213.518, y = -265.7385, z = 136.541, angle = -153.8693, collision = h0100B1
x = 214.1979, y = -265.7163, z = 137.9084, angle = -172.4556, collision = h0100B1
x = 214.3789, y = -265.6766, z = 138.9063, angle = -149.943, collision = h0100B1
x = 214.9571, y = -265.6694, z = 140.0332, angle = -128.4943, collision = h0100B1
x = 216.1433, y = -265.8348, z = 140.5134, angle = -46.99912, collision = h0100B1
x = 217.0307, y = -265.9796, z = 139.4222, angle = -7.991554, collision = h0100B1
x = 217.3149, y = -266.0886, z = 138.1902, angle = -61.22058, collision = h0100B1
x = 218.3203, y = -266.3323, z = 137.5574, angle = -103.455, collision = h0100B1
x = 219.6567, y = -266.6212, z = 137.788, angle = -136.0936, collision = h0100B1
x = 220.5525, y = -266.7886, z = 138.6383, angle = -164.9414, collision = h0100B1
x = 220.9137, y = -266.9661, z = 139.6712, angle = 170.5997, collision = h0100B1
x = 220.8226, y = -267.0181, z = 140.9691, angle = -135.6568, collision = h0100B1
x = 221.5399, y = -267.3465, z = 141.8982, angle = -75.47652, collision = h0100B1
x = 222.8471, y = -267.5078, z = 141.7126, angle = -54.98966, collision = h0100B1
x = 223.8687, y = -267.4367, z = 140.9894, angle = -93.12528, collision = h0100B1
x = 225.2189, y = -267.4502, z = 140.9917, angle = -132.1216, collision = h0100B1
x = 226.1539, y = -267.7774, z = 141.79, angle = -166.4991, collision = h0100B1
x = 226.5638, y = -268.2057, z = 143.0645, angle = 139.1878, collision = h0100B1
x = 225.9842, y = -268.354, z = 143.9445, angle = 130.1306, collision = h0100B1
x = 224.9291, y = -268.5714, z = 144.8526, angle = 133.5778, collision = h0100B1
x = 224.1156, y = -268.6123, z = 145.6037, angle = 127.6726, collision = h0100B1
x = 223.0479, y = -268.537, z = 146.4118, angle = 115.8291, collision = h0100B1
x = 221.8552, y = -268.2164, z = 147.0771, angle = -170.7073, collision = h0100B1
x = 221.8014, y = -268.3898, z = 148.2913, angle = -157.9249, collision = h0100B1
x = 222.3011, y = -268.8574, z = 149.5554, angle = -113.0086, collision = h0100B1
x = 223.2836, y = -269.2765, z = 150.1058, angle = -47.2814, collision = h0100B1
x = 224.2322, y = -269.4622, z = 149.4126, angle = -44.99397, collision = h0100B1
x = 225.0708, y = -269.5685, z = 148.5018, angle = -60.68679, collision = h0100B1
x = 226.251, y = -269.6601, z = 147.8224, angle = -82.34882, collision = h0100B1
x = 227.4855, y = -269.8684, z = 147.6144, angle = -114.043, collision = h0100B1
x = 228.6554, y = -270.216, z = 148.124, angle = -168.4667, collision = h0100B1
x = 228.9763, y = -270.6458, z = 149.3692, angle = 162.3343, collision = h0100B1
x = 228.635, y = -270.9125, z = 150.6127, angle = 134.3376, collision = h0100B1
x = 227.9214, y = -271.0396, z = 151.4781, angle = 135.8528, collision = h0100B1
x = 227.0612, y = -270.88, z = 152.3876, angle = 149.2882, collision = h0100B1
x = 226.3725, y = -270.7813, z = 153.6133, angle = -139.31, collision = h0100B1
x = 226.9487, y = -271.3014, z = 154.6067, angle = -101.4606, collision = h0100B1
x = 228.2953, y = -272.0026, z = 154.9266, angle = -66.3425, collision = h0100B1
x = 229.4445, y = -272.3926, z = 154.5027, angle = -56.93785, collision = h0100B1
x = 230.6053, y = -272.4192, z = 153.7695, angle = -87.75681, collision = h0100B1
x = 231.8201, y = -272.5161, z = 153.6092, angle = -151.3824, collision = h0100B1
x = 232.5424, y = -273.1053, z = 155.0144, angle = 165.1155, collision = h0100B1
x = 232.2325, y = -273.548, z = 156.2406, angle = 164.3978, collision = h0100B1
x = 231.9106, y = -273.9261, z = 157.4164, angle = 161.0577, collision = h0100B1
x = 231.4467, y = -274.1212, z = 158.706, angle = 147.2939, collision = h0100B1
x = 230.8347, y = -274.1606, z = 159.7021, angle = 179.8919, collision = h0100B1
x = 230.7432, y = -274.607, z = 161.0812, angle = -120.689, collision = h0100B1
x = 231.8309, y = -275.3717, z = 161.8385, angle = -70.80283, collision = h0100B1
x = 232.9216, y = -275.8376, z = 161.6237, angle = -63.07655, collision = h0100B1
x = 234.1012, y = -276.209, z = 161.0219, angle = -60.91171, collision = h0100B1
x = 235.208, y = -276.5138, z = 160.408, angle = -61.1097, collision = h0100B1
x = 236.3897, y = -276.7195, z = 159.7636, angle = -98.96608, collision = h0100B1
x = 237.5844, y = -277.1478, z = 159.6996, angle = -151.2473, collision = h0100B1
x = 238.3461, y = -277.6348, z = 160.7029, angle = 177.7862, collision = h0100B1
x = 238.3656, y = -277.9976, z = 161.8871, angle = 164.3004, collision = h0100B1
x = 238.0659, y = -278.298, z = 163.2362, angle = 164.078, collision = h0100B1
x = 237.7395, y = -278.5471, z = 164.3459, angle = 162.0163, collision = h0100B1
x = 237.3804, y = -278.9263, z = 165.4844, angle = 157.5027, collision = h0100B1
x = 236.8651, y = -279.2554, z = 166.752, angle = 157.5304, collision = h0100B1
x = 236.3569, y = -279.4953, z = 167.8961, angle = 165.3927, collision = h0100B1
x = 236.0139, y = -279.755, z = 169.1752, angle = 173.4411, collision = h0100B1
x = 236.3077, y = -280.1442, z = 170.3064, angle = -171.3576, collision = h0100B1
x = 236.6425, y = -280.4504, z = 171.5269, angle = -139.2497, collision = h0100B1
x = 237.2478, y = -280.8557, z = 172.5677, angle = -126.3393, collision = h0100B1
x = 238.3089, y = -281.4389, z = 173.3372, angle = -138.1695, collision = h0100B1
x = 239.1154, y = -281.9438, z = 174.2777, angle = -70.3033, collision = h0100B1
x = 240.2973, y = -282.4313, z = 174.1095, angle = -21.83762, collision = h0100B1
x = 240.8868, y = -282.3704, z = 172.8103, angle = -4.961204, collision = h0100B1
x = 241.097, y = -282.1745, z = 171.6022, angle = -65.9375, collision = h0100B1
x = 242.0337, y = -282.2029, z = 171.0067, angle = -80.60561, collision = h0100B1
x = 243.3167, y = -282.3857, z = 170.7775, angle = -111.1181, collision = h0100B1
x = 244.5537, y = -282.9162, z = 171.1773, angle = -93.02232, collision = h0100B1
x = 245.8762, y = -283.8097, z = 171.3172, angle = -83.48163, collision = h0100B1
x = 247.1263, y = -284.4337, z = 171.1607, angle = -34.43188, collision = h0100B1
x = 248.0833, y = -284.332, z = 170.2363, angle = -19.11945, collision = h0100B1
x = 248.4535, y = -284.0676, z = 169.2469, angle = -11.48581, collision = h0100B1
x = 248.8553, y = -283.8169, z = 167.8417, angle = 49.63078, collision = h0100B1
x = 248.8564, y = -283.5952, z = 166.7573, angle = 49.63078, collision = h0100B1
x = 247.9343, y = -283.199, z = 165.9734, angle = 8.802488, collision = h0100B1
x = 247.5891, y = -282.8211, z = 164.5794, angle = -27.75305, collision = h0003B1
x = 248.1348, y = -282.7827, z = 163.3308, angle = -29.40806, collision = h0003B1
x = 248.6468, y = -282.7296, z = 162.3964, angle = -14.15732, collision = h0003B1
x = 249.129, y = -282.618, z = 161.208, angle = 1.176077, collision = h0003B1
x = 249.1928, y = -282.5738, z = 160.1508, angle = 8.984008, collision = h0003B1
x = 249.0462, y = -282.2526, z = 158.4465, angle = -29.63364, collision = h0003B1
x = 249.5201, y = -282.5597, z = 157.305, angle = 11.47194, collision = h0003B1
x = 250.0026, y = -282.8687, z = 156.0256, angle = 24.67426, collision = h0003B1
x = 249.4318, y = -282.6955, z = 154.6095, angle = 58.51661, collision = h0003B1
x = 248.6014, y = -282.4846, z = 153.4889, angle = 102.5666, collision = h0003B1
x = 247.3468, y = -282.1783, z = 153.4727, angle = 85.16647, collision = h0003B1
x = 246.296, y = -281.9401, z = 153.7481, angle = 32.46991, collision = h0003B1
x = 245.2105, y = -281.7607, z = 153.0783, angle = -25.85725, collision = h0003B1
x = 245.347, y = -281.8907, z = 151.7737, angle = -14.87748, collision = h0003B1
x = 245.8925, y = -281.8957, z = 150.6545, angle = 28.12134, collision = h0003B1
x = 245.5603, y = -281.7675, z = 149.4132, angle = 38.94749, collision = h0003B1
x = 244.663, y = -281.5843, z = 148.294, angle = 15.245, collision = h0003B1
x = 244.3937, y = -281.4882, z = 146.6988, angle = 94.99661, collision = h0003B1
x = 243.2936, y = -281.3055, z = 146.3459, angle = 140.2698, collision = h0003B1
x = 242.2726, y = -281.2213, z = 147.1429, angle = 145.5123, collision = h0003B1
x = 241.5077, y = -281.0657, z = 148.1756, angle = 96.48726, collision = h0003B1
x = 239.9139, y = -280.6117, z = 148.699, angle = 33.09266, collision = h0003B1
x = 239.1259, y = -280.4636, z = 147.7527, angle = 11.1202, collision = h0003B1
x = 238.8801, y = -280.4851, z = 146.4543, angle = 81.76243, collision = h0300B1
x = 232.9475, y = -279.793, z = 134.9484, angle = 67.96294, collision = h0300B1
x = 231.6906, y = -279.5095, z = 134.5984, angle = 51.243, collision = h0300B1
x = 230.6286, y = -279.2834, z = 134.0399, angle = 9.448037, collision = h0300B1
x = 230.2692, y = -279.2735, z = 132.8185, angle = 0.6927041, collision = h0300B1
x = 230.2487, y = -279.2991, z = 131.3543, angle = 6.750057, collision = h0300B1
x = 230.1932, y = -279.1587, z = 130.3242, angle = 26.23804, collision = h0300B1
x = 229.6783, y = -278.9083, z = 128.9917, angle = 34.77953, collision = h0300B1
x = 229.144, y = -278.7232, z = 128.1411, angle = 62.77205, collision = h0300B1
x = 228.2842, y = -278.5091, z = 127.472, angle = 71.48495, collision = h0300B1
x = 226.9367, y = -278.233, z = 126.9875, angle = 71.41476, collision = h0300B1
x = 225.7241, y = -277.9921, z = 126.5751, angle = 90.50256, collision = h0300B1
x = 224.3308, y = -277.7341, z = 126.3257, angle = 100.7266, collision = h0300B1
x = 222.7292, y = -277.2827, z = 126.5955, angle = 100.2183, collision = h0300B1
x = 221.0233, y = -276.65, z = 126.8959, angle = 75.80356, collision = h0300B1
x = 219.8073, y = -276.1729, z = 126.6389, angle = -8.047234, collision = h0300B1
x = 219.6219, y = -276.3274, z = 125.3316, angle = -46.18952, collision = h0300B1
x = 220.6991, y = -277.0323, z = 124.3779, angle = -55.95557, collision = h0300B1
x = 221.5422, y = -277.1165, z = 123.7845, angle = -54.53544, collision = h0300B1
x = 222.5666, y = -277.2028, z = 123.0458, angle = -44.95304, collision = h0300B1
x = 223.342, y = -277.26, z = 122.3662, angle = -25.18112, collision = h0300B1
x = 224.045, y = -277.9076, z = 121.0689, angle = 5.321687, collision = h0004B1
x = 223.9739, y = -278.1917, z = 119.5993, angle = -5.917485, collision = h0004B1
x = 223.9904, y = -278.347, z = 118.3962, angle = -17.44906, collision = h0004B1
x = 224.3896, y = -278.4426, z = 116.9287, angle = -15.72624, collision = h0004B1
x = 224.7766, y = -278.515, z = 115.6324, angle = -15.95229, collision = h0004B1
x = 225.1339, y = -278.6116, z = 114.3747, angle = -16.26468, collision = h0004B1
x = 225.4176, y = -278.7178, z = 113.3922, angle = -10.22395, collision = h0004B1
x = 225.7398, y = -278.86, z = 112.101, angle = -7.569298, collision = h0004B1
x = 225.9236, y = -278.9672, z = 110.7222, angle = -8.073994, collision = h0004B1
x = 226.106, y = -279.0688, z = 109.3868, angle = -7.531704, collision = h0004B1
x = 226.3321, y = -279.2057, z = 107.7053, angle = -9.004348, collision = h0004B1
x = 226.5243, y = -279.3192, z = 106.4043, angle = -8.021155, collision = h0004B1
x = 226.7196, y = -279.4393, z = 105.0684, angle = -7.519629, collision = h0004B1
x = 226.8989, y = -279.5644, z = 103.7466, angle = -7.054247, collision = h0004B1
x = 227.0624, y = -279.6972, z = 102.4564, angle = -10.64537, collision = h0004B1
x = 227.1883, y = -279.8065, z = 101.4051, angle = -10.87426, collision = h0004B1
x = 227.4536, y = -279.9201, z = 100.0246, angle = -10.80634, collision = h0004B1
x = 227.7403, y = -280.0461, z = 98.54146, angle = -11.32366, collision = h0004B1
x = 228.0443, y = -280.5539, z = 97.00687, angle = -11.52092, collision = h0004B1
x = 228.2382, y = -280.869, z = 95.94364, angle = -11.59854, collision = h0004B1
x = 228.4783, y = -280.9675, z = 94.74865, angle = -11.78921, collision = h0004B1
x = 228.7427, y = -281.0736, z = 93.47407, angle = -12.01236, collision = h0004B1
x = 228.9841, y = -281.1718, z = 92.33113, angle = -12.24311, collision = h0004B1
x = 229.2389, y = -281.2775, z = 91.14825, angle = -12.4949, collision = h0004B1
x = 229.5148, y = -281.3961, z = 89.8924, angle = -9.578903, collision = h0004B1
x = 229.756, y = -281.5096, z = 88.68858, angle = -8.707671, collision = h0004B1
x = 229.9601, y = -281.6209, z = 87.35751, angle = -8.554129, collision = h0004B1
x = 230.1819, y = -281.7458, z = 85.89035, angle = -8.23016, collision = h0004B1
x = 230.3797, y = -281.8633, z = 84.5405, angle = -7.925997, collision = h0004B1
x = 230.5455, y = -281.969, z = 83.36629, angle = -9.413012, collision = h0004B1
x = 230.7335, y = -282.0904, z = 82.06092, angle = -9.179884, collision = h0004B1
x = 230.9886, y = -282.2341, z = 80.49191, angle = -9.005687, collision = h0004B1
x = 231.214, y = -282.3661, z = 79.07667, angle = -8.815233, collision = h0004B1
x = 231.4119, y = -282.4839, z = 77.82952, angle = -8.484653, collision = h0004B1
x = 231.6572, y = -282.6377, z = 76.20127, angle = -8.251552, collision = h0004B1
x = 231.8645, y = -282.7816, z = 74.78899, angle = -8.06965, collision = h0004B1
x = 232.0297, y = -282.9496, z = 73.62768, angle = -20.07412, collision = h0004B1
x = 233.0098, y = -283.3512, z = 71.98472, angle = -38.15625, collision = h0004B1
x = 234.1124, y = -283.7045, z = 71.25669, angle = -70.33022, collision = h0004B1
x = 235.4872, y = -283.7045, z = 70.92398, angle = -101.6091, collision = h0004B1
x = 236.7897, y = -283.7045, z = 70.69692, angle = 5.065487, collision = h0004B1
x = 236.6417, y = -283.7045, z = 69.24747, angle = 27.73834, collision = h0004B1
x = 236.1037, y = -283.6245, z = 68.16521, angle = 44.8566, collision = h0004B1
x = 235.1734, y = -283.7396, z = 67.17876, angle = 57.47723, collision = h0004B1
x = 233.255, y = -283.8579, z = 65.7295, angle = 58.39868, collision = h0004B1
x = 232.2351, y = -283.6245, z = 65.04186, angle = 79.5606, collision = h0004B1
x = 230.9307, y = -283.7045, z = 64.84599, angle = 152.3759, collision = h0004B1
x = 230.2382, y = -283.7045, z = 65.81271, angle = -179.5508, collision = h0004B1
x = 230.2023, y = -283.7045, z = 67.14175, angle = 175.4593, collision = h0004B1
x = 230.1234, y = -283.7045, z = 68.43005, angle = -157.676, collision = h0004B1
x = 230.395, y = -283.7045, z = 69.43515, angle = -108.7815, collision = h0004B1
x = 231.6752, y = -283.7045, z = 69.94308, angle = -71.16456, collision = h0004B1
x = 232.8579, y = -283.6245, z = 69.59731, angle = -46.00053, collision = h0004B1
x = 233.9003, y = -283.8411, z = 68.68044, angle = -33.90921, collision = h0004B1
x = 235.2124, y = -283.6245, z = 65.87447, angle = 24.108, collision = h0004B1
x = 234.8066, y = -283.6246, z = 64.69211, angle = 50.76617, collision = h0004B1
x = 233.8654, y = -283.7045, z = 63.87939, angle = 22.78021, collision = h0004B1
x = 233.2424, y = -283.5795, z = 62.73557, angle = 11.23944, collision = h0500B1
x = 232.97, y = -283.0395, z = 61.67231, angle = 14.18822, collision = h0500B1
x = 232.6223, y = -283.0456, z = 60.28567, angle = 13.24673, collision = h0500B1
x = 232.4055, y = -283.0882, z = 59.0275, angle = 4.205334, collision = h0500B1
x = 232.0113, y = -283.1208, z = 57.70502, angle = 59.1324, collision = h0500B1
x = 230.7934, y = -283.1003, z = 56.94196, angle = 42.049, collision = h0500B1
x = 230.0085, y = -283.147, z = 55.78877, angle = -37.37563, collision = h0500B1
x = 230.8112, y = -283.147, z = 54.86008, angle = -113.3164, collision = h0500B1
x = 231.928, y = -283.1076, z = 55.43093, angle = -167.2139, collision = h0500B1
x = 232.307, y = -283.147, z = 56.6008, angle = -154.0555, collision = h0500B1
x = 232.9806, y = -283.1425, z = 58.13304, angle = -144.5337, collision = h0500B1
x = 233.7171, y = -283.1467, z = 59.15307, angle = -129.5081, collision = h0500B1
x = 234.4799, y = -283.1184, z = 60.11202, angle = -125.2527, collision = h0500B1
x = 235.5339, y = -283.0158, z = 60.96128, angle = -106.9466, collision = h0500B1
x = 236.5309, y = -283.0321, z = 61.53579, angle = -92.73841, collision = h0500B1
x = 237.8403, y = -283.0067, z = 61.81693, angle = -77.95632, collision = h0500B1
x = 238.9656, y = -283.0764, z = 61.7666, angle = -78.37496, collision = h0500B1
x = 240.5809, y = -283.147, z = 61.41751, angle = -92.53973, collision = h0500B1
x = 241.6187, y = -283.147, z = 61.23513, angle = -105.3798, collision = h0500B1
x = 243.1606, y = -283.147, z = 61.54574, angle = -168.0943, collision = h0500B1
x = 243.8372, y = -283.147, z = 62.36229, angle = 172.356, collision = h0500B1
x = 243.9335, y = -283.147, z = 63.50791, angle = 157.756, collision = h0500B1
x = 243.4689, y = -283.147, z = 64.94238, angle = -176.3232, collision = h0500B1
x = 243.3972, y = -283.147, z = 66.34492, angle = -159.8186, collision = h0500B1
x = 243.6373, y = -283.147, z = 67.37048, angle = -112.2756, collision = h0500B1
x = 244.6948, y = -283.147, z = 68.08008, angle = -87.39301, collision = h0500B1
x = 245.7151, y = -283.147, z = 68.19321, angle = -83.06447, collision = h0500B1
x = 246.9888, y = -283.147, z = 68.05649, angle = -98.11652, collision = h0500B1
x = 248.0497, y = -283.147, z = 68.00905, angle = -123.5668, collision = h0500B1
x = 246.7886, y = -283.147, z = 67.04684, angle = 13.94148, collision = h0500B1
x = 246.5209, y = -283.147, z = 65.74366, angle = 13.94148, collision = h0500B1
x = 245.4799, y = -283.147, z = 64.96605, angle = 82.77711, collision = h0500B1
x = 242.0571, y = -283.147, z = 64.45182, angle = 79.37321, collision = h0500B1
x = 240.9653, y = -283.1049, z = 64.24393, angle = 87.53117, collision = h0500B1
x = 239.675, y = -282.9724, z = 64.16893, angle = 103.5536, collision = h0500B1
x = 238.6603, y = -282.9955, z = 64.3166, angle = 119.2481, collision = h0500B1
x = 237.2633, y = -283.539, z = 64.98227, angle = 134.7955, collision = h0004B1
x = 232.2014, y = -283.7045, z = 71.23057, angle = 5.085131, collision = h0004B1
x = 231.9189, y = -283.6245, z = 68.69009, angle = 38.17794, collision = h0004B1
x = 231.3477, y = -283.6245, z = 67.39027, angle = 42.86184, collision = h0004B1
x = 231.4406, y = -283.7045, z = 63.5426, angle = -63.42205, collision = h0004B1
x = 234.547, y = -283.3708, z = 62.44588, angle = -98.79071, collision = h0500B1
x = 235.6674, y = -283.0872, z = 62.25487, angle = -126.2277, collision = h0500B1
x = 236.7416, y = -283.018, z = 62.64333, angle = -125.8671, collision = h0500B1
x = 237.7709, y = -283.0172, z = 63.39815, angle = -126.5503, collision = h0500B1
x = 241.3358, y = -283.1323, z = 65.29086, angle = -115.602, collision = h0500B1
x = 394.233, y = -278.1436, z = 69.02609, angle = -32.54391, collision = h0600B1
x = 393.6458, y = -278.1436, z = 67.84071, angle = 26.81871, collision = h0600B1
x = 393.0125, y = -278.1423, z = 66.58672, angle = 38.18289, collision = h0600B1
x = 392.0711, y = -278.143, z = 65.58396, angle = 56.69963, collision = h0600B1
x = 390.9015, y = -278.1447, z = 64.78273, angle = 50.39022, collision = h0600B1
x = 389.9929, y = -278.145, z = 64.0266, angle = 23.00554, collision = h0600B1
x = 389.4362, y = -278.1454, z = 62.96252, angle = -47.15145, collision = h0600B1
x = 390.2065, y = -278.1394, z = 62.04197, angle = -86.31974, collision = h0600B1
x = 391.4756, y = -278.137, z = 61.83772, angle = -88.40147, collision = h0600B1
x = 392.7136, y = -278.1349, z = 61.80224, angle = -88.82221, collision = h0600B1
x = 394.0639, y = -278.1317, z = 61.77166, angle = -89.51045, collision = h0600B1
x = 395.2879, y = -278.1105, z = 61.75768, angle = -80.69376, collision = h0600B1
x = 396.6432, y = -278.0841, z = 61.58749, angle = -64.18654, collision = h0600B1
x = 397.6941, y = -278.0673, z = 61.05542, angle = -1.65001, collision = h0600B1
x = 397.8726, y = -278.0587, z = 59.97675, angle = 13.38968, collision = h0600B1
x = 397.6465, y = -278.0753, z = 58.68305, angle = 3.908986, collision = h0600B1
x = 397.5764, y = -278.0957, z = 57.40804, angle = -10.14799, collision = h0600B1
x = 397.8408, y = -278.1147, z = 56.17322, angle = -64.6611, collision = h0600B1
x = 398.912, y = -278.1174, z = 55.57277, angle = -73.15316, collision = h0600B1
x = 400.2056, y = -278.1163, z = 55.17942, angle = -73.92316, collision = h0600B1
x = 401.3751, y = -278.1153, z = 54.82452, angle = -43.89, collision = h0600B1
x = 402.3615, y = -278.0634, z = 53.91422, angle = 3.984965, collision = h0600B1
x = 402.3901, y = -278.0303, z = 52.74456, angle = 25.23972, collision = h0600B1
x = 401.8363, y = -278.1455, z = 51.51259, angle = 23.73847, collision = h0600B1
x = 401.3401, y = -278.146, z = 50.39428, angle = -11.85336, collision = h0600B1
x = 401.5348, y = -278.146, z = 49.19341, angle = -66.66753, collision = h0600B1
x = 402.6358, y = -278.1452, z = 48.58941, angle = -74.84914, collision = h0600B1
x = 403.8411, y = -278.1443, z = 48.24479, angle = -43.57767, collision = h0600B1
x = 404.8091, y = -278.1437, z = 47.40184, angle = -8.75551, collision = h0600B1
x = 405.0074, y = -278.1438, z = 46.19004, angle = 20.85298, collision = h0600B1
x = 404.5901, y = -278.1444, z = 44.92143, angle = 50.28706, collision = h0600B1
x = 403.5161, y = -278.1453, z = 44.00391, angle = 12.42192, collision = h0600B1
x = 403.0773, y = -278.1457, z = 42.97189, angle = -27.80055, collision = h0600B1
x = 403.7292, y = -278.1457, z = 41.73995, angle = -53.3009, collision = h0600B1
x = 404.6158, y = -278.1452, z = 41.05147, angle = -53.8557, collision = h0600B1
x = 405.7585, y = -278.1448, z = 40.15842, angle = -1.208411, collision = h0600B1
x = 405.9441, y = -278.1447, z = 38.8868, angle = 3.319677, collision = h0600B1
