x = 224.9989, y = -383.5193, z = 89.1199, angle = -170.9049, collision = h0064B1
x = 237.8431, y = -383.504, z = 92.56559, angle = -41.93248, collision = h0064B1
x = 238.5509, y = -383.37, z = 91.80166, angle = -57.37551, collision = h6402B1
x = 236.6254, y = -383.2985, z = 91.92397, angle = 88.74618, collision = h0064B1
x = 235.3094, y = -383.2018, z = 91.91703, angle = 80.00426, collision = h0064B1
x = 231.5294, y = -383.376, z = 91.34504, angle = 99.53468, collision = h0064B1
x = 230.3121, y = -383.4738, z = 91.4908, angle = 106.4613, collision = h0064B1
x = 226.9546, y = -383.5219, z = 93.04876, angle = 61.50487, collision = h0064B1
x = 225.8429, y = -383.5218, z = 92.52165, angle = 57.05268, collision = h0064B1
x = 224.6989, y = -383.5215, z = 91.79951, angle = 94.17107, collision = h0064B1
x = 223.5305, y = -383.5217, z = 91.76704, angle = 128.6056, collision = h0064B1
x = 222.4494, y = -383.5016, z = 92.59747, angle = 143.5434, collision = h0064B1
x = 221.7494, y = -383.3125, z = 93.57242, angle = -178.1244, collision = h0064B1
x = 221.7059, y = -383.2108, z = 94.90244, angle = -155.4006, collision = h0064B1
x = 222.1772, y = -383.1867, z = 96.0238, angle = -114.6081, collision = h0064B1
x = 223.2769, y = -383.3486, z = 96.63058, angle = -53.2603, collision = h0064B1
x = 224.2747, y = -383.4508, z = 96.18945, angle = 16.33447, collision = h0064B1
x = 224.1718, y = -383.4753, z = 95.06499, angle = -14.06365, collision = h0064B1
x = 224.1429, y = -383.5044, z = 93.87494, angle = -96.0831, collision = h0064B1
x = 225.4862, y = -383.5227, z = 93.85881, angle = -103.9092, collision = h0064B1
x = 226.7278, y = -383.5227, z = 94.18654, angle = -168.2025, collision = h0064B1
x = 227.1805, y = -383.5233, z = 95.36382, angle = 173.8777, collision = h0064B1
x = 227.0558, y = -383.5132, z = 96.62312, angle = 174.3672, collision = h0064B1
x = 226.9244, y = -383.5001, z = 97.96251, angle = -173.3081, collision = h0064B1
x = 226.9815, y = -383.3032, z = 99.12479, angle = -110.9302, collision = h0064B1
x = 228.1479, y = -383.3285, z = 99.69719, angle = -60.70921, collision = h0064B1
x = 229.2121, y = -383.4915, z = 99.29465, angle = -48.99336, collision = h0064B1
x = 230.1729, y = -383.513, z = 98.48794, angle = -94.04861, collision = h0064B1
x = 231.4445, y = -383.5347, z = 98.43238, angle = -168.5816, collision = h0064B1
x = 231.9035, y = -383.5114, z = 99.58943, angle = -179.0867, collision = h0064B1
x = 231.9406, y = -383.4819, z = 100.8247, angle = -137.4143, collision = h0064B1
x = 232.7138, y = -383.411, z = 101.8827, angle = -76.66442, collision = h0064B1
x = 233.882, y = -383.4814, z = 101.7248, angle = -44.67099, collision = h0064B1
x = 234.838, y = -383.5189, z = 100.8944, angle = -85.73655, collision = h0064B1
x = 236.0071, y = -383.5316, z = 100.6365, angle = -156.9478, collision = h0064B1
x = 236.6998, y = -383.5027, z = 101.6129, angle = -167.9521, collision = h0064B1
x = 236.9959, y = -383.3799, z = 102.8539, angle = -114.2495, collision = h0064B1
x = 237.9898, y = -383.3014, z = 103.5385, angle = -88.79063, collision = h0064B1
x = 239.2859, y = -383.3869, z = 103.7499, angle = -70.25066, collision = h0064B1
x = 240.4024, y = -383.4858, z = 103.3744, angle = -69.38754, collision = h0064B1
x = 241.6444, y = -383.5354, z = 102.9133, angle = -85.58334, collision = h0064B1
x = 242.7895, y = -383.6599, z = 102.6824, angle = -133.6298, collision = h0064B1
x = 243.8909, y = -383.5389, z = 103.266, angle = -160.529, collision = h0064B1
x = 244.3493, y = -383.4912, z = 104.4294, angle = -158.2746, collision = h0064B1
x = 244.8091, y = -383.2244, z = 105.611, angle = -125.2031, collision = h0064B1
x = 245.6914, y = -382.9037, z = 106.5198, angle = -59.14963, collision = h0064B1
x = 247.038, y = -383.2664, z = 105.9362, angle = -66.26105, collision = h0064B1
x = 248.1539, y = -383.4423, z = 105.3609, angle = -88.74361, collision = h0064B1
x = 249.4732, y = -383.5307, z = 105.3085, angle = -95.1479, collision = h0064B1
x = 250.4445, y = -383.5532, z = 105.8893, angle = -156.9057, collision = h0064B1
x = 251.0723, y = -383.5458, z = 106.807, angle = 177.0394, collision = h0064B1
x = 251.0178, y = -383.4425, z = 108.1746, angle = 176.0788, collision = h0064B1
x = 250.9413, y = -383.3258, z = 109.3796, angle = -116.6987, collision = h0064B1
x = 251.8697, y = -383.4584, z = 110.0576, angle = -62.42722, collision = h0064B1
x = 252.954, y = -383.528, z = 109.5497, angle = -20.26995, collision = h0064B1
x = 253.4261, y = -383.5315, z = 108.3807, angle = 56.78834, collision = h0064B1
x = 252.5432, y = -383.5335, z = 107.6153, angle = 129.9605, collision = h0064B1
x = 252.986, y = -383.5263, z = 110.7728, angle = -126.2327, collision = h0064B1
x = 253.9765, y = -383.7314, z = 111.4978, angle = -100.5033, collision = h0064B1
x = 255.0459, y = -383.7611, z = 111.8533, angle = -61.16257, collision = h0064B1
x = 256.4383, y = -383.7611, z = 111.2764, angle = -84.79961, collision = h0064B1
x = 257.5615, y = -383.7611, z = 110.9423, angle = -152.0753, collision = h0064B1
x = 258.4214, y = -383.7611, z = 111.9209, angle = -158.1146, collision = h0064B1
x = 258.8614, y = -383.7611, z = 113.0093, angle = -155.2889, collision = h0064B1
x = 259.2935, y = -383.7611, z = 114.0159, angle = -154.2929, collision = h0064B1
x = 259.8755, y = -383.7611, z = 115.2, angle = -127.0655, collision = h0064B1
x = 260.6485, y = -383.7611, z = 115.9889, angle = -124.1448, collision = h0064B1
x = 261.8622, y = -383.7611, z = 116.821, angle = -124.0344, collision = h0064B1
x = 262.8266, y = -383.7611, z = 117.4747, angle = -135.9868, collision = h0064B1
x = 263.805, y = -383.7611, z = 118.2893, angle = -138.9282, collision = h0064B1
x = 264.5605, y = -383.7611, z = 119.1463, angle = -138.634, collision = h0064B1
x = 265.6107, y = -383.7611, z = 120.3347, angle = -138.6289, collision = h0064B1
x = 266.3685, y = -383.7611, z = 121.1944, angle = -156.481, collision = h0064B1
x = 267.0559, y = -383.7611, z = 122.2302, angle = -165.6774, collision = h0064B1
x = 267.1314, y = -383.7611, z = 123.3941, angle = -130.1992, collision = h6400B1
x = 267.8586, y = -383.4207, z = 124.3699, angle = -114.847, collision = h6400B1
x = 268.84, y = -383.2244, z = 124.9831, angle = -99.88305, collision = h6400B1
x = 270.0043, y = -383.3537, z = 125.2242, angle = -130.9975, collision = h0064B1
x = 271.2621, y = -383.7611, z = 126.0122, angle = -171.2914, collision = h0064B1
x = 271.7508, y = -383.7611, z = 126.9301, angle = 134.3494, collision = h0064B1
x = 267.5327, y = -383.5321, z = 125.3192, angle = -111.0873, collision = h6400B1
x = 269.1915, y = -383.0268, z = 126.097, angle = -135.7668, collision = h6400B1
x = 269.8322, y = -382.7409, z = 127.4604, angle = -177.6073, collision = h6400B1
x = 269.9864, y = -382.418, z = 128.9148, angle = -155.7553, collision = h6400B1
x = 270.4938, y = -382.331, z = 130.2399, angle = -173.3145, collision = h6400B1
x = 270.838, y = -382.0174, z = 131.5771, angle = -153.8617, collision = h6400B1
x = 271.498, y = -381.8834, z = 132.8475, angle = -145.3053, collision = h6400B1
x = 272.26, y = -381.9845, z = 133.9391, angle = -139.2411, collision = h6400B1
x = 273.2046, y = -382.0286, z = 134.9893, angle = -128.2024, collision = h6400B1
x = 274.0008, y = -381.9484, z = 135.6255, angle = -124.4354, collision = h6400B1
x = 275.1392, y = -381.8394, z = 136.4017, angle = -119.3865, collision = h6400B1
x = 276.3459, y = -381.7869, z = 137.0846, angle = -117.8408, collision = h6400B1
x = 277.5435, y = -381.8253, z = 137.7824, angle = -122.9449, collision = h6400B1
x = 278.7107, y = -381.7979, z = 138.5315, angle = -123.3047, collision = h6400B1
x = 279.857, y = -381.5504, z = 139.2792, angle = -117.9623, collision = h6400B1
x = 280.7654, y = -381.4559, z = 139.7621, angle = -117.7555, collision = h6400B1
x = 281.9819, y = -381.3326, z = 140.4088, angle = -124.2266, collision = h6400B1
x = 283.0988, y = -381.329, z = 141.2074, angle = -139.1414, collision = h6400B1
x = 283.9952, y = -381.3227, z = 142.2127, angle = -139.0666, collision = h6400B1
x = 284.8634, y = -381.3073, z = 143.2139, angle = -138.5063, collision = h6400B1
x = 285.683, y = -381.2951, z = 144.1535, angle = -138.4133, collision = h6400B1
x = 286.3731, y = -381.3299, z = 144.9416, angle = -152.9836, collision = h6400B1
x = 287.0711, y = -381.3971, z = 146.0779, angle = -144.4972, collision = h6400B1
x = 287.7579, y = -381.5022, z = 147.1575, angle = -143.7208, collision = h6400B1
x = 288.6218, y = -381.5829, z = 148.2757, angle = -147.6646, collision = h6400B1
x = 289.2912, y = -381.4825, z = 149.3309, angle = -137.7208, collision = h6400B1
x = 290.0306, y = -381.309, z = 150.253, angle = -129.3251, collision = h6400B1
x = 291.007, y = -380.7422, z = 151.0625, angle = -125.0935, collision = h6400B1
x = 291.9671, y = -380.1213, z = 151.7574, angle = -127.0264, collision = h6400B1
x = 293.1196, y = -379.8271, z = 152.6873, angle = -128.4168, collision = h6400B1
x = 294.1212, y = -379.8089, z = 153.5619, angle = -138.8607, collision = h6400B1
x = 295.0432, y = -379.8534, z = 154.7141, angle = -148.2319, collision = h6400B1
x = 295.8361, y = -379.8679, z = 155.9135, angle = -147.2951, collision = h0026B1
x = 296.5984, y = -379.7457, z = 157.1155, angle = -151.3377, collision = h0026B1
x = 297.2624, y = -379.5627, z = 158.3538, angle = -156.9337, collision = h0026B1
x = 297.7419, y = -379.5865, z = 159.5227, angle = -166.0026, collision = h0026B1
x = 298.047, y = -379.8625, z = 161.0504, angle = -175.9132, collision = h0026B1
x = 298.1371, y = -380.0083, z = 162.2964, angle = -178.4734, collision = h0026B1
x = 298.1523, y = -380.0164, z = 163.5925, angle = 166.4702, collision = h0026B1
x = 297.687, y = -380.2898, z = 164.7622, angle = 153.5201, collision = h0026B1
x = 297.1613, y = -380.6903, z = 165.8945, angle = 159.0054, collision = h0026B1
x = 296.7611, y = -380.7878, z = 166.9112, angle = 147.9224, collision = h0026B1
x = 296.0685, y = -381.1658, z = 168.1323, angle = 154.0395, collision = h0026B1
x = 295.4957, y = -381.4903, z = 169.2413, angle = 134.2573, collision = h0026B1
x = 294.7411, y = -381.8784, z = 170.022, angle = 130.7418, collision = h0026B1
x = 293.7539, y = -382.4081, z = 171.0096, angle = 143.0598, collision = h0026B1
x = 293.1797, y = -383.1373, z = 171.776, angle = 142.8458, collision = h0026B1
x = 292.5086, y = -383.3437, z = 172.6622, angle = 142.6996, collision = h0026B1
x = 291.7576, y = -383.3997, z = 173.6484, angle = 142.5866, collision = h0026B1
x = 290.9561, y = -383.4182, z = 174.7183, angle = 114.843, collision = h0026B1
x = 289.943, y = -383.435, z = 175.3504, angle = 107.8545, collision = h0026B1
x = 288.6846, y = -383.4592, z = 175.8205, angle = 156.4869, collision = h0026B1
x = 288.1661, y = -383.5603, z = 176.909, angle = 163.8042, collision = h0026B1
x = 287.9207, y = -383.5408, z = 178.1979, angle = -100.9911, collision = h0026B1
x = 288.977, y = -383.5305, z = 178.6014, angle = -66.91184, collision = h0026B1
x = 290.1908, y = -383.5343, z = 178.1173, angle = -49.95674, collision = h0026B1
x = 291.1725, y = -383.5342, z = 177.335, angle = -51.41895, collision = h0026B1
x = 291.9858, y = -383.5329, z = 176.7005, angle = -64.1832, collision = h0026B1
x = 293.1267, y = -383.5282, z = 176.106, angle = -52.09106, collision = h0026B1
x = 294.2138, y = -383.5218, z = 175.2925, angle = -19.70786, collision = h0026B1
x = 294.8116, y = -383.5333, z = 174.0249, angle = -9.62054, collision = h0026B1
x = 295.0204, y = -382.8979, z = 172.7819, angle = -6.785957, collision = h0026B1
x = 295.2015, y = -382.2094, z = 171.4314, angle = -23.83924, collision = h0026B1
x = 296.0167, y = -383.5226, z = 173.8736, angle = -38.57109, collision = h0026B1
x = 296.8441, y = -383.5164, z = 172.9638, angle = -26.42669, collision = h0026B1
x = 297.4862, y = -383.5168, z = 171.737, angle = -11.89887, collision = h0026B1
x = 297.7773, y = -383.5186, z = 170.5677, angle = -28.33897, collision = h0026B1
x = 298.3847, y = -383.5299, z = 169.3783, angle = -42.15533, collision = h0026B1
x = 299.174, y = -383.5307, z = 168.4342, angle = -40.30568, collision = h0026B1
x = 300.0214, y = -383.5257, z = 167.4575, angle = -34.581, collision = h0026B1
x = 300.756, y = -383.5244, z = 166.4104, angle = -23.40454, collision = h0026B1
x = 301.2755, y = -383.5175, z = 165.265, angle = -13.06705, collision = h0026B1
x = 301.6212, y = -383.521, z = 163.9824, angle = -1.597035, collision = h0026B1
x = 301.6164, y = -383.525, z = 162.7635, angle = 87.1476, collision = h0026B1
x = 300.3777, y = -383.5412, z = 162.4438, angle = 128.1118, collision = h0026B1
x = 299.3984, y = -383.5042, z = 163.1073, angle = 164.8849, collision = h0026B1
x = 299.0035, y = -383.4734, z = 164.3904, angle = -150.0826, collision = h0026B1
x = 299.4954, y = -383.5232, z = 165.461, angle = -145.7293, collision = h0026B1
x = 292.5021, y = -383.5387, z = 175.3237, angle = 104.7926, collision = h0026B1
x = 291.2572, y = -383.5491, z = 175.682, angle = 140.9261, collision = h0026B1
x = 290.3559, y = -383.5499, z = 176.5608, angle = 148.2629, collision = h0026B1
x = 288.2747, y = -383.5184, z = 179.6883, angle = 133.3904, collision = h0026B1
x = 287.5199, y = -383.5207, z = 180.4276, angle = 162.9875, collision = h0026B1
x = 286.9846, y = -383.0893, z = 181.7199, angle = -173.6244, collision = h2701B1
x = 287.0638, y = -382.3671, z = 183.0753, angle = 167.2574, collision = h2701B1
x = 286.7948, y = -382.0789, z = 184.5837, angle = 171.1757, collision = h2701B1
x = 286.6031, y = -381.8477, z = 185.8181, angle = -172.4171, collision = h2701B1
x = 286.6966, y = -381.7816, z = 186.9021, angle = -166.9132, collision = h2701B1
x = 286.9648, y = -381.8013, z = 188.1221, angle = -164.7135, collision = h2701B1
x = 287.2096, y = -381.9015, z = 189.1858, angle = -170.0917, collision = h2701B1
x = 287.4229, y = -381.9597, z = 190.4167, angle = -175.2752, collision = h2701B1
x = 287.4924, y = -382.0365, z = 191.9808, angle = -175.0173, collision = h2701B1
x = 287.6209, y = -382.0758, z = 193.3801, angle = -166.4904, collision = h2701B1
x = 287.957, y = -382.0127, z = 194.7438, angle = -151.6259, collision = h2701B1
x = 288.5923, y = -382.2521, z = 195.9884, angle = -143.176, collision = h2701B1
x = 289.2976, y = -382.3412, z = 197.0188, angle = -140.9408, collision = h2701B1
x = 289.8525, y = -382.4184, z = 197.9742, angle = -140.4229, collision = h2701B1
x = 290.6996, y = -382.1208, z = 199.0967, angle = -144.9023, collision = h2701B1
x = 291.5456, y = -382.1215, z = 200.2158, angle = -119.0184, collision = h2701B1
x = 292.7483, y = -382.2085, z = 200.9409, angle = -128.0157, collision = h2701B1
x = 293.8649, y = -382.0958, z = 201.7939, angle = -136.3869, collision = h2701B1
x = 294.8383, y = -382.6093, z = 202.8038, angle = -133.5973, collision = h2701B1
x = 295.756, y = -382.8654, z = 203.6506, angle = -121.878, collision = h2701B1
x = 296.6866, y = -383.129, z = 204.2336, angle = -118.9428, collision = h2701B1
x = 297.9402, y = -383.3385, z = 204.8673, angle = -106.3211, collision = h2701B1
x = 299.2931, y = -383.4354, z = 205.244, angle = -81.13213, collision = h2701B1
x = 300.6513, y = -383.2819, z = 205.0033, angle = -65.61774, collision = h2701B1
x = 301.9217, y = -383.1427, z = 204.4039, angle = -94.49818, collision = h2701B1
x = 303.0144, y = -382.7685, z = 204.3826, angle = -110.987, collision = h2701B1
x = 303.7553, y = -382.6524, z = 205.2255, angle = -128.1059, collision = h2701B1
x = 304.9039, y = -382.474, z = 206.2577, angle = -157.3999, collision = h0027B1
x = 306.3372, y = -383.7611, z = 207.6081, angle = -164.0981, collision = h0027B1
x = 307.0566, y = -383.7611, z = 208.3861, angle = 167.6661, collision = h0027B1
x = 307.9551, y = -383.7611, z = 209.0264, angle = -151.1937, collision = h0027B1
x = 308.5308, y = -383.7611, z = 210.2868, angle = -174.0491, collision = h0027B1
x = 308.6741, y = -383.7611, z = 211.7014, angle = 167.8167, collision = h0027B1
x = 308.384, y = -383.7611, z = 212.9108, angle = 127.2122, collision = h0027B1
x = 307.6356, y = -383.7611, z = 213.9489, angle = 119.1771, collision = h0027B1
x = 307.2268, y = -383.7611, z = 214.9018, angle = 109.4658, collision = h0027B1
x = 307.22, y = -383.7611, z = 215.9707, angle = 171.0752, collision = h0027B1
x = 307.4195, y = -383.7611, z = 217.2351, angle = 161.3985, collision = h0027B1
x = 308.0099, y = -383.7611, z = 218.0976, angle = -179.2445, collision = h2701B1
x = 307.7058, y = -383.2501, z = 219.1818, angle = 89.93516, collision = h2701B1
x = 307.3507, y = -383.7526, z = 219.3058, angle = 77.77307, collision = h0027B1
x = 306.0565, y = -383.7611, z = 219.1395, angle = 76.74977, collision = h0027B1
x = 305.6375, y = -383.7611, z = 218.1193, angle = -16.43573, collision = h0027B1
x = 305.706, y = -383.7511, z = 217.0965, angle = 3.039871, collision = h0027B1
x = 308.9583, y = -383.7611, z = 219.698, angle = -135.9026, collision = h0027B1
x = 309.901, y = -383.7611, z = 220.6774, angle = -134.9454, collision = h0027B1
x = 311.0006, y = -383.7611, z = 221.5944, angle = -117.0043, collision = h0027B1
x = 312.2441, y = -383.7611, z = 222.2485, angle = -124.0154, collision = h0027B1
x = 313.3937, y = -383.7611, z = 223.0694, angle = -133.0277, collision = h0027B1
x = 314.3271, y = -383.7611, z = 223.9531, angle = -139.398, collision = h0027B1
x = 314.9899, y = -383.7611, z = 224.7154, angle = -135.1508, collision = h0027B1
x = 315.8423, y = -383.7611, z = 225.6091, angle = -154.7902, collision = h0027B1
x = 316.4403, y = -383.6994, z = 226.9299, angle = -171.9657, collision = h2701B1
x = 316.6252, y = -383.2373, z = 228.3876, angle = -178.828, collision = h2701B1
x = 316.6682, y = -383.0432, z = 229.6261, angle = -179.1182, collision = h2701B1
x = 316.816, y = -382.8437, z = 230.733, angle = -160.687, collision = h2701B1
x = 317.2712, y = -382.5755, z = 231.8348, angle = -157.2843, collision = h2701B1
x = 317.7552, y = -382.3311, z = 232.8546, angle = -148.8987, collision = h2701B1
x = 318.3007, y = -382.1954, z = 233.8946, angle = -153.6205, collision = h2701B1
x = 318.7645, y = -382.3031, z = 234.9296, angle = -150.6392, collision = h2701B1
x = 319.3173, y = -382.3705, z = 235.9274, angle = -146.7668, collision = h2701B1
x = 319.9948, y = -382.4732, z = 236.8533, angle = -138.0855, collision = h2701B1
x = 320.7817, y = -382.4909, z = 237.6509, angle = -113.8001, collision = h2701B1
x = 321.9861, y = -382.67, z = 238.0655, angle = -87.85612, collision = h2701B1
x = 323.1194, y = -382.8173, z = 237.9554, angle = -81.82515, collision = h2701B1
x = 324.2809, y = -382.9952, z = 237.7996, angle = -91.03539, collision = h2701B1
x = 325.4877, y = -383.0379, z = 237.8428, angle = -98.77563, collision = h2701B1
x = 326.8779, y = -382.707, z = 238.0477, angle = -99.45499, collision = h2701B1
x = 328.1531, y = -382.4552, z = 238.5491, angle = -148.364, collision = h2701B1
x = 329.0019, y = -382.4309, z = 239.6594, angle = -106.4815, collision = h2701B1
x = 330.3346, y = -382.1589, z = 240.0975, angle = -108.1436, collision = h2701B1
x = 331.6698, y = -382.1689, z = 240.536, angle = -108.0006, collision = h2701B1
x = 332.8852, y = -382.1078, z = 241.1956, angle = -127.5133, collision = h2701B1
x = 333.9927, y = -382.3192, z = 242.0595, angle = -127.6137, collision = h2701B1
x = 335.1076, y = -382.6497, z = 242.914, angle = -124.5617, collision = h2701B1
x = 336.1689, y = -382.8799, z = 243.7967, angle = -108.8637, collision = h2701B1
x = 337.4182, y = -383.0063, z = 244.3238, angle = -91.29277, collision = h2701B1
x = 338.4224, y = -383.0122, z = 244.3405, angle = -64.85669, collision = h2701B1
x = 339.3109, y = -383.0447, z = 243.8599, angle = -58.25515, collision = h2701B1
x = 340.3273, y = -383.0729, z = 243.3717, angle = -50.33257, collision = h2701B1
x = 341.3186, y = -383.0354, z = 242.3885, angle = -32.03189, collision = h2701B1
x = 342.0696, y = -383.109, z = 241.2008, angle = -44.75842, collision = h2701B1
x = 342.9127, y = -383.0345, z = 240.2802, angle = -6.13086, collision = h2701B1
x = 342.8499, y = -383.7611, z = 239.3631, angle = -60.84401, collision = h0027B1
x = 343.3336, y = -383.7611, z = 238.3551, angle = -20.73733, collision = h0027B1
x = 343.6825, y = -383.6179, z = 237.1922, angle = -19.94456, collision = h2701B1
x = 344.1964, y = -383.5888, z = 235.8851, angle = -34.05808, collision = h2701B1
x = 344.768, y = -383.7611, z = 234.9325, angle = -29.98084, collision = h0027B1
x = 345.3128, y = -383.7611, z = 233.9631, angle = -24.34293, collision = h0027B1
x = 345.8787, y = -383.7611, z = 232.7897, angle = -29.95726, collision = h0027B1
x = 346.3769, y = -383.7611, z = 231.9212, angle = -28.9903, collision = h0027B1
x = 347.1428, y = -383.7611, z = 230.6025, angle = -41.66571, collision = h0027B1
x = 347.8916, y = -383.7611, z = 229.743, angle = -39.99701, collision = h0027B1
x = 348.7351, y = -383.7611, z = 228.7601, angle = -38.6448, collision = h2800B1
x = 349.493, y = -383.7611, z = 227.8192, angle = -36.61585, collision = h2800B1
x = 350.3224, y = -383.7611, z = 226.7131, angle = -36.42597, collision = h2800B1
x = 350.9508, y = -383.7611, z = 225.8631, angle = -36.22995, collision = h2800B1
x = 351.7684, y = -383.7611, z = 224.7489, angle = -36.28708, collision = h2800B1
x = 352.5957, y = -383.7611, z = 223.6206, angle = -35.95977, collision = h2800B1
x = 353.2313, y = -383.7611, z = 222.7479, angle = -35.66301, collision = h2800B1
x = 354.0906, y = -383.7611, z = 221.5541, angle = -35.18121, collision = h2800B1
x = 354.7017, y = -383.7611, z = 220.6912, angle = -34.86648, collision = h0028B1
x = 355.5552, y = -383.5372, z = 219.4698, angle = -61.59399, collision = h0028B1
x = 356.5438, y = -383.5009, z = 218.6769, angle = -78.71435, collision = h0028B1
x = 357.6848, y = -383.4909, z = 218.3859, angle = -98.93715, collision = h0028B1
x = 358.9818, y = -383.4481, z = 218.4465, angle = -114.3121, collision = h0028B1
x = 360.2605, y = -383.5916, z = 218.9844, angle = -113.4797, collision = h0028B1
x = 361.415, y = -383.7611, z = 219.4799, angle = -50.63184, collision = h2800B1
x = 362.4302, y = -383.5118, z = 219.107, angle = 24.9424, collision = h0028B1
x = 362.0396, y = -383.3111, z = 217.7312, angle = 48.08055, collision = h0028B1
x = 361.1736, y = -383.3111, z = 216.9437, angle = 94.09347, collision = h0028B1
x = 359.9598, y = -383.3111, z = 216.7533, angle = 166.4583, collision = h0028B1
x = 362.9264, y = -383.3111, z = 217.2477, angle = 33.00439, collision = h0028B1
x = 362.4371, y = -383.3111, z = 216.2226, angle = 17.18657, collision = h0028B1
x = 361.9027, y = -383.3111, z = 215.0348, angle = -44.27643, collision = h0028B1
x = 362.6824, y = -383.3681, z = 213.9478, angle = -101.7248, collision = h0028B1
x = 364.05, y = -383.4749, z = 213.9739, angle = -112.6875, collision = h0028B1
x = 365.2156, y = -383.54, z = 214.3929, angle = -48.49749, collision = h0028B1
x = 366.2409, y = -383.3461, z = 213.5904, angle = 15.06849, collision = h0028B1
x = 366.0302, y = -383.312, z = 212.3998, angle = 7.256885, collision = h0028B1
x = 365.8216, y = -383.3575, z = 211.3245, angle = -58.3976, collision = h0028B1
x = 366.7392, y = -383.3118, z = 210.5355, angle = -114.5869, collision = h0028B1
x = 367.931, y = -383.3117, z = 211.0122, angle = -140.9829, collision = h0028B1
x = 368.8462, y = -383.3117, z = 211.9816, angle = -141.583, collision = h0028B1
x = 369.6339, y = -383.3117, z = 212.9762, angle = -131.1185, collision = h0028B1
x = 370.6721, y = -383.4742, z = 213.8683, angle = -78.80806, collision = h0028B1
x = 371.8322, y = -383.3115, z = 213.8396, angle = -27.71043, collision = h0028B1
x = 372.4982, y = -383.3114, z = 212.9124, angle = 8.898794, collision = h0028B1
x = 372.3633, y = -383.3114, z = 211.7068, angle = 66.62892, collision = h0028B1
x = 371.1799, y = -383.3115, z = 211.0602, angle = 65.92976, collision = h0028B1
x = 370.0577, y = -383.3115, z = 210.501, angle = 0.6416826, collision = h0028B1
x = 369.9034, y = -383.3115, z = 209.2428, angle = -39.90705, collision = h0028B1
x = 370.498, y = -383.3111, z = 208.2837, angle = -73.94543, collision = h0028B1
x = 371.7502, y = -383.3112, z = 207.8452, angle = -98.03469, collision = h0028B1
x = 373.1563, y = -383.3112, z = 207.9897, angle = -125.0405, collision = h0028B1
x = 374.0612, y = -383.3111, z = 208.5798, angle = -126.2654, collision = h0028B1
x = 375.2715, y = -383.4112, z = 209.4255, angle = -102.3927, collision = h0028B1
x = 376.2975, y = -383.4223, z = 209.7246, angle = -61.39392, collision = h0028B1
x = 377.4859, y = -383.3246, z = 209.136, angle = -10.4618, collision = h0028B1
x = 377.7859, y = -383.3111, z = 207.8969, angle = -29.96724, collision = h0028B1
x = 378.3616, y = -383.3232, z = 206.685, angle = -59.86423, collision = h0028B1
