x = 971.6805, y = -310.505, z = 569.1203, angle = 174.9162, collision = h0035B1
x = 969.5677, y = -313.7158, z = 583.9401, angle = -84.1998, collision = h0035B1
x = 971.0482, y = -313.9279, z = 583.9285, angle = -96.10217, collision = h0035B1
x = 972.3085, y = -313.924, z = 584.0051, angle = -36.82181, collision = h0035B1
x = 976.2354, y = -313.2983, z = 582.7372, angle = -179.2599, collision = h3503B1
x = 976.3087, y = -313.1632, z = 584.051, angle = -175.7561, collision = h3503B1
x = 976.4245, y = -313.2287, z = 585.3058, angle = -169.9317, collision = h0035B1
x = 976.1329, y = -313.2986, z = 586.2637, angle = 160.0972, collision = h0035B1
x = 975.8356, y = -313.3374, z = 587.2191, angle = -162.2422, collision = h0035B1
x = 976.7287, y = -313.334, z = 588.2888, angle = -126.004, collision = h0035B1
x = 977.9288, y = -313.1104, z = 589.1596, angle = -125.6546, collision = h0035B1
x = 979.0039, y = -312.955, z = 589.9301, angle = -125.2053, collision = h0035B1
x = 980.2502, y = -312.959, z = 590.7381, angle = -114.426, collision = h0035B1
x = 981.4589, y = -312.9415, z = 591.2739, angle = -103.4983, collision = h0035B1
x = 982.8427, y = -312.9503, z = 591.7744, angle = -148.5908, collision = h0035B1
x = 983.5129, y = -312.955, z = 592.9058, angle = -157.7444, collision = h0035B1
x = 983.7819, y = -312.955, z = 593.9161, angle = 140.9457, collision = h0035B1
x = 983.0999, y = -312.955, z = 594.8942, angle = 156.0092, collision = h0035B1
x = 982.5954, y = -312.955, z = 596.0246, angle = 158.239, collision = h0035B1
x = 982.0829, y = -312.955, z = 597.4201, angle = 167.3922, collision = h0035B1
x = 981.8873, y = -313.0037, z = 598.707, angle = -177.5665, collision = h0035B1
x = 981.0163, y = -313.0869, z = 599.2212, angle = 72.80388, collision = h0035B1
x = 979.6152, y = -313.5925, z = 598.7598, angle = 64.80495, collision = h3502B1
x = 978.4187, y = -314.0868, z = 598.196, angle = 64.29073, collision = h3502B1
x = 977.0298, y = -314.6038, z = 597.7021, angle = 109.7599, collision = h3502B1
x = 975.9491, y = -314.9059, z = 598.0033, angle = 100.9607, collision = h3502B1
x = 974.5117, y = -314.9824, z = 598.356, angle = 93.06547, collision = h3502B1
x = 973.1965, y = -314.9867, z = 598.3794, angle = 63.68251, collision = h3502B1
x = 971.9657, y = -314.9198, z = 597.5992, angle = 11.19707, collision = h3502B1
x = 971.7549, y = -314.7795, z = 596.3352, angle = 0.50262, collision = h3502B1
x = 971.7095, y = -314.6115, z = 594.9857, angle = 14.06514, collision = h3502B1
x = 971.4671, y = -314.4532, z = 593.986, angle = 11.45177, collision = h3502B1
x = 971.1703, y = -314.2326, z = 592.6346, angle = 31.06501, collision = h3502B1
x = 970.4659, y = -313.9658, z = 591.4559, angle = 42.96597, collision = h3502B1
x = 969.3999, y = -313.7096, z = 590.4321, angle = 74.01031, collision = h0035B1
x = 968.131, y = -313.4923, z = 590.0901, angle = 95.90713, collision = h0035B1
x = 966.6475, y = -313.3527, z = 590.1638, angle = 82.65834, collision = h0035B1
x = 965.3354, y = -313.0371, z = 590.0022, angle = 89.61045, collision = h0035B1
x = 963.8981, y = -312.9577, z = 590.1948, angle = 126.3774, collision = h0035B1
x = 962.8445, y = -312.9534, z = 590.9921, angle = 129.7408, collision = h0035B1
x = 962.3132, y = -312.953, z = 591.9549, angle = 142.8833, collision = h0035B1
x = 961.3482, y = -312.9533, z = 592.7751, angle = 78.12926, collision = h0035B1
x = 960.3329, y = -312.955, z = 592.8275, angle = 135.8716, collision = h0035B1
x = 959.3234, y = -312.955, z = 593.151, angle = 65.92131, collision = h0035B1
x = 958.563, y = -312.955, z = 592.4771, angle = -13.13772, collision = h0035B1
x = 958.2341, y = -312.955, z = 591.4455, angle = 28.38042, collision = h0035B1
x = 960.3859, y = -312.955, z = 594.1903, angle = 168.3747, collision = h0035B1
x = 960.323, y = -312.9548, z = 595.5386, angle = -139.6275, collision = h0035B1
x = 961.1781, y = -312.9549, z = 596.6172, angle = -164.8221, collision = h0035B1
x = 961.5898, y = -312.9555, z = 597.9193, angle = -125.655, collision = h0035B1
x = 962.7796, y = -313.1063, z = 598.458, angle = -29.21683, collision = h0035B1
x = 963.424, y = -313.1214, z = 597.3279, angle = -37.43535, collision = h0035B1
x = 964.4086, y = -313.2258, z = 596.4369, angle = -109.4396, collision = h0035B1
x = 965.5122, y = -313.6647, z = 596.735, angle = -126.0884, collision = h3502B1
x = 966.4993, y = -314.4224, z = 597.3714, angle = -138.5691, collision = h3502B1
x = 967.3578, y = -314.9224, z = 598.3715, angle = -117.5996, collision = h3502B1
x = 968.6855, y = -315.0321, z = 598.9199, angle = -89.46781, collision = h3502B1
x = 970.0068, y = -315.0287, z = 598.877, angle = -82.29879, collision = h3502B1
x = 971.4839, y = -315.0142, z = 598.7067, angle = -105.0768, collision = h3502B1
x = 973.7205, y = -315.0656, z = 599.2813, angle = -115.314, collision = h3502B1
x = 975.0565, y = -315.065, z = 599.9323, angle = -116.3059, collision = h3502B1
x = 976.2195, y = -315.0193, z = 600.5613, angle = -120.0896, collision = h3502B1
x = 977.4877, y = -314.9407, z = 601.3378, angle = -129.3659, collision = h3502B1
x = 978.4935, y = -314.8807, z = 602.1939, angle = -142.3792, collision = h3502B1
x = 979.3555, y = -314.7961, z = 603.4001, angle = -161.7795, collision = h3502B1
x = 979.7408, y = -314.7127, z = 604.6588, angle = 135.0856, collision = h3502B1
x = 978.9339, y = -314.8565, z = 605.2746, angle = 49.67583, collision = h3502B1
x = 977.7453, y = -314.9387, z = 604.3858, angle = 76.58676, collision = h3502B1
x = 976.5537, y = -315.0326, z = 604.4131, angle = 152.4717, collision = h3502B1
x = 975.8032, y = -315.1378, z = 605.6952, angle = 123.538, collision = h3502B1
x = 974.5126, y = -315.2388, z = 606.1644, angle = 57.18892, collision = h3502B1
x = 973.4029, y = -315.2383, z = 605.4564, angle = 50.0073, collision = h3502B1
x = 972.3813, y = -315.2022, z = 604.6064, angle = 51.26498, collision = h3502B1
x = 971.1755, y = -315.1598, z = 603.7414, angle = 66.17854, collision = h3502B1
x = 969.8027, y = -315.127, z = 603.1718, angle = 72.27151, collision = h3502B1
x = 968.5389, y = -315.0919, z = 602.784, angle = 96.44447, collision = h3502B1
x = 967.2311, y = -315.0392, z = 602.9374, angle = 112.8439, collision = h3502B1
x = 965.9597, y = -314.9756, z = 603.6469, angle = 167.6039, collision = h3502B1
x = 965.9003, y = -315.0239, z = 605.0406, angle = -98.13363, collision = h3502B1
x = 967.153, y = -315.1412, z = 605.2846, angle = -98.97768, collision = h3502B1
x = 968.581, y = -315.2383, z = 605.6115, angle = -128.0599, collision = h3502B1
x = 969.6417, y = -315.3314, z = 606.4012, angle = -122.9343, collision = h3502B1
x = 970.9022, y = -315.4298, z = 607.1906, angle = -105.8905, collision = h3502B1
x = 972.1688, y = -315.4398, z = 607.5419, angle = -117.8933, collision = h3502B1
x = 973.4866, y = -315.4236, z = 608.2182, angle = -130.8724, collision = h3502B1
x = 974.3946, y = -315.378, z = 609.1506, angle = 179.4691, collision = h3502B1
x = 974.2208, y = -315.5149, z = 610.566, angle = 91.91082, collision = h3502B1
x = 972.9669, y = -315.6833, z = 610.7463, angle = 84.86594, collision = h3502B1
x = 971.4889, y = -315.7562, z = 610.5778, angle = 88.06324, collision = h3502B1
x = 970.1718, y = -315.751, z = 610.5156, angle = 93.17827, collision = h3502B1
x = 968.7856, y = -315.7476, z = 610.8748, angle = 175.3879, collision = h3502B1
x = 968.7537, y = -315.9141, z = 612.1622, angle = -157.0321, collision = h3502B1
x = 969.5635, y = -316.0743, z = 613.3724, angle = -126.0764, collision = h3502B1
x = 970.5895, y = -316.1708, z = 614.1984, angle = 152.9256, collision = h3502B1
x = 969.8776, y = -316.2742, z = 615.2121, angle = 106.0427, collision = h3502B1
x = 968.8821, y = -316.3424, z = 615.8117, angle = -141.6298, collision = h3502B1
x = 969.846, y = -316.4374, z = 616.8369, angle = -136.5877, collision = h3502B1
x = 970.6044, y = -316.5232, z = 617.8138, angle = 146.9936, collision = h3502B1
x = 969.8684, y = -316.6679, z = 619.0964, angle = -178.5429, collision = h3502B1
x = 969.9719, y = -316.7909, z = 620.3317, angle = -103.3396, collision = h3502B1
x = 971.3724, y = -316.8419, z = 620.6533, angle = -134.886, collision = h3502B1
x = 972.2127, y = -316.9688, z = 621.5399, angle = -154.7944, collision = h3502B1
x = 972.7871, y = -317.1597, z = 622.5135, angle = -129.6005, collision = h3502B1
x = 978.9376, y = -318.7338, z = 636.2328, angle = -177.8943, collision = h0068B1
x = 979.1382, y = -318.8545, z = 637.5163, angle = -142.9005, collision = h0068B1
x = 979.9597, y = -319.0269, z = 638.6126, angle = -140.2404, collision = h0068B1
x = 981.1799, y = -319.3163, z = 638.8347, angle = -82.88469, collision = h0068B1
x = 982.6485, y = -319.383, z = 638.8177, angle = 167.9424, collision = h0068B1
x = 981.855, y = -319.4515, z = 639.933, angle = 145.0514, collision = h0068B1
x = 981.0253, y = -319.512, z = 641.1598, angle = 163.8768, collision = h0068B1
x = 979.971, y = -319.5887, z = 641.5724, angle = 29.92679, collision = h0068B1
x = 979.3031, y = -319.4459, z = 640.4342, angle = 57.88076, collision = h0068B1
x = 978.0821, y = -319.1899, z = 640.0568, angle = 151.2469, collision = h0068B1
x = 977.5353, y = -319.4653, z = 641.1938, angle = -164.9263, collision = h0068B1
x = 978.0463, y = -319.6729, z = 642.5434, angle = -143.5233, collision = h0068B1
x = 978.9116, y = -319.7147, z = 643.7342, angle = -144.1829, collision = h0068B1
x = 979.6628, y = -319.6708, z = 644.8219, angle = -161.8134, collision = h0068B1
x = 980.1042, y = -319.6127, z = 646.0672, angle = -161.6144, collision = h0068B1
x = 980.5758, y = -319.62, z = 647.4786, angle = -160.831, collision = h0068B1
x = 981.0161, y = -319.6224, z = 648.7258, angle = -154.3569, collision = h0068B1
x = 981.4465, y = -319.6, z = 649.6599, angle = -154.3506, collision = h0068B1
x = 982.0298, y = -319.6376, z = 650.8743, angle = -154.2596, collision = h0068B1
x = 982.6793, y = -319.6528, z = 652.2198, angle = -154.4612, collision = h0068B1
x = 983.2499, y = -319.6637, z = 653.4131, angle = -154.14, collision = h0068B1
x = 983.9003, y = -319.8058, z = 654.7517, angle = -153.6797, collision = h0068B1
x = 984.4874, y = -319.7157, z = 655.9369, angle = -153.1903, collision = h0068B1
x = 985.1602, y = -319.6263, z = 657.2641, angle = -152.5596, collision = h0068B1
x = 985.7516, y = -319.6306, z = 658.4469, angle = -154.8017, collision = h0068B1
x = 986.3859, y = -319.6354, z = 659.7931, angle = -154.5639, collision = h0068B1
x = 986.8951, y = -319.7212, z = 661.0122, angle = -160.6393, collision = h0068B1
x = 987.386, y = -319.8639, z = 662.4169, angle = -161.4651, collision = h0068B1
x = 987.8149, y = -319.7485, z = 663.668, angle = -159.14, collision = h0068B1
x = 988.3453, y = -319.7173, z = 665.0649, angle = -159.0871, collision = h0068B1
x = 988.8409, y = -319.7292, z = 666.2904, angle = -154.8515, collision = h0068B1
x = 989.4725, y = -319.5724, z = 667.6373, angle = -158.3801, collision = h0068B1
x = 989.9725, y = -319.5744, z = 668.8616, angle = -155.8701, collision = h0068B1
x = 990.5883, y = -319.5618, z = 670.2162, angle = -146.2283, collision = h0068B1
x = 991.409, y = -319.4854, z = 671.218, angle = -112.4618, collision = h0048B1
x = 992.8473, y = -319.0535, z = 671.5524, angle = -66.48537, collision = h0048B1
x = 993.5721, y = -318.4581, z = 671.2875, angle = -54.99561, collision = h0048B1
x = 994.6302, y = -318.0108, z = 671.5966, angle = -152.5785, collision = h0048B1
x = 995.2812, y = -317.9233, z = 672.4515, angle = -134.2914, collision = h0048B1
x = 996.3134, y = -317.6133, z = 673.4843, angle = -166.1997, collision = h0048B1
x = 996.3879, y = -317.617, z = 674.6318, angle = 100.9324, collision = h0048B1
x = 995.0542, y = -318.0266, z = 674.9373, angle = 79.09864, collision = h0048B1
x = 993.8557, y = -318.1355, z = 674.6397, angle = 79.09864, collision = h0048B1
x = 993.2705, y = -318.0737, z = 675.6652, angle = -168.5393, collision = h0048B1
x = 993.2311, y = -317.8246, z = 677.0703, angle = 80.75004, collision = h0048B1
x = 991.9808, y = -317.9803, z = 676.915, angle = 22.41592, collision = h0048B1
x = 991.3907, y = -318.3186, z = 675.7054, angle = 8.496618, collision = h0048B1
x = 991.2468, y = -318.6861, z = 674.3151, angle = 51.83831, collision = h0048B1
x = 990.1427, y = -318.9817, z = 674.0687, angle = 152.319, collision = h0048B1
x = 989.5085, y = -318.6024, z = 675.3966, angle = -156.8526, collision = h0048B1
x = 989.8361, y = -318.2869, z = 676.5471, angle = -156.8526, collision = h0048B1
x = 988.7435, y = -318.1904, z = 677.2568, angle = 149.9018, collision = h0048B1
x = 988.1917, y = -318.0399, z = 678.3896, angle = -109.3937, collision = h0048B1
x = 989.5285, y = -318.0599, z = 678.6503, angle = -27.76017, collision = h0048B1
x = 990.8708, y = -318.118, z = 676.8948, angle = -84.64701, collision = h0048B1
x = 994.1489, y = -317.8689, z = 676.4748, angle = -80.23668, collision = h0048B1
x = 995.4518, y = -317.6696, z = 676.2469, angle = -74.59243, collision = h0048B1
x = 996.852, y = -317.4997, z = 675.7695, angle = -59.8287, collision = h0048B1
x = 998.0181, y = -317.5848, z = 675.1474, angle = -84.02522, collision = h0048B1
x = 999.4906, y = -317.7122, z = 675.0283, angle = -94.85367, collision = h0048B1
x = 1000.808, y = -317.7969, z = 675.1496, angle = -96.3856, collision = h0048B1
x = 1002.244, y = -317.7407, z = 675.0059, angle = -51.77552, collision = h0048B1
x = 1003.281, y = -317.8937, z = 674.1847, angle = -58.12629, collision = h0048B1
x = 1004.604, y = -317.9558, z = 673.6082, angle = -99.86565, collision = h0048B1
x = 1005.912, y = -317.9207, z = 673.7917, angle = -81.16979, collision = h0048B1
x = 1007.381, y = -317.8079, z = 673.5717, angle = -78.17131, collision = h0048B1
x = 1008.676, y = -317.748, z = 673.301, angle = -91.5552, collision = h0048B1
x = 1010.156, y = -317.7003, z = 673.312, angle = -92.19087, collision = h0048B1
x = 1011.642, y = -317.4774, z = 673.3529, angle = -78.76351, collision = h0048B1
x = 1012.943, y = -317.2987, z = 673.1217, angle = -84.16734, collision = h0048B1
x = 1014.258, y = -317.0814, z = 673.01, angle = -98.46276, collision = h0048B1
x = 1015.698, y = -316.5603, z = 673.3207, angle = 172.8312, collision = h0048B1
x = 1015.431, y = -316.2499, z = 674.6373, angle = 141.6667, collision = h0048B1
x = 1014.51, y = -316.075, z = 675.3989, angle = 176.658, collision = h0048B1
x = 1014.469, y = -315.5716, z = 676.5826, angle = -150.0394, collision = h0048B1
x = 1015.19, y = -315.1614, z = 677.8023, angle = -135.7935, collision = h0048B1
x = 1015.741, y = -314.6422, z = 678.8973, angle = 131.2097, collision = h0048B1
x = 1014.68, y = -314.4558, z = 679.9182, angle = 156.5882, collision = h0048B1
x = 1014.209, y = -314.113, z = 681.1389, angle = -148.0077, collision = h0048B1
x = 1014.97, y = -313.8121, z = 682.382, angle = -156.0453, collision = h0048B1
x = 1015.533, y = -313.4547, z = 683.5693, angle = -177.3364, collision = h0048B1
x = 1015.624, y = -313.009, z = 685.0524, angle = -168.4712, collision = h0048B1
x = 1015.596, y = -312.7136, z = 686.3695, angle = 83.69517, collision = h0048B1
x = 1014.423, y = -312.7274, z = 686.368, angle = 37.15074, collision = h0048B1
x = 1013.597, y = -312.8382, z = 685.3434, angle = 79.46962, collision = h0048B1
x = 1012.546, y = -312.6353, z = 684.9656, angle = 84.41731, collision = h0048B1
x = 1011.67, y = -312.6687, z = 684.1161, angle = 9.326487, collision = h0048B1
x = 1011.264, y = -312.7597, z = 682.6973, angle = 40.95791, collision = h0048B1
x = 1010.289, y = -312.8323, z = 681.8323, angle = 69.43627, collision = h0048B1
x = 1008.903, y = -312.922, z = 681.3093, angle = 68.08844, collision = h0048B1
x = 1007.676, y = -312.8766, z = 680.8149, angle = 34.07114, collision = h0048B1
x = 1007.021, y = -312.8996, z = 679.6002, angle = -22.08794, collision = h0048B1
x = 1007.826, y = -312.9102, z = 678.5261, angle = -124.095, collision = h0048B1
x = 1008.905, y = -312.9242, z = 679.1695, angle = -156.5225, collision = h0048B1
x = 1008.992, y = -313.0182, z = 678.1628, angle = 67.11935, collision = h0048B1
x = 1007.115, y = -312.9767, z = 677.6691, angle = 111.0012, collision = h0048B1
x = 1005.907, y = -312.9627, z = 678.1698, angle = 141.9291, collision = h0048B1
x = 1005.056, y = -313.0038, z = 679.1052, angle = 134.031, collision = h0048B1
x = 1004.208, y = -313.0359, z = 680.3232, angle = 125.9904, collision = h0048B1
x = 1003.283, y = -313.0587, z = 680.9529, angle = 58.16254, collision = h0048B1
x = 1002.204, y = -313.1003, z = 680.3263, angle = 56.47774, collision = h0048B1
x = 1000.923, y = -312.9887, z = 679.4658, angle = 56.67699, collision = h0048B1
x = 1000.006, y = -312.8576, z = 678.8563, angle = 77.11839, collision = h0048B1
x = 998.6905, y = -312.7482, z = 678.5925, angle = 94.0985, collision = h0048B1
x = 997.3646, y = -312.7861, z = 678.6639, angle = 98.93571, collision = h0048B1
x = 996.3118, y = -312.6378, z = 678.8252, angle = 104.0048, collision = h0048B1
x = 995.1542, y = -312.6158, z = 679.116, angle = 110.4113, collision = h0048B1
x = 993.7137, y = -312.6496, z = 679.6044, angle = 89.65775, collision = h0048B1
x = 992.4106, y = -312.6112, z = 679.6202, angle = 104.4795, collision = h0048B1
x = 991.3875, y = -312.8256, z = 679.9088, angle = 125.3092, collision = h0048B1
x = 990.3516, y = -312.9678, z = 680.6375, angle = 133.4992, collision = h0048B1
x = 989.3591, y = -312.892, z = 681.7663, angle = 176.1107, collision = h0048B1
x = 989.5215, y = -312.7616, z = 682.9774, angle = -99.01367, collision = h0048B1
x = 990.5666, y = -312.707, z = 683.2266, angle = -79.58884, collision = h0048B1
x = 991.5804, y = -312.6141, z = 683.7733, angle = -149.1562, collision = h0048B1
x = 992.2821, y = -312.5325, z = 684.9449, angle = -140.0907, collision = h0048B1
x = 993.2829, y = -312.4636, z = 686.0323, angle = -122.8137, collision = h0048B1
x = 994.3954, y = -312.4683, z = 686.7479, angle = -122.2613, collision = h0048B1
x = 995.6533, y = -312.5244, z = 687.5429, angle = -121.665, collision = h0048B1
x = 996.7995, y = -312.5665, z = 688.1998, angle = -106.1846, collision = h0048B1
x = 998.2287, y = -312.6154, z = 688.6128, angle = -104.4581, collision = h0048B1
x = 999.5107, y = -312.6653, z = 688.9383, angle = -120.7995, collision = h0048B1
x = 1000.752, y = -312.6991, z = 689.7167, angle = -132.3987, collision = h0048B1
x = 1001.743, y = -312.8355, z = 690.5923, angle = -120.8552, collision = h0048B1
x = 1003.069, y = -312.9437, z = 691.2039, angle = -96.28712, collision = h0048B1
x = 1004.383, y = -312.9344, z = 691.3527, angle = -91.75553, collision = h0048B1
x = 1005.868, y = -312.89, z = 691.4413, angle = -96.32198, collision = h0048B1
x = 1007.188, y = -312.8312, z = 691.4969, angle = -77.86337, collision = h0048B1
x = 1008.64, y = -312.7222, z = 691.1805, angle = -66.08266, collision = h0048B1
x = 1009.807, y = -312.7399, z = 690.6031, angle = -41.59315, collision = h0048B1
x = 1010.885, y = -312.726, z = 689.5966, angle = -115.7719, collision = h0048B1
x = 1012.023, y = -312.6199, z = 690.1154, angle = -142.789, collision = h0048B1
x = 1012.903, y = -312.3578, z = 691.3145, angle = -132.7566, collision = h0048B1
x = 1013.843, y = -312.201, z = 692.24, angle = -123.1366, collision = h0048B1
x = 1015.104, y = -311.9774, z = 693.0235, angle = -113.7428, collision = h0048B1
x = 1016.309, y = -311.8172, z = 693.569, angle = -132.0391, collision = h0048B1
x = 1017.356, y = -311.6505, z = 694.594, angle = -150.1762, collision = h0048B1
x = 1017.886, y = -311.5325, z = 695.7831, angle = 152.5019, collision = h0048B1
x = 1017.058, y = -311.5678, z = 696.899, angle = 142.0792, collision = h0048B1
x = 1016.498, y = -311.5797, z = 697.8929, angle = -154.7781, collision = h0048B1
x = 1017.367, y = -311.4295, z = 698.9932, angle = -89.34674, collision = h0048B1
x = 1018.672, y = -311.3022, z = 699.1052, angle = -144.635, collision = h0048B1
x = 1019.278, y = -311.2082, z = 700.3959, angle = 142.7883, collision = h0048B1
x = 1018.482, y = -311.2687, z = 701.3238, angle = 105.76, collision = h0048B1
x = 1017.287, y = -311.4337, z = 702.0681, angle = 174.1082, collision = h0048B1
x = 1017.25, y = -311.3799, z = 703.3648, angle = -116.1687, collision = h0048B1
x = 1018.519, y = -311.131, z = 704.0621, angle = -130.7334, collision = h0048B1
x = 1019.515, y = -310.9054, z = 704.8643, angle = -168.5557, collision = h0048B1
x = 1019.606, y = -310.9821, z = 706.2671, angle = 127.0661, collision = h0048B1
x = 1018.575, y = -311.0215, z = 707.0763, angle = 161.5474, collision = h0048B1
x = 1018.256, y = -311.0528, z = 708.441, angle = -163.3297, collision = h0048B1
x = 1018.775, y = -311.0042, z = 709.6196, angle = -127.1234, collision = h0048B1
x = 1019.771, y = -310.8804, z = 710.6844, angle = -168.0684, collision = h0048B1
x = 1020.079, y = -310.7606, z = 711.9692, angle = 162.4918, collision = h0048B1
x = 1019.63, y = -310.4122, z = 713.3481, angle = 142.389, collision = h0048B1
x = 1018.959, y = -310.1519, z = 714.4779, angle = 164.7912, collision = h0048B1
x = 1018.757, y = -310.0232, z = 715.9086, angle = -165.0806, collision = h0048B1
x = 1019.092, y = -310.0302, z = 717.1612, angle = 179.9145, collision = h0048B1
x = 1019.083, y = -310.1381, z = 718.4765, angle = 159.2265, collision = h0045B1
x = 1018.64, y = -309.9524, z = 719.5873, angle = 131.7806, collision = h0045B1
x = 1017.374, y = -310.0839, z = 720.4099, angle = 61.68942, collision = h0045B1
x = 1016.18, y = -309.9457, z = 719.8298, angle = 58.5392, collision = h0045B1
x = 1015.33, y = -309.9915, z = 719.2392, angle = 66.51788, collision = h0048B1
x = 1014.414, y = -310.13, z = 718.8184, angle = 55.86069, collision = h0048B1
x = 1013.465, y = -309.9376, z = 718.0981, angle = 29.48851, collision = h0048B1
x = 1012.909, y = -309.8501, z = 717.1339, angle = 21.4963, collision = h0048B1
x = 1012.229, y = -310.1085, z = 715.9423, angle = 47.92211, collision = h0048B1
x = 1011.227, y = -310.3983, z = 715.079, angle = 47.61824, collision = h0048B1
x = 1010.116, y = -310.8327, z = 714.0803, angle = 47.69143, collision = h0048B1
x = 1009.151, y = -311.3042, z = 713.1763, angle = 44.93727, collision = h0048B1
x = 1008.438, y = -311.5657, z = 712.4604, angle = 32.99972, collision = h0048B1
x = 1007.785, y = -311.6697, z = 711.3394, angle = 4.061094, collision = h0048B1
x = 1007.652, y = -311.9012, z = 709.8595, angle = 18.23434, collision = h0048B1
x = 1007.279, y = -312.2119, z = 708.5924, angle = 18.07686, collision = h0048B1
x = 1006.817, y = -312.4601, z = 707.1776, angle = 18.29458, collision = h0048B1
x = 1006.501, y = -312.5323, z = 706.2178, angle = 18.11205, collision = h0048B1
x = 1006.101, y = -312.5678, z = 704.9701, angle = 17.36141, collision = h0048B1
x = 1005.673, y = -312.6841, z = 703.5453, angle = -2.158149, collision = h0048B1
x = 1005.769, y = -312.8866, z = 702.2521, angle = -25.95054, collision = h0048B1
x = 1006.4, y = -313.1707, z = 700.9056, angle = 1.725934, collision = h0048B1
x = 1006.341, y = -313.1768, z = 699.6077, angle = 34.94642, collision = h0048B1
x = 1004.916, y = -312.986, z = 698.4143, angle = 18.52321, collision = h0048B1
x = 1004.43, y = -312.8824, z = 697.259, angle = -3.500117, collision = h0048B1
x = 1004.552, y = -312.8402, z = 695.779, angle = -10.28129, collision = h0048B1
x = 1004.815, y = -312.8961, z = 694.4842, angle = -25.4945, collision = h0048B1
x = 1005.555, y = -313.0135, z = 693.2067, angle = -33.31723, collision = h0048B1
x = 999.9575, y = -312.7402, z = 690.6476, angle = 157.8177, collision = h0048B1
x = 999.4014, y = -312.8422, z = 691.7185, angle = 118.6406, collision = h0048B1
x = 998.0672, y = -312.8717, z = 692.4187, angle = 109.1395, collision = h0048B1
x = 996.8788, y = -312.8396, z = 692.887, angle = 146.3824, collision = h0048B1
x = 996.0306, y = -312.7877, z = 694.0737, angle = 163.1687, collision = h0048B1
x = 995.6642, y = -312.692, z = 695.5533, angle = -173.3911, collision = h0048B1
x = 995.855, y = -312.652, z = 696.9185, angle = -152.8965, collision = h0048B1
x = 996.2938, y = -312.644, z = 697.8257, angle = -149.4961, collision = h0048B1
x = 997.0368, y = -312.647, z = 698.9182, angle = -135.8793, collision = h0048B1
x = 998.0759, y = -312.6687, z = 699.9833, angle = -135.9587, collision = h0048B1
x = 999.0001, y = -312.688, z = 700.9296, angle = -142.2861, collision = h0048B1
x = 999.8958, y = -312.6838, z = 702.1108, angle = -148.7783, collision = h0048B1
x = 1000.58, y = -312.6012, z = 703.2426, angle = -149.5675, collision = h0048B1
x = 1001.383, y = -312.507, z = 704.4923, angle = -137.6332, collision = h0048B1
x = 1002.274, y = -312.3882, z = 705.4695, angle = -137.7711, collision = h0048B1
x = 1003.275, y = -312.2484, z = 706.5706, angle = -137.4093, collision = h0048B1
x = 1004.171, y = -312.1176, z = 707.5438, angle = -138.726, collision = h0048B1
x = 1005.157, y = -312.0125, z = 708.6579, angle = -137.5902, collision = h0048B1
x = 1006.025, y = -311.8552, z = 709.6548, angle = -150.0827, collision = h0048B1
x = 1006.775, y = -311.7359, z = 710.9398, angle = -150.4646, collision = h0048B1
x = 1015.972, y = -310.0802, z = 720.8456, angle = -142.299, collision = h0045B1
x = 1016.773, y = -310.2205, z = 721.8823, angle = -148.9721, collision = h0045B1
x = 1017.479, y = -310.301, z = 723.1316, angle = -165.6317, collision = h0045B1
