# Shanty
x = -217.4494, y = -95.5304, z = -26.17444, angle = 66.58151, collision = h0000B0
x = -229.8928, y = -115.6702, z = -31.55755, angle = -165.5912, collision = h0001B0
x = -229.4256, y = -115.8146, z = -30.52215, angle = -167.4701, collision = h0001B0
x = -229.4813, y = -116.1776, z = -29.42014, angle = 162.915, collision = h0001B0
x = -229.6642, y = -116.5214, z = -28.29884, angle = -157.932, collision = h0001B0
x = -229.2463, y = -116.9003, z = -27.25798, angle = -156.5368, collision = h0001B0
x = -228.8092, y = -117.4165, z = -26.37532, angle = -148.808, collision = h0001B0
x = -228.7792, y = -117.9668, z = -25.36327, angle = 139.7647, collision = h0001B0
x = -228.8315, y = -118.4953, z = -24.29827, angle = -123.7132, collision = h0001B0
x = -229.1279, y = -118.9007, z = -23.28334, angle = 102.1426, collision = h0001B0
x = -230.3298, y = -119.3514, z = -22.66645, angle = -115.6284, collision = h0001B0
x = -229.3557, y = -119.4852, z = -22.10719, angle = -140.0579, collision = h0001B0
x = -228.8806, y = -119.9561, z = -21.10097, angle = -167.7113, collision = h0001B0
x = -229.0325, y = -120.3321, z = -20.08927, angle = 117.2622, collision = h0001B0
x = -229.9834, y = -120.7362, z = -19.4307, angle = 177.2646, collision = h0001B0
x = -229.8378, y = -121.0233, z = -18.33792, angle = -171.3441, collision = h0001B0
x = -230.3286, y = -121.164, z = -17.33911, angle = 104.4169, collision = h0001B0
x = -231.4234, y = -121.2562, z = -17.10698, angle = 146.1758, collision = h0001B0
x = -231.7605, y = -121.2562, z = -16.07181, angle = -179.4703, collision = h0001B0
x = -231.7308, y = -121.2562, z = -14.90779, angle = 128.0222, collision = h0001B0
x = -232.6411, y = -121.2562, z = -14.31285, angle = 113.8776, collision = h0001B0
x = -233.5053, y = -121.2562, z = -13.67487, angle = 137.2872, collision = h0001B0
x = -234.1148, y = -121.2562, z = -14.51596, angle = 120.2012, collision = h0001B0
x = -233.4143, y = -121.2562, z = -12.49976, angle = 146.6533, collision = h0001B0
x = -234.4676, y = -121.2562, z = -13.31934, angle = 61.57738, collision = h0001B0
x = -235.7657, y = -121.2645, z = -13.90827, angle = 103.5633, collision = h0002B0
x = -236.7961, y = -121.2702, z = -13.69262, angle = 179.9558, collision = h0002B0
x = -236.0261, y = -121.2702, z = -12.8609, angle = -94.75567, collision = h0002B0
x = -234.4892, y = -121.2609, z = -12.29288, angle = -175.7759, collision = h0002B0
x = -235.1099, y = -121.2702, z = -11.33297, angle = 120.5966, collision = h0002B0
x = -236.0211, y = -121.2702, z = -10.90624, angle = 104.9833, collision = h0002B0
x = -237.3742, y = -121.2702, z = -10.76486, angle = 59.22989, collision = h0002B0
x = -238.6404, y = -121.2948, z = -11.32124, angle = 169.2555, collision = h0002B0
x = -238.0848, y = -121.2948, z = -9.888724, angle = 110.7259, collision = h0002B0
x = -239.329, y = -121.2948, z = -9.64792, angle = 112.5898, collision = h0002B0
x = -240.1362, y = -121.2727, z = -8.824079, angle = -154.0445, collision = h0002B0
x = -239.5182, y = -121.2756, z = -8.034873, angle = -118.6829, collision = h0002B0
x = -238.6707, y = -121.2841, z = -7.318513, angle = -138.345, collision = h0002B0
x = -239.6425, y = -121.2616, z = -6.931183, angle = 78.03573, collision = h0002B0
x = -240.7072, y = -121.2404, z = -7.274715, angle = 62.85794, collision = h0002B0
x = -241.7546, y = -121.2404, z = -7.838127, angle = 61.35447, collision = h0002B0
x = -241.7685, y = -121.2404, z = -6.723023, angle = -150.1345, collision = h0002B0
x = -241.4754, y = -121.2404, z = -5.669452, angle = 141.8444, collision = h0002B0
x = -242.5257, y = -121.2404, z = -5.481812, angle = 48.04687, collision = h0002B0
x = -243.361, y = -121.2404, z = -6.299547, angle = 59.81236, collision = h0002B0
x = -244.1009, y = -121.243, z = -5.505035, angle = 140.8718, collision = h0002B0
x = -245.3843, y = -121.2948, z = -5.936623, angle = 40.53902, collision = h0002B0
x = -246.3172, y = -121.2948, z = -6.992582, angle = 88.68066, collision = h0002B0
x = -245.4967, y = -121.2948, z = -4.757579, angle = 171.7851, collision = h0002B0
x = -246.5786, y = -121.2948, z = -4.429426, angle = 89.42186, collision = h0002B0
x = -247.9335, y = -121.2948, z = -4.264545, angle = 135.5453, collision = h0002B0
x = -248.1187, y = -121.2948, z = -3.162247, angle = 170.4608, collision = h0002B0
x = -249.0347, y = -121.2948, z = -2.336121, angle = 104.2384, collision = h0002B0
x = -250.1171, y = -121.2428, z = -2.001761, angle = 115.2806, collision = h0002B0
x = -248.8106, y = -121.5607, z = -1.266462, angle = -98.64252, collision = h0002B0
x = -248.0051, y = -121.7437, z = -0.4172046, angle = -143.9927, collision = h0002B0
x = -247.1101, y = -121.9052, z = 0.6570649, angle = -96.99636, collision = h0002B0
x = -248.8408, y = -121.4699, z = 0.2702586, angle = 88.56149, collision = h0002B0
x = -250.0034, y = -121.1538, z = 0.2450695, angle = 99.94263, collision = h0002B0
x = -250.106, y = -121.206, z = 1.421139, angle = 164.1037, collision = h0002B0
x = -250.3628, y = -121.2494, z = 2.470774, angle = 146.6918, collision = h0002B0
x = -251.1607, y = -121.1615, z = 3.137691, angle = 130.3667, collision = h0002B0
x = -251.0046, y = -120.9524, z = 0.3961151, angle = 123.8468, collision = h0002B0
x = -251.953, y = -120.8375, z = 1.040689, angle = 129.9626, collision = h0002B0
x = -253.0909, y = -120.6991, z = 1.83929, angle = 83.14571, collision = h0002B0
x = -254.4886, y = -120.4358, z = 1.733291, angle = 165.1766, collision = h0002B0
x = -254.8307, y = -120.5061, z = 2.841594, angle = -153.3365, collision = h0002B0
x = -253.7457, y = -120.7026, z = 3.197442, angle = -50.89006, collision = h0002B0
x = -251.5531, y = -120.9949, z = 2.027452, angle = -173.3012, collision = h0002B0
x = -251.8405, y = -121.1432, z = 4.223311, angle = 131.8777, collision = h0002B0
x = -252.9155, y = -121.3686, z = 5.014975, angle = 111.4252, collision = h0002B0
x = -252.8918, y = -121.7548, z = 6.330878, angle = -146.9545, collision = h0002B0
x = -252.3554, y = -122.1833, z = 7.511291, angle = -163.2289, collision = h0002B0
x = -254.1441, y = -121.6075, z = 6.248844, angle = 25.0226, collision = h0002B0
x = -254.6942, y = -121.1906, z = 4.992222, angle = 47.73242, collision = h0002B0
x = -255.983, y = -121.086, z = 5.058836, angle = 124.8953, collision = h0002B0
x = -257.1097, y = -121.0162, z = 5.896836, angle = 134.5185, collision = h0002B0
x = -257.0275, y = -121.2244, z = 6.920479, angle = -142.6291, collision = h0002B0
x = -256.3629, y = -121.2574, z = 7.834854, angle = -158.7884, collision = h0002B0
x = -256.2486, y = -121.3977, z = 8.939776, angle = 89.9318, collision = h0002B0
x = -257.3663, y = -121.3908, z = 8.294678, angle = 58.81054, collision = h0002B0
x = -258.5242, y = -121.2665, z = 7.625773, angle = 95.01501, collision = h0002B0
x = -259.8133, y = -121.2288, z = 7.94417, angle = 131.9437, collision = h0002B0
x = -260.8958, y = -121.2996, z = 8.830015, angle = 95.14906, collision = h0002B0
x = -262.2938, y = -121.3024, z = 8.959543, angle = 128.0804, collision = h0002B0
x = -263.0634, y = -121.3217, z = 9.860983, angle = -149.4648, collision = h0002B0
x = -262.1839, y = -121.3408, z = 10.74939, angle = -51.09939, collision = h0002B0
x = -261.1473, y = -121.3216, z = 9.854309, angle = -44.56784, collision = h0002B0
x = -260.0662, y = -121.3484, z = 9.444935, angle = -112.5843, collision = h0002B0
x = -259.1018, y = -121.4004, z = 9.726963, angle = -93.21854, collision = h0002B0
x = -257.9247, y = -121.3951, z = 9.835513, angle = -104.962, collision = h0002B0
x = -259.641, y = -121.4051, z = 10.86252, angle = 147.2998, collision = h0002B0
x = -260.0894, y = -121.4129, z = 12.08939, angle = -157.8752, collision = h0002B0
x = -259.5152, y = -121.4254, z = 13.04284, angle = -138.2439, collision = h0002B0
x = -259.0617, y = -121.4228, z = 14.02276, angle = 177.2618, collision = h0002B0
x = -259.0351, y = -121.4211, z = 15.02814, angle = -121.1745, collision = h0002B0
x = -258.031, y = -121.4055, z = 15.49113, angle = -80.94692, collision = h0002B0
x = -257.5224, y = -121.5017, z = 16.52196, angle = 117.0752, collision = h0002B0
x = -260.0441, y = -121.4274, z = 14.62106, angle = 40.50305, collision = h0002B0
x = -260.9187, y = -121.4156, z = 13.52122, angle = 39.32663, collision = h0002B0
x = -261.9519, y = -121.3809, z = 12.61556, angle = 93.97815, collision = h0002B0
x = -263.3408, y = -121.379, z = 12.73313, angle = 114.6697, collision = h0002B0
x = -264.5286, y = -121.2292, z = 13.41928, angle = -175.6149, collision = h0002B0
x = -264.1874, y = -121.3894, z = 14.58784, angle = -123.6718, collision = h0002B0
x = -262.95, y = -121.4173, z = 15.23405, angle = -76.38963, collision = h0002B0
x = -261.6153, y = -121.4198, z = 14.86525, angle = -55.2318, collision = h0002B0
x = -259.1474, y = -121.4219, z = 16.05577, angle = -179.6561, collision = h0002B0
x = -259.1331, y = -121.378, z = 17.46103, angle = 125.0749, collision = h0002B0
x = -260.1519, y = -121.3194, z = 18.03998, angle = 43.70449, collision = h0002B0
x = -261.0667, y = -121.3453, z = 16.98451, angle = 31.36947, collision = h0002B0
x = -262.0001, y = -121.4282, z = 15.98701, angle = 76.36181, collision = h0002B0
x = -263.8405, y = -121.3351, z = 15.69532, angle = 126.3868, collision = h0002B0
x = -264.5155, y = -121.2847, z = 16.66669, angle = -135.854, collision = h0002B0
x = -263.5602, y = -121.244, z = 17.69066, angle = -121.8415, collision = h0002B0
x = -262.5769, y = -121.2307, z = 18.23298, angle = -111.9263, collision = h0002B0
x = -261.3765, y = -121.2725, z = 18.61393, angle = -148.6875, collision = h0002B0
x = -260.2412, y = -121.2735, z = 19.18454, angle = -121.8514, collision = h0002B0
x = -259.4314, y = -121.271, z = 19.9083, angle = 145.6688, collision = h0004B0
x = -259.9743, y = -121.2696, z = 20.77405, angle = 150.3898, collision = h0004B0
x = -260.9055, y = -121.2601, z = 21.83894, angle = 79.84583, collision = h0004B0
x = -262.1466, y = -121.2492, z = 21.42728, angle = 46.22298, collision = h0004B0
x = -263.1414, y = -121.1177, z = 20.42267, angle = 44.30166, collision = h0004B0
x = -264.2622, y = -121.1198, z = 19.62681, angle = 75.83906, collision = h0002B0
x = -265.625, y = -121.1088, z = 19.42297, angle = 156.1564, collision = h0002B0
x = -265.8068, y = -121.0368, z = 20.5868, angle = -121.4345, collision = h0004B0
x = -264.6202, y = -121.1898, z = 21.39252, angle = -109.1804, collision = h0004B0
x = -263.4432, y = -121.2262, z = 21.81952, angle = -110.7317, collision = h0004B0
x = -262.2014, y = -121.2571, z = 22.48255, angle = 175.0595, collision = h0004B0
x = -262.5138, y = -121.2571, z = 23.63802, angle = 102.3229, collision = h0004B0
x = -263.3502, y = -121.2571, z = 24.23985, angle = 141.2887, collision = h0004B0
x = -264.4612, y = -121.2571, z = 23.71144, angle = 71.79073, collision = h0004B0
x = -265.7874, y = -121.2571, z = 23.24222, angle = 86.64558, collision = h0004B0
x = -266.9352, y = -121.2195, z = 23.56205, angle = -137.4835, collision = h0004B0
x = -265.9234, y = -121.2499, z = 24.26853, angle = -65.44903, collision = h0004B0
x = -263.4601, y = -121.2571, z = 23.17092, angle = -86.91506, collision = h0004B0
x = -261.4979, y = -121.2571, z = 23.50591, angle = -121.6918, collision = h0004B0
x = -260.5651, y = -121.2571, z = 23.97117, angle = -102.8821, collision = h0004B0
x = -260.5056, y = -121.2571, z = 25.03526, angle = 173.4516, collision = h0004B0
x = -260.6835, y = -121.2571, z = 26.13231, angle = 133.2103, collision = h0004B0
x = -261.3622, y = -121.2545, z = 26.99951, angle = 170.4742, collision = h0004B0
x = -261.6736, y = -121.2482, z = 28.36758, angle = 111.2479, collision = h0004B0
x = -262.8573, y = -121.2472, z = 28.56833, angle = 16.4149, collision = h0004B0
x = -263.178, y = -121.2519, z = 27.2512, angle = 37.97229, collision = h0004B0
x = -264.0696, y = -121.2528, z = 26.61294, angle = 168.8812, collision = h0004B0
x = -264.2332, y = -121.2485, z = 27.93579, angle = 169.6658, collision = h0004B0
x = -264.7557, y = -121.2469, z = 29.03301, angle = 84.51379, collision = h0004B0
x = -265.9332, y = -121.2536, z = 28.60843, angle = -11.59748, collision = h0004B0
x = -265.9939, y = -121.2559, z = 27.24404, angle = 40.70184, collision = h0004B0
x = -267.0095, y = -121.2505, z = 26.32703, angle = 67.46721, collision = h0004B0
x = -268.3314, y = -121.2516, z = 25.86839, angle = 129.4487, collision = h0004B0
x = -269.172, y = -121.2478, z = 26.7822, angle = -164.9451, collision = h0004B0
x = -268.619, y = -121.2434, z = 28.01211, angle = -100.3862, collision = h0004B0
x = -267.2593, y = -121.2466, z = 28.34759, angle = -121.862, collision = h0004B0
x = -262.9982, y = -121.2566, z = 26.192, angle = -21.53475, collision = h0004B0
x = -262.5789, y = -121.2571, z = 25.14223, angle = -6.508993, collision = h0004B0
x = -259.0667, y = -121.2743, z = 18.90514, angle = -28.5872, collision = h0002B0
x = -260.9435, y = -121.2732, z = 19.99073, angle = -164.7302, collision = h0004B0
x = -261.9357, y = -121.2571, z = 26.12409, angle = -170.4984, collision = h0004B0
x = -264.6744, y = -121.2446, z = 30.11156, angle = 142.9453, collision = h0004B0
x = -265.4182, y = -121.8266, z = 31.07216, angle = 139.9762, collision = h0004B0
x = -266.0803, y = -122.1324, z = 32.24177, angle = -137.6391, collision = h0004B0
x = -265.4043, y = -122.2592, z = 33.01139, angle = -66.73669, collision = h0004B0
x = -264.4842, y = -121.9915, z = 32.38315, angle = -67.95158, collision = h0004B0
x = -263.4096, y = -121.7689, z = 32.10083, angle = -127.1471, collision = h0004B0
x = -262.5616, y = -121.5279, z = 32.83855, angle = -139.3182, collision = h0004B0
x = -261.7133, y = -121.4415, z = 32.15215, angle = -61.57358, collision = h0004B0
x = -260.6768, y = -121.4165, z = 32.04335, angle = -88.19518, collision = h0004B0
x = -259.5152, y = -121.4585, z = 31.84741, angle = -98.57774, collision = h0004B0
x = -258.5644, y = -121.4601, z = 32.37322, angle = -137.9341, collision = h0004B0
x = -257.7907, y = -121.4403, z = 33.24582, angle = -137.9243, collision = h0004B0
x = -256.8928, y = -121.4066, z = 33.8834, angle = -91.64961, collision = h0004B0
x = -255.8906, y = -121.4066, z = 33.82452, angle = -65.65005, collision = h0004B0
x = -254.9701, y = -121.4066, z = 33.4169, angle = -65.65005, collision = h0004B0
x = -255.3568, y = -121.4066, z = 32.48463, angle = 4.938514, collision = h0004B0
x = -254.4041, y = -121.4066, z = 31.94723, angle = -87.51967, collision = h0004B0
x = -253.5283, y = -121.4066, z = 31.40763, angle = -10.33918, collision = h0004B0
x = -253.3068, y = -130.1752, z = 29.49015, angle = -5.210041, collision = h0002B0
x = -254.5826, y = -130.368, z = 28.87856, angle = 63.50203, collision = h0004B0
x = -255.8609, y = -130.6372, z = 28.30214, angle = 91.71024, collision = h0004B0
x = -256.847, y = -130.8784, z = 28.51201, angle = 143.9529, collision = h0004B0
x = -257.483, y = -130.9566, z = 29.33777, angle = -173.065, collision = h0004B0
x = -257.2873, y = -130.728, z = 30.44436, angle = 178.4118, collision = h0004B0
x = -256.2956, y = -130.3594, z = 29.85099, angle = -99.57767, collision = h0004B0
x = -255.198, y = -130.3594, z = 30.05906, angle = -19.92816, collision = h0004B0
x = -256.6322, y = -130.9857, z = 27.53355, angle = 7.057675, collision = h0002B0
x = -256.5965, y = -131.0848, z = 26.51752, angle = -31.02011, collision = h0002B0
x = -255.7965, y = -130.9961, z = 25.80004, angle = -79.48363, collision = h0002B0
x = -254.6539, y = -130.8207, z = 25.48436, angle = -119.5205, collision = h0002B0
x = -253.8895, y = -130.6144, z = 26.22024, angle = -176.2825, collision = h0002B0
x = -253.78, y = -130.4739, z = 27.62087, angle = -178.2298, collision = h0002B0
x = -252.5979, y = -130.1635, z = 28.7771, angle = -34.81461, collision = h0002B0
x = -252.2525, y = -130.1808, z = 27.70911, angle = -10.21377, collision = h0002B0
x = -252.0784, y = -130.2426, z = 26.71181, angle = 11.69098, collision = h0002B0
x = -252.3642, y = -130.4567, z = 25.60334, angle = -18.3964, collision = h0002B0
x = -251.8933, y = -130.7606, z = 24.61197, angle = -53.7949, collision = h0002B0
x = -250.8537, y = -130.8613, z = 24.36672, angle = -141.239, collision = h0002B0
x = -250.4744, y = -130.6081, z = 25.29234, angle = -176.864, collision = h0002B0
x = -250.4118, y = -130.225, z = 26.68986, angle = -170.8749, collision = h0002B0
x = -250.2025, y = -129.8138, z = 28.07668, angle = -169.0302, collision = h0002B0
x = -249.2137, y = -130.0173, z = 27.45458, angle = -31.01466, collision = h0002B0
x = -248.4101, y = -129.8075, z = 26.80086, angle = -140.1365, collision = h0002B0
x = -247.5656, y = -129.4947, z = 27.52954, angle = -75.87419, collision = h0002B0
x = -246.6297, y = -129.2274, z = 26.96105, angle = -35.4095, collision = h0002B0
x = -246.5468, y = -129.2635, z = 25.93697, angle = 11.66747, collision = h0002B0
x = -246.5065, y = -129.3166, z = 24.82236, angle = -8.18926, collision = h0002B0
x = -245.4823, y = -129.0134, z = 24.45033, angle = -12.86144, collision = h0002B0
x = -244.9664, y = -128.918, z = 23.4073, angle = 65.77693, collision = h0002B0
x = -245.9097, y = -129.25, z = 22.87166, angle = 100.8785, collision = h0002B0
x = -246.3031, y = -129.4317, z = 21.92101, angle = -27.73605, collision = h0002B0
x = -245.306, y = -129.1414, z = 21.3212, angle = -78.17729, collision = h0002B0
x = -244.102, y = -128.7827, z = 21.00393, angle = 78.9829, collision = h0002B0
x = -244.8352, y = -129.0582, z = 20.25279, angle = 84.72527, collision = h0002B0
x = -245.81, y = -129.4113, z = 19.65609, angle = 42.05954, collision = h0002B0
x = -245.4495, y = -129.356, z = 18.60667, angle = -64.89217, collision = h0002B0
x = -244.342, y = -129.0205, z = 18.19421, angle = -54.69453, collision = h0002B0
x = -244.0871, y = -128.8179, z = 17.21281, angle = 78.89563, collision = h0002B0
x = -245.1824, y = -128.9926, z = 16.91254, angle = 56.27371, collision = h0002B0
x = -244.6556, y = -128.9666, z = 16.03106, angle = -105.6926, collision = h0002B0
x = -243.4084, y = -128.7685, z = 16.34503, angle = -98.80494, collision = h0002B0
x = -245.3703, y = -129.1208, z = 15.29655, angle = 53.65451, collision = h0002B0
x = -245.8211, y = -129.256, z = 14.3139, angle = -16.37688, collision = h0002B0
x = -244.9979, y = -129.2003, z = 13.49308, angle = -66.93446, collision = h0002B0
x = -243.9501, y = -129.0862, z = 13.04121, angle = -86.88984, collision = h0002B0
x = -243.6423, y = -129.119, z = 12.04746, angle = 5.905982, collision = h0002B0
x = -242.7142, y = -129.0241, z = 11.60699, angle = -105.013, collision = h0002B0
x = -241.6796, y = -128.891, z = 11.47977, angle = -11.34115, collision = h0002B0
x = -241.9816, y = -129.0064, z = 10.46983, angle = 37.8092, collision = h0002B0
x = -241.1704, y = -128.8958, z = 9.798154, angle = -93.26167, collision = h0002B0
x = -241.0086, y = -128.8816, z = 8.755746, angle = 22.24419, collision = h0002B0
x = -240.2442, y = -128.7192, z = 8.037462, angle = -103.498, collision = h0002B0
x = -240.5974, y = -128.8351, z = 6.963697, angle = 33.4224, collision = h0002B0
x = -241.2655, y = -129.0811, z = 6.044683, angle = 42.06102, collision = h0002B0
x = -242.0527, y = -129.3418, z = 5.201236, angle = 0.4520629, collision = h0002B0
x = -241.0587, y = -129.1097, z = 4.975456, angle = -143.5101, collision = h0002B0
x = -239.4832, y = -128.7522, z = 6.823978, angle = -116.0076, collision = h0002B0
x = -238.3583, y = -128.6732, z = 7.00774, angle = -15.12164, collision = h0002B0
x = -238.7401, y = -128.7613, z = 5.947252, angle = 52.8508, collision = h0002B0
x = -239.5244, y = -128.9317, z = 5.142977, angle = 23.61442, collision = h0002B0
x = -239.9551, y = -129.1355, z = 4.088162, angle = 22.05908, collision = h0002B0
x = -240.0825, y = -129.305, z = 3.032449, angle = -61.46905, collision = h0002B0
x = -238.9153, y = -128.9938, z = 3.947632, angle = -155.1251, collision = h0002B0
x = -237.3165, y = -128.6578, z = 5.938555, angle = -97.55365, collision = h0002B0
x = -237.6656, y = -128.7622, z = 4.878884, angle = 7.339489, collision = h0002B0
x = -237.1004, y = -128.8157, z = 3.651019, angle = -38.53848, collision = h0002B0
x = -236.2418, y = -128.8332, z = 2.54003, angle = -34.57359, collision = h0002B0
x = -236.2646, y = -128.8716, z = 1.490618, angle = 17.53127, collision = h0002B0
x = -235.246, y = -128.7381, z = 1.426856, angle = -94.15572, collision = h0002B0
x = -234.099, y = -128.581, z = 1.523589, angle = -101.0432, collision = h0002B0
x = -232.7161, y = -128.3865, z = 1.778021, angle = -59.00827, collision = h0002B0
x = -231.5878, y = -128.2465, z = 1.076774, angle = -33.5609, collision = h0002B0
x = -230.9996, y = -128.1703, z = -0.1653254, angle = 57.9678, collision = h0002B0
x = -232.05, y = -128.2902, z = -0.5243626, angle = 155.8554, collision = h0002B0
x = -232.5675, y = -128.4017, z = 0.7701128, angle = -163.3703, collision = h0002B0
x = -233.9349, y = -128.6024, z = 0.3521718, angle = 25.8958, collision = h0002B0
x = -234.1549, y = -128.7096, z = -0.7830944, angle = -24.57611, collision = h0002B0
x = -233.7166, y = -128.693, z = -1.828887, angle = -36.20618, collision = h0002B0
x = -232.767, y = -128.5914, z = -2.378762, angle = -82.56448, collision = h0002B0
x = -231.7203, y = -128.4532, z = -2.775525, angle = -92.31377, collision = h0002B0
x = -235.4446, y = -128.8288, z = 0.4396765, angle = 68.75864, collision = h0002B0
x = -236.5091, y = -129.0843, z = 0.08500248, angle = 83.73505, collision = h0002B0
x = -237.4468, y = -129.2002, z = 0.4904851, angle = -154.4982, collision = h0002B0
x = -234.3397, y = -128.5765, z = 2.550902, angle = 85.97543, collision = h0002B0
x = -237.5666, y = -128.9551, z = 2.65155, angle = 97.08001, collision = h0002B0
x = -238.9491, y = -129.1414, z = 2.889444, angle = 99.21135, collision = h0002B0
x = -241.0653, y = -129.4733, z = 3.348619, angle = -168.2621, collision = h0002B0
x = -239.1257, y = -128.6507, z = 7.885937, angle = 152.0655, collision = h0002B0
